datetime,Year,Month,WaterYear,WaterMonth,WaterWeek,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,14,3,0.0499,0.0189,0.0309,1918.41,27.56,27.56,26.64,1,1,1,192.4,189,196.1,119.4,116,73,73,73,9.474e-15,0,1.421e-14,0.379,0.372,0.386,119.4,116,123.1,990,990,990,964.4,964.4,964.4,25.6,25.6,25.6,0.0911,0.0899,0.0924,0.0059,0.00561,0.00621,0.00023,0.00022,0.00024,0.201,0.195,0.207,0.0078,0.0076,0.0081,25.38,25.38,25.38,0.924,0.922,0.927,0.97,0.97,0.97,0.897,0.894,0.899,27.47,26.62,28.41,26.64,25.82,27.56,0,0,0,0,0,0,0.148,0,0.019,0.38,0.62,0.38,38.4
726098400000,1993,1,1992,4,14,7,0.129,0.0442,0.0849,5301.05,34.3,34.3,31.55,1,1,1,213.4,200.7,225.3,140.4,127.7,73,73,73,2.03e-15,0,1.421e-14,0.343,0.324,0.364,140.4,127.7,152.3,990,990,990,964.5,964.4,964.6,25.5,25.4,25.6,0.0985,0.094,0.103,0.00768,0.00661,0.0087,0.0003,0.00026,0.00034,0.238,0.216,0.26,0.0093,0.0084,0.01,25.28,25.19,25.38,0.935,0.93,0.939,0.97,0.97,0.97,0.907,0.902,0.911,32.53,29.55,35.36,31.55,28.67,34.3,0,0,0,0,0,0,0.175,0,0.0441,0.34,0.66,0.34,41.1
726703200000,1993,1,1992,4,15,7,0.146,0.0442,0.102,6427.17,41.61,41.61,38.26,1,1,1,242,228.9,255.7,169,155.9,73,73,73,0,0,0,0.302,0.285,0.319,169,155.9,182.7,990,990,990,964.7,964.6,964.7,25.3,25.3,25.4,0.109,0.104,0.113,0.0101,0.009,0.0113,0.0004,0.00035,0.00045,0.289,0.266,0.314,0.011,0.01,0.012,25.06,24.96,25.16,0.945,0.941,0.949,0.975,0.97,0.98,0.921,0.912,0.93,39.24,36.19,42.46,38.26,35.1,41.61,0,0,0,0,0,0,0.213,0,0.044,0.3,0.7,0.3,44
727308000000,1993,1,1992,4,16,7,0.172,0.0442,0.127,7895.75,51.63,51.63,47,2,1,1.1428571428571428,283.8,259.3,309.6,210.8,186.3,73,73,73,-4.06e-15,-2.842e-14,2.842e-14,0.258,0.236,0.282,210.8,186.3,236.6,990,990,990,964.8,964.7,964.9,25.2,25.1,25.3,0.123,0.115,0.132,0.0137,0.0116,0.0159,0.00054,0.00046,0.00063,0.341,0.25,0.392,0.014,0.01,0.016,24.82,24.71,24.94,0.951,0.925,0.959,0.979,0.97,0.98,0.931,0.897,0.94,44.96,26.61,52.63,43.31,25.81,48.2,0,0,0,0,0,0,0.261,0,0.045,0.26,0.74,0.26,45.9
727912800000,1993,1,1992,4,17,7,0.211,0.0442,0.167,10104.3,65.98,65.98,60.14,2,2,2,348.5,320.2,375.5,275.5,247.2,73,73,73,0,0,0,0.21,0.194,0.228,275.5,247.2,302.5,990,990,990,965.1,965,965.3,24.9,24.7,25,0.146,0.136,0.156,0.0292,0.0168,0.0418,0.0012,0.00067,0.0017,0.304,0.262,0.344,0.012,0.01,0.014,24.55,24.38,24.74,0.935,0.928,0.941,0.97,0.97,0.97,0.907,0.901,0.912,31,27.84,34.01,30.07,27.01,32.99,0,0,0,0,0,0,0.334,0,0.044,0.21,0.79,0.21,47.9
728517600000,1993,2,1992,5,18,7,0.256,0.0514,0.204,12358,83.61,83.61,73.56,2,2,2,423,385.6,468.2,338,300.6,85,85,85,0,0,0,0.202,0.182,0.22,338,300.6,383.2,990,990,990,965.5,965.3,965.7,24.5,24.3,24.7,0.169,0.156,0.185,0.0585,0.0409,0.0799,0.0024,0.0017,0.0033,0.398,0.342,0.466,0.016,0.014,0.019,24.1,23.83,24.33,0.946,0.94,0.953,0.973,0.97,0.98,0.921,0.912,0.934,37.78,33.72,42.66,36.78,32.71,41.8,0,0,0,0,0,0,0.409,0,0.052,0.2,0.8,0.2,48.3
729122400000,1993,2,1992,5,19,7,0.335,0.0514,0.283,16663.3,113.1,113.1,99.19,3,2,2.4285714285714284,553.6,487,627.6,468.6,402,85,85,85,0,0,0,0.155,0.135,0.175,468.6,402,542.6,990,990,990,966.1,965.8,966.4,23.9,23.6,24.2,0.22,0.192,0.258,0.122,0.0888,0.163,0.0051,0.0037,0.0069,0.551,0.495,0.608,0.023,0.02,0.026,23.36,22.98,23.71,0.953,0.945,0.958,0.976,0.97,0.98,0.93,0.917,0.939,43.16,35.19,50.99,41.91,34.14,48.2,0,0,0,0,0,0,0.551,0,0.052,0.15,0.84,0.16,49.7
729727200000,1993,2,1992,5,20,7,0.449,0.0531,0.396,22530.6,144.3,144.3,134.1,3,3,3,742.5,656.3,821.2,654.6,571.3,87.86,85,105,0,0,0,0.119,0.107,0.13,654.6,571.3,716.2,990,990,990,966.9,966.5,967.2,23.1,22.8,23.5,0.322,0.274,0.36,0.238,0.183,0.279,0.01,0.0078,0.012,0.798,0.657,0.905,0.035,0.028,0.04,22.33,21.91,22.82,0.956,0.952,0.957,0.98,0.977,0.98,0.936,0.931,0.938,45.63,40.58,49.09,44.7,39.66,48.11,0,0,0,0,0,0,0.745,0,0.053,0.12,0.88,0.12,50.2
730332000000,1993,2,1992,5,21,7,0.575,0.0635,0.512,27334.1,181.3,181.3,162.7,4,3,3.7142857142857144,950.9,849.8,1060,845.9,744.8,105,105,105,1.624e-14,0,1.137e-13,0.111,0.0991,0.124,845.9,744.8,954.6,990,990,990,967.7,967.3,968.1,22.3,21.9,22.7,0.472,0.38,0.572,0.348,0.299,0.401,0.016,0.013,0.018,1.07,0.956,1.24,0.048,0.042,0.056,21.23,20.68,21.74,0.955,0.954,0.957,0.98,0.977,0.98,0.936,0.932,0.938,45.69,40.57,52.29,44.12,39.64,48.2,0,0,0,0,0,0,0.904,0,0.063,0.11,0.89,0.11,47.5
730936800000,1993,3,1992,6,22,7,0.724,0.111,0.613,31177.1,192.8,192.8,185.6,4,4,4,1197,1099,1285,1014,916.3,183,183,183,0.3129,-1.137e-13,2.19,0.153,0.142,0.166,1014,916.3,1100,990,990,990,968.5,968.2,968.8,21.5,21.2,21.8,0.676,0.555,0.798,0.491,0.382,0.648,0.023,0.018,0.031,1.45,1.19,1.75,0.067,0.055,0.082,20.03,19.46,20.6,0.955,0.954,0.955,0.98,0.98,0.98,0.936,0.935,0.936,47.5,44.2,50.04,46.39,43.32,48.2,0,0,0,0,0,0,1.03,0,0.111,0.15,0.85,0.15,43.1
