date,flow,day,waterMonth,waterDay,waterYear,waterWeek,ewrMeasurementDate,ewrExceedance,ewrFlowBandNumber,ewrFlowBand,ewrMeasureExceedance
1993-01-01,157.59,1,4,93,1992,14,1992-12-28,,5,Dry,
1993-01-02,160.05,2,4,94,1992,14,1992-12-28,,5,Dry,
1993-01-03,162.51,3,4,95,1992,14,1992-12-28,,5,Dry,
1993-01-04,166.06,4,4,96,1992,14,1992-12-28,,5,Dry,
1993-01-05,170.16,5,4,97,1992,14,1992-12-28,,5,Dry,
1993-01-06,174.27,6,4,98,1992,14,1992-12-28,,5,Dry,
1993-01-07,176.18,7,4,99,1992,15,1992-12-28,,5,Dry,
1993-01-08,176.45,8,4,100,1992,15,1992-12-28,,5,Dry,1
1993-01-09,180.01,9,4,101,1992,15,1992-12-28,,5,Dry,
1993-01-10,182.47,10,4,102,1992,15,1992-12-28,,5,Dry,
1993-01-11,185.48,11,4,103,1992,15,1993-01-08,1,5,Dry,
1993-01-12,186.84,12,4,104,1992,15,1993-01-08,1,5,Dry,
1993-01-13,189.31,13,4,105,1992,15,1993-01-08,1,5,Dry,
1993-01-14,193.95,14,4,106,1992,16,1993-01-08,1,5,Dry,
1993-01-15,196.41,15,4,107,1992,16,1993-01-08,1,5,Dry,
1993-01-16,197.78,16,4,108,1992,16,1993-01-08,1,5,Dry,
1993-01-17,200.24,17,4,109,1992,16,1993-01-08,1,5,Dry,
1993-01-18,201.61,18,4,110,1992,16,1993-01-08,1,5,Dry,1
1993-01-19,206.81,19,4,111,1992,16,1993-01-08,1,5,Dry,
1993-01-20,214.73,20,4,112,1992,16,1993-01-08,1,5,Dry,
1993-01-21,220.48,21,4,113,1992,17,1993-01-18,1,5,Dry,
1993-01-22,224.58,22,4,114,1992,17,1993-01-18,1,5,Dry,
1993-01-23,230.87,23,4,115,1992,17,1993-01-18,1,5,Dry,
1993-01-24,238.8,24,4,116,1992,17,1993-01-18,1,5,Dry,
1993-01-25,246.73,25,4,117,1992,17,1993-01-18,1,5,Dry,
1993-01-26,253.56,26,4,118,1992,17,1993-01-18,1,5,Dry,
1993-01-27,260.95,27,4,119,1992,17,1993-01-18,1,5,Dry,
1993-01-28,267.23,28,4,120,1992,18,1993-01-18,1,5,Dry,1
1993-01-29,273.52,29,4,121,1992,18,1993-01-18,1,5,Dry,
1993-01-30,278.17,30,4,122,1992,18,1993-01-18,1,5,Dry,
1993-01-31,284.46,31,4,123,1992,18,1993-01-18,1,5,Dry,
1993-02-01,291.3,32,5,124,1992,18,1993-01-28,1,5,Dry,
1993-02-02,298.68,33,5,125,1992,18,1993-01-28,1,5,Dry,
1993-02-03,307.16,34,5,126,1992,18,1993-01-28,1,5,Dry,
1993-02-04,315.09,35,5,127,1992,19,1993-01-28,1,5,Dry,
1993-02-05,324.11,36,5,128,1992,19,1993-01-28,1,5,Dry,
1993-02-06,334.23,37,5,129,1992,19,1993-01-28,1,5,Dry,
1993-02-07,345.98,38,5,130,1992,19,1993-01-28,1,5,Dry,
1993-02-08,358.84,39,5,131,1992,19,1993-01-28,1,5,Dry,1
1993-02-09,372.23,40,5,132,1992,19,1993-01-28,1,5,Dry,
