WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,662.2,192.8,18.81,101.1,752.5,157.6,1919,17.7,3.23,12.7,0.264,0.0771,0.514,0,0,0,0,0,0,0.42,0.23,0.12,0.16,0.24,0,0,0,5,0.18,0.72,0.28,37.4
1993,365,581.8,192.8,0,66.42,431.5,128.9,1268,13.6,3.12,10.5,0.303,0.102,0.559,0,29,0,0,0.079,0,0.369,0.12,0.12,0.19,0.57,0,29,0.07945205479452055,3.1,0.23,0.77,0.23,42.8
1994,365,166.5,67.32,0,19,189,67.52,417.9,5.96,2.86,2.91,0.542,0.256,1,104,30,0,0.28,0.082,0,0.106,0,0,0.093,0.62,0.28,134,0.36712328767123287,3.05,0.48,0.49,0.51,27.9
1995,366,211.2,96.4,0,24.04,222.9,59.19,594,7.05,2.87,3.94,0.516,0.182,0.882,110,76,0,0.3,0.21,0,0.134,0,0,0.19,0.51,0.3,186,0.5095890410958904,3.11,0.41,0.56,0.44,30
1996,365,518.1,187.3,0,59.14,383,75.86,1127,12.1,2.87,9.09,0.342,0.111,0.685,45,13,0,0.12,0.036,0,0.329,0.058,0.21,0.16,0.45,0.12,58,0.1589041095890411,3.01,0.24,0.75,0.25,42.8
1997,365,510.7,177,0,58.3,373.7,126.7,1055,11.8,2.87,8.92,0.311,0.118,0.518,0,12,0,0,0.033,0,0.324,0.06,0.18,0.17,0.6,0,12,0.03287671232876712,2.88,0.24,0.76,0.24,43.3
1998,365,758.5,192.8,0,86.59,641.7,113.3,2119,20.2,3.37,14.5,0.259,0.0698,0.459,0,10,0,0,0.027,0,0.481,0.27,0.1,0.2,0.43,0,10,0.0273972602739726,5.7,0.17,0.72,0.28,37.5
1999,366,641.8,192.8,0,73.07,516.9,162.3,1829,16.3,3.24,11.8,0.276,0.0659,0.486,0,8,0,0,0.022,0,0.407,0.15,0.11,0.23,0.52,0,8,0.021917808219178082,4.5,0.2,0.72,0.28,39.4
2000,365,819.5,192.8,23.29,93.56,830.3,157.6,2523,26.2,4.18,16.3,0.24,0.0772,0.5,0,0,0,0,0,0,0.52,0.3,0.12,0.2,0.38,0,0,0,9.9,0.16,0.62,0.38,31.3
2001,365,465.5,133.5,0,53.14,355.5,119.1,780.1,11.2,3.11,8.08,0.331,0.16,0.605,3,39,0,0.0082,0.11,0,0.295,0,0.13,0.28,0.58,0.0082,42,0.11506849315068493,3.12,0.28,0.72,0.28,41.6
