datetime,Year,Month,WaterYear,WaterMonth,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,31,0.578,0.196,0.383,23766.7,51.52,51.52,31.94,2,1,1.064516129032258,216,159.8,309.1,143,86.79,73,73,73,-3.226e-21,-2.842e-14,2.842e-14,0.351,0.236,0.457,143,86.79,236.1,990,990,990,964.6,964.4,964.9,25.4,25.1,25.6,0.0994,0.0796,0.132,0.0079,0.00313,0.0158,0.00031,0.00012,0.00063,0.233,0.142,0.381,0.0092,0.0056,0.015,25.21,24.75,25.39,0.931,0.911,0.958,0.971,0.963,0.98,0.904,0.883,0.939,31.24,20,51.22,30.31,19.26,48.2,0,0,0,0,0,0,0.177,0,0.195,0.34,0.66,0.34,41.1
728517600000,1993,2,1992,5,28,1.42,0.206,1.21,69554.9,167.5,167.5,103.5,4,2,2.607142857142857,585.9,318.1,943.8,500.9,233.1,85,85,85,1.015e-15,-2.842e-14,5.684e-14,0.163,0.0901,0.267,500.9,233.1,858.8,990,990,990,966.2,965,967.7,23.8,22.3,25,0.252,0.132,0.479,0.151,0.0156,0.355,0.0065,0.00062,0.016,0.599,0.248,1.07,0.026,0.0099,0.048,23.21,21.26,24.76,0.948,0.924,0.957,0.976,0.97,0.98,0.925,0.896,0.938,40.14,26.15,51.74,39.01,25.37,48.2,0,0,0,0,0,0,0.575,0,0.21,0.15,0.85,0.15,49
730936800000,1993,3,1992,6,31,3.79,0.443,2.83,136791,192.8,192.8,183.9,4,4,4,1417,974.7,1982,1251,845.7,165.6,129,183,196,-1.137e-13,699.5,0.119,0.0923,0.149,1055,845.7,1100,990,990,990,969.2,967.8,971,20.8,19,22.2,0.786,0.48,0.926,0.574,0.348,0.648,0.028,0.016,0.034,1.65,1.06,1.87,0.08,0.048,0.099,19.13,17.08,21.14,0.953,0.948,0.956,0.98,0.98,0.98,0.934,0.929,0.936,46.99,41.84,49.91,45.96,41,48.2,0,0,0,0,0,0,1.02,0,0.96,0.12,0.75,0.25,36.1
733615200000,1993,4,1992,7,30,6.13,0.562,2.85,115917,170.3,170.3,161,4,4,4,2366,2014,2550,2149,1797,217,217,217,1049,697.5,1233,0.0922,0.0851,0.108,1100,1100,1100,990,990,990,972,971.1,972.4,18,17.6,18.9,0.926,0.926,0.926,0.648,0.648,0.648,0.036,0.034,0.037,1.87,1.87,1.87,0.1,0.099,0.11,16.14,15.7,16.99,0.945,0.944,0.948,0.978,0.976,0.98,0.925,0.921,0.929,41.15,39.96,43.44,40.25,39,42.57,0,0,0,0,0,0,0.894,0,3.28,0.092,0.46,0.54,18.9
736207200000,1993,5,1992,8,31,4.99,0.739,2.95,131046,191.9,191.9,176.1,4,4,4,1862,1364,2382,1586,1088,276,276,276,486.7,0,1006,0.153,0.116,0.202,1100,1088,1100,990,990,990,970.6,969,972,19.4,18,21,0.907,0.799,0.926,0.647,0.62,0.648,0.033,0.03,0.036,1.85,1.72,1.87,0.096,0.082,0.1,17.56,16.1,19.24,0.949,0.945,0.953,0.98,0.978,0.98,0.93,0.925,0.934,44.94,41.06,48.94,44.03,40.17,47.97,0,0,0,0,0,0,0.979,0,2.04,0.15,0.59,0.41,26.3
738885600000,1993,6,1992,9,30,2.52,0.417,2.1,111841,192.8,192.8,155.3,4,3,3.466666666666667,972.9,780,1319,811.9,619,161,161,161,2.355,-1.137e-13,57.53,0.169,0.122,0.206,809.5,619,1100,990,990,990,967.7,967,968.9,22.3,21.1,23,0.472,0.315,0.816,0.343,0.215,0.648,0.016,0.0093,0.031,1.07,0.75,1.76,0.048,0.033,0.084,21.18,19.33,22.23,0.955,0.953,0.957,0.98,0.976,0.98,0.936,0.93,0.938,46.15,39.83,52.21,44.92,38.86,48.2,0,0,0,0,0,0,0.863,0,0.42,0.17,0.83,0.17,44.4
741477600000,1993,7,1992,10,31,1.69,0.573,1.12,64864.9,119.9,119.9,87.18,3,2,2.2903225806451615,632.6,516.1,774,418.8,289.1,213.8,186,227,-3.667e-15,-5.684e-14,5.684e-14,0.346,0.24,0.44,418.8,289.1,588,990,990,990,966.4,965.9,967,23.6,23,24.1,0.218,0.166,0.3,0.0994,0.0354,0.194,0.0042,0.0015,0.0084,0.507,0.339,0.701,0.022,0.014,0.03,23.07,22.3,23.74,0.95,0.939,0.957,0.974,0.97,0.98,0.925,0.91,0.938,39.28,31.59,52.56,38.19,30.64,48.2,0,0,0,0,0,0,0.484,0,0.57,0.34,0.66,0.34,38.4
744156000000,1993,8,1992,11,31,1.14,0.493,0.642,38642.7,69.22,69.22,51.94,2,1,1.5161290322580645,423.9,356.1,508.7,239.9,172.1,184,184,184,1.834e-15,-2.842e-14,2.842e-14,0.439,0.362,0.517,239.9,172.1,324.7,990,990,990,965.5,965.2,965.9,24.5,24.1,24.8,0.145,0.121,0.175,0.0219,0.0104,0.0523,0.0009,0.00042,0.0022,0.337,0.261,0.41,0.014,0.011,0.017,24.16,23.72,24.51,0.944,0.925,0.959,0.974,0.97,0.98,0.92,0.897,0.939,37.77,25.88,52.13,36.66,25.1,48.2,0,0,0,0,0,0,0.289,0,0.498,0.43,0.56,0.44,33.9
746834400000,1993,9,1992,12,30,0.777,0.358,0.419,26022.4,48.2,48.2,36.14,1,1,1,299.8,263.7,352.6,161.8,125.7,138,138,138,2.368e-15,-2.842e-14,2.842e-14,0.464,0.391,0.523,161.8,125.7,214.6,990,990,990,964.9,964.8,965.2,25.1,24.8,25.2,0.113,0.101,0.132,0.0095,0.00643,0.014,0.00038,0.00025,0.00056,0.284,0.219,0.378,0.011,0.0087,0.015,24.81,24.46,25.03,0.942,0.929,0.957,0.974,0.97,0.98,0.917,0.901,0.938,37.1,28.66,49.27,36.14,27.81,48.2,0,0,0,0,0,0,0.201,0,0.358,0.46,0.54,0.46,33.5
749426400000,1993,10,1993,1,31,0.615,0.271,0.344,21312.3,33.79,33.79,28.65,1,1,1,229.8,204.4,261.2,128.6,107.4,101.2,97,110,-1.375e-15,-2.842e-14,1.421e-14,0.441,0.409,0.475,128.6,107.4,151.2,990,990,990,964.6,964.4,964.7,25.4,25.3,25.6,0.0975,0.0893,0.107,0.00668,0.00488,0.00861,0.00026,0.00019,0.00034,0.22,0.182,0.262,0.0087,0.0071,0.01,25.2,24.99,25.39,0.929,0.916,0.94,0.97,0.97,0.97,0.901,0.888,0.911,29.53,24.48,34.83,28.65,23.75,33.79,0,0,0,0,0,0,0.159,0,0.271,0.44,0.56,0.44,34.7
