Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,912.6,29.2,0.579,0.48,45.8,0.504
0.01,903.2,28.9,0.573,0.462,45.5,0.461
0.02,893.8,28.5,0.567,0.444,45.3,0.419
0.03,884.4,28.2,0.561,0.426,45,0.376
0.04,875.5,27.8,0.555,0.398,44.7,0.328
0.05,866.9,27.4,0.55,0.365,44.5,0.277
0.06,858.3,26.9,0.545,0.332,44.3,0.226
0.07,851.8,26.6,0.54,0.309,44.1,0.191
0.08,849.8,26.5,0.539,0.306,44,0.188
0.09,847.8,26.4,0.538,0.303,43.9,0.186
0.1,845.8,26.3,0.536,0.3,43.8,0.184
0.11,844.5,26.1,0.535,0.288,43.7,0.18
0.12,843.2,25.8,0.535,0.276,43.6,0.177
0.13,841.9,25.6,0.534,0.264,43.4,0.174
0.14,840.7,25.5,0.533,0.26,43.3,0.164
0.15,839.5,25.4,0.532,0.26,43.2,0.151
0.16,838.2,25.4,0.532,0.26,43.1,0.138
0.17,837,25.3,0.531,0.258,43,0.127
0.18,835.8,25.2,0.53,0.252,42.9,0.12
0.19,834.6,25,0.53,0.246,42.8,0.113
0.2,833.4,24.9,0.529,0.24,42.7,0.107
0.21,819.5,24.7,0.52,0.24,42.7,0.1
0.22,805.6,24.4,0.511,0.24,42.6,0.0937
0.23,791.7,24.2,0.502,0.24,42.6,0.0871
0.24,786,24,0.498,0.238,42.5,0.0816
0.25,784.4,23.8,0.497,0.235,42.5,0.0767
0.26,782.8,23.6,0.497,0.232,42.4,0.0718
0.27,781.1,23.3,0.496,0.229,42.3,0.0674
0.28,779.3,22.8,0.494,0.226,42.3,0.0641
0.29,777.5,22.2,0.493,0.223,42.2,0.0608
0.3,775.7,21.7,0.492,0.22,42.2,0.0575
0.31,771.8,21.4,0.49,0.22,41.8,0.0542
0.32,768,21.1,0.487,0.22,41.4,0.051
0.33,764.1,20.8,0.485,0.22,41,0.0477
0.34,761.6,20.6,0.483,0.216,40.9,0.0455
0.35,759.7,20.5,0.482,0.21,40.8,0.0438
0.36,757.8,20.4,0.481,0.204,40.7,0.0422
0.37,756.3,20.2,0.48,0.2,40.7,0.0397
0.38,755.4,19.7,0.479,0.2,40.5,0.0356
0.39,754.4,19.3,0.479,0.2,40.4,0.0315
0.4,753.5,18.9,0.478,0.2,40.3,0.0274
0.41,749,18.8,0.475,0.2,40.2,0.0233
0.42,744.6,18.7,0.472,0.2,40.1,0.0192
0.43,740.1,18.6,0.469,0.2,39.9,0.0151
0.44,737.6,18.5,0.467,0.198,39.9,0.0137
0.45,736,18.4,0.467,0.195,39.9,0.0137
0.46,734.5,18.3,0.466,0.192,39.9,0.0137
0.47,732.4,18.1,0.464,0.19,39.9,0.0134
0.48,729.1,17.9,0.462,0.19,39.8,0.0126
0.49,725.9,17.6,0.46,0.19,39.7,0.0118
0.5,722.6,17.4,0.458,0.19,39.6,0.011
0.51,714.5,17.3,0.453,0.187,39.3,0.0101
0.52,706.4,17.2,0.448,0.184,39,0.00932
0.53,698.3,17.1,0.443,0.181,38.7,0.00849
0.54,690.9,16.8,0.438,0.18,38.6,0.00658
0.55,683.8,16.4,0.433,0.18,38.6,0.00411
0.56,676.6,16,0.429,0.18,38.6,0.00164
0.57,669,15.7,0.424,0.18,38.6,0
0.58,660.2,15.6,0.419,0.18,38.4,0
0.59,651.4,15.6,0.413,0.18,38.3,0
0.6,642.6,15.5,0.408,0.18,38.2,0
0.61,641.3,15.3,0.407,0.18,38.1,0
0.62,640,15,0.406,0.18,38,0
0.63,638.7,14.8,0.405,0.18,37.8,0
0.64,631.8,14.6,0.401,0.18,37.2,0
0.65,622.1,14.4,0.395,0.18,36.3,0
0.66,612.4,14.3,0.388,0.18,35.3,0
0.67,605.2,14.2,0.384,0.179,34.7,0
0.68,603.1,14.2,0.382,0.176,34.5,0
0.69,601,14.1,0.381,0.173,34.4,0
0.7,598.9,14.1,0.38,0.17,34.2,0
0.71,596.4,13.9,0.378,0.17,33.8,0
0.72,593.8,13.7,0.376,0.17,33.3,0
0.73,591.3,13.5,0.375,0.17,32.9,0
0.74,577.4,13.1,0.366,0.17,32.7,0
0.75,558,12.7,0.354,0.17,32.7,0
0.76,538.5,12.3,0.341,0.17,32.7,0
0.77,523.6,12,0.332,0.17,32.6,0
0.78,518,12,0.328,0.17,32.3,0
0.79,512.4,11.9,0.325,0.17,31.9,0
0.8,506.8,11.9,0.321,0.17,31.6,0
0.81,505.9,11.9,0.32,0.17,31.5,0
0.82,504.9,11.8,0.32,0.17,31.5,0
0.83,504,11.8,0.319,0.17,31.4,0
0.84,483.7,11.5,0.306,0.168,31.4,0
0.85,453.6,11,0.288,0.165,31.4,0
0.86,423.5,10.5,0.269,0.162,31.4,0
0.87,403.5,10.2,0.256,0.16,31.3,0
0.88,403.4,10.2,0.256,0.16,30.8,0
0.89,403.3,10.1,0.256,0.16,30.4,0
0.9,403.2,10.1,0.256,0.16,30,0
0.91,343.8,9.14,0.218,0.16,29.9,0
0.92,284.5,8.17,0.18,0.16,29.9,0
0.93,225.1,7.21,0.143,0.16,29.8,0
0.94,198,6.7,0.125,0.16,29.6,0
0.95,187.1,6.41,0.119,0.16,29.4,0
0.96,176.1,6.11,0.112,0.16,29.2,0
0.97,160,5.5,0.101,0.159,28.9,0
0.98,133.5,4.26,0.0846,0.156,28.8,0
0.99,107.1,3.01,0.0679,0.153,28.6,0
1,80.6,1.76,0.0511,0.15,28.5,0
