WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,717.1,192.8,22.48,109.4,940.5,175.1,2408,22.2,3.81,14.3,0.252,0.0622,0.518,0,0,0,0,0,0,0.455,0.29,0.11,0.16,0.2,0,0,0,7.9,0.17,0.64,0.36,32.3
1993,365,682,192.8,0,77.85,508.3,145.8,1500,16,3.42,12.3,0.283,0.111,0.494,0,3,0,0,0.0082,0,0.432,0.16,0.13,0.22,0.48,0,3,0.00821917808219178,3.7,0.21,0.77,0.23,42.6
1994,365,221.5,87.56,0,25.28,217.4,79.37,511.1,6.86,2.87,3.81,0.479,0.209,0.907,80,31,0,0.22,0.085,0,0.14,0,0,0.16,0.62,0.22,111,0.3041095890410959,3.05,0.42,0.56,0.44,32.3
1995,366,281.5,124.5,0,32.04,258.3,68.8,717.4,8.17,2.87,5.06,0.455,0.151,0.756,86,57,0,0.24,0.16,0,0.178,0,0.09,0.15,0.53,0.24,143,0.3917808219178082,3.11,0.35,0.62,0.38,34.5
1996,365,603.3,192.8,0,68.87,442.4,85.53,1374,14,2.94,10.8,0.304,0.091,0.608,39,7,0,0.11,0.019,0,0.383,0.085,0.22,0.16,0.42,0.11,46,0.12602739726027398,3.2,0.21,0.77,0.23,43.1
1997,365,602.6,192.8,18.52,68.79,427,141.8,1232,13.5,2.87,10.6,0.277,0.101,0.464,0,0,0,0,0,0,0.382,0.1,0.17,0.18,0.54,0,0,0,2.9,0.21,0.79,0.21,44.6
1998,365,804.9,192.8,16.02,91.88,754.7,124.1,2455,23.8,4.02,15.8,0.265,0.062,0.536,0,0,0,0,0,0,0.51,0.31,0.11,0.16,0.42,0,0,0,8,0.17,0.66,0.34,33.8
1999,366,685.7,192.8,0,78.07,600.1,175.8,2113,19,3.64,13,0.279,0.058,0.531,0,9,0,0,0.025,0,0.435,0.18,0.12,0.21,0.5,0,9,0.024657534246575342,6,0.19,0.68,0.32,36.1
2000,365,838.2,192.8,21.69,95.68,979.6,171.7,3023,30.9,4.85,17.3,0.253,0.0655,0.515,0,0,0,0,0,0,0.532,0.32,0.15,0.17,0.36,0,0,0,13.6,0.16,0.56,0.44,27.1
2001,365,630.5,189.7,17.78,71.98,445.7,151.7,1175,14.1,3.15,10.9,0.276,0.124,0.475,0,0,0,0,0,0,0.4,0.093,0.18,0.23,0.49,0,0,0,3.2,0.22,0.77,0.23,44.7
2002,365,710.3,192.8,17.25,81.08,639.8,129,2425,20.2,4.13,13.4,0.285,0.0611,0.532,0,0,0,0,0,0,0.45,0.18,0.19,0.2,0.44,0,0,0,6.8,0.2,0.66,0.34,35.2
2003,366,784.1,192.8,24.48,89.27,963.4,205,3701,30.5,4.78,16.2,0.258,0.059,0.476,0,0,0,0,0,0,0.497,0.29,0.12,0.19,0.4,0,0,0,14.3,0.16,0.53,0.47,25.7
2004,365,488.3,173.3,0,55.74,369.2,120.5,1030,11.6,3.05,8.58,0.32,0.121,0.597,3,40,0,0.0082,0.11,0,0.31,0.038,0.088,0.3,0.56,0.0082,43,0.1178082191780822,3.02,0.26,0.74,0.26,42.1
2005,365,705.7,192.8,0,80.56,558.1,96.74,1576,17.6,3.26,13.2,0.275,0.0855,0.538,13,21,0,0.036,0.058,0,0.448,0.21,0.13,0.21,0.42,0.036,34,0.09315068493150686,4.4,0.19,0.75,0.25,40.1
2006,365,845.9,192.8,21.58,96.57,1003,171.1,2695,31.6,4.92,17.7,0.25,0.0683,0.533,0,0,0,0,0,0,0.536,0.35,0.11,0.15,0.39,0,0,0,13.9,0.16,0.56,0.44,26.8
2007,366,789.2,192.8,0,89.85,699.6,187.2,1991,22.1,3.82,15.3,0.257,0.0836,0.486,0,9,0,0,0.025,0,0.501,0.26,0.13,0.19,0.42,0,9,0.024657534246575342,6.8,0.17,0.69,0.31,35.7
2008,365,745.7,192.8,19.57,85.13,650.3,161,2219,20.5,3.62,14.1,0.256,0.0667,0.536,0,0,0,0,0,0,0.473,0.2,0.15,0.23,0.42,0,0,0,6.4,0.18,0.69,0.31,36.4
2009,365,839.5,192.8,0,95.83,1101,180.7,3182,34.7,5.22,18,0.247,0.0633,0.521,0,7,0,0,0.019,0,0.532,0.35,0.12,0.22,0.32,0,7,0.019178082191780823,16.7,0.15,0.52,0.48,24.2
2010,365,896.3,192.8,24.89,102.3,1009,212.4,2869,31.8,5.11,18.5,0.257,0.0756,0.511,0,0,0,0,0,0,0.568,0.38,0.12,0.15,0.36,0,0,0,13.3,0.16,0.58,0.42,28.2
2011,366,671.7,192.8,0,76.47,473.8,147.1,1235,15,3.06,11.9,0.267,0.101,0.515,0,9,0,0,0.025,0,0.426,0.14,0.16,0.27,0.43,0,9,0.024657534246575342,3.1,0.2,0.79,0.21,44.8
2012,365,791,192.8,0,90.3,686.8,137.5,2338,21.7,3.62,15.2,0.248,0.0588,0.454,0,1,0,0,0.0027,0,0.502,0.29,0.13,0.16,0.42,0,1,0.0027397260273972603,6.5,0.17,0.7,0.3,36.5
2013,365,868.1,192.8,22.08,99.1,815.9,158.8,2372,25.7,4.2,17.1,0.241,0.0625,0.54,0,0,0,0,0,0,0.551,0.36,0.1,0.16,0.38,0,0,0,8.6,0.16,0.67,0.33,33.8
2014,365,775.5,192.8,0,88.52,581.2,173.3,1592,18.3,3.46,14.4,0.257,0.089,0.505,0,9,0,0,0.025,0,0.492,0.26,0.12,0.17,0.46,0,9,0.024657534246575342,3.9,0.19,0.79,0.21,42.4
2015,366,775.5,192.8,0,88.28,647.1,149.8,1889,20.5,3.53,14.7,0.246,0.0724,0.501,0,3,0,0,0.0082,0,0.492,0.24,0.12,0.19,0.45,0,3,0.00821917808219178,5.8,0.17,0.72,0.28,37.8
2016,365,808.7,192.8,18.32,92.31,960.7,155.3,3282,30.3,4.67,16.7,0.247,0.0584,0.506,0,0,0,0,0,0,0.513,0.31,0.11,0.22,0.36,0,0,0,13.6,0.15,0.55,0.45,26.7
2017,365,872.5,192.8,25.59,99.61,1028,224.7,3170,32.4,5.19,18.1,0.248,0.0692,0.488,0,0,0,0,0,0,0.553,0.34,0.11,0.25,0.3,0,0,0,14.3,0.16,0.56,0.44,26.9
2018,365,515.1,128.6,0,58.81,381.5,121.9,732.5,12,3.13,8.9,0.313,0.135,0.591,1,33,0,0.0027,0.09,0,0.327,0,0.24,0.18,0.57,0.0027,34,0.09315068493150686,3.1,0.26,0.74,0.26,42.9
2019,366,764.5,192.8,0,87.03,934,103.6,3352,29.5,4.76,16.2,0.277,0.0655,0.53,0,30,0,0,0.082,0,0.485,0.33,0.082,0.16,0.43,0,30,0.0821917808219178,13.3,0.16,0.55,0.45,25.9
2020,365,917.8,192.8,0,104.8,940.9,188.1,2417,29.7,4.99,18.7,0.255,0.0801,0.515,0,10,0,0,0.027,0,0.582,0.39,0.12,0.15,0.34,0,10,0.0273972602739726,11,0.17,0.63,0.37,30.9
2021,365,804.5,192.8,0,91.84,744,203.1,2395,23.5,4.33,15.6,0.268,0.0635,0.528,0,1,0,0,0.0027,0,0.51,0.27,0.11,0.22,0.39,0,1,0.0027397260273972603,7.9,0.18,0.66,0.34,34.2
2022,92,77.29,75.56,0,35,245.8,186.7,423.8,1.95,0.617,1.34,0.333,0.182,0.507,0,10,0,0,0.027,0,0.049,0,0,0.047,0.21,0,10,0.0273972602739726,0.61,0.32,0.69,0.31,39.6
