datetime,Year,Month,WaterYear,WaterMonth,WaterWeek,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,14,3,0.0402,0.0189,0.0213,1316.97,18.8,18.8,18.29,1,1,1,155.1,152.7,157.6,82.11,79.65,73,73,73,4.737e-15,0,1.421e-14,0.471,0.463,0.478,82.11,79.65,84.57,990,990,990,964.5,964.5,964.5,25.5,25.5,25.5,0.0779,0.0771,0.0788,0.00273,0.00252,0.00294,0.00011,0.000099,0.00012,0.134,0.13,0.138,0.0053,0.0051,0.0054,25.38,25.38,25.38,0.931,0.929,0.934,0.961,0.96,0.962,0.895,0.893,0.897,19.03,18.52,19.55,18.29,17.78,18.8,0,0,0,0,0,0,0.102,0,0.0189,0.47,0.53,0.47,32.8
726098400000,1993,1,1992,4,14,7,0.104,0.0442,0.0601,3679.63,23.98,23.98,21.9,1,1,1,172.3,162.2,181.4,99.34,89.22,73,73,73,4.06e-15,-1.421e-14,1.421e-14,0.424,0.403,0.45,99.34,89.22,108.4,990,990,990,964.5,964.4,964.5,25.5,25.5,25.6,0.084,0.0804,0.0872,0.00419,0.00333,0.00496,0.00016,0.00013,0.00019,0.165,0.147,0.181,0.0065,0.0057,0.0071,25.38,25.38,25.38,0.915,0.911,0.923,0.968,0.964,0.97,0.886,0.882,0.89,22.62,20.5,24.72,21.9,19.77,23.98,0,0,0,0,0,0,0.122,0,0.0439,0.43,0.58,0.42,35.4
726703200000,1993,1,1992,4,15,7,0.116,0.0442,0.0719,4454.78,28.55,28.55,26.52,1,1,1,191.8,183.8,200.2,118.8,110.8,73,73,73,-2.03e-15,-1.421e-14,0,0.381,0.365,0.397,118.8,110.8,127.2,990,990,990,964.4,964.4,964.4,25.6,25.6,25.6,0.0909,0.0881,0.0938,0.00585,0.00517,0.00656,0.00023,0.0002,0.00026,0.2,0.185,0.215,0.0078,0.0072,0.0084,25.38,25.38,25.39,0.924,0.918,0.929,0.97,0.97,0.97,0.896,0.891,0.901,27.34,25.33,29.43,26.52,24.57,28.55,0,0,0,0,0,0,0.147,0,0.0441,0.38,0.62,0.38,38.4
727308000000,1993,1,1992,4,16,7,0.134,0.0442,0.0903,5649.26,38.39,38.39,33.63,1,1,1,222.3,203.2,242.6,149.3,130.2,73,73,73,0,0,0,0.329,0.301,0.359,149.3,130.2,169.6,990,990,990,964.5,964.4,964.7,25.5,25.3,25.6,0.102,0.0949,0.109,0.00844,0.00682,0.0102,0.00033,0.00027,0.0004,0.254,0.22,0.29,0.01,0.0086,0.011,25.21,25.05,25.36,0.938,0.931,0.945,0.971,0.97,0.975,0.911,0.903,0.921,34.64,30.14,39.38,33.63,29.24,38.39,0,0,0,0,0,0,0.187,0,0.0437,0.33,0.67,0.33,42.2
727912800000,1993,1,1992,4,17,7,0.164,0.0442,0.12,7584.63,48.2,48.2,45.15,1,1,1,272,251.1,290.5,199,178.1,73,73,73,0,-2.842e-14,2.842e-14,0.269,0.251,0.291,199,178.1,217.5,990,990,990,964.8,964.7,964.9,25.2,25.1,25.3,0.119,0.112,0.126,0.0127,0.0109,0.0142,0.0005,0.00043,0.00057,0.343,0.306,0.376,0.014,0.012,0.015,24.87,24.76,24.99,0.954,0.948,0.958,0.98,0.979,0.98,0.934,0.928,0.939,46.29,41.37,50.59,45.15,40.5,48.2,0,0,0,0,0,0,0.251,0,0.044,0.27,0.73,0.27,46.2
728517600000,1993,2,1992,5,18,7,0.196,0.0514,0.144,8780.23,58.64,58.64,52.26,2,1,1.7142857142857142,323.6,297.3,354.2,238.6,212.3,85,85,85,-1.218e-14,-2.842e-14,0,0.264,0.24,0.286,238.6,212.3,269.2,990,990,990,965,964.9,965.2,25,24.8,25.1,0.134,0.125,0.145,0.0174,0.0138,0.026,0.0007,0.00055,0.001,0.297,0.243,0.383,0.012,0.0097,0.015,24.68,24.53,24.79,0.936,0.923,0.958,0.973,0.97,0.98,0.911,0.895,0.939,34.2,25.65,51.23,33.02,24.88,48.2,0,0,0,0,0,0,0.29,0,0.052,0.26,0.73,0.27,44.8
729122400000,1993,2,1992,5,19,7,0.248,0.0514,0.197,11883,81.51,81.51,70.73,2,2,2,410,366.5,458.4,325,281.5,85,85,85,0,0,0,0.208,0.185,0.232,325,281.5,373.4,990,990,990,965.4,965.2,965.7,24.6,24.3,24.8,0.165,0.149,0.182,0.0524,0.0319,0.0752,0.0021,0.0013,0.0031,0.379,0.314,0.452,0.015,0.013,0.019,24.18,23.89,24.45,0.944,0.936,0.952,0.972,0.97,0.979,0.918,0.908,0.932,36.36,31.6,41.61,35.37,30.65,40.76,0,0,0,0,0,0,0.393,0,0.051,0.21,0.79,0.21,47.9
729727200000,1993,2,1992,5,20,7,0.327,0.0514,0.276,16194.7,108.1,108.1,96.4,3,2,2.2857142857142856,541,477.8,603.5,456,392.8,85,85,85,-8.12e-15,-5.684e-14,0,0.158,0.141,0.178,456,392.8,518.5,990,990,990,966,965.7,966.3,24,23.7,24.3,0.214,0.189,0.245,0.115,0.0844,0.147,0.0048,0.0035,0.0062,0.546,0.481,0.61,0.023,0.02,0.026,23.42,23.12,23.77,0.954,0.946,0.958,0.977,0.97,0.98,0.932,0.918,0.939,44.67,35.87,52.07,43.14,34.79,48.2,0,0,0,0,0,0,0.536,0,0.051,0.16,0.84,0.16,49.5
730332000000,1993,2,1992,5,21,7,0.416,0.0514,0.364,20947.9,136.8,136.8,124.7,3,3,3,687.1,622.4,753.1,602.1,537.4,85,85,85,0,0,0,0.124,0.113,0.137,602.1,537.4,668.1,990,990,990,966.6,966.4,966.9,23.4,23.1,23.6,0.292,0.255,0.33,0.203,0.16,0.247,0.0087,0.0068,0.011,0.709,0.6,0.82,0.03,0.025,0.036,22.64,22.27,23.01,0.954,0.95,0.957,0.978,0.973,0.98,0.933,0.924,0.938,42.49,38.4,46.54,41.56,37.34,45.61,0,0,0,0,0,0,0.693,0,0.052,0.12,0.88,0.12,50.4
730936800000,1993,3,1992,6,22,7,0.49,0.0647,0.425,23728,144.6,144.6,141.2,3,3,3,810.1,771.8,850,703.1,664.8,107,107,107,0,0,0,0.132,0.126,0.139,703.1,664.8,743,990,990,990,967.1,967,967.3,22.9,22.7,23,0.355,0.333,0.381,0.271,0.245,0.297,0.012,0.011,0.013,0.885,0.819,0.955,0.039,0.036,0.042,21.98,21.74,22.19,0.957,0.957,0.957,0.98,0.98,0.98,0.938,0.938,0.938,48.32,46.15,50.54,47.08,45.22,48.2,0,0,0,0,0,0,0.785,0,0.065,0.13,0.87,0.13,48.4
