WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,679.9,192.8,18.55,103.8,839.8,156.4,2323,19.8,3.32,13.3,0.25,0.0637,0.476,0,0,0,0,0,0,0.431,0.25,0.11,0.17,0.22,0,0,0,6.5,0.17,0.67,0.33,34.3
1993,365,596.5,192.8,0,68.1,439.3,138.1,1290,13.9,3.14,10.7,0.296,0.1,0.522,0,19,0,0,0.052,0,0.378,0.13,0.12,0.19,0.57,0,19,0.052054794520547946,3.2,0.23,0.77,0.23,42.9
1994,365,190.1,73.32,0,21.7,203.4,79.26,445.9,6.42,2.87,3.35,0.498,0.24,0.908,81,38,0,0.22,0.1,0,0.121,0,0,0.14,0.64,0.22,119,0.32602739726027397,3.07,0.45,0.52,0.48,29.6
1995,366,267.7,120,0,30.47,252.9,65.49,706.1,8,2.87,4.91,0.462,0.157,0.794,83,72,0,0.23,0.2,0,0.17,0,0.085,0.14,0.55,0.23,155,0.4246575342465753,3.09,0.36,0.61,0.39,33.5
1996,365,594.7,192.8,0,67.89,442,86.51,1472,13.9,2.92,10.6,0.305,0.0856,0.601,41,6,0,0.11,0.016,0,0.377,0.096,0.21,0.17,0.41,0.11,47,0.12876712328767123,3.3,0.21,0.76,0.24,42.8
1997,365,598.3,192.8,19.63,68.3,431.2,141.8,1376,13.6,2.91,10.6,0.277,0.0968,0.448,0,0,0,0,0,0,0.379,0.1,0.16,0.19,0.54,0,0,0,3,0.21,0.78,0.22,44
1998,365,793.7,192.8,16.67,90.61,770.3,126.2,2698,24.3,4.13,15.6,0.263,0.0611,0.51,0,0,0,0,0,0,0.503,0.3,0.1,0.18,0.41,0,0,0,8.7,0.17,0.64,0.36,32.7
1999,366,697.7,192.8,0,79.43,658.4,181.1,2446,20.8,3.9,13.4,0.28,0.0517,0.517,0,5,0,0,0.014,0,0.442,0.2,0.11,0.22,0.47,0,5,0.0136986301369863,7.4,0.19,0.64,0.36,33.5
2000,365,825.7,192.8,0,94.26,963,181.4,3119,30.4,4.8,17.1,0.256,0.0678,0.538,0,7,0,0,0.019,0,0.524,0.32,0.13,0.19,0.36,0,7,0.019178082191780823,13.3,0.16,0.56,0.44,27.2
2001,365,465.6,144.6,0,53.15,356.4,122.1,894.1,11.2,3.11,8.13,0.331,0.14,0.59,0,40,0,0,0.11,0,0.295,0,0.15,0.22,0.63,0,40,0.1095890410958904,3.07,0.28,0.73,0.27,41.6
2002,365,564.3,192.8,0,64.42,428.5,101.5,1431,13.5,3.09,10.2,0.31,0.0873,0.522,1,45,0,0.0027,0.12,0,0.358,0.09,0.17,0.21,0.53,0.0027,46,0.12602739726027398,3.3,0.23,0.76,0.24,41.8
2003,366,736.8,192.8,22.51,83.88,933.5,153,3951,29.5,4.4,15.3,0.25,0.0416,0.494,0,0,0,0,0,0,0.467,0.27,0.12,0.18,0.43,0,0,0,14.2,0.15,0.52,0.48,25
2004,365,452.2,171.6,0,51.62,351.9,124.8,1019,11.1,3.04,8.06,0.328,0.123,0.577,0,51,0,0,0.14,0,0.287,0.041,0.079,0.29,0.59,0,51,0.13972602739726028,3.04,0.27,0.73,0.27,40.7
2005,365,662.7,192.8,0,75.65,523.8,96.63,1578,16.5,3.22,12.4,0.286,0.0867,0.538,11,25,0,0.03,0.068,0,0.42,0.19,0.12,0.22,0.45,0.03,36,0.09863013698630137,4.1,0.2,0.75,0.25,40.2
2006,365,826.3,192.8,19.77,94.33,893.2,162.3,2588,28.2,4.46,16.8,0.249,0.0715,0.48,0,0,0,0,0,0,0.524,0.33,0.1,0.17,0.39,0,0,0,11.4,0.16,0.6,0.4,29.3
2007,366,774.8,192.8,0,88.21,666.3,189.9,1815,21.1,3.73,14.9,0.264,0.0841,0.479,0,9,0,0,0.025,0,0.491,0.25,0.13,0.18,0.45,0,9,0.024657534246575342,6.2,0.18,0.71,0.29,36.7
2008,365,704.1,192.8,18.64,80.38,625.1,156.5,2307,19.7,3.66,13.3,0.267,0.0614,0.54,0,0,0,0,0,0,0.447,0.18,0.12,0.24,0.46,0,0,0,6.4,0.19,0.68,0.32,35.7
2009,365,808.5,192.8,0,92.3,947.8,176.8,2980,29.9,4.74,16.8,0.256,0.0689,0.514,0,10,0,0,0.027,0,0.513,0.32,0.11,0.18,0.39,0,10,0.0273972602739726,13.1,0.16,0.56,0.44,27
2010,365,871.8,192.8,0,99.52,928.6,197,2940,29.3,4.74,17.8,0.253,0.0738,0.517,0,5,0,0,0.014,0,0.553,0.35,0.11,0.18,0.36,0,5,0.0136986301369863,11.5,0.16,0.61,0.39,29.8
2011,366,620.5,192.8,0,70.64,440.6,145.8,1251,13.9,3,10.9,0.274,0.0999,0.494,0,6,0,0,0.016,0,0.394,0.11,0.12,0.27,0.51,0,6,0.01643835616438356,3,0.22,0.78,0.22,44.6
2012,365,760.7,192.8,17.18,86.84,667,128.6,2389,21,3.48,14.5,0.252,0.0583,0.446,0,0,0,0,0,0,0.482,0.24,0.16,0.17,0.43,0,0,0,6.5,0.17,0.69,0.31,36.2
2013,365,801.8,192.8,23.55,91.53,702.3,158.7,2174,22.1,3.72,15.4,0.246,0.0676,0.537,0,0,0,0,0,0,0.508,0.26,0.16,0.17,0.42,0,0,0,6.7,0.17,0.7,0.3,36.3
2014,365,680,192.8,19.46,77.62,482.6,159.8,1239,15.2,3.09,12.1,0.264,0.104,0.451,0,0,0,0,0,0,0.431,0.14,0.17,0.18,0.51,0,0,0,3.1,0.2,0.8,0.2,44.7
2015,366,705.8,192.8,0,80.35,572.8,126.7,1839,18.1,3.27,13.2,0.26,0.0771,0.471,0,5,0,0,0.014,0,0.448,0.19,0.14,0.22,0.45,0,5,0.0136986301369863,4.9,0.18,0.73,0.27,39
2016,365,763.9,192.8,19.49,87.2,902,149.1,3363,28.4,4.58,15.7,0.259,0.0574,0.535,0,0,0,0,0,0,0.484,0.28,0.11,0.21,0.41,0,0,0,12.7,0.16,0.55,0.45,26.9
2017,365,831.4,192.8,25.09,94.91,883.3,209.3,2900,27.9,4.8,16.7,0.26,0.0748,0.518,0,0,0,0,0,0,0.527,0.31,0.096,0.24,0.35,0,0,0,11.2,0.17,0.6,0.4,29.8
2018,365,403.1,114.1,0,46.02,323.2,106.5,676.9,10.2,3.09,7.05,0.362,0.154,0.676,17,49,0,0.047,0.13,0,0.256,0,0.14,0.19,0.63,0.047,66,0.18082191780821918,3.15,0.3,0.69,0.31,39.5
2019,366,720.2,192.8,0,81.99,836.8,87.06,3226,26.5,4.5,14.9,0.304,0.0674,0.597,41,8,0,0.11,0.022,0,0.457,0.3,0.09,0.15,0.35,0.11,49,0.13424657534246576,11.6,0.17,0.56,0.44,27.2
2020,365,873.9,192.8,0,99.76,831.7,180.3,2393,26.2,4.42,17.4,0.254,0.0618,0.537,0,14,0,0,0.038,0,0.554,0.33,0.13,0.19,0.35,0,14,0.038356164383561646,8.8,0.17,0.66,0.34,33.4
2021,365,725.5,192.8,0,82.82,612.3,193.2,1947,19.3,3.73,13.7,0.276,0.076,0.549,0,12,0,0,0.033,0,0.46,0.21,0.12,0.21,0.46,0,12,0.03287671232876712,5.6,0.19,0.71,0.29,37.6
2022,92,70.82,53.39,20.61,32.07,207.7,166.4,302.8,1.65,0.513,1.14,0.321,0.195,0.439,0,0,0,0,0,0,0.0449,0,0,0.0082,0.24,0,0,0,0.51,0.31,0.69,0.31,42.9
