Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,863.2,29,0.547,0.49,44.7,0.504
0.01,858.6,28.7,0.544,0.46,44.7,0.465
0.02,853.9,28.5,0.542,0.43,44.7,0.427
0.03,849.3,28.2,0.539,0.4,44.7,0.388
0.04,841.5,28,0.534,0.374,44.6,0.346
0.05,832.2,27.8,0.528,0.35,44.5,0.303
0.06,822.8,27.6,0.522,0.326,44.3,0.259
0.07,816.6,27.4,0.518,0.309,44.1,0.224
0.08,816.4,27.3,0.518,0.306,44,0.206
0.09,816.3,27.1,0.518,0.303,43.8,0.188
0.1,816.2,26.9,0.518,0.3,43.6,0.17
0.11,815.4,26.8,0.517,0.294,43.5,0.16
0.12,814.5,26.8,0.517,0.288,43.4,0.15
0.13,813.7,26.7,0.516,0.282,43.3,0.14
0.14,812.9,26.5,0.516,0.28,43.2,0.136
0.15,812.2,26.3,0.515,0.28,43.1,0.136
0.16,811.5,26.1,0.514,0.28,43.1,0.135
0.17,807.3,25.9,0.512,0.276,42.9,0.134
0.18,796.2,25.9,0.505,0.264,42.5,0.133
0.19,785,25.8,0.498,0.252,42.2,0.132
0.2,773.9,25.8,0.491,0.24,41.8,0.132
0.21,773,25.5,0.49,0.237,41.7,0.131
0.22,772,25.2,0.49,0.234,41.7,0.13
0.23,771.1,24.9,0.489,0.231,41.6,0.129
0.24,769.1,24.8,0.488,0.23,41.5,0.124
0.25,766.6,24.7,0.486,0.23,41.3,0.118
0.26,764.1,24.6,0.485,0.23,41.1,0.111
0.27,762,24.4,0.484,0.228,41,0.103
0.28,760.6,23.7,0.483,0.222,40.8,0.0926
0.29,759.3,23,0.482,0.216,40.7,0.0819
0.3,758,22.3,0.481,0.21,40.6,0.0712
0.31,749.3,21.9,0.475,0.21,40.3,0.0704
0.32,740.7,21.5,0.47,0.21,40,0.0696
0.33,732,21,0.464,0.21,39.7,0.0688
0.34,728.5,20.8,0.462,0.21,39.6,0.0636
0.35,727.5,20.6,0.461,0.21,39.5,0.0562
0.36,726.5,20.5,0.46,0.21,39.4,0.0488
0.37,725.7,20.3,0.46,0.21,39.3,0.0419
0.38,725.2,20.1,0.46,0.21,39,0.0362
0.39,724.6,19.9,0.459,0.21,38.8,0.0304
0.4,724.1,19.7,0.459,0.21,38.5,0.0247
0.41,722.6,19.6,0.458,0.204,38.5,0.0238
0.42,721,19.5,0.457,0.198,38.4,0.023
0.43,719.5,19.3,0.456,0.192,38.4,0.0222
0.44,715.2,19.2,0.454,0.19,38.3,0.0219
0.45,709.5,19,0.45,0.19,38.1,0.0219
0.46,703.9,18.8,0.446,0.19,38,0.0219
0.47,699.2,18.7,0.443,0.19,37.9,0.0216
0.48,696.4,18.7,0.442,0.19,37.7,0.0208
0.49,693.7,18.7,0.44,0.19,37.5,0.02
0.5,690.9,18.7,0.438,0.19,37.4,0.0192
0.51,688.7,18.6,0.436,0.187,37.1,0.0134
0.52,686.5,18.5,0.435,0.184,36.9,0.00767
0.53,684.2,18.4,0.433,0.181,36.6,0.00192
0.54,683.5,18.1,0.433,0.18,36.3,0
0.55,683.4,17.7,0.433,0.18,35.9,0
0.56,683.3,17.3,0.433,0.18,35.6,0
0.57,681.9,16.8,0.432,0.18,35.3,0
0.58,677.9,16.3,0.43,0.18,35.2,0
0.59,673.8,15.7,0.427,0.18,35,0
0.6,669.8,15.2,0.425,0.18,34.8,0
0.61,658.8,15.1,0.418,0.177,34.8,0
0.62,647.7,15.1,0.411,0.174,34.7,0
0.63,636.7,15,0.403,0.171,34.7,0
0.64,628.4,14.8,0.398,0.17,34.7,0
0.65,621.6,14.4,0.394,0.17,34.7,0
0.66,614.8,14,0.39,0.17,34.6,0
0.67,607.7,13.8,0.385,0.17,34.5,0
0.68,600.1,13.7,0.381,0.17,34,0
0.69,592.6,13.7,0.376,0.17,33.6,0
0.7,585,13.6,0.371,0.17,33.2,0
0.71,584.9,13.6,0.371,0.17,32.6,0
0.72,584.8,13.5,0.371,0.17,32,0
0.73,584.7,13.5,0.371,0.17,31.4,0
0.74,580.2,13.4,0.368,0.17,31.1,0
0.75,573.4,13.2,0.363,0.17,31,0
0.76,566.5,13,0.359,0.17,30.9,0
0.77,559.7,12.9,0.355,0.17,30.8,0
0.78,553,12.9,0.35,0.17,30.7,0
0.79,546.2,12.9,0.346,0.17,30.6,0
0.8,539.4,12.9,0.342,0.17,30.5,0
0.81,511.8,12.3,0.325,0.17,30.4,0
0.82,484.2,11.7,0.307,0.17,30.4,0
0.83,456.6,11.1,0.29,0.17,30.3,0
0.84,438.6,10.8,0.278,0.168,30.1,0
0.85,425.5,10.6,0.27,0.165,29.8,0
0.86,412.3,10.3,0.262,0.162,29.5,0
0.87,401.6,10.2,0.255,0.16,29.2,0
0.88,396,10.1,0.251,0.16,28.8,0
0.89,390.3,10,0.248,0.16,28.5,0
0.9,384.7,9.98,0.244,0.16,28.1,0
0.91,338.9,9.21,0.215,0.16,28.1,0
0.92,293,8.45,0.186,0.16,28,0
0.93,247.2,7.68,0.157,0.16,28,0
0.94,217.1,7.11,0.138,0.16,27.8,0
0.95,195,6.64,0.124,0.16,27.5,0
0.96,172.8,6.17,0.109,0.16,27.2,0
0.97,149.4,5.43,0.0946,0.159,26.9,0
0.98,123.6,4.15,0.0782,0.156,26.6,0
0.99,97.76,2.88,0.0619,0.153,26.2,0
1,71.94,1.61,0.0456,0.15,25.9,0
