Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,2790,192,143000,25.6,1100,25.4,0.936,1.87,0.95,0.89,1,50.3,1
0.01,2410,190,140000,25.6,1100,25.4,0.936,1.87,0.771,0.874,1,49.9,1
0.02,2280,188,137000,25.6,1100,25.4,0.936,1.87,0.66,0.87,0.987,49.7,1
0.03,2090,187,136000,25.6,1100,25.4,0.936,1.87,0.615,0.87,0.865,49.4,1
0.04,1930,184,134000,25.6,1100,25.4,0.935,1.87,0.59,0.866,0.742,49.2,1
0.05,1780,181,134000,25.6,1100,25.4,0.935,1.87,0.561,0.86,0.611,48.9,0.836
0.06,1700,180,132000,25.6,1100,25.4,0.935,1.84,0.5,0.86,0.575,48.7,0.635
0.07,1620,180,131000,25.5,1090,25.4,0.935,1.81,0.47,0.859,0.559,48.6,0.452
0.08,1530,179,130000,25.5,1080,25.4,0.934,1.74,0.47,0.85,0.523,48.5,0.324
0.09,1490,177,128000,25.5,1070,25.4,0.934,1.71,0.46,0.85,0.507,48.2,0.226
0.1,1420,175,126000,25.5,1060,25.4,0.934,1.68,0.451,0.84,0.49,48,0.197
0.11,1370,173,124000,25.5,1050,25.4,0.934,1.66,0.45,0.84,0.475,47.7,0.133
0.12,1320,172,123000,25.5,1040,25.4,0.934,1.61,0.45,0.83,0.47,47.3,0.0332
0.13,1260,167,122000,25.5,1020,25.4,0.934,1.55,0.44,0.83,0.46,47.1,0
0.14,1200,165,119000,25.5,1000,25.4,0.933,1.45,0.437,0.827,0.45,46.9,0
0.15,1150,165,117000,25.5,935,25.4,0.933,1.35,0.43,0.82,0.45,46.8,0
0.16,1080,162,117000,25.5,895,25.4,0.933,1.25,0.42,0.82,0.45,46.6,0
0.17,995,157,112000,25.5,861,25.4,0.933,1.15,0.42,0.81,0.44,46.5,0
0.18,944,155,111000,25.5,805,25.4,0.933,1.05,0.42,0.81,0.44,46.2,0
0.19,902,149,108000,25.5,769,25.3,0.933,0.986,0.41,0.81,0.43,46.1,0
0.2,881,146,107000,25.5,751,25.3,0.932,0.956,0.402,0.8,0.422,45.9,0
0.21,840,141,101000,25.5,719,25.3,0.932,0.909,0.4,0.8,0.42,45.9,0
0.22,814,135,98100,25.5,673,25.3,0.932,0.839,0.39,0.8,0.42,45.6,0
0.23,805,132,94700,25.5,659,25.3,0.932,0.807,0.39,0.8,0.414,45.5,0
0.24,796,131,93800,25.5,653,25.3,0.932,0.798,0.38,0.79,0.41,45.4,0
0.25,779,128,92100,25.5,639,25.3,0.931,0.778,0.38,0.79,0.4,45.2,0
0.26,763,127,90000,25.5,629,25.3,0.931,0.769,0.37,0.79,0.4,45.1,0
0.27,731,123,88000,25.5,611,25.3,0.93,0.752,0.37,0.78,0.39,45,0
0.28,700,118,83500,25.5,581,25.3,0.93,0.713,0.37,0.78,0.39,44.9,0
0.29,679,116,81700,25.5,561,25.3,0.93,0.681,0.37,0.77,0.38,44.6,0
0.3,656,113,79600,25.5,546,25.3,0.929,0.656,0.36,0.77,0.38,44.6,0
0.31,645,109,78200,25.5,523,25.2,0.929,0.613,0.36,0.76,0.37,44.5,0
0.32,600,101,75000,25.4,490,25.2,0.928,0.584,0.36,0.76,0.37,44.4,0
0.33,581,95.4,69700,25.4,453,25.1,0.927,0.547,0.35,0.75,0.37,44.3,0
0.34,540,92,65200,25.4,441,25.1,0.927,0.515,0.35,0.75,0.37,44.1,0
0.35,535,88.9,64200,25.3,417,25.1,0.926,0.504,0.35,0.743,0.363,43.9,0
0.36,530,87,63600,25.3,409,25.1,0.926,0.497,0.35,0.74,0.36,43.7,0
0.37,521,85.7,61800,25.3,399,25,0.925,0.485,0.34,0.73,0.36,43.3,0
0.38,517,82.2,60500,25.3,388,25,0.925,0.473,0.34,0.73,0.36,43,0
0.39,505,80.2,56400,25.2,373,25,0.925,0.444,0.34,0.73,0.35,42.7,0
0.4,497,74.9,55300,25.2,352,24.9,0.924,0.43,0.34,0.72,0.35,42.5,0
0.41,483,73.7,54600,25.2,342,24.9,0.924,0.418,0.33,0.71,0.35,42.2,0
0.42,465,71.9,53300,25.2,337,24.9,0.923,0.405,0.33,0.71,0.35,41.9,0
0.43,452,68.2,50500,25.1,318,24.8,0.923,0.389,0.32,0.71,0.35,41.7,0
0.44,426,66.9,49400,25.1,310,24.8,0.922,0.375,0.31,0.7,0.34,41.5,0
0.45,395,63.4,47000,25.1,290,24.7,0.922,0.354,0.305,0.7,0.34,41.4,0
0.46,386,59.4,43000,25,270,24.7,0.922,0.339,0.3,0.7,0.34,41.1,0
0.47,370,55.7,41400,25,256,24.7,0.921,0.335,0.3,0.69,0.34,40.9,0
0.48,367,54.8,40500,24.9,251,24.6,0.921,0.329,0.29,0.69,0.33,40.8,0
0.49,361,53.1,39200,24.9,243,24.6,0.921,0.324,0.29,0.68,0.33,40.5,0
0.5,350,51.4,38200,24.9,233,24.5,0.921,0.322,0.29,0.675,0.325,40.2,0
0.51,341,49.4,36800,24.8,223,24.5,0.921,0.321,0.28,0.67,0.32,40.1,0
0.52,336,48.1,35800,24.8,217,24.4,0.92,0.319,0.273,0.67,0.31,39.9,0
0.53,322,46.9,34900,24.8,213,24.4,0.919,0.317,0.27,0.66,0.31,39.8,0
0.54,313,45.7,33900,24.7,208,24.3,0.919,0.312,0.26,0.66,0.3,39.7,0
0.55,306,44.1,32800,24.6,198,24.3,0.919,0.31,0.25,0.66,0.3,39.3,0
0.56,296,43.7,32400,24.5,197,24.1,0.918,0.309,0.25,0.66,0.3,39.2,0
0.57,289,42.1,31300,24.4,186,24,0.918,0.306,0.244,0.65,0.29,39.1,0
