Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,819.8,22,0.52,0.59,44.6,0.647
0.01,814.2,22,0.516,0.569,44.4,0.637
0.02,808.6,22,0.513,0.548,44.1,0.627
0.03,803,22,0.509,0.527,43.9,0.617
0.04,797.8,22,0.506,0.494,43.7,0.57
0.05,793,22,0.503,0.455,43.5,0.504
0.06,788.1,22,0.5,0.416,43.3,0.438
0.07,784.3,22,0.498,0.387,43.2,0.388
0.08,783,21.9,0.497,0.378,43,0.37
0.09,781.6,21.9,0.496,0.369,42.9,0.352
0.1,780.3,21.8,0.495,0.36,42.8,0.334
0.11,775,21.7,0.492,0.351,42.7,0.328
0.12,769.8,21.6,0.488,0.342,42.6,0.321
0.13,764.5,21.4,0.485,0.333,42.4,0.315
0.14,762.3,21.3,0.484,0.33,42.4,0.301
0.15,761.5,21.3,0.483,0.33,42.4,0.285
0.16,760.6,21.2,0.482,0.33,42.4,0.268
0.17,755.9,21.1,0.479,0.329,42.4,0.257
0.18,743.5,20.9,0.472,0.326,42.4,0.256
0.19,731.1,20.8,0.464,0.323,42.3,0.256
0.2,718.6,20.6,0.456,0.32,42.3,0.255
0.21,715.8,20.2,0.454,0.32,42.3,0.239
0.22,713,19.7,0.452,0.32,42.3,0.224
0.23,710.1,19.3,0.451,0.32,42.3,0.208
0.24,707.5,18.9,0.449,0.316,42.3,0.202
0.25,704.9,18.6,0.447,0.31,42.3,0.201
0.26,702.2,18.4,0.445,0.304,42.3,0.201
0.27,700.4,18.1,0.444,0.298,42.3,0.199
0.28,699.9,17.8,0.444,0.292,42.1,0.197
0.29,699.5,17.5,0.443,0.286,42,0.194
0.3,699,17.2,0.443,0.28,41.9,0.192
0.31,684.8,17,0.434,0.274,41.9,0.188
0.32,670.6,16.7,0.425,0.268,41.9,0.184
0.33,656.3,16.5,0.416,0.262,41.9,0.179
0.34,650,16.4,0.412,0.258,41.9,0.176
0.35,647.6,16.3,0.41,0.255,41.8,0.174
0.36,645.2,16.2,0.409,0.252,41.8,0.172
0.37,640.8,16.1,0.406,0.25,41.7,0.169
0.38,632.4,15.6,0.401,0.25,41.4,0.167
0.39,624,15.2,0.395,0.25,41.2,0.164
0.4,615.6,14.8,0.39,0.25,40.9,0.162
0.41,613.5,14.5,0.389,0.244,40.7,0.157
0.42,611.4,14.3,0.388,0.238,40.5,0.152
0.43,609.3,14,0.386,0.232,40.4,0.147
0.44,608,13.9,0.386,0.23,40.3,0.144
0.45,607.2,13.9,0.385,0.23,40.3,0.141
0.46,606.3,13.8,0.384,0.23,40.2,0.139
0.47,602.9,13.8,0.382,0.228,40.1,0.133
0.48,594.3,13.7,0.377,0.222,40,0.123
0.49,585.8,13.6,0.371,0.216,39.8,0.112
0.5,577.2,13.5,0.366,0.21,39.6,0.101
0.51,566.7,13.3,0.359,0.21,39.4,0.0792
0.52,556.2,13.1,0.353,0.21,39.2,0.057
0.53,545.7,12.9,0.346,0.21,39,0.0348
0.54,540.5,12.8,0.343,0.208,38.6,0.0252
0.55,538,12.7,0.341,0.205,38.1,0.0219
0.56,535.6,12.6,0.34,0.202,37.6,0.0186
0.57,528.7,12.5,0.336,0.2,37.3,0.0156
0.58,513.3,12.1,0.326,0.2,37.1,0.0132
0.59,497.8,11.8,0.316,0.2,37,0.0107
0.6,482.3,11.4,0.306,0.2,36.9,0.00822
0.61,479.8,11.4,0.304,0.197,36.8,0.00575
0.62,477.3,11.3,0.303,0.194,36.8,0.00329
0.63,474.8,11.3,0.301,0.191,36.7,0.000822
0.64,474,11.3,0.301,0.19,36.5,0
0.65,473.9,11.3,0.301,0.19,36.3,0
0.66,473.9,11.2,0.301,0.19,36,0
0.67,468.4,11.1,0.297,0.19,35.8,0
0.68,452.1,10.9,0.287,0.19,35.8,0
0.69,435.8,10.6,0.277,0.19,35.7,0
0.7,419.4,10.4,0.266,0.19,35.7,0
0.71,407.3,10.2,0.259,0.187,35.6,0
0.72,395.3,9.91,0.251,0.184,35.6,0
0.73,383.2,9.66,0.244,0.181,35.5,0
0.74,371.1,9.48,0.236,0.18,35.5,0
0.75,359,9.33,0.228,0.18,35.5,0
0.76,347,9.18,0.22,0.18,35.4,0
0.77,338.2,9.07,0.215,0.18,35.4,0
0.78,336.2,9.05,0.213,0.18,35.2,0
0.79,334.1,9.03,0.212,0.18,35.1,0
0.8,332.1,9.01,0.211,0.18,35,0
0.81,325.1,8.9,0.206,0.18,34.9,0
0.82,318.2,8.79,0.202,0.18,34.8,0
0.83,311.2,8.69,0.198,0.18,34.6,0
0.84,305.4,8.55,0.194,0.178,34.5,0
0.85,300.3,8.4,0.191,0.175,34.4,0
0.86,295.1,8.24,0.187,0.172,34.2,0
0.87,289.1,8.11,0.183,0.17,34.1,0
0.88,281.4,8,0.179,0.17,34.1,0
0.89,273.8,7.9,0.174,0.17,34,0
0.9,266.2,7.8,0.169,0.17,34,0
0.91,224.4,7.1,0.142,0.17,33.3,0
0.92,182.6,6.41,0.116,0.17,32.7,0
0.93,140.8,5.71,0.0893,0.17,32,0
0.94,119.2,5.34,0.0756,0.17,30.1,0
0.95,107.6,5.14,0.0683,0.17,27.5,0
0.96,96.05,4.94,0.0609,0.17,24.9,0
0.97,85.09,4.45,0.0539,0.17,22.7,0
0.98,75.34,3.41,0.0478,0.17,21.3,0
0.99,65.59,2.36,0.0416,0.17,19.8,0
1,55.84,1.32,0.0354,0.17,18.4,0
