Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,2550,192,143000,25.6,1100,25.5,0.938,1.87,1,0.89,1,49.7,1
0.01,1930,191,138000,25.6,1100,25.4,0.936,1.87,0.964,0.87,1,49.6,1
0.02,1760,187,136000,25.6,1100,25.4,0.936,1.87,0.845,0.868,1,49.4,1
0.03,1640,183,135000,25.6,1100,25.4,0.935,1.83,0.77,0.86,1,49,1
0.04,1470,181,133000,25.6,1100,25.4,0.935,1.8,0.713,0.85,1,48.4,1
0.05,1380,179,132000,25.6,1070,25.4,0.935,1.72,0.661,0.841,0.95,48.1,1
0.06,1340,177,129000,25.6,1050,25.4,0.935,1.65,0.629,0.84,0.899,47.8,1
0.07,1290,175,128000,25.5,1020,25.4,0.934,1.56,0.599,0.84,0.859,47.6,1
0.08,1270,172,125000,25.5,969,25.4,0.934,1.46,0.583,0.84,0.773,47.4,1
0.09,1130,168,120000,25.5,941,25.4,0.934,1.36,0.567,0.83,0.712,47.1,1
0.1,1090,160,118000,25.5,855,25.4,0.934,1.22,0.55,0.83,0.64,46.9,0.936
0.11,1010,159,116000,25.5,847,25.4,0.934,1.16,0.53,0.82,0.605,46.8,0.837
0.12,954,156,114000,25.5,819,25.4,0.933,1.08,0.52,0.82,0.58,46.6,0.674
0.13,930,151,109000,25.5,784,25.4,0.933,1.03,0.493,0.81,0.533,46.6,0.587
0.14,835,142,103000,25.5,717,25.4,0.933,0.891,0.48,0.81,0.51,46.5,0.496
0.15,812,135,97300,25.5,676,25.4,0.933,0.851,0.48,0.801,0.48,46.2,0.424
0.16,772,130,94100,25.5,645,25.4,0.933,0.792,0.466,0.8,0.48,45.9,0.276
0.17,745,122,89900,25.5,598,25.4,0.933,0.735,0.45,0.8,0.46,45.7,0.226
0.18,723,121,87200,25.5,594,25.4,0.932,0.725,0.45,0.794,0.454,45.5,0.194
0.19,694,120,85400,25.5,585,25.4,0.932,0.694,0.44,0.79,0.45,45.4,0.129
0.2,684,116,83000,25.5,563,25.4,0.931,0.682,0.44,0.79,0.44,45.2,0.04
0.21,662,113,79900,25.5,551,25.4,0.931,0.665,0.43,0.78,0.44,45.1,0
0.22,653,108,78000,25.5,522,25.4,0.93,0.631,0.42,0.78,0.43,45,0
0.23,626,103,74500,25.5,502,25.4,0.929,0.597,0.42,0.78,0.43,45,0
0.24,586,96.3,69600,25.5,460,25.4,0.929,0.549,0.418,0.77,0.42,44.8,0
0.25,548,93.9,67300,25.5,444,25.4,0.928,0.53,0.41,0.77,0.42,44.8,0
0.26,539,90,65000,25.5,425,25.4,0.927,0.516,0.4,0.77,0.41,44.7,0
0.27,530,86.1,62100,25.5,409,25.4,0.927,0.487,0.4,0.76,0.4,44.6,0
0.28,520,84.1,61100,25.5,395,25.4,0.926,0.466,0.395,0.76,0.4,44.5,0
0.29,493,79.3,57000,25.5,370,25.3,0.925,0.453,0.39,0.75,0.4,44.5,0
0.3,484,75.1,54100,25.5,348,25.3,0.924,0.419,0.39,0.75,0.4,44.3,0
0.31,470,72.4,52700,25.5,335,25.3,0.924,0.402,0.38,0.747,0.39,44.1,0
0.32,454,69.7,51000,25.5,324,25.3,0.923,0.397,0.38,0.74,0.39,44,0
0.33,437,68.2,50100,25.5,318,25.3,0.923,0.397,0.38,0.73,0.38,43.8,0
0.34,423,67.3,49700,25.5,312,25.3,0.922,0.387,0.37,0.73,0.38,43.5,0
0.35,409,67,47100,25.5,308,25.3,0.922,0.376,0.37,0.72,0.38,43.3,0
0.36,401,64.1,45900,25.5,296,25.3,0.922,0.367,0.36,0.72,0.37,42.9,0
0.37,387,61.7,45000,25.5,284,25.3,0.921,0.351,0.36,0.712,0.37,42.8,0
0.38,380,60.9,43100,25.5,279,25.3,0.921,0.345,0.36,0.71,0.36,42.6,0
0.39,371,58.1,41900,25.5,268,25.2,0.921,0.339,0.36,0.71,0.36,42.2,0
0.4,366,56.8,41300,25.5,261,25.2,0.92,0.333,0.35,0.7,0.36,42,0
0.41,354,53.5,39400,25.4,246,25.2,0.92,0.327,0.35,0.7,0.36,41.7,0
0.42,349,52.2,38200,25.4,239,25.1,0.92,0.324,0.35,0.7,0.36,41.5,0
0.43,337,51.2,37000,25.4,232,25.1,0.92,0.32,0.35,0.69,0.35,41.3,0
0.44,332,49.4,35200,25.4,223,25.1,0.92,0.319,0.34,0.69,0.35,41.1,0
0.45,328,47.2,34000,25.3,214,25.1,0.919,0.316,0.34,0.69,0.35,40.9,0
0.46,311,44.8,33300,25.3,200,25,0.919,0.314,0.339,0.69,0.35,40.8,0
0.47,306,42.6,31600,25.3,191,25,0.918,0.31,0.33,0.68,0.34,40.5,0
0.48,294,41.8,31100,25.3,188,25,0.917,0.304,0.327,0.68,0.34,40.3,0
0.49,288,41.3,30200,25.2,184,25,0.917,0.301,0.32,0.67,0.34,40.2,0
0.5,278,39.9,29700,25.2,179,24.9,0.916,0.297,0.32,0.67,0.33,40.1,0
0.51,270,39.1,29100,25.1,175,24.8,0.916,0.29,0.31,0.66,0.33,40,0
0.52,264,38.4,28600,25.1,170,24.8,0.916,0.288,0.31,0.66,0.32,39.8,0
0.53,259,37.8,28100,25.1,167,24.8,0.915,0.285,0.31,0.66,0.32,39.8,0
0.54,254,37.6,28000,25,167,24.7,0.914,0.283,0.31,0.65,0.31,39.5,0
0.55,249,36.8,27100,25,164,24.6,0.914,0.278,0.3,0.65,0.31,39.3,0
0.56,245,35.6,26500,24.9,157,24.6,0.913,0.267,0.3,0.65,0.31,39.1,0
0.57,239,34.1,25400,24.9,152,24.6,0.912,0.263,0.29,0.65,0.31,38.9,0
0.58,235,33.5,24400,24.9,149,24.5,0.91,0.256,0.29,0.64,0.3,38.8,0
0.59,226,32.5,24000,24.8,144,24.5,0.908,0.245,0.28,0.64,0.3,38.7,0
0.6,223,31.2,22700,24.8,140,24.4,0.905,0.24,0.28,0.64,0.3,38.5,0
0.61,219,30.2,22200,24.7,136,24.4,0.904,0.233,0.27,0.64,0.29,38.3,0
0.62,215,29.9,21700,24.7,134,24.4,0.903,0.226,0.27,0.64,0.29,38,0
0.63,210,29.1,21200,24.7,133,24.3,0.902,0.224,0.26,0.63,0.288,37.6,0
0.64,205,28.5,20800,24.6,130,24.3,0.9,0.221,0.26,0.63,0.28,37.4,0
0.65,204,28.2,20500,24.6,128,24.2,0.899,0.218,0.25,0.62,0.28,37.4,0
0.66,202,27.4,20000,24.5,126,24.1,0.898,0.211,0.241,0.62,0.27,37.2,0
0.67,198,26.8,19400,24.4,124,24.1,0.897,0.209,0.24,0.62,0.27,37,0
0.68,193,26.4,19100,24.4,122,24,0.895,0.202,0.23,0.61,0.26,36.8,0
0.69,192,26,18900,24.3,119,23.9,0.895,0.2,0.23,0.61,0.253,36.4,0
0.7,191,25.3,18300,24.2,117,23.8,0.894,0.198,0.22,0.6,0.25,35.8,0
0.71,188,24.6,18000,24.2,116,23.8,0.892,0.194,0.22,0.6,0.25,35.5,0
0.72,184,24.1,17900,24.1,112,23.6,0.892,0.187,0.22,0.6,0.24,34.8,0
0.73,180,23.9,17500,24,110,23.5,0.892,0.185,0.21,0.6,0.24,34.7,0
0.74,178,23.3,17300,24,109,23.5,0.89,0.18,0.21,0.59,0.23,34.4,0
0.75,177,23.2,17100,23.9,108,23.4,0.889,0.179,0.207,0.58,0.23,33.7,0
0.76,173,22.3,16600,23.8,105,23.2,0.889,0.176,0.2,0.58,0.23,33.2,0
0.77,169,22,16300,23.6,105,23,0.888,0.173,0.2,0.57,0.22,32.9,0
0.78,167,21.1,15400,23.5,101,22.9,0.886,0.17,0.19,0.57,0.22,31,0
0.79,163,20.8,15100,23.5,99.7,22.8,0.886,0.163,0.19,0.56,0.22,30.2,0
