date,waterYear,waterMonth,energy
1993-01-01,1992,4,0
1993-01-02,1992,4,0
1993-01-03,1992,4,0
1993-01-04,1992,4,0
1993-01-05,1992,4,0
1993-01-06,1992,4,334.49974265679657
1993-01-07,1992,4,336.5079088734885
1993-01-08,1992,4,330.6391762034684
1993-01-09,1992,4,348.35724409684275
1993-01-10,1992,4,358.36924479517654
1993-01-11,1992,4,364.41086255625214
1993-01-12,1992,4,362.34375868517645
1993-01-13,1992,4,368.4094302430593
1993-01-14,1992,4,399.2797381378041
1993-01-15,1992,4,401.42055033642566
1993-01-16,1992,4,399.2797381378041
1993-01-17,1992,4,405.1406569873382
1993-01-18,1992,4,409.0353153605431
1993-01-19,1992,4,420.88074524410115
1993-01-20,1992,4,452.135643223328
1993-01-21,1992,4,475.15669530749585
1993-01-22,1992,4,487.26686655244464
1993-01-23,1992,4,504.6724878669616
1993-01-24,1992,4,543.4923119085904
1993-01-25,1992,4,576.4448710798788
1993-01-26,1992,4,612.8743439293228
1993-01-27,1992,4,646.469095422551
1993-01-28,1992,4,673.7365324831331
1993-01-29,1992,4,693.5971481179622
1993-01-30,1992,4,716.0720049302893
1993-01-31,1992,4,738.5758203148729
1993-02-01,1992,5,705.2880319155022
1993-02-02,1992,5,736.7077294117358
1993-02-03,1992,5,768.2404341839009
1993-02-04,1992,5,799.7775726055934
1993-02-05,1992,5,839.8766988219124
1993-02-06,1992,5,884.2320187880166
1993-02-07,1992,5,931.5314034514024
1993-02-08,1992,5,988.8835254469744
1993-02-09,1992,5,1048.1174910660611
1993-02-10,1992,5,1104.0977030370225
1993-02-11,1992,5,1156.8000000000002
1993-02-12,1992,5,1156.8000000000002
1993-02-13,1992,5,1249.0445561126567
1993-02-14,1992,5,1331.7198752929444
1993-02-15,1992,5,1418.265626394996
1993-02-16,1992,5,1510.3645575976755
1993-02-17,1992,5,1607.2229149873579
1993-02-18,1992,5,1708.5264886860896
1993-02-19,1992,5,1825.380996941948
1993-02-20,1992,5,1949.6923462072064
1993-02-21,1992,5,2056.667601716437
1993-02-22,1992,5,2164.625717934443
1993-02-23,1992,5,2286.3083856736503
1993-02-24,1992,5,2313.6000000000004
1993-02-25,1992,5,2485.57996326134
1993-02-26,1992,5,2622.945389806028
1993-02-27,1992,5,2773.143379690513
1993-02-28,1992,5,2927.6938887642123
1993-03-01,1992,6,2954.8742447863783
1993-03-02,1992,6,3074.723441267977
1993-03-03,1992,6,3203.6980334945156
1993-03-04,1992,6,3298.756893709257
1993-03-05,1992,6,3390.4388695670687
1993-03-06,1992,6,3470.4000000000005
1993-03-07,1992,6,3470.4000000000005
1993-03-08,1992,6,3709.234618332669
1993-03-09,1992,6,3829.9929296078362
1993-03-10,1992,6,3951.3291635034825
1993-03-11,1992,6,3967.277577558484
1993-03-12,1992,6,4086.338848387434
1993-03-13,1992,6,4226.238267291663
1993-03-14,1992,6,4365.973829433973
1993-03-15,1992,6,4516.340341088779
1993-03-16,1992,6,4627.200000000001
1993-03-17,1992,6,4627.200000000001
1993-03-18,1992,6,4627.200000000001
1993-03-19,1992,6,4627.200000000001
1993-03-20,1992,6,4608.338901835545
1993-03-21,1992,6,4582.851282521151
1993-03-22,1992,6,4551.89974040286
1993-03-23,1992,6,4519.565346537555
1993-03-24,1992,6,4490.125680069948
1993-03-25,1992,6,4460.518797704629
1993-03-26,1992,6,4431.254411232812
1993-03-27,1992,6,4407.158763792544
1993-03-28,1992,6,4382.889095552421
1993-03-29,1992,6,4358.437365857173
1993-03-30,1992,6,4339.101267202293
1993-03-31,1992,6,4324.846570671951
1993-04-01,1992,7,4303.3717893161065
1993-04-02,1992,7,4289.337592633083
1993-04-03,1992,7,4280.899636076358
1993-04-04,1992,7,4272.43868857961
1993-04-05,1992,7,4258.308107071273
1993-04-06,1992,7,4244.133047631453
1993-04-07,1992,7,4229.9053033859145
1993-04-08,1992,7,4215.633195354094
1993-04-09,1992,7,4201.325032685194
1993-04-10,1992,7,4186.964357331204
1993-04-11,1992,7,4172.559481849801
1993-04-12,1992,7,4152.330706304251
1993-04-13,1992,7,4132.013567191182
1993-04-14,1992,7,4111.616455386104
1993-04-15,1992,7,4092.2698836192094
1993-04-16,1992,7,4081.34526183316
1993-04-17,1992,7,4074.781987984311
