Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,7510,191,142000,25.6,1100,25.4,0.937,1.87,0.47,0.87,0.85,50.4,1
0.01,7060,186,135000,25.6,1100,25.4,0.935,1.87,0.45,0.87,0.844,49.7,1
0.02,6640,180,131000,25.6,1100,25.4,0.935,1.87,0.44,0.868,0.83,49.6,0.871
0.03,5940,177,128000,25.5,1100,25.4,0.935,1.87,0.44,0.86,0.812,49.3,0.834
0.04,5720,176,127000,25.5,1100,25.3,0.934,1.87,0.44,0.85,0.81,49,0.669
0.05,5340,173,127000,25.5,1100,25.3,0.934,1.87,0.43,0.85,0.791,48.9,0.452
0.06,5140,172,125000,25.5,1100,25.3,0.934,1.87,0.42,0.84,0.785,48.4,0.419
0.07,4830,172,125000,25.4,1100,25.2,0.934,1.87,0.42,0.839,0.77,48.2,0.361
0.08,4730,171,124000,25.4,1100,25.2,0.934,1.87,0.41,0.83,0.77,47.8,0.276
0.09,4440,170,122000,25.4,1100,25.1,0.934,1.87,0.407,0.83,0.75,47.6,0.218
0.1,4210,168,121000,25.3,1100,25.1,0.934,1.87,0.4,0.82,0.74,47.4,0.132
0.11,3860,168,120000,25.3,1100,25.1,0.933,1.87,0.4,0.81,0.715,47.3,0.0165
0.12,3690,166,119000,25.3,1100,25.1,0.933,1.87,0.39,0.81,0.7,47.2,0
0.13,3570,164,118000,25.3,1100,25,0.933,1.87,0.39,0.8,0.69,47,0
0.14,3450,162,117000,25.3,1100,25,0.933,1.87,0.38,0.79,0.68,46.7,0
0.15,3270,161,116000,25.3,1100,25,0.933,1.87,0.38,0.781,0.66,46.4,0
0.16,3020,161,115000,25.2,1100,24.9,0.933,1.87,0.38,0.78,0.636,45.7,0
0.17,2950,159,113000,25.2,1100,24.9,0.932,1.87,0.38,0.77,0.63,45.5,0
0.18,2740,157,113000,25.2,1100,24.9,0.932,1.86,0.38,0.77,0.6,44.9,0
0.19,2730,155,112000,25.2,1100,24.9,0.932,1.86,0.37,0.768,0.6,44.7,0
0.2,2600,153,110000,25.1,1100,24.8,0.932,1.86,0.37,0.76,0.574,44.5,0
0.21,2380,152,109000,25.1,1100,24.8,0.931,1.85,0.37,0.76,0.54,44.3,0
0.22,2310,152,109000,25.1,1100,24.8,0.931,1.85,0.36,0.75,0.52,43.9,0
0.23,2190,147,108000,25.1,1100,24.8,0.931,1.84,0.36,0.74,0.504,43.2,0
0.24,2140,146,105000,25.1,1100,24.7,0.93,1.82,0.35,0.74,0.49,42.7,0
0.25,2090,145,104000,25,1100,24.7,0.929,1.8,0.35,0.73,0.48,42.4,0
0.26,1930,143,102000,25,1100,24.7,0.929,1.8,0.347,0.73,0.47,42.1,0
0.27,1820,140,100000,25,1090,24.7,0.928,1.79,0.34,0.73,0.45,41.5,0
0.28,1740,138,99000,24.9,1080,24.6,0.928,1.75,0.33,0.73,0.44,41.1,0
0.29,1670,135,97700,24.9,1070,24.6,0.927,1.73,0.33,0.729,0.44,41,0
0.3,1570,132,96400,24.8,1050,24.5,0.927,1.69,0.32,0.72,0.44,40.5,0
0.31,1470,131,94500,24.8,1040,24.5,0.927,1.66,0.32,0.71,0.437,40.3,0
0.32,1440,128,92700,24.7,1010,24.4,0.926,1.59,0.31,0.71,0.421,39.8,0
0.33,1390,126,91100,24.7,997,24.4,0.926,1.52,0.31,0.705,0.42,39.8,0
0.34,1270,122,86800,24.7,959,24.3,0.926,1.47,0.3,0.7,0.41,39.7,0
0.35,1230,116,85800,24.6,922,24.3,0.925,1.36,0.29,0.69,0.41,39.5,0
0.36,1150,115,83700,24.5,889,24.2,0.925,1.28,0.29,0.69,0.4,39.4,0
0.37,1120,112,82900,24.5,871,24.1,0.924,1.23,0.282,0.69,0.4,39.3,0
0.38,1060,110,79700,24.4,850,24.1,0.924,1.2,0.276,0.68,0.4,39.2,0
0.39,1020,107,79000,24.4,837,24,0.924,1.15,0.27,0.68,0.39,39.1,0
0.4,984,104,77300,24.3,796,23.9,0.923,1.04,0.27,0.67,0.39,39,0
0.41,939,103,75200,24.3,758,23.9,0.923,0.994,0.26,0.67,0.388,38.9,0
0.42,893,101,74300,24.2,738,23.8,0.923,0.964,0.26,0.67,0.38,38.8,0
0.43,870,99,73400,24.1,710,23.7,0.923,0.912,0.256,0.66,0.38,38.7,0
0.44,815,94.7,70100,24,686,23.5,0.922,0.859,0.24,0.66,0.38,38.6,0
0.45,780,91.9,68400,23.9,596,23.4,0.922,0.739,0.24,0.65,0.38,38.5,0
0.46,753,87.7,65300,23.8,572,23.3,0.922,0.697,0.23,0.65,0.38,38.5,0
0.47,722,85.1,61800,23.8,552,23.3,0.922,0.685,0.23,0.643,0.373,38.2,0
0.48,696,81.2,60400,23.7,538,23.1,0.921,0.656,0.227,0.64,0.37,38.2,0
0.49,666,80.1,59000,23.6,511,23,0.921,0.63,0.211,0.63,0.37,38,0
0.5,650,78.8,58400,23.5,491,23,0.921,0.597,0.21,0.63,0.37,38,0
0.51,630,77.4,56500,23.4,476,22.8,0.92,0.567,0.2,0.63,0.37,37.8,0
0.52,613,75,55700,23.3,455,22.7,0.92,0.55,0.2,0.63,0.36,37.6,0
0.53,590,72.4,52900,23.2,430,22.6,0.92,0.518,0.19,0.627,0.357,37.3,0
0.54,576,69.1,51000,23.1,420,22.4,0.92,0.509,0.19,0.62,0.35,37.2,0
0.55,560,65.8,48900,23,392,22.3,0.919,0.472,0.18,0.62,0.35,37,0
0.56,538,64.7,47700,22.9,376,22.1,0.919,0.46,0.17,0.62,0.34,36.8,0
0.57,513,63.7,46700,22.6,370,21.7,0.919,0.445,0.17,0.62,0.34,36.4,0
0.58,485,62.3,46200,22.6,359,21.6,0.918,0.437,0.16,0.62,0.33,36.3,0
0.59,470,61,44800,22.4,353,21.4,0.918,0.411,0.16,0.612,0.33,36,0
0.6,462,59.2,43600,22.3,330,21.2,0.918,0.401,0.16,0.61,0.33,35.8,0
0.61,449,57.9,42200,22.1,317,21,0.918,0.383,0.15,0.61,0.32,35.3,0
0.62,437,55.5,40700,22,301,20.8,0.918,0.375,0.144,0.6,0.32,34.9,0
0.63,425,53.7,39600,21.8,298,20.5,0.917,0.362,0.14,0.6,0.31,34.6,0
0.64,417,52.1,38500,21.7,289,20.4,0.917,0.353,0.14,0.6,0.31,34.5,0
0.65,399,51.5,37900,21.4,278,19.9,0.917,0.348,0.136,0.59,0.31,34.3,0
0.66,390,51.1,37400,21.2,269,19.8,0.916,0.343,0.13,0.59,0.3,34.1,0
0.67,378,50.2,36800,20.8,260,19.3,0.915,0.338,0.13,0.58,0.295,32.9,0
0.68,372,49.1,36400,20.7,246,19.1,0.914,0.334,0.13,0.579,0.29,32,0
0.69,362,48.1,35300,20.6,238,18.9,0.914,0.33,0.13,0.563,0.29,29.9,0
0.7,356,47.2,34700,20.3,235,18.7,0.913,0.329,0.12,0.56,0.28,28.8,0
0.71,341,45.1,33200,20,233,18.4,0.912,0.324,0.12,0.56,0.271,28.1,0
0.72,334,44.3,32800,19.8,226,18.1,0.912,0.322,0.12,0.56,0.27,27.3,0
0.73,319,43.4,32200,19.5,222,17.8,0.911,0.321,0.11,0.55,0.27,25.9,0
0.74,316,43.1,31800,19.3,217,17.5,0.91,0.318,0.11,0.53,0.27,24,0
0.75,311,42.7,31300,18.8,213,16.9,0.909,0.317,0.11,0.52,0.27,22.1,0
0.76,304,41.5,30800,18.7,201,16.8,0.909,0.315,0.102,0.51,0.26,21.7,0
0.77,301,40.9,29700,18.6,198,16.7,0.907,0.313,0.1,0.496,0.26,20.5,0
0.78,295,39.8,29100,18.2,195,16.3,0.906,0.311,0.095,0.48,0.25,19.6,0
0.79,293,39,28600,18,191,16.2,0.905,0.31,0.092,0.46,0.24,18.8,0
0.8,288,38.6,28300,17.5,189,15.6,0.904,0.308,0.086,0.426,0.24,16.5,0
0.81,282,37.3,27600,17.2,185,15.3,0.903,0.306,0.083,0.4,0.232,15.4,0
0.82,276,36.4,26500,17.2,178,15.3,0.902,0.303,0.081,0.4,0.23,15.3,0
0.83,273,35.3,26200,16.6,176,14.7,0.901,0.3,0.081,0.37,0.23,13.6,0
0.84,270,34.6,25100,16.4,172,14.6,0.898,0.294,0.08,0.364,0.22,13.2,0
0.85,263,33.9,24800,16.1,168,14.2,0.897,0.287,0.0779,0.34,0.219,11.6,0
0.86,259,33.5,24200,15.5,163,13.7,0.893,0.283,0.0753,0.32,0.21,10.7,0
0.87,253,32.5,23500,15.3,157,13.5,0.892,0.27,0.0737,0.31,0.2,10.2,0
0.88,249,31,23000,15.1,155,13.2,0.88,0.266,0.072,0.3,0.19,9.64,0
0.89,248,30.8,22200,14.7,152,12.8,0.865,0.261,0.07,0.285,0.19,8.66,0
0.9,245,30.1,21900,14.1,150,12.2,0.776,0.256,0.0679,0.26,0.18,7.59,0
0.91,236,29.4,21300,13.7,146,11.8,0.688,0.249,0.0663,0.25,0.17,6.41,0
0.92,230,27.4,19800,13.2,140,11.3,0.638,0.239,0.066,0.23,0.17,6.01,0
0.93,229,25.5,18900,12.9,137,11,0.584,0.234,0.0631,0.23,0.161,4.61,0
0.94,220,23.1,16900,12.4,135,10.5,0.512,0.229,0.062,0.215,0.16,3.35,0
0.95,208,21.1,15200,12,132,10.2,0.486,0.225,0.059,0.21,0.15,2.71,0
0.96,203,18.7,13600,11.5,124,9.7,0.289,0.21,0.0574,0.19,0.15,1.64,0
0.97,191,14.8,11000,11.2,120,9.34,0.143,0.201,0.055,0.188,0.14,0.657,0
0.98,176,11.5,8540,10.4,114,8.62,0.111,0.189,0.0522,0.17,0.132,0.49,0
0.99,169,0,0,9.92,106,8.11,0,0.176,0.05,0.156,0.13,0,0
1,125,0,0,9.46,72.6,7.66,0,0.115,0.045,0.15,0.13,0,0
