WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,651.4,192.8,0,99.42,2349,215.8,6714,55.4,5.13,18.7,0.168,0.0464,0.396,0,0,37,0,0,0.1,0.413,0.43,0.085,0.18,0.055,0,37,0.10136986301369863,36.7,0.093,0.34,0.66,11.8
1993,365,865.6,192.8,21.2,98.82,909,214.4,2931,28.7,4.75,17.4,0.261,0.074,0.55,0,0,0,0,0,0,0.549,0.33,0.12,0.22,0.33,0,0,0,11.3,0.17,0.61,0.39,30.2
1994,365,547.4,185.4,0,62.49,399.6,141.4,1113,12.6,2.98,9.62,0.302,0.103,0.509,0,8,0,0,0.022,0,0.347,0.13,0.077,0.15,0.64,0,8,0.021917808219178082,2.98,0.24,0.76,0.24,43.4
1995,366,666.9,192.8,0,75.92,569.9,116,1964,18,3.27,12.7,0.281,0.0694,0.486,0,9,0,0,0.025,0,0.423,0.19,0.12,0.2,0.49,0,9,0.024657534246575342,5.3,0.18,0.71,0.29,37
1996,365,836.4,192.8,21.72,95.48,1073,151,3967,33.8,5.03,17.8,0.238,0.0564,0.483,0,0,0,0,0,0,0.53,0.37,0.088,0.17,0.38,0,0,0,16,0.15,0.53,0.47,24.7
1997,365,831.1,192.8,24.85,94.88,955.2,219.9,3333,30.1,5.11,17.1,0.27,0.0651,0.521,0,0,0,0,0,0,0.527,0.34,0.093,0.16,0.4,0,0,0,13,0.17,0.57,0.43,27.6
1998,365,793.9,192.8,0,90.63,1636,187.6,5921,51.6,5.95,20.2,0.222,0.0428,0.515,0,10,22,0,0.027,0.06,0.504,0.43,0.11,0.18,0.28,0,32,0.08767123287671233,31.4,0.12,0.39,0.61,15.4
1999,366,731,192.8,0,83.22,1522,234.9,6127,48.1,5.69,18.5,0.234,0.0395,0.461,0,0,29,0,0,0.079,0.464,0.37,0.1,0.19,0.34,0,29,0.07945205479452055,29.6,0.12,0.38,0.62,15.2
2000,365,748.5,192.8,0,85.45,1996,234.4,6992,63,6.36,21.1,0.212,0.0508,0.467,0,0,47,0,0,0.13,0.475,0.44,0.14,0.2,0.22,0,47,0.12876712328767123,41.9,0.1,0.33,0.67,11.9
2001,365,869.6,192.8,28.79,99.27,936,268,3321,29.5,4.96,17.5,0.248,0.0619,0.515,0,0,0,0,0,0,0.551,0.33,0.088,0.32,0.27,0,0,0,12,0.17,0.59,0.41,29.5
