month,1.00,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.90,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.80,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.70,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.60,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.30,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.00
1,123060,121330,119600,117870,113620,107320,101020,95137,92825,90513,88201,87179,86835,86491,85818,83881,81945,80008,79316,79021,78725,78145,76932,75720,74508,73855,73292,72730,72349,72225,72101,71978,70358,68684,67011,66019,65662,65306,64901,63840,62780,61719,60835,60060,59285,58590,58275,57960,57645,57470,57348,57227,56823,55676,54528,53381,52550,51784,51019,50393,49994,49596,49198,48656,48104,47552,46673,45444,44214,43024,42935,42845,42755,42268,41500,40732,40014,39604,39195,38785,38277,37725,37173,36512,35508,34504,33499,33254,33207,33160,32960,32468,31977,31486,29279,26875,24471,22782,21972,21163,20354
2,129430,128820,128210,127610,127010,126430,125840,125250,124570,123900,123220,122790,122480,122170,121800,121230,120660,120100,119400,118650,117910,117300,116990,116670,116360,115910,115440,114970,114060,112550,111040,109540,107210,104860,102510,101320,101230,101140,100990,100120,99249,98379,97714,97174,96634,96075,95431,94787,94143,93241,92240,91240,90040,88320,86599,84879,84046,83399,82751,82223,81890,81556,81223,81018,80824,80629,80199,79516,78833,78160,77795,77430,77065,76432,75609,74786,73769,71544,69319,67094,66028,65484,64940,64520,64489,64458,64428,63442,62208,60973,60056,59740,59424,59109,53532,47348,41164,36247,32891,29534,26178
3,142280,141540,140800,140050,139550,139260,138960,138690,138630,138580,138520,138440,138350,138250,138120,137840,137570,137290,136720,136040,135370,134800,134480,134160,133840,133660,133510,133350,133200,133050,132900,132750,132210,131640,131080,130770,130700,130640,130550,130180,129820,129450,128880,128180,127480,126880,126770,126650,126540,125960,125190,124430,123800,123500,123200,122900,122580,122260,121940,121350,120310,119270,118230,118040,117910,117770,117090,115820,114550,113220,110370,107530,104680,103230,102780,102330,101920,101740,101560,101370,100070,98266,96460,94432,91712,88991,86271,85582,85423,85264,83384,78234,73084,67934,66687,65891,65094,62572,57926,53280,48634
4,137130,136720,136300,135890,135300,134560,133820,133130,132800,132480,132160,131830,131500,131170,130910,130870,130830,130790,130150,129320,128500,127860,127630,127410,127180,126660,126100,125530,125130,124980,124830,124680,124090,123490,122880,122320,121810,121290,120790,120520,120260,119990,119710,119420,119140,118850,118560,118280,117990,117700,117400,117110,116770,116340,115900,115470,114870,114240,113610,113020,112510,111990,111480,111340,111230,111120,110950,110710,110480,110250,110250,110240,110240,110030,109660,109300,108940,108650,108360,108070,106510,104380,102240,100480,99856,99235,98614,98104,97622,97140,94320,87059,79799,72538,70584,69243,67902,63686,55932,48178,40425
5,135440,135240,135040,134850,134760,134750,134750,134740,134720,134700,134680,134500,134240,133970,133650,133090,132540,131980,131780,131700,131620,131520,131390,131260,131130,131090,131070,131060,130950,130720,130490,130250,130190,130130,130070,129780,129250,128730,128220,128000,127780,127550,127030,126340,125640,125020,124760,124510,124250,124020,123800,123570,123410,123380,123360,123340,121600,119490,117390,116060,116010,115960,115910,115370,114790,114210,113070,111340,109600,107810,104370,100920,97481,95518,94600,93681,92723,91517,90311,89105,87836,86537,85238,83715,81484,79254,77023,74498,71897,69295,66476,63242,60008,56774,50716,44332,37948,32394,27862,23330,18798
6,116950,116600,116240,115890,115310,114560,113800,113070,112490,111920,111340,111070,110970,110860,110630,109900,109170,108440,108270,108260,108260,108160,107840,107520,107200,106790,106370,105940,105270,104260,103240,102220,99714,97152,94590,93235,93007,92778,92515,91778,91040,90303,89389,88366,87344,86474,86334,86194,86054,85593,85011,84428,83594,82098,80603,79108,78778,78691,78604,78073,76818,75562,74307,73720,73183,72646,72328,72245,72161,71887,66264,60641,55018,52656,52596,52536,52462,52301,52140,51980,51124,49955,48785,47608,46405,45203,44000,42653,41268,39883,38469,36998,35528,34058,30291,26260,22229,17530,12011,6491.1,971.4
7,72001,71571,71141,70711,70360,70072,69785,69428,68463,67498,66532,66189,66172,66156,66046,65576,65106,64636,64356,64136,63916,63486,62590,61694,60798,60274,59810,59346,59045,58975,58904,58834,58042,57224,56407,55708,55118,54529,53977,53927,53878,53828,53457,52889,52321,51840,51782,51723,51665,51427,51122,50817,50432,49836,49241,48645,48502,48452,48403,48079,47305,46531,45757,45630,45551,45472,45264,44916,44569,44137,41334,38530,35726,34545,34510,34474,34340,33591,32841,32091,31768,31636,31505,31363,31185,31008,30831,29387,27613,25839,24207,22846,21485,20123,15203,9873.1,4542.7,1393.5,929.03,464.52,0
8,42680,42155,41630,41105,40696,40383,40070,39777,39654,39531,39407,39205,38961,38717,38519,38497,38475,38454,38387,38307,38227,38037,37604,37172,36739,36498,36286,36075,35905,35791,35677,35563,35523,35484,35446,35062,34354,33647,32965,32638,32310,31982,31822,31765,31707,31646,31568,31491,31413,31375,31353,31330,31290,31202,31114,31026,31008,31005,31002,30958,30845,30732,30620,30555,30493,30432,30391,30373,30355,30260,28015,25771,23526,22199,21518,20838,20193,19772,19351,18930,18791,18780,18768,18312,16459,14605,12752,10550,8257.1,5964.4,4016.1,2722,1427.9,133.87,0,0,0,0,0,0,0
9,29470,29091,28712,28333,28142,28106,28069,28036,28035,28034,28033,27944,27810,27675,27430,26764,26097,25431,25127,24939,24750,24601,24538,24474,24411,24320,24224,24128,23948,23648,23348,23049,23025,23011,22996,22935,22830,22725,22621,22543,22464,22385,22306,22226,22147,22032,21748,21464,21180,20927,20687,20446,20059,19289,18519,17749,17278,16871,16463,16188,16133,16078,16022,15875,15722,15568,15481,15466,15450,15434,15395,15357,15319,15235,15119,15002,14891,14813,14735,14657,14594,14538,14482,14311,13782,13253,12723,10920,8784.4,6648.7,5017.7,4345.4,3673.2,3000.9,2169.2,1319.1,469.02,0,0,0,0
10,23578,23221,22864,22507,22341,22329,22317,22279,22010,21741,21472,21346,21295,21244,21138,20825,20512,20199,19980,19790,19601,19412,19222,19032,18843,18714,18596,18477,18406,18402,18399,18395,18354,18312,18270,18183,18054,17925,17801,17730,17659,17588,17558,17553,17548,17522,17393,17265,17136,16637,15996,15356,14853,14712,14571,14430,14382,14353,14324,14257,14127,13997,13867,13844,13828,13812,13779,13728,13677,13624,13518,13412,13306,13258,13251,13243,13219,13086,12953,12821,12696,12575,12454,12313,12110,11906,11703,8978.7,5597.1,2215.5,0,0,0,0,0,0,0,0,0,0,0
11,25301,24791,24281,23771,23537,23526,23515,23493,23371,23249,23128,23059,23018,22977,22930,22864,22798,22732,22682,22638,22594,22530,22420,22311,22201,22155,22118,22081,22031,21961,21891,21822,21810,21801,21792,21741,21651,21561,21469,21354,21238,21122,21069,21053,21037,21017,20975,20933,20891,20775,20630,20486,20372,20341,20310,20279,20243,20206,20169,20095,19962,19829,19696,19563,19431,19298,18851,18067,17282,16520,16369,16219,16068,15834,15541,15248,14982,14882,14782,14681,14520,14332,14144,13897,13467,13038,12608,12212,11825,11437,10818,9757.9,8698.2,7638.5,6844.9,6082.1,5319.2,4261.5,2841,1420.5,0
