datetime,Year,Month,WaterYear,WaterMonth,WaterWeek,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,14,3,0.0498,0.0189,0.0309,1912.85,27.44,27.44,26.57,1,1,1,192,188.5,195.6,119,115.5,73,73,73,0,-1.421e-14,1.421e-14,0.38,0.373,0.387,119,115.5,122.6,990,990,990,964.4,964.4,964.4,25.6,25.6,25.6,0.091,0.0897,0.0922,0.00587,0.00557,0.00617,0.00023,0.00022,0.00024,0.2,0.194,0.206,0.0078,0.0076,0.0081,25.38,25.38,25.38,0.924,0.922,0.927,0.97,0.97,0.97,0.896,0.894,0.899,27.39,26.5,28.28,26.57,25.7,27.44,0,0,0,0,0,0,0.148,0,0.0189,0.38,0.62,0.38,38.4
726098400000,1993,1,1992,4,14,7,0.131,0.0442,0.0867,5416.75,35.67,35.67,32.24,1,1,1,216.4,201.3,231.4,143.4,128.3,73,73,73,0,0,0,0.338,0.315,0.363,143.4,128.3,158.4,990,990,990,964.5,964.4,964.6,25.5,25.4,25.6,0.0995,0.0942,0.105,0.00794,0.00666,0.00922,0.00031,0.00026,0.00036,0.244,0.217,0.27,0.0096,0.0085,0.011,25.26,25.14,25.38,0.936,0.93,0.941,0.97,0.97,0.97,0.908,0.902,0.913,33.24,29.69,36.77,32.24,28.8,35.67,0,0,0,0,0,0,0.179,0,0.0443,0.34,0.66,0.34,41.3
726703200000,1993,1,1992,4,15,7,0.153,0.0442,0.109,6847.71,44.8,44.8,40.76,1,1,1,252.4,236.1,269.4,179.4,163.1,73,73,73,0,0,0,0.29,0.271,0.309,179.4,163.1,196.4,990,990,990,964.7,964.6,964.8,25.3,25.2,25.4,0.112,0.106,0.118,0.011,0.00961,0.0124,0.00043,0.00038,0.00049,0.308,0.279,0.338,0.012,0.011,0.013,24.99,24.88,25.1,0.948,0.943,0.954,0.977,0.971,0.98,0.927,0.916,0.934,41.7,37.86,45.71,40.76,36.78,44.8,0,0,0,0,0,0,0.226,0,0.044,0.29,0.71,0.29,44.8
727308000000,1993,1,1992,4,16,7,0.182,0.0442,0.138,8455.39,55.64,55.64,50.33,2,1,1.5714285714285714,300.8,274.1,327.7,227.8,201.1,73,73,73,0,-2.842e-14,2.842e-14,0.243,0.223,0.266,227.8,201.1,254.7,990,990,990,964.9,964.8,965,25.1,25,25.2,0.129,0.12,0.139,0.0154,0.0128,0.0192,0.00061,0.00051,0.00077,0.302,0.242,0.38,0.012,0.0097,0.015,24.79,24.69,24.86,0.939,0.923,0.958,0.974,0.97,0.98,0.915,0.895,0.939,36.45,25.77,51.09,35.3,25,48.2,0,0,0,0,0,0,0.28,0,0.044,0.24,0.76,0.24,46.5
727912800000,1993,1,1992,4,17,7,0.22,0.0442,0.176,10658.8,68.31,68.31,63.45,2,2,2,363.8,338.3,386.5,290.8,265.3,73,73,73,0,0,0,0.201,0.189,0.216,290.8,265.3,313.5,990,990,990,965.2,965.1,965.3,24.8,24.7,24.9,0.152,0.143,0.16,0.0362,0.0242,0.047,0.0015,0.00097,0.0019,0.327,0.288,0.361,0.013,0.012,0.015,24.45,24.31,24.62,0.938,0.933,0.942,0.97,0.97,0.97,0.91,0.905,0.914,32.7,29.87,35.21,31.72,28.98,34.15,0,0,0,0,0,0,0.352,0,0.044,0.2,0.8,0.2,48.4
728517600000,1993,2,1992,5,18,7,0.259,0.0514,0.207,12521.5,82.82,82.82,74.53,2,2,2,427.5,396,464.4,342.5,311,85,85,85,0,0,0,0.2,0.183,0.215,342.5,311,379.4,990,990,990,965.5,965.4,965.7,24.5,24.3,24.6,0.171,0.16,0.184,0.0606,0.0458,0.0781,0.0025,0.0019,0.0032,0.405,0.358,0.461,0.017,0.015,0.019,24.07,23.85,24.26,0.947,0.942,0.952,0.973,0.97,0.98,0.922,0.914,0.933,38.28,34.86,42.25,37.27,33.82,41.41,0,0,0,0,0,0,0.414,0,0.052,0.2,0.8,0.2,48.3
729122400000,1993,2,1992,5,19,7,0.323,0.0514,0.271,16066.4,105.9,105.9,95.63,3,2,2.2857142857142856,533.8,480.5,592.1,448.8,395.5,85,85,85,0,-5.684e-14,5.684e-14,0.16,0.144,0.177,448.8,395.5,507.1,990,990,990,966,965.8,966.3,24,23.7,24.2,0.21,0.19,0.238,0.111,0.0857,0.14,0.0046,0.0035,0.0059,0.535,0.485,0.588,0.022,0.02,0.025,23.46,23.19,23.75,0.953,0.945,0.958,0.977,0.97,0.98,0.932,0.916,0.939,44.09,35,50.87,42.87,33.95,48.2,0,0,0,0,0,0,0.531,0,0.052,0.16,0.84,0.16,49.7
729727200000,1993,2,1992,5,20,7,0.414,0.0514,0.363,20858.5,136.6,136.6,124.2,3,3,3,684.5,614.8,751.5,599.5,529.8,85,85,85,0,0,0,0.125,0.113,0.138,599.5,529.8,666.5,990,990,990,966.6,966.4,966.9,23.4,23.1,23.6,0.291,0.251,0.329,0.201,0.155,0.246,0.0086,0.0066,0.011,0.704,0.587,0.817,0.03,0.025,0.035,22.66,22.28,23.05,0.954,0.949,0.957,0.978,0.971,0.98,0.933,0.922,0.938,42.32,37.9,46.45,41.39,36.82,45.52,0,0,0,0,0,0,0.69,0,0.051,0.12,0.88,0.12,50.4
730332000000,1993,2,1992,5,21,7,0.497,0.0514,0.446,24629.6,157.5,157.5,146.6,4,3,3.2857142857142856,821.7,770.4,883.2,736.7,685.4,85,85,85,0,0,0,0.104,0.0962,0.11,736.7,685.4,798.2,990,990,990,967.2,967,967.4,22.8,22.6,23,0.374,0.339,0.423,0.291,0.259,0.325,0.013,0.011,0.014,0.913,0.849,0.967,0.04,0.037,0.043,21.9,21.61,22.17,0.956,0.952,0.957,0.979,0.975,0.98,0.936,0.928,0.938,46.59,39.35,51.32,45.17,38.35,48.2,0,0,0,0,0,0,0.814,0,0.051,0.1,0.9,0.1,49.6
730936800000,1993,3,1992,6,22,7,0.575,0.078,0.497,26684.8,166.6,166.6,158.8,4,3,3.857142857142857,950.6,902.7,991.7,821.6,773.7,129,129,129,0,0,0,0.136,0.13,0.143,821.6,773.7,862.7,990,990,990,967.7,967.5,967.9,22.3,22.1,22.5,0.458,0.415,0.496,0.337,0.313,0.357,0.015,0.014,0.016,1.03,0.959,1.09,0.046,0.043,0.049,21.27,21.05,21.47,0.954,0.953,0.956,0.979,0.975,0.98,0.934,0.929,0.937,42.73,39.59,51.94,41.43,38.6,48.2,0,0,0,0,0,0,0.882,0,0.078,0.14,0.86,0.14,46.4
