datetime,Year,Month,WaterYear,WaterMonth,WaterWeek,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,14,3,0.0406,0.0189,0.0217,1339.87,19.12,19.12,18.61,1,1,1,156.6,154.2,159.1,83.64,81.18,73,73,73,-4.737e-15,-1.421e-14,0,0.466,0.459,0.473,83.64,81.18,86.1,990,990,990,964.5,964.5,964.5,25.5,25.5,25.5,0.0785,0.0776,0.0793,0.00286,0.00265,0.00307,0.00011,0.0001,0.00012,0.137,0.132,0.141,0.0054,0.0052,0.0055,25.38,25.38,25.38,0.93,0.927,0.933,0.962,0.961,0.963,0.894,0.892,0.896,19.35,18.84,19.86,18.61,18.1,19.12,0,0,0,0,0,0,0.103,0,0.0189,0.47,0.53,0.47,33
726098400000,1993,1,1992,4,14,7,0.103,0.0442,0.0589,3606.24,22.91,22.91,21.47,1,1,1,170.4,162.7,176.9,97.43,89.66,73,73,73,2.03e-15,-1.421e-14,1.421e-14,0.429,0.413,0.449,97.43,89.66,103.9,990,990,990,964.5,964.4,964.5,25.5,25.5,25.6,0.0833,0.0806,0.0856,0.00403,0.00337,0.00458,0.00016,0.00013,0.00018,0.161,0.147,0.173,0.0063,0.0058,0.0068,25.38,25.38,25.38,0.915,0.911,0.923,0.968,0.964,0.97,0.885,0.883,0.89,22.18,20.59,23.61,21.47,19.86,22.91,0,0,0,0,0,0,0.119,0,0.0441,0.43,0.57,0.43,35
726703200000,1993,1,1992,4,15,7,0.111,0.0442,0.0665,4094.05,25.6,25.6,24.37,1,1,1,183,178.2,188.1,110,105.2,73,73,73,0,-1.421e-14,1.421e-14,0.399,0.388,0.41,110,105.2,115.1,990,990,990,964.4,964.4,964.4,25.6,25.6,25.6,0.0878,0.0861,0.0896,0.0051,0.0047,0.00553,0.0002,0.00018,0.00022,0.184,0.175,0.193,0.0072,0.0069,0.0075,25.38,25.38,25.38,0.918,0.914,0.921,0.97,0.97,0.97,0.89,0.887,0.894,25.12,23.95,26.4,24.37,23.23,25.6,0,0,0,0,0,0,0.135,0,0.0445,0.4,0.6,0.4,36.9
727308000000,1993,1,1992,4,16,7,0.123,0.0442,0.0793,4942.6,32.97,32.97,29.42,1,1,1,204.2,190,219.5,131.2,117,73,73,73,0,-1.421e-14,1.421e-14,0.358,0.333,0.384,131.2,117,146.5,990,990,990,964.4,964.4,964.5,25.6,25.5,25.6,0.0952,0.0902,0.101,0.0069,0.0057,0.00821,0.00027,0.00022,0.00032,0.222,0.196,0.249,0.0087,0.0077,0.0098,25.33,25.23,25.38,0.93,0.923,0.937,0.97,0.97,0.97,0.902,0.895,0.909,30.33,26.87,33.99,29.42,26.07,32.97,0,0,0,0,0,0,0.163,0,0.0437,0.36,0.64,0.36,40.2
727912800000,1993,1,1992,4,17,7,0.146,0.0442,0.102,6435.93,41.78,41.78,38.31,1,1,1,242.2,226.4,256.4,169.2,153.4,73,73,73,0,0,0,0.302,0.285,0.322,169.2,153.4,183.4,990,990,990,964.7,964.6,964.7,25.3,25.3,25.4,0.109,0.103,0.114,0.0101,0.00879,0.0113,0.0004,0.00035,0.00045,0.29,0.261,0.315,0.011,0.01,0.012,25.06,24.96,25.18,0.945,0.94,0.949,0.975,0.97,0.98,0.921,0.912,0.93,39.29,35.6,42.63,38.31,34.53,41.78,0,0,0,0,0,0,0.213,0,0.044,0.3,0.7,0.3,44.1
728517600000,1993,2,1992,5,18,7,0.171,0.0514,0.119,7494.5,48.2,48.2,44.61,1,1,1,282.5,262.2,306.5,197.5,177.2,85,85,85,1.624e-14,0,2.842e-14,0.302,0.277,0.324,197.5,177.2,221.5,990,990,990,964.8,964.7,964.9,25.2,25.1,25.3,0.12,0.113,0.128,0.0125,0.0108,0.0146,0.0005,0.00043,0.00058,0.341,0.305,0.384,0.014,0.012,0.015,24.83,24.68,24.95,0.953,0.948,0.959,0.98,0.978,0.98,0.934,0.927,0.939,45.85,41.08,51.39,44.61,40.19,48.2,0,0,0,0,0,0,0.248,0,0.052,0.3,0.7,0.3,43.8
729122400000,1993,2,1992,5,19,7,0.211,0.0514,0.16,9670.11,65.87,65.87,57.56,2,2,2,349.3,315.5,387.7,264.3,230.5,85,85,85,0,-2.842e-14,2.842e-14,0.244,0.219,0.269,264.3,230.5,302.7,990,990,990,965.1,965,965.3,24.9,24.7,25,0.143,0.131,0.157,0.0253,0.0153,0.0419,0.001,0.00061,0.0017,0.289,0.245,0.346,0.012,0.0098,0.014,24.56,24.32,24.78,0.932,0.923,0.941,0.97,0.97,0.97,0.904,0.895,0.913,29.67,25.85,33.95,28.78,25.08,32.93,0,0,0,0,0,0,0.32,0,0.051,0.24,0.76,0.24,45.8
729727200000,1993,2,1992,5,20,7,0.277,0.0514,0.226,13647.8,93.09,93.09,81.24,2,2,2,458.6,403.8,514.8,373.6,318.8,85,85,85,8.12e-15,0,5.684e-14,0.187,0.165,0.21,373.6,318.8,429.8,990,990,990,965.7,965.4,965.9,24.3,24.1,24.6,0.182,0.163,0.202,0.0753,0.0495,0.102,0.0031,0.002,0.0042,0.452,0.37,0.536,0.019,0.015,0.022,23.88,23.55,24.21,0.951,0.943,0.957,0.976,0.97,0.98,0.929,0.915,0.938,41.58,35.71,47.49,40.62,34.64,46.54,0,0,0,0,0,0,0.451,0,0.051,0.19,0.82,0.18,49.3
730332000000,1993,2,1992,5,21,7,0.364,0.0514,0.313,18144.5,122.8,122.8,108,3,2,2.7142857142857144,602.2,534.3,674.8,517.2,449.3,85,85,85,-8.12e-15,-5.684e-14,0,0.142,0.126,0.159,517.2,449.3,589.8,990,990,990,966.3,966,966.6,23.7,23.4,24,0.244,0.209,0.285,0.149,0.111,0.195,0.0063,0.0046,0.0083,0.598,0.526,0.688,0.025,0.022,0.029,23.1,22.71,23.43,0.952,0.945,0.958,0.976,0.97,0.98,0.929,0.917,0.939,41.95,35.46,51.41,40.59,34.4,48.2,0,0,0,0,0,0,0.6,0,0.051,0.14,0.86,0.14,49.8
730936800000,1993,3,1992,6,22,7,0.46,0.0647,0.395,22436.8,143,143,133.6,3,3,3,760.4,698,815.3,653.4,591,107,107,107,0,0,0,0.141,0.131,0.153,653.4,591,708.3,990,990,990,966.9,966.7,967.2,23.1,22.8,23.3,0.326,0.291,0.357,0.237,0.196,0.274,0.01,0.0084,0.012,0.8,0.695,0.893,0.035,0.03,0.039,22.26,21.95,22.61,0.956,0.954,0.957,0.98,0.98,0.98,0.937,0.934,0.938,45.43,41.67,48.63,44.52,40.82,47.66,0,0,0,0,0,0,0.742,0,0.065,0.14,0.86,0.14,48.8
