date,flow,day,waterMonth,waterDay,waterYear,waterWeek,FDCPercentile,ewrMeasurementDate,ewrExceedance,ewrFlowBandNumber,ewrFlowBand,ewrMeasureExceedance
1993-01-01,188.99,1,4,93,1992,14,0.9028571428571428,1992-12-28,,5,Dry,
1993-01-02,191.99,2,4,94,1992,14,0.8974020019867043,1992-12-28,,5,Dry,
1993-01-03,196.1,3,4,95,1992,14,0.8894892729957439,1992-12-28,,5,Dry,
1993-01-04,200.74,4,4,96,1992,14,0.8791029900332226,1992-12-28,,5,Dry,
1993-01-05,205.94,5,4,97,1992,14,0.8618272425249169,1992-12-28,,5,Dry,
1993-01-06,211.14,6,4,98,1992,14,0.843830985915493,1992-12-28,,5,Dry,
1993-01-07,214.14,7,4,99,1992,15,0.8357180156657964,1992-12-28,,5,Dry,
1993-01-08,215.51,8,4,100,1992,15,0.8321409921671018,1992-12-28,,5,Dry,1
1993-01-09,220.71,9,4,101,1992,15,0.8193004896572399,1992-12-28,,5,Dry,
1993-01-10,225.35,10,4,102,1992,15,0.8070481462409884,1992-12-28,,5,Dry,
1993-01-11,228.91,11,4,103,1992,15,0.7958231707317074,1993-01-08,1,5,Dry,
1993-01-12,231.92,12,4,104,1992,15,0.7866463414634147,1993-01-08,1,5,Dry,
1993-01-13,236.02,13,4,105,1992,15,0.7736212624584717,1993-01-08,1,5,Dry,
1993-01-14,243.4,14,4,106,1992,16,0.75,1993-01-08,1,5,Dry,
1993-01-15,246.96,15,4,107,1992,16,0.7407049608355091,1993-01-08,1,5,Dry,
1993-01-16,251.06,16,4,108,1992,16,0.7312356979405034,1993-01-08,1,5,Dry,
1993-01-17,255.71,17,4,109,1992,16,0.72,1993-01-08,1,5,Dry,
1993-01-18,259.26,18,4,110,1992,16,0.7113414634146341,1993-01-08,1,5,Dry,1
1993-01-19,266.64,19,4,111,1992,16,0.696007326007326,1993-01-08,1,5,Dry,
1993-01-20,275.67,20,4,112,1992,16,0.6804485049833887,1993-01-08,1,5,Dry,
1993-01-21,284.14,21,4,113,1992,17,0.6663727121464227,1993-01-18,1,5,Dry,
1993-01-22,291.53,22,4,114,1992,17,0.6544823310601364,1993-01-18,1,5,Dry,
