Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,864.6,29,0.548,0.48,45.7,0.51
0.01,864.1,28.4,0.548,0.459,45.6,0.467
0.02,863.6,27.7,0.547,0.438,45.4,0.424
0.03,863.2,27.1,0.547,0.417,45.3,0.381
0.04,857.5,26.8,0.544,0.392,45,0.341
0.05,849.3,26.5,0.538,0.365,44.7,0.301
0.06,841.1,26.3,0.533,0.338,44.3,0.262
0.07,834.9,26.2,0.53,0.319,44,0.233
0.08,832.8,26.2,0.528,0.316,43.8,0.225
0.09,830.8,26.1,0.527,0.313,43.5,0.216
0.1,828.7,26.1,0.526,0.31,43.3,0.208
0.11,826.9,26,0.525,0.301,43.3,0.193
0.12,825,25.9,0.524,0.292,43.2,0.179
0.13,823.2,25.7,0.522,0.283,43.2,0.164
0.14,822.2,25.6,0.522,0.276,43.1,0.154
0.15,821.5,25.4,0.521,0.27,43,0.147
0.16,820.9,25.3,0.52,0.264,42.9,0.139
0.17,818.6,25.2,0.519,0.258,42.8,0.132
0.18,813,25,0.515,0.252,42.8,0.127
0.19,807.3,24.9,0.512,0.246,42.8,0.121
0.2,801.7,24.8,0.508,0.24,42.8,0.115
0.21,792.2,24.7,0.502,0.24,42.7,0.113
0.22,782.7,24.6,0.496,0.24,42.7,0.11
0.23,773.2,24.4,0.49,0.24,42.6,0.108
0.24,767.9,24.3,0.487,0.238,42.5,0.101
0.25,764.6,24,0.485,0.235,42.3,0.0932
0.26,761.4,23.8,0.483,0.232,42.1,0.0849
0.27,759.3,23.4,0.482,0.23,42,0.0784
0.28,759.1,22.5,0.482,0.23,41.8,0.0751
0.29,759,21.6,0.481,0.23,41.7,0.0718
0.3,758.9,20.7,0.481,0.23,41.6,0.0685
0.31,753.3,20.5,0.478,0.23,41.5,0.0652
0.32,747.7,20.4,0.474,0.23,41.5,0.0619
0.33,742.2,20.3,0.471,0.23,41.4,0.0586
0.34,740.2,20.1,0.47,0.226,41.2,0.0526
0.35,740.1,19.9,0.469,0.22,40.8,0.0452
0.36,740.1,19.7,0.469,0.214,40.4,0.0378
0.37,739.6,19.5,0.469,0.209,40.1,0.0323
0.38,738.5,19.2,0.468,0.206,39.9,0.0307
0.39,737.4,19,0.468,0.203,39.7,0.029
0.4,736.3,18.7,0.467,0.2,39.5,0.0274
0.41,730.8,18.5,0.463,0.2,39.5,0.0266
0.42,725.4,18.2,0.46,0.2,39.4,0.0258
0.43,719.9,18,0.456,0.2,39.4,0.0249
0.44,717.4,17.9,0.455,0.198,39.3,0.0241
0.45,716.5,17.9,0.454,0.195,39,0.0233
0.46,715.5,17.8,0.453,0.192,38.8,0.0225
0.47,711.4,17.8,0.451,0.19,38.7,0.0219
0.48,701.3,17.8,0.445,0.19,38.7,0.0219
0.49,691.1,17.7,0.438,0.19,38.7,0.0219
0.5,681,17.7,0.432,0.19,38.7,0.0219
0.51,675.6,17.3,0.428,0.187,38.7,0.0211
0.52,670.1,16.9,0.425,0.184,38.7,0.0203
0.53,664.7,16.4,0.421,0.181,38.7,0.0195
0.54,659.1,16.3,0.418,0.18,38.6,0.0164
0.55,653.5,16.3,0.414,0.18,38.5,0.0123
0.56,647.9,16.2,0.41,0.18,38.3,0.00822
0.57,643.5,16,0.408,0.18,38.1,0.00548
0.58,641.7,15.6,0.407,0.18,38,0.00548
0.59,639.8,15.1,0.406,0.18,37.8,0.00548
0.6,638,14.6,0.405,0.18,37.6,0.00548
0.61,635.7,14.4,0.404,0.18,37.6,0.00384
0.62,633.3,14.3,0.402,0.18,37.5,0.00219
0.63,631,14.1,0.401,0.18,37.5,0.000548
0.64,620.5,14,0.394,0.18,37.1,0
0.65,606,13.8,0.385,0.18,36.5,0
0.66,591.5,13.7,0.375,0.18,35.8,0
0.67,580.4,13.6,0.368,0.179,35.2,0
0.68,576.4,13.5,0.365,0.176,34.5,0
0.69,572.3,13.4,0.363,0.173,33.9,0
0.7,568.3,13.3,0.36,0.17,33.2,0
0.71,567.8,13.2,0.36,0.17,32.9,0
0.72,567.4,13.1,0.359,0.17,32.5,0
0.73,566.9,12.9,0.359,0.17,32.2,0
0.74,557.1,12.7,0.353,0.17,32,0
0.75,542.5,12.5,0.344,0.17,31.8,0
0.76,527.8,12.3,0.335,0.17,31.6,0
0.77,517.4,12.1,0.329,0.17,31.5,0
0.78,515.1,12,0.327,0.17,31.4,0
0.79,512.9,11.9,0.326,0.17,31.4,0
0.8,510.7,11.8,0.324,0.17,31.3,0
0.81,497.1,11.6,0.315,0.17,31.2,0
0.82,483.6,11.4,0.307,0.17,31.1,0
0.83,470,11.3,0.298,0.17,31,0
0.84,448.4,10.9,0.284,0.168,30.9,0
0.85,422.7,10.5,0.268,0.165,30.7,0
0.86,397,10.1,0.252,0.162,30.4,0
0.87,378.2,9.79,0.24,0.16,30.3,0
0.88,373.2,9.69,0.237,0.16,30.2,0
0.89,368.1,9.6,0.233,0.16,30.1,0
0.9,363.1,9.5,0.23,0.16,30,0
0.91,317.5,8.76,0.201,0.16,29.6,0
0.92,272,8.03,0.172,0.16,29.3,0
0.93,226.4,7.29,0.144,0.16,28.9,0
0.94,202.3,6.83,0.128,0.16,28.8,0
0.95,188.9,6.51,0.12,0.16,28.7,0
0.96,175.4,6.18,0.112,0.16,28.6,0
0.97,157.5,5.53,0.1,0.16,28.5,0
0.98,130.4,4.24,0.083,0.16,28.3,0
0.99,103.4,2.96,0.0657,0.16,28.1,0
1,76.35,1.67,0.0484,0.16,27.9,0
