month,1.00,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.90,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.80,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.70,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.60,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.30,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.00
1,98924,98459,97995,97530,94172,88465,82758,77538,76550,75561,74572,73519,72431,71344,70337,69638,68938,68239,67545,66852,66160,65396,64471,63547,62623,62243,61951,61659,61422,61265,61107,60950,59902,58823,57743,56917,56326,55736,55075,53473,51872,50270,49347,48839,48330,47898,47831,47764,47697,47319,46821,46324,45854,45457,45059,44662,44288,43918,43549,43088,42477,41866,41255,40295,39309,38323,37680,37402,37124,36852,36730,36608,36486,36400,36339,36277,36175,35817,35460,35102,34511,33815,33119,32528,32267,32006,31745,31125,30411,29697,29125,28821,28518,28214,26371,24351,22331,20645,19371,18097,16823
2,126120,125600,125080,124560,123880,123090,122290,121530,121090,120640,120200,119930,119770,119610,119420,119130,118840,118560,117990,117330,116670,116010,115320,114640,113950,113380,112820,112260,111470,110360,109250,108140,106290,104400,102520,100810,99262,97716,96237,95658,95079,94499,94262,94232,94203,93828,91795,89762,87728,87124,87063,87003,86664,85596,84527,83458,83074,82833,82592,82212,81602,80993,80384,79548,78694,77841,76938,75981,75025,74096,73948,73799,73651,73541,73458,73375,73012,70899,68786,66673,65683,65198,64713,64120,63183,62246,61309,60240,59137,58034,56885,55647,54408,53170,48995,44480,39966,35830,32160,28490,24820
3,142260,140960,139660,138370,137760,137710,137660,137610,137500,137400,137290,137250,137250,137240,137230,137220,137200,137190,136880,136480,136080,135720,135450,135190,134930,134830,134760,134680,134410,133860,133310,132760,132730,132720,132700,132330,131630,130920,130200,129130,128060,126990,126540,126470,126410,126230,125530,124840,124140,123630,123180,122740,122340,122080,121820,121560,121070,120540,120010,119600,119390,119180,118980,118420,117850,117270,116760,116340,115910,115490,115130,114770,114410,114120,113890,113660,113360,112620,111880,111140,108200,104260,100330,97225,96750,96274,95799,93288,90247,87205,84056,80703,77350,73997,72538,71298,70058,67207,62375,57542,52710
4,138390,138130,137880,137630,137480,137410,137350,137150,135780,134420,133050,132300,131860,131420,130980,130550,130120,129690,128710,127560,126410,125520,125220,124920,124620,123860,123040,122210,121390,120580,119770,118950,118750,118560,118370,118180,118000,117810,117630,117570,117520,117460,117440,117430,117430,117400,117290,117180,117070,116570,115920,115280,114810,114780,114760,114740,113770,112610,111450,110520,109940,109360,108790,108580,108400,108220,107680,106770,105860,104970,104860,104750,104630,104100,103280,102450,101710,101500,101280,101060,100710,100300,99888,99531,99347,99163,98979,96957,94455,91954,90109,89514,88919,88323,87510,86672,85834,80544,69775,59006,48237
5,134600,134140,133680,133230,132950,132810,132670,132540,132530,132520,132510,132480,132430,132390,132330,132230,132140,132040,131860,131660,131460,131300,131260,131210,131170,130590,129930,129260,128780,128560,128340,128110,127800,127480,127160,126950,126850,126740,126620,126320,126020,125730,125510,125340,125170,124940,124430,123920,123410,122770,122080,121390,120860,120780,120690,120610,120580,120560,120540,120340,119860,119380,118890,118540,118200,117860,117140,116030,114930,113850,113750,113640,113540,111780,108850,105920,103210,101910,100610,99314,98251,97294,96337,94965,92287,89609,86931,83796,80541,77287,73899,70258,66616,62975,58532,53996,49460,44146,37873,31600,25327
6,122590,122470,122350,122240,121830,121190,120550,119900,119070,118250,117420,116550,115640,114740,114020,113970,113930,113880,113530,113090,112640,112220,111850,111470,111100,110840,110590,110340,110100,109850,109600,109350,108070,106760,105460,104640,104290,103940,103560,102840,102120,101400,99174,96022,92870,90260,90248,90236,90224,89268,87954,86639,85656,85541,85426,85311,85255,85211,85168,84867,84145,83423,82701,82000,81300,80600,79215,77097,74978,72888,71617,70346,69075,67483,65663,63844,62139,61150,60161,59173,57627,55832,54036,52432,51433,50434,49434,48316,47166,46016,44491,42255,40018,37782,35155,32483,29811,25654,19670,13687,7703.1
7,76926,76876,76825,76775,76328,75559,74790,73984,72860,71736,70613,70102,69913,69725,69483,69039,68596,68152,68028,68007,67985,67869,67543,67216,66890,66471,66039,65606,65212,64873,64535,64197,63433,62653,61874,61431,61300,61170,61029,60730,60432,60133,59718,59232,58746,58240,57641,57042,56444,55715,54937,54158,53549,53382,53215,53048,52726,52372,52018,51771,51699,51627,51555,51205,50834,50463,49762,48709,47655,46587,45125,43662,42200,41528,41414,41300,41117,40508,39898,39289,38328,37209,36091,34969,33839,32709,31578,30921,30386,29852,28965,27406,25847,24288,22331,20327,18324,14980,9986.8,4993.4,0
8,46379,46125,45871,45617,45292,44908,44524,44099,43319,42538,41758,41206,40774,40342,39968,39814,39660,39507,39456,39438,39421,39392,39340,39287,39235,39028,38797,38566,38423,38405,38387,38369,38310,38248,38187,37990,37667,37343,37022,36730,36438,36145,35970,35865,35761,35644,35466,35288,35110,34964,34830,34696,34482,34054,33627,33200,32890,32605,32319,32053,31818,31584,31349,30999,30641,30283,30085,30059,30034,30003,29833,29664,29494,29383,29314,29244,29085,28363,27640,26918,26323,25784,25246,24075,20917,17759,14600,13605,13174,12743,11587,9054.4,6521.9,3989.3,2758.2,1677.3,596.38,0,0,0,0
9,30264,29871,29477,29084,28871,28806,28740,28668,28533,28399,28264,28047,27785,27523,27303,27238,27174,27110,27085,27072,27059,27006,26863,26720,26577,26541,26521,26501,26466,26410,26353,26297,26143,25986,25828,25504,25025,24545,24089,23939,23790,23641,23537,23461,23385,23305,23201,23098,22995,22912,22837,22762,22694,22644,22594,22544,22286,21984,21683,21415,21202,20990,20777,20717,20667,20618,20541,20436,20330,20221,20016,19811,19606,19201,18655,18109,17604,17360,17116,16872,16586,16280,15975,15574,14872,14171,13470,12766,12062,11358,10363,8813,7263.4,5713.8,4657.2,3657.6,2657.9,1832.6,1221.7,610.86,0
10,22728,22666,22605,22543,22496,22461,22426,22382,22267,22152,22037,21978,21948,21918,21855,21667,21478,21290,21110,20933,20755,20547,20271,19994,19718,19527,19351,19174,19002,18838,18673,18509,18454,18403,18352,18275,18174,18074,17978,17957,17936,17915,17906,17904,17903,17883,17781,17679,17577,17545,17538,17532,17516,17476,17436,17396,17186,16941,16695,16467,16268,16068,15869,15765,15667,15570,15467,15359,15251,15142,15016,14890,14764,14595,14394,14194,13991,13780,13569,13358,13108,12840,12573,12369,12365,12361,12357,10527,8221.3,5915.4,4029.5,2941.7,1853.9,766.15,483.68,294.13,104.58,0,0,0,0
11,24604,24454,24304,24154,24071,24042,24013,23986,23971,23957,23942,23844,23701,23559,23413,23252,23091,22930,22888,22884,22879,22839,22719,22598,22478,22380,22286,22192,22130,22115,22101,22086,21999,21908,21818,21705,21571,21437,21308,21249,21190,21131,21108,21108,21108,21101,21062,21022,20983,20953,20928,20903,20807,20526,20246,19965,19894,19866,19838,19748,19555,19361,19168,19134,19111,19088,18997,18832,18668,18497,18152,17807,17463,17264,17169,17074,16926,16444,15963,15481,15237,15100,14963,14729,14191,13653,13115,12855,12668,12481,11912,10620,9327.1,8034.4,7859.6,7813.7,7767.8,6822.6,4770.6,2718.6,666.61
12,41391,40619,39848,39076,38686,38607,38527,38409,37963,37517,37071,36582,36071,35561,35054,34563,34073,33582,33396,33308,33219,33118,32988,32859,32729,32689,32664,32638,32575,32459,32343,32227,32218,32213,32207,32162,32079,31996,31906,31724,31542,31360,31078,30733,30388,30001,29407,28813,28218,28027,27990,27953,27894,27781,27667,27554,27478,27411,27343,27300,27298,27296,27294,27209,27118,27026,26896,26725,26553,26385,26304,26224,26144,25857,25425,24993,24450,23219,21987,20756,20364,20349,20334,20262,20008,19753,19499,19273,19054,18835,18484,17882,17281,16679,16552,16481,16409,15704,14217,12730,11244
