WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,744.4,192.8,22.66,113.6,998.9,175.9,2514,23.6,3.92,15,0.241,0.059,0.517,0,0,0,0,0,0,0.472,0.31,0.096,0.15,0.19,0,0,0,8.6,0.17,0.64,0.36,31.5
1993,365,726.9,192.8,0,82.98,559.8,155.3,1593,17.7,3.48,13.4,0.272,0.0952,0.486,0,7,0,0,0.019,0,0.461,0.21,0.11,0.22,0.46,0,7,0.019178082191780823,4.3,0.2,0.76,0.24,41.1
1994,365,229.3,85.99,0,26.17,221.8,77.97,503.4,7,2.87,3.94,0.47,0.213,0.923,79,32,0,0.22,0.088,0,0.145,0,0,0.17,0.61,0.22,111,0.3041095890410959,3.06,0.41,0.56,0.44,32.8
1995,366,331.3,134.4,0,37.72,283.7,66.67,771.5,8.97,2.87,5.93,0.428,0.14,0.78,67,56,0,0.18,0.15,0,0.21,0,0.11,0.19,0.51,0.18,123,0.336986301369863,3.04,0.32,0.66,0.34,36.9
1996,365,683.5,192.8,0,78.02,512.2,95.13,1515,16.2,3.17,12.5,0.288,0.0832,0.547,26,15,0,0.071,0.041,0,0.433,0.24,0.11,0.14,0.44,0.071,41,0.11232876712328767,3.7,0.2,0.77,0.23,42.2
1997,365,717.7,192.8,21.59,81.93,520.4,150.4,1480,16.4,3.02,13,0.247,0.0882,0.408,0,0,0,0,0,0,0.455,0.23,0.11,0.18,0.48,0,0,0,3.4,0.18,0.79,0.21,43.8
1998,365,853.3,192.8,19.8,97.4,897.2,140.8,2858,28.3,4.49,17.4,0.243,0.0759,0.495,0,0,0,0,0,0,0.541,0.35,0.11,0.16,0.38,0,0,0,10.9,0.16,0.61,0.39,30.2
1999,366,726.8,192.8,0,82.74,653.8,188.7,2301,20.7,3.79,13.9,0.274,0.0531,0.548,0,11,0,0,0.03,0,0.461,0.2,0.17,0.17,0.47,0,11,0.030136986301369864,6.8,0.18,0.67,0.33,35.1
2000,365,859.5,192.8,22.24,98.12,1054,174.2,3224,33.2,5,18.1,0.247,0.0607,0.539,0,0,0,0,0,0,0.545,0.35,0.14,0.15,0.35,0,0,0,15.1,0.15,0.55,0.45,25.9
2001,365,574,155.5,0,65.53,415.2,135.1,928.8,13.1,3.13,9.96,0.294,0.136,0.533,0,11,0,0,0.03,0,0.364,0.019,0.24,0.21,0.53,0,11,0.030136986301369864,3.14,0.24,0.76,0.24,43.8
2002,365,705.4,192.8,13.52,80.52,563.8,116.2,1914,17.8,3.57,13,0.286,0.0773,0.532,0,0,0,0,0,0,0.447,0.15,0.22,0.18,0.45,0,0,0,4.8,0.2,0.73,0.27,39.6
2003,366,796.6,192.8,0,90.69,1027,186.2,3988,32.5,4.77,16.9,0.252,0.0542,0.516,0,14,0,0,0.038,0,0.505,0.33,0.1,0.17,0.4,0,14,0.038356164383561646,15.6,0.15,0.52,0.48,24.5
