date,flow,day,waterMonth,waterDay,waterYear,waterWeek,FDCPercentile,ewrMeasurementDate,ewrExceedance,ewrFlowBandNumber,ewrFlowBand,ewrMeasureExceedance
1993-01-01,159.52,1,4,93,1992,14,0.9076508620689655,1992-12-28,,5,Dry,
1993-01-02,161.98,2,4,94,1992,14,0.9023491379310346,1992-12-28,,5,Dry,
1993-01-03,164.44,3,4,95,1992,14,0.8961516853932584,1992-12-28,,5,Dry,
1993-01-04,168,4,4,96,1992,14,0.8864229765013055,1992-12-28,,5,Dry,
1993-01-05,172.1,5,4,97,1992,14,0.875,1992-12-28,,5,Dry,
1993-01-06,177.29,6,4,98,1992,14,0.8583536585365854,1992-12-28,,5,Dry,
1993-01-07,178.66,7,4,99,1992,15,0.8541768292682926,1992-12-28,,5,Dry,
1993-01-08,178.93,8,4,100,1992,15,0.8533536585365853,1992-12-28,,5,Dry,1
1993-01-09,183.03,9,4,101,1992,15,0.8421671018276763,1992-12-28,,5,Dry,
1993-01-10,186.59,10,4,102,1992,15,0.8309,1992-12-28,,5,Dry,
1993-01-11,189.05,11,4,103,1992,15,0.8220072992700729,1993-01-08,1,5,Dry,
1993-01-12,190.42,12,4,104,1992,15,0.8172757475083057,1993-01-08,1,5,Dry,
1993-01-13,192.88,13,4,105,1992,15,0.8091768292682928,1993-01-08,1,5,Dry,
1993-01-14,198.07,14,4,106,1992,16,0.7938591549295775,1993-01-08,1,5,Dry,
1993-01-15,201.08,15,4,107,1992,16,0.785,1993-01-08,1,5,Dry,
1993-01-16,203,16,4,108,1992,16,0.7790697674418605,1993-01-08,1,5,Dry,
1993-01-17,207.1,17,4,109,1992,16,0.7658231707317074,1993-01-08,1,5,Dry,
1993-01-18,209.56,18,4,110,1992,16,0.7581727574750831,1993-01-08,1,5,Dry,1
1993-01-19,214.75,19,4,111,1992,16,0.74,1993-01-08,1,5,Dry,
1993-01-20,223.23,20,4,112,1992,16,0.7128534031413613,1993-01-08,1,5,Dry,
1993-01-21,230.61,21,4,113,1992,17,0.6928720626631854,1993-01-18,1,5,Dry,
1993-01-22,235.81,22,4,114,1992,17,0.68,1993-01-18,1,5,Dry,
1993-01-23,243.19,23,4,115,1992,17,0.6643835616438357,1993-01-18,1,5,Dry,
1993-01-24,252.21,24,4,116,1992,17,0.6453118279569893,1993-01-18,1,5,Dry,
1993-01-25,261.24,25,4,117,1992,17,0.6289242726459865,1993-01-18,1,5,Dry,
1993-01-26,269.17,26,4,118,1992,17,0.6151973638084555,1993-01-18,1,5,Dry,
1993-01-27,277.64,27,4,119,1992,17,0.601799547133834,1993-01-18,1,5,Dry,
1993-01-28,284.48,28,4,120,1992,18,0.5919565838331905,1993-01-18,1,5,Dry,1
1993-01-29,291.32,29,4,121,1992,18,0.5824555886571776,1993-01-18,1,5,Dry,
1993-01-30,298.15,30,4,122,1992,18,0.5735175105268563,1993-01-18,1,5,Dry,
1993-01-31,304.99,31,4,123,1992,18,0.5648297604035308,1993-01-18,1,5,Dry,
1993-02-01,312.92,32,5,124,1992,18,0.555,1993-01-28,1,5,Dry,
1993-02-02,321.39,33,5,125,1992,18,0.5444892812105927,1993-01-28,1,5,Dry,
1993-02-03,330.96,34,5,126,1992,18,0.5335376344086022,1993-01-28,1,5,Dry,
1993-02-04,341.63,35,5,127,1992,19,0.5220559741657697,1993-01-28,1,5,Dry,
1993-02-05,352.84,36,5,128,1992,19,0.5102821316614421,1993-01-28,1,5,Dry,
1993-02-06,365.14,37,5,129,1992,19,0.49825411334552105,1993-01-28,1,5,Dry,
1993-02-07,378.54,38,5,130,1992,19,0.4860054844606947,1993-01-28,1,5,Dry,
1993-02-08,393.58,39,5,131,1992,19,0.4727914893617021,1993-01-28,1,5,Dry,1
1993-02-09,410.81,40,5,132,1992,19,0.45871834948421386,1993-01-28,1,5,Dry,
1993-02-10,427.49,41,5,133,1992,19,0.4459749344214515,1993-01-28,1,5,Dry,
1993-02-11,444.71,42,5,134,1992,20,0.4335340501792115,1993-02-08,1,5,Dry,
1993-02-12,464.13,43,5,135,1992,20,0.4201829268292683,1993-02-08,1,5,Dry,
1993-02-13,486.82,44,5,136,1992,20,0.4056067506027323,1993-02-08,1,5,Dry,
1993-02-14,510.07,45,5,137,1992,20,0.3894816772092775,1993-02-08,1,5,Dry,
