month,1.00,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.90,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.80,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.70,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.60,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.30,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.00
1,91475,90859,90244,89628,86419,81103,75788,70925,69984,69042,68101,67488,67048,66607,66191,65868,65545,65222,64507,63667,62828,61851,60571,59291,58011,57250,56571,55892,55152,54324,53497,52669,51990,51315,50641,49950,49244,48538,47799,46620,45441,44262,43477,42932,42387,41934,41927,41921,41914,41732,41484,41235,41002,40808,40613,40419,39907,39328,38750,38301,38066,37830,37594,36814,35994,35174,34533,34084,33635,33201,33166,33131,33097,32930,32671,32411,32119,31619,31120,30621,30154,29703,29251,28857,28644,28431,28218,27546,26755,25964,25421,25350,25280,25209,23418,21429,19440,17546,15770,13993,12217
2,124080,123370,122650,121940,121550,121430,121300,121070,119830,118600,117360,116610,116110,115620,115220,115210,115200,115190,113970,112360,110760,109450,108800,108150,107490,107310,107200,107090,105970,103400,100840,98271,96114,93972,91830,90455,89794,89134,88510,88381,88252,88123,87809,87382,86955,86090,83123,80156,77188,76274,76141,76008,75833,75548,75263,74977,74693,74408,74123,73624,72774,71924,71075,69975,68856,67738,67065,66868,66671,66479,66420,66362,66304,66127,65866,65605,65014,62360,59706,57052,56050,55791,55533,55281,55049,54817,54585,53704,52654,51604,50501,49298,48096,46893,43147,39107,35066,31196,27534,23872,20210
3,139990,139660,139320,138990,138520,137950,137390,136880,136880,136880,136880,136770,136620,136460,136190,135490,134790,134090,133480,132910,132330,131880,131720,131560,131390,131120,130830,130540,130350,130310,130260,130220,130130,130050,129960,129680,129220,128760,128320,128030,127740,127450,127190,126940,126690,126480,126430,126380,126320,125920,125370,124830,124210,123390,122580,121760,121450,121250,121050,120690,120050,119410,118780,117520,116210,114900,112600,109220,105840,102570,102510,102460,102400,102300,102170,102030,101890,101690,101490,101290,97807,92847,87887,83757,82238,80719,79200,77221,75122,73023,70605,67580,64556,61532,60969,60690,60411,57902,52649,47397,42144
4,136840,136270,135690,135120,134580,134080,133580,133120,133020,132920,132820,132790,132780,132780,132690,132290,131890,131490,130200,128630,127050,125830,125400,124970,124540,124350,124200,124050,123950,123940,123930,123920,123880,123850,123810,123650,123380,123110,122830,122420,122010,121600,121380,121270,121160,120860,119620,118390,117150,116470,115990,115520,115100,114840,114570,114300,114020,113720,113430,113090,112690,112290,111890,111220,110530,109840,109400,109240,109070,108910,108800,108680,108570,108100,107370,106650,106000,105780,105570,105360,103430,100740,98041,95934,95677,95420,95163,93521,91519,89516,86300,80777,75255,69732,68865,68534,68204,63950,54866,45783,36700
5,134920,134910,134900,134890,134870,134850,134820,134780,134550,134330,134110,133980,133900,133820,133650,133140,132640,132130,131870,131680,131490,131320,131200,131080,130960,130610,130220,129830,129510,129280,129050,128820,128490,128160,127830,127550,127340,127130,126910,126600,126290,125980,125840,125790,125750,125610,125040,124480,123910,123680,123590,123500,123100,121900,120700,119500,119180,119030,118890,118090,116190,114300,112400,111540,110760,109980,108740,107010,105280,103550,101840,100130,98414,96016,93135,90253,87682,87052,86422,85792,85059,84279,83500,82245,79497,76750,74002,70834,67555,64277,60958,57564,54169,50775,46377,41864,37351,32239,26390,20541,14692
6,113890,112970,112050,111130,110660,110550,110450,110280,109470,108670,107860,107570,107540,107520,107470,107330,107180,107040,106810,106560,106310,105810,104730,103650,102570,100690,98686,96678,95425,95243,95060,94877,94208,93520,92833,92039,91144,90249,89365,88630,87894,87158,86512,85920,85328,84757,84283,83810,83337,82565,81678,80792,79546,77357,75168,72979,72594,72585,72576,72448,72125,71802,71479,70129,68703,67276,66353,65968,65584,65111,62162,59213,56264,54194,52743,51293,49886,48752,47619,46485,45779,45265,44751,44043,42726,41408,40090,39015,38003,36992,35671,33762,31853,29944,27248,24462,21675,17519,11680,5839.8,0
7,69867,69188,68510,67831,67267,66794,66322,65837,65240,64642,64045,63643,63346,63048,62709,62214,61718,61223,60538,59792,59046,58466,58253,58040,57827,57694,57575,57455,57081,56347,55612,54878,54619,54377,54134,53903,53682,53461,53253,53236,53219,53202,53074,52878,52682,52416,51817,51218,50618,50286,50055,49824,49267,47855,46443,45031,44654,44492,44331,44160,43975,43790,43605,43096,42562,42028,41734,41700,41665,41576,39989,38402,36814,35673,34846,34020,33206,32471,31735,31000,30390,29837,29283,28618,27599,26580,25562,24746,23984,23221,21781,19052,16322,13593,10405,7163.1,3921.6,1855.8,1237.2,618.62,0
8,39742,39545,39347,39150,39011,38919,38828,38732,38604,38475,38346,38278,38240,38203,38038,37382,36726,36070,35903,35890,35878,35801,35579,35357,35136,35086,35065,35043,34969,34820,34672,34524,34305,34084,33863,33739,33706,33673,33627,33394,33161,32928,32775,32671,32567,32406,31970,31534,31098,30896,30784,30671,30567,30483,30399,30315,30081,29816,29550,29379,29362,29345,29329,29170,29001,28832,28698,28601,28505,28359,26819,25279,23739,22825,22354,21883,21183,19049,16916,14783,13932,13658,13384,12518,9788.8,7060.1,4331.4,3460.8,3074.9,2689,2192.6,1486.1,779.58,73.086,0,0,0,0,0,0,0
9,27725,27273,26820,26368,26077,25916,25755,25602,25516,25431,25345,25288,25246,25204,25073,24599,24126,23653,23412,23244,23077,22913,22757,22601,22445,22211,21965,21719,21569,21554,21539,21524,21455,21383,21311,21273,21266,21258,21233,20962,20691,20420,20313,20306,20299,20274,20167,20060,19953,19907,19884,19860,19833,19795,19756,19718,19603,19472,19341,19148,18851,18555,18259,18057,17863,17668,17349,16896,16443,16002,15879,15756,15634,15477,15297,15117,14788,13536,12283,11031,10631,10614,10597,10173,8466.8,6760.5,5054.3,4321.6,3842.8,3364,2777.5,1986.4,1195.2,404.01,238.4,144.97,51.546,0,0,0,0
10,20798,20662,20526,20390,20162,19858,19554,19278,19241,19205,19168,19073,18947,18821,18694,18567,18440,18313,18277,18270,18263,18252,18230,18208,18186,18173,18161,18149,18097,17989,17881,17773,17749,17729,17708,17648,17551,17454,17363,17345,17328,17311,17295,17280,17264,17247,17220,17192,17165,17056,16915,16775,16538,16047,15557,15066,14862,14717,14571,14471,14442,14414,14386,14361,14336,14312,14247,14139,14032,13927,13923,13919,13914,13731,13421,13112,12840,12808,12775,12743,12680,12602,12525,11851,9302,6752.9,4203.7,2830.7,1764.6,698.49,0,0,0,0,0,0,0,0,0,0,0
11,23042,23019,22996,22973,22911,22817,22723,22639,22639,22638,22637,22558,22438,22317,22204,22118,22032,21946,21893,21851,21809,21724,21543,21361,21180,21084,21002,20919,20820,20695,20570,20445,20419,20398,20376,20319,20231,20142,20057,20028,20000,19971,19928,19877,19825,19775,19730,19684,19638,19565,19481,19397,19336,19332,19328,19325,19303,19279,19254,19219,19169,19119,19069,19052,19038,19023,18591,17709,16828,15976,15961,15945,15930,15688,15287,14886,14538,14523,14509,14494,14138,13627,13117,12515,11624,10734,9843.2,9210.5,8644.9,8079.4,7412.1,6551.3,5690.5,4829.7,4668.3,4587.7,4507.1,3882.4,2588.3,1294.1,0
12,39170,38322,37475,36627,35899,35269,34638,34061,33941,33821,33701,33441,33107,32774,32481,32341,32202,32062,31925,31789,31652,31516,31377,31239,31101,30966,30830,30695,30465,30099,29733,29367,29278,29199,29120,29052,28996,28939,28884,28844,28805,28766,28554,28237,27920,27605,27304,27003,26702,26348,25973,25598,25285,25130,24976,24822,24725,24641,24556,24478,24412,24346,24279,24166,24050,23933,23806,23668,23529,23395,23385,23374,23364,23041,22497,21953,21349,20363,19377,18391,17896,17623,17350,17103,16934,16766,16598,16536,16502,16467,16220,15569,14917,14265,13940,13653,13366,11618,8073.3,4528.3,983.35
