Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,924.7,38.8,0.586,0.39,44.7,0.301
0.01,917.6,38,0.581,0.378,44.6,0.293
0.02,910.5,37.2,0.577,0.366,44.5,0.285
0.03,903.4,36.5,0.572,0.354,44.4,0.277
0.04,895.5,36.2,0.568,0.342,44.2,0.244
0.05,887.1,36.1,0.563,0.33,44,0.199
0.06,878.8,36,0.557,0.318,43.8,0.153
0.07,872.6,35.9,0.553,0.303,43.6,0.116
0.08,870.4,35.7,0.552,0.282,43.5,0.0948
0.09,868.2,35.5,0.551,0.261,43.5,0.0734
0.1,866,35.3,0.549,0.24,43.4,0.0521
0.11,860.8,35.3,0.546,0.237,43,0.0471
0.12,855.6,35.3,0.542,0.234,42.7,0.0422
0.13,850.3,35.3,0.539,0.231,42.3,0.0373
0.14,847.8,35.3,0.538,0.228,42.1,0.0351
0.15,846.5,35.3,0.537,0.225,42,0.0342
0.16,845.2,35.2,0.536,0.222,41.8,0.0334
0.17,844.4,35.2,0.536,0.218,41.6,0.0329
0.18,844.2,35.2,0.536,0.212,41.2,0.0329
0.19,844,35.2,0.535,0.206,40.9,0.0329
0.2,843.9,35.2,0.535,0.2,40.5,0.0329
0.21,843.7,35.2,0.535,0.197,39.9,0.0321
0.22,843.5,35.1,0.535,0.194,39.3,0.0312
0.23,843.3,35.1,0.535,0.191,38.7,0.0304
0.24,840.6,34.6,0.533,0.19,38.5,0.0296
0.25,836.8,34,0.531,0.19,38.4,0.0288
0.26,832.9,33.3,0.529,0.19,38.3,0.0279
0.27,828.9,32.4,0.526,0.19,38.3,0.0271
0.28,824.5,31.1,0.523,0.19,38.1,0.0263
0.29,820.2,29.8,0.52,0.19,37.9,0.0255
0.3,815.9,28.5,0.517,0.19,37.8,0.0247
0.31,815.6,28.4,0.517,0.19,37.3,0.0238
0.32,815.2,28.4,0.517,0.19,36.7,0.023
0.33,814.9,28.3,0.517,0.19,36.2,0.0222
0.34,813.3,28,0.516,0.19,35.6,0.0214
0.35,811,27.6,0.514,0.19,35,0.0205
0.36,808.7,27.1,0.513,0.19,34.3,0.0197
0.37,807.2,26.8,0.512,0.189,33.9,0.0189
0.38,807,26.6,0.512,0.186,33.9,0.0181
0.39,806.9,26.5,0.512,0.183,33.8,0.0173
0.4,806.8,26.4,0.512,0.18,33.8,0.0164
0.41,805,25.7,0.511,0.18,33.7,0.0164
0.42,803.1,25,0.51,0.18,33.7,0.0164
0.43,801.3,24.3,0.508,0.18,33.6,0.0164
0.44,797.8,24.1,0.506,0.178,33.6,0.0159
0.45,793.5,24,0.504,0.175,33.6,0.0151
0.46,789.2,23.9,0.501,0.172,33.6,0.0142
0.47,786,23.9,0.499,0.17,33.5,0.0132
0.48,785.1,23.9,0.498,0.17,33.2,0.0115
0.49,784.2,23.8,0.498,0.17,32.8,0.00986
0.5,783.3,23.8,0.497,0.17,32.5,0.00822
0.51,777.2,23.8,0.493,0.17,32.5,0.0074
0.52,771.1,23.8,0.489,0.17,32.5,0.00658
0.53,765,23.8,0.485,0.17,32.5,0.00575
0.54,760.5,23.7,0.482,0.17,32.2,0.00438
0.55,756.8,23.6,0.48,0.17,31.8,0.00274
0.56,753,23.6,0.478,0.17,31.4,0.0011
0.57,749.3,23.4,0.475,0.169,31.1,0
0.58,745.7,23.2,0.473,0.166,31.1,0
0.59,742.2,22.9,0.47,0.163,31,0
0.6,738.6,22.7,0.468,0.16,31,0
0.61,738.3,22.3,0.468,0.16,30.9,0
0.62,738.1,21.9,0.468,0.16,30.8,0
0.63,737.8,21.4,0.468,0.16,30.6,0
0.64,737.5,21.1,0.468,0.16,30.4,0
0.65,737.3,20.9,0.468,0.16,30.1,0
0.66,737,20.7,0.467,0.16,29.8,0
0.67,736.1,20.2,0.467,0.16,29.5,0
0.68,733.8,19.2,0.465,0.16,29,0
0.69,731.6,18.3,0.464,0.16,28.6,0
0.7,729.4,17.3,0.463,0.16,28.2,0
0.71,726.8,17.2,0.461,0.16,28.1,0
0.72,724.2,17,0.459,0.16,28,0
0.73,721.6,16.9,0.458,0.16,27.9,0
0.74,716.5,16.8,0.454,0.158,27.3,0
0.75,710.2,16.8,0.451,0.155,26.4,0
0.76,703.9,16.8,0.447,0.152,25.6,0
0.77,697.8,16.8,0.443,0.15,24.9,0
0.78,692.2,16.7,0.439,0.15,24.6,0
0.79,686.5,16.7,0.436,0.15,24.4,0
0.8,680.9,16.6,0.432,0.15,24.1,0
0.81,669.8,16,0.425,0.15,24.1,0
0.82,658.6,15.3,0.418,0.15,24.1,0
0.83,647.5,14.7,0.41,0.15,24.1,0
0.84,636.6,14.3,0.403,0.15,24.1,0
0.85,625.8,14.1,0.397,0.15,24.1,0
0.86,614.9,13.8,0.39,0.15,24.1,0
0.87,604.5,13.6,0.383,0.149,24,0
0.88,595,13.4,0.377,0.146,23.7,0
0.89,585.5,13.3,0.371,0.143,23.4,0
0.9,576,13.2,0.365,0.14,23.1,0
0.91,509,12,0.323,0.14,22.9,0
0.92,442.1,10.9,0.28,0.14,22.6,0
0.93,375.1,9.73,0.238,0.14,22.4,0
0.94,331.1,8.93,0.21,0.14,22.3,0
0.95,298.7,8.31,0.19,0.14,22.3,0
0.96,266.2,7.69,0.169,0.14,22.3,0
0.97,227.9,6.76,0.144,0.14,22.3,0
0.98,177.9,5.18,0.113,0.14,22.1,0
0.99,128,3.61,0.0812,0.14,21.9,0
1,78.07,2.03,0.0495,0.14,21.8,0
