Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,592.2,264.6,1308,134400,32090,73460,180.6,43.13,98.73,0.18,0.82,0.18,0,0,0,0.55,47.3
2,5,1283,354.1,2597,124400,39420,105600,185.1,58.66,155.9,0.12,0.74,0.26,0,0,0,0.87,38.1
3,6,2423,840.4,4654,141100,65140,115600,189.6,87.55,155.3,0.095,0.52,0.48,0,0,0.0065,0.86,22.9
4,7,3046,792.4,5255,137600,63560,101800,191.2,88.28,141.4,0.084,0.44,0.56,0,0,0,0.79,18
5,8,2143,518.2,3910,135300,58640,113500,181.9,78.82,152.6,0.14,0.55,0.45,0,0,0,0.85,25.2
6,9,1104,335.4,2013,127000,34390,103600,176.4,47.76,144,0.2,0.74,0.26,0,0,0,0.8,38.8
7,10,624.5,245.3,928.6,97170,22790,66690,130.6,30.62,89.64,0.32,0.69,0.31,0,0,0,0.5,39.9
8,11,411.2,184.7,571,57840,3058,39650,77.75,4.111,53.3,0.4,0.6,0.4,0,0.032,0,0.3,35.5
9,12,281.4,135.7,371.8,36030,5180,25870,50.04,7.194,35.93,0.43,0.58,0.42,0.0044,0.021,0,0.2,35
10,1,214.6,110,270.1,26730,986.7,19700,35.93,1.326,26.48,0.42,0.58,0.42,0,0.067,0,0.15,33.8
11,2,213.1,127.5,272,27620,12180,21810,38.37,16.91,30.29,0.36,0.64,0.36,0,0.0011,0,0.17,39.6
12,3,283,169.9,458.5,56180,18290,35260,75.51,24.59,47.39,0.26,0.75,0.25,0,0,0,0.26,46.4
