Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,323.4,158,607.5,79580,11380,40370,107,15.29,54.26,0.26,0.75,0.25,0.0022,0.0075,0,0.3,45.4
2,5,652.4,216.4,1416,122500,16300,72240,182.3,24.26,106.7,0.17,0.81,0.19,0,0.0071,0,0.59,46.3
3,6,1202,376.5,2204,136600,43770,111400,183.7,58.83,149.7,0.13,0.74,0.26,0,0,0,0.83,38.3
4,7,1853,404.8,3721,135200,43520,111700,187.8,60.44,155.2,0.11,0.61,0.39,0,0,0,0.86,29.1
5,8,1262,285.8,2358,135400,22930,108400,181.9,30.83,145.7,0.19,0.69,0.31,0,0,0,0.81,35.4
6,9,682.1,196.8,1075,114000,4628,76510,158.3,6.427,106.3,0.25,0.75,0.25,0,0.023,0,0.59,42.3
7,10,449.5,154.8,667.3,70010,0,46640,94.09,0,62.69,0.36,0.64,0.36,0.022,0.037,0,0.35,37.2
8,11,313.5,123.4,447.2,42150,0,27910,56.65,0,37.51,0.44,0.56,0.44,0.038,0.12,0,0.21,30.7
9,12,223.6,90.54,312.5,27930,0,18830,38.79,0,26.15,0.46,0.53,0.47,0.076,0.074,0,0.15,30.5
10,1,172.5,70.97,232.9,22580,0,14360,30.35,0,19.3,0.43,0.53,0.47,0.11,0.1,0,0.11,29.2
11,2,172.8,86.92,231.8,22870,0,17250,31.77,0,23.96,0.36,0.62,0.38,0.054,0.05,0,0.13,36.9
12,3,209.6,122.7,284.7,37350,6071,24990,50.21,8.16,33.59,0.3,0.71,0.29,0,0.02,0,0.19,43.5
