date,waterYear,waterMonth,energy
1993-01-01,1992,4,461.09364181144025
1993-01-02,1992,4,473.329492429062
1993-01-03,1992,4,485.44969398462985
1993-01-04,1992,4,502.8214260931494
1993-01-05,1992,4,522.7055203612405
1993-01-06,1992,4,546.008458659783
1993-01-07,1992,4,557.0071085597095
1993-01-08,1992,4,558.5562868648557
1993-01-09,1992,4,579.0400122022182
1993-01-10,1992,4,593.2570123562747
1993-01-11,1992,4,610.7221762781613
1993-01-12,1992,4,618.6385410507912
1993-01-13,1992,4,632.9976060823384
1993-01-14,1992,4,660.2797359979188
1993-01-15,1992,4,674.701262931811
1993-01-16,1992,4,682.480788275962
1993-01-17,1992,4,696.0077093584237
1993-01-18,1992,4,703.5154314248418
1993-01-19,1992,4,731.9863159796173
1993-01-20,1992,4,775.5788703509231
1993-01-21,1992,4,807.2577017847503
1993-01-22,1992,4,829.5788928234374
1993-01-23,1992,4,863.7501464669755
1993-01-24,1992,4,910.3482685439848
1993-01-25,1992,4,960.7057580626877
1993-01-26,1992,4,1000.6739042807246
1993-01-27,1992,4,1041.7818362531414
1993-01-28,1992,4,1076.8334201064054
1993-01-29,1992,4,1111.4784113821752
1993-01-30,1992,4,1142.6532453128846
1993-01-31,1992,4,1156.8000000000002
1993-02-01,1992,5,1143.531495832864
1993-02-02,1992,5,1156.8000000000002
1993-02-03,1992,5,1156.8000000000002
1993-02-04,1992,5,1220.7398245231502
1993-02-05,1992,5,1271.881969195586
1993-02-06,1992,5,1328.345426471786
1993-02-07,1992,5,1395.0297986733171
1993-02-08,1992,5,1458.8603280806321
1993-02-09,1992,5,1531.0811313896372
1993-02-10,1992,5,1608.0840459756296
1993-02-11,1992,5,1676.0661685390178
1993-02-12,1992,5,1757.0691768689421
1993-02-13,1992,5,1854.8309986381678
1993-02-14,1992,5,1961.088678959221
1993-02-15,1992,5,2064.3476502989242
1993-02-16,1992,5,2169.3872024115626
1993-02-17,1992,5,2278.024011955968
1993-02-18,1992,5,2313.6000000000004
1993-02-19,1992,5,2441.769824439857
1993-02-20,1992,5,2549.6406180589065
1993-02-21,1992,5,2653.668644462444
1993-02-22,1992,5,2765.8969550232696
1993-02-23,1992,5,2885.6247676005505
1993-02-24,1992,5,3002.520853695724
1993-02-25,1992,5,3114.870335492104
1993-02-26,1992,5,3227.9019921778063
1993-02-27,1992,5,3338.1729107832343
1993-02-28,1992,5,3409.785345261549
1993-03-01,1992,6,3286.186322246869
1993-03-02,1992,6,3362.8144227749526
1993-03-03,1992,6,3460.159523221433
1993-03-04,1992,6,3470.4000000000005
1993-03-05,1992,6,3470.4000000000005
1993-03-06,1992,6,3688.190456714145
1993-03-07,1992,6,3773.9923617985405
1993-03-08,1992,6,3859.8081192452473
1993-03-09,1992,6,3945.9907125144055
1993-03-10,1992,6,4026.4550514666576
1993-03-11,1992,6,4110.977084511438
1993-03-12,1992,6,4194.848386808484
1993-03-13,1992,6,4278.466753948278
1993-03-14,1992,6,4381.082069705166
1993-03-15,1992,6,4497.7195462818945
1993-03-16,1992,6,4613.814997715832
1993-03-17,1992,6,4627.200000000001
1993-03-18,1992,6,4627.200000000001
1993-03-19,1992,6,4627.200000000001
1993-03-20,1992,6,4627.200000000001
1993-03-21,1992,6,4600.889850440278
1993-03-22,1992,6,4569.907736177391
1993-03-23,1992,6,4533.127537876744
1993-03-24,1992,6,4496.507040499038
1993-03-25,1992,6,4461.556900283607
1993-03-26,1992,6,4426.945059423062
1993-03-27,1992,6,4392.035511429015
1993-03-28,1992,6,4356.762248695815
1993-03-29,1992,6,4325.940944207985
1993-03-30,1992,6,4294.4114719862455
1993-03-31,1992,6,4268.447126288495
1993-04-01,1992,7,4242.381152421893
1993-04-02,1992,7,4216.731499751758
1993-04-03,1992,7,4196.686121014179
1993-04-04,1992,7,4176.552052109749
1993-04-05,1992,7,4150.5417123479265
1993-04-06,1992,7,4124.400467634924
1993-04-07,1992,7,4098.120384469498
1993-04-08,1992,7,4073.436428915963
1993-04-09,1992,7,4049.2726073607873
1993-04-10,1992,7,4024.9638036269516
1993-04-11,1992,7,4000.5163984291603
1993-04-12,1992,7,3971.4398831801564
1993-04-13,1992,7,3937.6463632057776
1993-04-14,1992,7,3915.425967393703
1993-04-15,1992,7,3893.092996774246
1993-04-16,1992,7,3870.677817031515
1993-04-17,1992,7,3853.199575820934
1993-04-18,1992,7,3840.682162967485
1993-04-19,1992,7,3833.1670754034585
1993-04-20,1992,7,3825.614843104813
1993-04-21,1992,7,3823.0625144145183
1993-04-22,1992,7,3820.510628526861
1993-04-23,1992,7,3823.0625144145183
1993-04-24,1992,7,3825.614843104813
1993-04-25,1992,7,3833.1670754034585
1993-04-26,1992,7,3840.682162967485
1993-04-27,1992,7,3853.199575820934
1993-04-28,1992,7,3865.686854602406
1993-04-29,1992,7,3878.157177298908
1993-04-30,1992,7,3890.6038508955003
1993-05-01,1992,8,3907.9893285113203
1993-05-02,1992,8,3925.3267906364217
1993-05-03,1992,8,3946.6821354824697
1993-05-04,1992,8,3971.4398831801564
1993-05-05,1992,8,3996.053518183544
1993-05-06,1992,8,4020.5288698694785
1993-05-07,1992,8,4044.8656716080495
1993-05-08,1992,8,4069.0514275424384
1993-05-09,1992,8,4093.1124549928336
1993-05-10,1992,8,4124.400467634924
1993-05-11,1992,8,4156.337691826863
1993-05-12,1992,8,4188.070106317732
1993-05-13,1992,8,4219.588887617127
1993-05-14,1992,8,4250.893455121459
1993-05-15,1992,8,4281.983232637269
1993-05-16,1992,8,4307.767390491873
1993-05-17,1992,8,4333.49476867923
1993-05-18,1992,8,4358.513473273566
1993-05-19,1992,8,4382.957048185039
1993-05-20,1992,8,4407.218557538039
1993-05-21,1992,8,4431.306042038111
1993-05-22,1992,8,4456.694306177285
1993-05-23,1992,8,4484.753351307318
1993-05-24,1992,8,4510.721624732974
1993-05-25,1992,8,4536.477762111483
1993-05-26,1992,8,4562.014725139038
1993-05-27,1992,8,4587.332341686439
1993-05-28,1992,8,4612.953989062273
1993-05-29,1992,8,4564.341234243915
1993-05-30,1992,8,4448.909103042964
1993-05-31,1992,8,4321.825626631964
1993-06-01,1992,9,4627.200000000001
1993-06-02,1992,9,4545.785901137508
1993-06-03,1992,9,4459.041301113952
1993-06-04,1992,9,4358.7044531311285
