WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,703.2,192.8,19.21,107.3,911.7,159.5,2435,21.5,3.62,14,0.246,0.061,0.472,0,0,0,0,0,0,0.446,0.27,0.11,0.15,0.22,0,0,0,7.5,0.17,0.65,0.35,32.7
1993,365,627.1,192.8,0,71.58,465,137.4,1404,14.7,3.22,11.3,0.292,0.0919,0.524,0,14,0,0,0.038,0,0.398,0.14,0.12,0.2,0.55,0,14,0.038356164383561646,3.4,0.22,0.77,0.23,42.7
1994,365,200,79.32,0,22.83,207.6,75.33,472.4,6.55,2.87,3.5,0.496,0.227,0.956,81,36,0,0.22,0.099,0,0.127,0,0,0.15,0.63,0.22,117,0.32054794520547947,3.05,0.44,0.53,0.47,30.5
1995,366,273.9,124,0,31.18,255.9,63.23,722.5,8.09,2.87,5,0.465,0.152,0.822,86,70,0,0.24,0.19,0,0.174,0,0.09,0.14,0.53,0.24,156,0.4273972602739726,3.09,0.35,0.62,0.38,33.9
1996,365,605.5,192.8,0,69.12,448.5,84.6,1463,14.1,2.92,10.9,0.305,0.0862,0.615,41,6,0,0.11,0.016,0,0.384,0.099,0.21,0.17,0.41,0.11,47,0.12876712328767123,3.2,0.21,0.77,0.23,42.9
1997,365,604.3,192.8,18.67,68.99,434,140.4,1355,13.7,2.91,10.7,0.277,0.0979,0.462,0,0,0,0,0,0,0.383,0.11,0.16,0.19,0.54,0,0,0,3,0.21,0.78,0.22,44.1
1998,365,796.6,192.8,15.73,90.94,769,123.4,2635,24.3,4.11,15.7,0.264,0.0616,0.528,0,0,0,0,0,0,0.505,0.31,0.096,0.18,0.42,0,0,0,8.6,0.17,0.65,0.35,32.8
1999,366,691.8,192.8,0,78.75,645.4,176.5,2374,20.4,3.86,13.3,0.283,0.0531,0.54,0,8,0,0,0.022,0,0.439,0.19,0.11,0.21,0.48,0,8,0.021917808219178082,7.1,0.19,0.65,0.35,33.9
2000,365,832,192.8,22.61,94.98,982.7,175.7,3168,31,4.78,17.2,0.248,0.0654,0.523,0,0,0,0,0,0,0.528,0.33,0.13,0.18,0.36,0,0,0,13.8,0.15,0.55,0.45,26.8
2001,365,540.4,159.2,0,61.68,397.2,130,941.5,12.5,3.12,9.4,0.303,0.133,0.554,0,18,0,0,0.049,0,0.343,0.027,0.19,0.23,0.55,0,18,0.049315068493150684,3.1,0.25,0.75,0.25,43.2
2002,365,651.1,192.8,0,74.33,532.6,111.1,1902,16.8,3.57,12,0.303,0.0778,0.541,0,10,0,0,0.027,0,0.413,0.15,0.18,0.21,0.47,0,10,0.0273972602739726,4.8,0.21,0.71,0.29,38.8
2003,366,760.3,192.8,24.78,86.56,970,182.2,3973,30.7,4.55,15.8,0.249,0.055,0.494,0,0,0,0,0,0,0.482,0.27,0.12,0.19,0.42,0,0,0,14.9,0.15,0.51,0.49,24.8
2004,365,470.7,176.2,0,53.73,359.5,119,1050,11.3,3.02,8.3,0.322,0.119,0.605,5,40,0,0.014,0.11,0,0.298,0.044,0.082,0.29,0.57,0.014,45,0.1232876712328767,3,0.27,0.73,0.27,41.7
2005,365,680.3,192.8,0,77.66,545.5,94.17,1627,17.2,3.26,12.8,0.283,0.0847,0.552,16,23,0,0.044,0.063,0,0.431,0.19,0.13,0.21,0.42,0.044,39,0.10684931506849316,4.4,0.19,0.74,0.26,39.6
2006,365,835.3,192.8,20.39,95.35,953.9,165.3,2686,30.1,4.62,17.3,0.247,0.0686,0.476,0,0,0,0,0,0,0.53,0.35,0.1,0.15,0.4,0,0,0,12.8,0.15,0.57,0.43,27.8
2007,366,780.1,192.8,0,88.81,688.9,185.2,1951,21.8,3.8,15.1,0.26,0.0854,0.491,0,10,0,0,0.027,0,0.495,0.25,0.13,0.18,0.44,0,10,0.0273972602739726,6.7,0.17,0.69,0.31,35.8
2008,365,717,192.8,18.58,81.85,641.1,156.2,2318,20.2,3.68,13.6,0.263,0.0601,0.536,0,0,0,0,0,0,0.455,0.19,0.14,0.22,0.45,0,0,0,6.6,0.18,0.67,0.33,35.5
2009,365,827.6,192.8,22.48,94.48,1030,175.1,3139,32.5,4.8,17.4,0.243,0.0643,0.495,0,0,0,0,0,0,0.525,0.34,0.1,0.18,0.38,0,0,0,15.1,0.15,0.54,0.46,25.5
2010,365,886.7,192.8,0,101.2,962.6,202.2,2952,30.4,4.74,18.2,0.248,0.0735,0.525,0,1,0,0,0.0027,0,0.562,0.37,0.11,0.18,0.35,0,1,0.0027397260273972603,12.2,0.16,0.6,0.4,29.2
2011,366,630.6,192.8,0,71.79,448.8,141.2,1248,14.2,3.02,11.2,0.273,0.1,0.51,0,9,0,0,0.025,0,0.4,0.12,0.15,0.24,0.49,0,9,0.024657534246575342,3,0.21,0.79,0.21,44.4
2012,365,763.3,192.8,0,87.13,672.9,129.4,2393,21.2,3.53,14.7,0.254,0.058,0.46,0,3,0,0,0.0082,0,0.484,0.24,0.16,0.17,0.43,0,3,0.00821917808219178,6.5,0.17,0.69,0.31,36
2013,365,825.5,192.8,21.76,94.24,749.1,154.6,2177,23.6,3.8,16,0.245,0.067,0.521,0,0,0,0,0,0,0.524,0.32,0.11,0.17,0.4,0,0,0,7.6,0.16,0.68,0.32,35
2014,365,740.3,192.8,20.11,84.5,533.5,163.6,1394,16.8,3.24,13.4,0.255,0.0897,0.452,0,0,0,0,0,0,0.469,0.21,0.15,0.18,0.46,0,0,0,3.4,0.19,0.8,0.2,44.1
2015,366,744.8,192.8,0,84.79,614.5,136.8,1926,19.4,3.29,14.1,0.246,0.0734,0.468,0,4,0,0,0.011,0,0.472,0.22,0.12,0.23,0.43,0,4,0.010958904109589041,5.3,0.17,0.73,0.27,38.4
2016,365,782.1,192.8,17.46,89.28,950.6,151.1,3422,30,4.69,16.2,0.254,0.0559,0.524,0,0,0,0,0,0,0.496,0.3,0.099,0.21,0.39,0,0,0,13.8,0.16,0.54,0.46,26.1
2017,365,850.9,192.8,26.44,97.14,965.3,215,3033,30.4,4.91,17.4,0.249,0.0715,0.489,0,0,0,0,0,0,0.54,0.33,0.096,0.25,0.33,0,0,0,13,0.16,0.57,0.43,28
