Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,816.2,23.2,0.518,0.61,45,0.652
0.01,810.9,23,0.514,0.583,44.9,0.65
0.02,805.5,22.8,0.511,0.556,44.9,0.649
0.03,800.2,22.7,0.507,0.529,44.8,0.647
0.04,796.5,22.6,0.505,0.492,44.7,0.597
0.05,793.6,22.5,0.503,0.45,44.6,0.522
0.06,790.8,22.4,0.501,0.408,44.5,0.447
0.07,787.8,22.2,0.499,0.38,44.3,0.391
0.08,784.5,21.4,0.497,0.38,44.2,0.372
0.09,781.1,20.7,0.495,0.38,44,0.353
0.1,777.8,20,0.493,0.38,43.8,0.334
0.11,767.9,19.9,0.487,0.377,43.6,0.327
0.12,757.9,19.9,0.48,0.374,43.4,0.319
0.13,748,19.8,0.474,0.371,43.2,0.312
0.14,743.2,19.7,0.471,0.366,42.9,0.304
0.15,740.9,19.6,0.47,0.36,42.7,0.296
0.16,738.5,19.6,0.468,0.354,42.5,0.288
0.17,734.8,19.5,0.466,0.348,42.3,0.281
0.18,728.2,19.4,0.461,0.342,42.2,0.278
0.19,721.5,19.4,0.457,0.336,42.1,0.275
0.2,714.9,19.3,0.453,0.33,42,0.271
0.21,714.2,18.9,0.453,0.321,42,0.27
0.22,713.6,18.5,0.452,0.312,42,0.268
0.23,712.9,18.1,0.452,0.303,42,0.266
0.24,710.1,17.8,0.45,0.298,42,0.254
0.25,706.2,17.6,0.448,0.295,42,0.236
0.26,702.2,17.3,0.446,0.292,41.9,0.218
0.27,699.2,17.1,0.444,0.289,41.9,0.204
0.28,698,17.1,0.443,0.286,41.8,0.2
0.29,696.7,17,0.442,0.283,41.7,0.196
0.3,695.5,17,0.441,0.28,41.6,0.192
0.31,693.4,16.9,0.44,0.274,41.6,0.191
0.32,691.2,16.9,0.439,0.268,41.6,0.19
0.33,689.1,16.8,0.437,0.262,41.6,0.189
0.34,684,16.7,0.434,0.258,41.6,0.187
0.35,677.3,16.5,0.429,0.255,41.5,0.184
0.36,670.6,16.2,0.425,0.252,41.4,0.18
0.37,662.1,15.9,0.419,0.25,41.4,0.178
0.38,649.9,15.5,0.412,0.25,41.4,0.177
0.39,637.7,15.1,0.405,0.25,41.3,0.176
0.4,625.5,14.6,0.397,0.25,41.3,0.175
0.41,620.2,14.4,0.393,0.25,40.9,0.167
0.42,614.8,14.2,0.39,0.25,40.5,0.159
0.43,609.5,14,0.386,0.25,40.1,0.151
0.44,603.5,13.7,0.382,0.248,39.8,0.142
0.45,597.2,13.5,0.379,0.245,39.6,0.134
0.46,590.8,13.3,0.375,0.242,39.4,0.126
0.47,579.6,13,0.368,0.24,39.2,0.12
0.48,558.6,12.7,0.354,0.24,39.1,0.119
0.49,537.7,12.4,0.341,0.24,39.1,0.119
0.5,516.7,12.1,0.328,0.24,39,0.118
0.51,513.7,12.1,0.326,0.231,38.8,0.117
0.52,510.7,12,0.324,0.222,38.5,0.116
0.53,507.7,12,0.322,0.213,38.3,0.115
0.54,502.6,11.9,0.318,0.21,38.1,0.111
0.55,496.5,11.8,0.315,0.21,38,0.104
0.56,490.4,11.7,0.311,0.21,37.9,0.0975
0.57,485.5,11.6,0.308,0.208,37.8,0.0932
0.58,483.3,11.6,0.306,0.202,37.8,0.0932
0.59,481,11.5,0.305,0.196,37.8,0.0932
0.6,478.7,11.5,0.304,0.19,37.8,0.0932
0.61,478.7,11.5,0.304,0.19,37.6,0.0923
0.62,478.6,11.4,0.304,0.19,37.4,0.0915
0.63,478.6,11.4,0.304,0.19,37.2,0.0907
0.64,475.4,11.3,0.302,0.19,36.9,0.0904
0.65,470.5,11.2,0.298,0.19,36.6,0.0904
0.66,465.6,11.1,0.295,0.19,36.3,0.0904
0.67,456,10.9,0.289,0.19,36.1,0.0899
0.68,436.8,10.6,0.277,0.19,36.1,0.0882
0.69,417.6,10.4,0.265,0.19,36,0.0866
0.7,398.4,10.1,0.253,0.19,36,0.0849
0.71,397.8,10.1,0.252,0.19,35.9,0.066
0.72,397.1,10,0.252,0.19,35.8,0.0471
0.73,396.5,9.98,0.251,0.19,35.6,0.0282
