Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,849.1,29.2,0.538,0.42,45,0.419
0.01,846.9,28.8,0.537,0.405,44.9,0.39
0.02,844.7,28.4,0.536,0.39,44.8,0.362
0.03,842.5,28,0.534,0.375,44.7,0.333
0.04,838.2,27.9,0.532,0.362,44.5,0.31
0.05,832.8,27.8,0.528,0.35,44.2,0.289
0.06,827.5,27.7,0.525,0.338,43.8,0.268
0.07,822.5,27.5,0.522,0.328,43.6,0.252
0.08,818.4,27.1,0.519,0.322,43.6,0.244
0.09,814.3,26.6,0.517,0.316,43.6,0.236
0.1,810.2,26.2,0.514,0.31,43.6,0.227
0.11,809.4,26,0.513,0.307,43.5,0.207
0.12,808.5,25.8,0.513,0.304,43.4,0.186
0.13,807.7,25.7,0.512,0.301,43.3,0.166
0.14,805.5,25.5,0.511,0.3,43.3,0.157
0.15,802.6,25.4,0.509,0.3,43.3,0.153
0.16,799.7,25.3,0.507,0.3,43.3,0.15
0.17,796.5,25,0.505,0.298,43.3,0.147
0.18,792.7,24.4,0.503,0.292,43.2,0.142
0.19,788.8,23.7,0.5,0.286,43.1,0.138
0.2,785,23.1,0.498,0.28,43,0.134
0.21,781.1,23,0.496,0.271,42.9,0.13
0.22,777.3,23,0.493,0.262,42.9,0.126
0.23,773.4,22.9,0.491,0.253,42.8,0.122
0.24,768.8,22.8,0.488,0.248,42.7,0.12
0.25,763.9,22.5,0.484,0.245,42.5,0.119
0.26,759,22.3,0.481,0.242,42.4,0.118
0.27,754.5,22.1,0.478,0.239,42.3,0.117
0.28,751,21.9,0.476,0.236,42.3,0.115
0.29,747.4,21.6,0.474,0.233,42.2,0.112
0.3,743.9,21.4,0.472,0.23,42.2,0.11
0.31,739.7,20.6,0.469,0.23,42.2,0.108
0.32,735.4,19.8,0.467,0.23,42.2,0.106
0.33,731.2,19,0.464,0.23,42.2,0.105
0.34,728.1,18.6,0.462,0.228,42.2,0.0981
0.35,725.5,18.5,0.46,0.225,42.1,0.089
0.36,722.9,18.4,0.458,0.222,42,0.08
0.37,719.7,18.3,0.456,0.219,41.9,0.0704
0.38,715.1,18.1,0.453,0.216,41.7,0.0597
0.39,710.5,18,0.451,0.213,41.4,0.049
0.4,705.9,17.8,0.448,0.21,41.2,0.0384
0.41,705.4,17.5,0.448,0.207,41.1,0.0351
0.42,704.9,17.1,0.447,0.204,41.1,0.0318
0.43,704.5,16.8,0.447,0.201,41,0.0285
0.44,700.1,16.6,0.444,0.2,40.9,0.0263
0.45,693.8,16.4,0.44,0.2,40.6,0.0247
0.46,687.6,16.3,0.436,0.2,40.4,0.023
0.47,682.6,16.2,0.432,0.199,40.2,0.0216
0.48,680.3,16,0.431,0.196,39.9,0.0208
0.49,677.9,15.9,0.429,0.193,39.7,0.02
0.5,675.6,15.8,0.428,0.19,39.4,0.0192
0.51,669.5,15.8,0.424,0.19,39.3,0.0175
0.52,663.5,15.7,0.421,0.19,39.3,0.0159
0.53,657.4,15.7,0.417,0.19,39.2,0.0142
0.54,648.3,15.5,0.411,0.19,39.1,0.0132
0.55,637.7,15.2,0.404,0.19,38.9,0.0123
0.56,627.1,14.9,0.398,0.19,38.7,0.0115
0.57,620,14.7,0.393,0.19,38.5,0.00986
0.58,619.9,14.6,0.393,0.19,38,0.00658
0.59,619.9,14.6,0.393,0.19,37.6,0.00329
0.6,619.8,14.5,0.393,0.19,37.2,0
0.61,618.8,14.3,0.392,0.187,37.1,0
0.62,617.8,14,0.392,0.184,37,0
0.63,616.8,13.8,0.391,0.181,36.8,0
0.64,607.4,13.6,0.385,0.18,36.5,0
0.65,593.6,13.4,0.377,0.18,36,0
0.66,579.9,13.2,0.368,0.18,35.6,0
0.67,569.1,13.1,0.361,0.179,35.1,0
0.68,564,13,0.358,0.176,34.3,0
0.69,559,12.9,0.354,0.173,33.6,0
0.7,553.9,12.8,0.351,0.17,32.9,0
0.71,545,12.6,0.346,0.17,32.9,0
0.72,536.2,12.4,0.34,0.17,32.8,0
0.73,527.4,12.2,0.335,0.17,32.8,0
0.74,517.5,12,0.329,0.17,32.7,0
0.75,507.3,11.8,0.322,0.17,32.6,0
0.76,497,11.7,0.315,0.17,32.6,0
0.77,484,11.5,0.307,0.17,32.4,0
0.78,465.6,11.1,0.295,0.17,32.2,0
0.79,447.2,10.8,0.284,0.17,31.9,0
0.8,428.8,10.4,0.272,0.17,31.7,0
0.81,425.7,10.4,0.27,0.17,31.6,0
0.82,422.7,10.4,0.268,0.17,31.5,0
0.83,419.6,10.4,0.266,0.17,31.4,0
0.84,410.2,10.3,0.26,0.168,31.4,0
0.85,397.5,10.1,0.252,0.165,31.4,0
0.86,384.8,9.88,0.244,0.162,31.3,0
0.87,372,9.67,0.236,0.16,31.2,0
0.88,358.8,9.42,0.228,0.16,31,0
0.89,345.6,9.18,0.219,0.16,30.8,0
0.9,332.4,8.93,0.211,0.16,30.6,0
0.91,308.9,8.57,0.196,0.157,30.1,0
0.92,285.4,8.22,0.181,0.154,29.6,0
0.93,261.8,7.86,0.166,0.151,29.2,0
0.94,245.9,7.56,0.156,0.15,29,0
0.95,233.7,7.28,0.148,0.15,28.9,0
0.96,221.4,7,0.14,0.15,28.8,0
0.97,198.2,6.28,0.125,0.15,28.7,0
0.98,153.1,4.67,0.0969,0.15,28.4,0
0.99,107.9,3.05,0.0684,0.15,28,0
1,62.79,1.44,0.0398,0.15,27.7,0
