datetime,Year,Month,WaterYear,WaterMonth,WaterWeek,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,14,3,0.0401,0.0189,0.0212,1311.87,18.73,18.73,18.22,1,1,1,154.8,152.3,157.2,81.77,79.3,73,73,73,0,0,0,0.472,0.464,0.479,81.77,79.3,84.23,990,990,990,964.5,964.5,964.5,25.5,25.5,25.5,0.0778,0.0769,0.0787,0.0027,0.00249,0.00291,0.00011,0.000098,0.00011,0.133,0.129,0.138,0.0052,0.0051,0.0054,25.38,25.38,25.38,0.932,0.929,0.935,0.961,0.96,0.962,0.895,0.894,0.897,18.96,18.45,19.48,18.22,17.71,18.73,0,0,0,0,0,0,0.101,0,0.0189,0.47,0.53,0.47,32.7
726098400000,1993,1,1992,4,14,7,0.103,0.0442,0.0585,3585.99,22.98,22.98,21.35,1,1,1,169.8,160.8,177.2,96.8,87.78,73,73,73,0,0,0,0.43,0.412,0.454,96.8,87.78,104.2,990,990,990,964.5,964.4,964.5,25.5,25.5,25.6,0.0831,0.0799,0.0857,0.00398,0.00321,0.00461,0.00016,0.00013,0.00018,0.16,0.144,0.173,0.0063,0.0056,0.0068,25.38,25.38,25.38,0.916,0.912,0.925,0.967,0.963,0.97,0.886,0.884,0.891,22.06,20.21,23.69,21.35,19.47,22.98,0,0,0,0,0,0,0.119,0,0.0445,0.43,0.57,0.43,34.8
726703200000,1993,1,1992,4,15,7,0.113,0.0442,0.0684,4221.1,26.88,26.88,25.13,1,1,1,186.1,179.1,193.3,113.1,106.1,73,73,73,0,0,0,0.393,0.378,0.408,113.1,106.1,120.3,990,990,990,964.4,964.4,964.4,25.6,25.6,25.6,0.0889,0.0864,0.0914,0.00536,0.00477,0.00598,0.00021,0.00019,0.00023,0.189,0.177,0.202,0.0074,0.0069,0.0079,25.38,25.38,25.38,0.92,0.915,0.925,0.97,0.97,0.97,0.892,0.887,0.897,25.9,24.16,27.71,25.13,23.44,26.88,0,0,0,0,0,0,0.14,0,0.0446,0.39,0.61,0.39,37.4
727308000000,1993,1,1992,4,16,7,0.128,0.0442,0.0839,5234.54,35.28,35.28,31.16,1,1,1,211.7,194.7,229.7,138.7,121.7,73,73,73,0,0,0,0.346,0.318,0.375,138.7,121.7,156.7,990,990,990,964.5,964.4,964.6,25.5,25.4,25.6,0.0979,0.0919,0.104,0.00754,0.00609,0.00907,0.0003,0.00024,0.00036,0.235,0.205,0.267,0.0092,0.008,0.011,25.29,25.15,25.39,0.934,0.926,0.941,0.97,0.97,0.97,0.906,0.898,0.913,32.12,28.05,36.37,31.16,27.21,35.28,0,0,0,0,0,0,0.173,0,0.0441,0.35,0.66,0.34,40.9
727912800000,1993,1,1992,4,17,7,0.154,0.0442,0.11,6936.16,44.9,44.9,41.29,1,1,1,254.6,236.5,269.9,181.6,163.5,73,73,73,0,0,0,0.287,0.27,0.309,181.6,163.5,196.9,990,990,990,964.7,964.6,964.8,25.3,25.2,25.4,0.113,0.107,0.118,0.0112,0.00965,0.0125,0.00044,0.00038,0.0005,0.312,0.28,0.339,0.012,0.011,0.013,24.98,24.88,25.1,0.949,0.943,0.954,0.978,0.972,0.98,0.928,0.916,0.935,42.21,37.96,45.82,41.29,36.89,44.9,0,0,0,0,0,0,0.229,0,0.044,0.29,0.71,0.29,45
728517600000,1993,2,1992,5,18,7,0.181,0.0514,0.129,8023.31,52.36,52.36,47.76,2,1,1.2857142857142858,299.1,276.2,325.4,214.1,191.2,85,85,85,0,0,0,0.285,0.261,0.308,214.1,191.2,240.4,990,990,990,964.9,964.8,965,25.1,25,25.2,0.126,0.117,0.135,0.0139,0.012,0.0162,0.00056,0.00048,0.00065,0.326,0.245,0.383,0.013,0.0098,0.015,24.77,24.69,24.87,0.947,0.923,0.958,0.977,0.97,0.98,0.925,0.895,0.939,41.65,25.83,51.21,40.44,25.05,48.2,0,0,0,0,0,0,0.265,0,0.052,0.28,0.71,0.29,44.3
729122400000,1993,2,1992,5,19,7,0.227,0.0514,0.176,10625.9,73.06,73.06,63.25,2,2,2,375.6,336.6,421.4,290.6,251.6,85,85,85,0,0,0,0.228,0.202,0.253,290.6,251.6,336.4,990,990,990,965.3,965.1,965.5,24.7,24.5,24.9,0.153,0.139,0.169,0.0362,0.0178,0.0578,0.0015,0.00071,0.0024,0.327,0.269,0.396,0.013,0.011,0.016,24.4,24.11,24.65,0.938,0.93,0.946,0.97,0.97,0.971,0.91,0.902,0.919,32.6,28.27,37.62,31.62,27.42,36.53,0,0,0,0,0,0,0.351,0,0.051,0.23,0.78,0.22,46.8
729727200000,1993,2,1992,5,20,7,0.306,0.0514,0.255,15155.7,102.9,102.9,90.21,3,2,2.142857142857143,506.1,440.2,576.4,421.1,355.2,85,85,85,0,0,0,0.169,0.147,0.193,421.1,355.2,491.4,990,990,990,965.9,965.6,966.2,24.1,23.8,24.4,0.199,0.175,0.229,0.0977,0.0667,0.131,0.0041,0.0027,0.0055,0.508,0.424,0.593,0.021,0.017,0.025,23.61,23.28,23.99,0.953,0.945,0.958,0.978,0.97,0.98,0.932,0.917,0.939,43.89,35.36,51.16,42.66,34.29,48.2,0,0,0,0,0,0,0.501,0,0.051,0.17,0.83,0.17,49.5
730332000000,1993,2,1992,5,21,7,0.419,0.0514,0.368,21095.3,142,142,125.6,3,3,3,693.2,602.4,783.6,608.2,517.4,85,85,85,0,0,0,0.124,0.108,0.141,608.2,517.4,698.6,990,990,990,966.7,966.3,967,23.3,23,23.7,0.295,0.244,0.347,0.207,0.147,0.268,0.0089,0.0062,0.012,0.719,0.566,0.871,0.031,0.024,0.038,22.61,22.09,23.12,0.954,0.948,0.957,0.977,0.97,0.98,0.932,0.92,0.938,42.81,37.08,48.29,41.86,35.96,47.32,0,0,0,0,0,0,0.698,0,0.051,0.12,0.88,0.12,50.3
730936800000,1993,3,1992,6,22,7,0.549,0.078,0.471,25478,169.5,169.5,151.7,4,3,3.4285714285714284,908,810.4,1011,779,681.4,129,129,129,0,0,0,0.143,0.128,0.159,779,681.4,881.7,990,990,990,967.5,967.1,967.9,22.5,22.1,22.9,0.422,0.346,0.513,0.313,0.256,0.366,0.014,0.011,0.017,0.987,0.851,1.12,0.044,0.037,0.051,21.48,20.95,22.01,0.956,0.954,0.957,0.98,0.977,0.98,0.936,0.932,0.938,46.22,40.58,52.25,44.69,39.66,48.2,0,0,0,0,0,0,0.843,0,0.078,0.14,0.86,0.14,46.4
