datetime,Year,Month,WaterYear,WaterMonth,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,31,0.558,0.196,0.362,22618.4,48.2,48.2,30.4,1,1,1,208.3,157.6,284.5,135.3,84.59,73,73,73,0,0,0,0.361,0.257,0.463,135.3,84.59,211.5,990,990,990,964.5,964.4,964.8,25.5,25.2,25.6,0.0967,0.0788,0.124,0.00725,0.00294,0.0137,0.00029,0.00012,0.00055,0.229,0.138,0.365,0.009,0.0054,0.015,25.24,24.8,25.39,0.932,0.911,0.957,0.971,0.962,0.98,0.905,0.884,0.938,31.26,19.55,49.2,30.4,18.81,48.2,0,0,0,0,0,0,0.169,0,0.196,0.35,0.65,0.35,40.5
728517600000,1993,2,1992,5,28,1.16,0.206,0.958,56655,135.7,135.7,84.31,3,1,2.2142857142857144,481.1,291.3,746.6,396.1,206.3,85,85,85,0,0,0,0.193,0.114,0.292,396.1,206.3,661.6,990,990,990,965.7,964.9,966.9,24.3,23.1,25.1,0.197,0.123,0.326,0.0925,0.0133,0.243,0.0039,0.00053,0.011,0.474,0.244,0.809,0.02,0.0098,0.035,23.78,22.3,24.78,0.947,0.923,0.959,0.975,0.97,0.98,0.924,0.895,0.94,39.47,25.81,51.55,38.36,25.03,48.2,0,0,0,0,0,0,0.468,0,0.202,0.18,0.83,0.17,48.8
730936800000,1993,3,1992,6,31,2.92,0.327,2.43,125626,192.8,192.8,168.9,4,3,3.7419354838709675,1090,767.6,1529,968.4,660.6,121.9,107,129,59.42,0,300,0.116,0.0844,0.14,909,660.6,1100,990,990,990,968.1,967,969.6,21.9,20.4,23,0.588,0.33,0.9,0.438,0.242,0.648,0.02,0.011,0.032,1.29,0.812,1.85,0.06,0.035,0.091,20.58,18.57,22.22,0.954,0.952,0.957,0.979,0.975,0.98,0.935,0.928,0.938,46.45,39.39,51.73,45.25,38.39,48.2,0,0,0,0,0,0,0.938,0,0.49,0.11,0.83,0.17,43
733615200000,1993,4,1992,7,30,4.59,0.384,2.85,128566,186.3,186.3,178.6,4,4,4,1770,1545,1919,1622,1397,148,148,148,522,297,671,0.084,0.0771,0.0958,1100,1100,1100,990,990,990,970.4,969.6,970.8,19.6,19.2,20.4,0.923,0.911,0.926,0.648,0.648,0.648,0.033,0.032,0.034,1.87,1.86,1.87,0.095,0.091,0.098,17.77,17.29,18.51,0.95,0.949,0.952,0.98,0.98,0.98,0.931,0.93,0.933,45.55,44.25,47.52,44.64,43.36,46.57,0,0,0,0,0,0,0.992,0,1.74,0.084,0.62,0.38,28
736207200000,1993,5,1992,8,31,3.54,0.514,2.68,131971,192.8,192.8,177.4,4,3,3.903225806451613,1323,934.3,1736,1131,742.3,192,192,192,130.2,0,444,0.151,0.111,0.205,1001,742.3,1100,990,990,990,968.9,967.6,970.2,21.1,19.8,22.4,0.722,0.396,0.924,0.525,0.297,0.648,0.025,0.013,0.033,1.53,0.969,1.87,0.073,0.043,0.095,19.55,17.88,21.39,0.953,0.951,0.957,0.98,0.974,0.98,0.934,0.928,0.938,46.62,39.21,51.4,45.51,38.2,48.2,0,0,0,0,0,0,0.985,0,0.86,0.15,0.76,0.24,37.3
738885600000,1993,6,1992,9,30,1.98,0.417,1.56,87751.2,144.6,144.6,121.9,3,2,2.8666666666666667,763.1,622.4,918.3,602.1,461.4,161,161,161,0,0,0,0.214,0.175,0.259,602.1,461.4,757.3,990,990,990,967,966.4,967.6,23,22.4,23.6,0.306,0.225,0.407,0.204,0.117,0.306,0.0089,0.0049,0.014,0.737,0.547,0.994,0.032,0.023,0.044,22.31,21.43,23.01,0.954,0.946,0.957,0.978,0.97,0.98,0.933,0.918,0.938,44.06,35.34,52.4,42.77,34.28,48.2,0,0,0,0,0,0,0.677,0,0.42,0.21,0.79,0.21,44.3
741477600000,1993,7,1992,10,31,1.37,0.454,0.918,54194.7,96.4,96.4,72.84,2,2,2,512.4,428.6,614.5,342.9,242.6,169.5,135,186,0,0,0,0.339,0.22,0.434,342.9,242.6,479.5,990,990,990,965.9,965.5,966.4,24.1,23.6,24.5,0.18,0.145,0.233,0.061,0.0164,0.125,0.0025,0.00067,0.0053,0.415,0.268,0.624,0.017,0.011,0.026,23.68,23.02,24.2,0.945,0.927,0.958,0.973,0.97,0.98,0.92,0.9,0.939,37.56,26.7,51.76,36.42,25.9,48.2,0,0,0,0,0,0,0.405,0,0.452,0.33,0.67,0.33,39.6
744156000000,1993,8,1992,11,31,0.958,0.415,0.543,33178.2,57.8,57.8,44.59,2,1,1.2580645161290323,357.8,305.2,423.9,202.8,150.2,155,155,155,0,0,0,0.437,0.366,0.508,202.8,150.2,268.9,990,990,990,965.2,964.9,965.5,24.8,24.5,25.1,0.129,0.11,0.152,0.0135,0.00852,0.0259,0.00055,0.00034,0.0011,0.315,0.254,0.403,0.013,0.01,0.016,24.5,24.19,24.81,0.945,0.924,0.959,0.975,0.97,0.98,0.921,0.896,0.939,38.78,25.72,52.01,37.66,24.94,48.2,0,0,0,0,0,0,0.248,0,0.415,0.43,0.57,0.43,34.6
746834400000,1993,9,1992,12,30,0.667,0.306,0.361,22336.5,41.41,41.41,31.02,1,1,1,257.2,229.8,301.1,139.2,111.8,118,118,118,0,0,0,0.462,0.392,0.514,139.2,111.8,183.1,990,990,990,964.7,964.6,964.9,25.3,25.1,25.4,0.102,0.0926,0.118,0.00758,0.00525,0.0113,0.0003,0.00021,0.00045,0.24,0.191,0.319,0.0095,0.0075,0.013,25.04,24.78,25.23,0.933,0.92,0.95,0.971,0.97,0.98,0.906,0.892,0.931,31.93,25.44,42.26,31.02,24.67,41.41,0,0,0,0,0,0,0.172,0,0.306,0.46,0.54,0.46,33.5
749426400000,1993,10,1993,1,31,0.537,0.237,0.3,14742.5,29.22,29.22,19.82,1,1,1,200.5,177.6,227.9,112,96.68,88.48,73,97,0,0,0,0.44,0.381,0.501,112,96.68,130.9,990,990,990,964.5,964.4,964.6,25.5,25.4,25.6,0.0901,0.0855,0.0976,0.00527,0.00397,0.00687,0.00021,0.00016,0.00027,0.189,0.163,0.224,0.0074,0.0064,0.0088,25.36,25.21,25.43,0.713,0,0.931,0.751,0,0.97,0.692,0,0.903,20.43,0,30.12,19.82,0,29.22,0,7,0,0,0.226,0,0.11,0.226,0.237,0.44,0.56,0.44,27.5
