Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,4550,193,143000,25.6,1100,25.4,0.937,1.87,0.6,0.88,0.83,50.7,1
0.01,4220,187,136000,25.6,1100,25.4,0.936,1.87,0.492,0.88,0.75,50.1,0.439
0.02,3680,183,134000,25.6,1100,25.4,0.935,1.87,0.46,0.87,0.708,49.9,0.298
0.03,3320,181,132000,25.5,1100,25.4,0.935,1.87,0.45,0.87,0.685,49.7,0.173
0.04,3240,180,131000,25.5,1100,25.4,0.935,1.87,0.45,0.87,0.666,49.3,0.0659
0.05,3080,178,130000,25.5,1100,25.4,0.935,1.87,0.441,0.86,0.651,49.2,0
0.06,2970,177,129000,25.5,1100,25.4,0.935,1.87,0.44,0.86,0.635,49,0
0.07,2780,176,128000,25.5,1100,25.3,0.935,1.87,0.43,0.85,0.619,48.5,0
0.08,2640,176,128000,25.5,1100,25.3,0.934,1.87,0.43,0.85,0.593,48.2,0
0.09,2560,175,127000,25.5,1100,25.3,0.934,1.87,0.43,0.84,0.58,48,0
0.1,2420,174,126000,25.5,1100,25.3,0.934,1.87,0.43,0.84,0.561,47.9,0
0.11,2270,173,124000,25.5,1100,25.3,0.934,1.87,0.42,0.83,0.54,47.7,0
0.12,2130,172,123000,25.5,1100,25.3,0.934,1.87,0.42,0.83,0.51,47.7,0
0.13,1990,171,123000,25.5,1100,25.3,0.934,1.87,0.42,0.823,0.483,47.6,0
0.14,1930,169,122000,25.5,1100,25.2,0.933,1.86,0.42,0.82,0.47,47.4,0
0.15,1830,167,121000,25.4,1100,25.2,0.933,1.86,0.41,0.811,0.451,47.3,0
0.16,1780,166,120000,25.4,1100,25.2,0.933,1.85,0.41,0.81,0.45,46.9,0
0.17,1750,165,119000,25.4,1100,25.1,0.933,1.82,0.41,0.8,0.45,46.7,0
0.18,1690,161,117000,25.4,1090,25.1,0.933,1.78,0.4,0.8,0.444,46.5,0
0.19,1620,160,116000,25.4,1080,25.1,0.933,1.77,0.4,0.798,0.44,46.3,0
0.2,1510,157,115000,25.3,1060,25.1,0.933,1.7,0.4,0.79,0.44,46.1,0
0.21,1440,156,114000,25.3,1050,25.1,0.932,1.65,0.39,0.79,0.43,45.7,0
0.22,1370,155,113000,25.3,1030,25,0.932,1.61,0.39,0.79,0.43,45.2,0
0.23,1340,154,111000,25.3,1010,25,0.932,1.57,0.39,0.78,0.43,44.9,0
0.24,1310,153,110000,25.3,981,25,0.932,1.49,0.388,0.78,0.43,44.6,0
0.25,1250,151,108000,25.2,951,25,0.931,1.43,0.38,0.77,0.42,44.5,0
0.26,1190,147,107000,25.2,932,24.9,0.931,1.37,0.377,0.77,0.42,44.2,0
0.27,1120,144,104000,25.2,910,24.9,0.931,1.29,0.37,0.76,0.42,43.7,0
0.28,1060,142,103000,25.2,887,24.9,0.93,1.23,0.37,0.76,0.42,43.5,0
0.29,1030,142,102000,25.1,842,24.8,0.93,1.17,0.37,0.76,0.42,43.3,0
0.3,973,139,101000,25.1,821,24.8,0.93,1.07,0.36,0.75,0.41,42.6,0
0.31,956,138,99000,25.1,802,24.8,0.929,1.05,0.35,0.737,0.41,42.5,0
0.32,916,135,95600,25.1,797,24.8,0.929,1.03,0.34,0.73,0.41,41.5,0
0.33,882,133,93500,25,724,24.7,0.929,0.919,0.34,0.72,0.4,41.4,0
0.34,859,127,91500,25,719,24.7,0.927,0.901,0.33,0.72,0.4,41.2,0
0.35,831,124,90200,25,690,24.6,0.927,0.856,0.33,0.72,0.4,40.8,0
0.36,797,120,88500,24.9,640,24.6,0.927,0.803,0.32,0.71,0.4,40.6,0
0.37,765,117,86800,24.9,598,24.6,0.926,0.737,0.32,0.71,0.39,40.2,0
0.38,752,116,83600,24.9,583,24.5,0.926,0.721,0.316,0.7,0.39,40,0
0.39,733,112,81500,24.8,568,24.4,0.926,0.685,0.31,0.7,0.39,39.9,0
0.4,693,110,79000,24.7,540,24.4,0.925,0.659,0.304,0.69,0.39,39.7,0
0.41,673,109,77900,24.6,526,24.3,0.925,0.629,0.3,0.69,0.38,39.5,0
0.42,654,107,76700,24.6,516,24.2,0.924,0.622,0.292,0.69,0.38,39.5,0
0.43,640,104,76000,24.6,504,24.2,0.924,0.613,0.286,0.68,0.38,39.4,0
0.44,625,103,74600,24.5,493,24.2,0.923,0.594,0.28,0.68,0.37,39.2,0
0.45,612,99.4,73300,24.5,479,24.1,0.923,0.567,0.28,0.68,0.37,39.1,0
0.46,597,94.2,69300,24.4,454,24.1,0.922,0.551,0.26,0.68,0.37,39,0
0.47,571,89.3,66500,24.3,428,23.9,0.922,0.516,0.25,0.67,0.37,38.8,0
0.48,559,86.8,64600,24.3,414,23.9,0.922,0.499,0.24,0.66,0.36,38.5,0
0.49,523,83.1,61800,24.2,384,23.8,0.922,0.466,0.24,0.66,0.351,38.2,0
0.5,502,78.2,57300,24.1,368,23.7,0.921,0.444,0.23,0.65,0.35,38,0
0.51,494,72.3,53700,24.1,335,23.5,0.921,0.41,0.23,0.649,0.34,37.9,0
0.52,479,70.3,52100,23.9,329,23.4,0.921,0.402,0.22,0.64,0.34,37.7,0
0.53,458,68.7,50800,23.9,319,23.3,0.92,0.39,0.21,0.63,0.33,37.6,0
0.54,440,67.5,50200,23.7,311,23.2,0.92,0.379,0.21,0.63,0.32,37.5,0
0.55,433,64.5,48000,23.7,299,23.1,0.92,0.37,0.21,0.63,0.32,37.4,0
0.56,421,63.1,46800,23.6,294,23,0.92,0.363,0.2,0.63,0.32,37.2,0
0.57,408,61.2,45200,23.5,279,23,0.919,0.353,0.194,0.62,0.32,37,0
0.58,403,58.3,43400,23.5,267,22.9,0.919,0.345,0.19,0.62,0.31,36.9,0
0.59,396,56.2,41800,23.4,256,22.8,0.919,0.343,0.19,0.62,0.31,36.7,0
0.6,376,55,40900,23.4,250,22.7,0.919,0.34,0.186,0.61,0.31,36.5,0
0.61,362,52.3,38900,23.2,240,22.5,0.919,0.336,0.18,0.61,0.3,36.3,0
0.62,347,51.4,38300,23.1,235,22.4,0.918,0.33,0.18,0.61,0.3,36,0
0.63,344,50.9,37900,23.1,231,22.3,0.918,0.326,0.17,0.61,0.29,35.9,0
0.64,335,50,37200,22.9,226,22.1,0.918,0.323,0.16,0.6,0.29,35.7,0
0.65,326,49.3,36600,22.8,225,21.9,0.918,0.319,0.16,0.6,0.28,35.6,0
0.66,314,49,35600,22.7,220,21.8,0.917,0.316,0.16,0.6,0.28,35.6,0
0.67,308,46.5,33400,22.6,211,21.7,0.917,0.313,0.16,0.6,0.28,35.2,0
0.68,304,44.8,32700,22.5,203,21.5,0.916,0.312,0.15,0.59,0.27,35.1,0
0.69,300,43,31900,22.3,193,21.3,0.915,0.309,0.15,0.59,0.263,34.9,0
0.7,296,42.5,31300,22.3,189,21.2,0.914,0.307,0.147,0.59,0.25,34.7,0
0.71,289,41.8,31100,22.1,189,20.9,0.913,0.305,0.14,0.58,0.24,34.3,0
0.72,284,41.2,30100,22,182,20.7,0.913,0.302,0.14,0.58,0.24,34.1,0
0.73,280,39.1,28800,21.8,174,20.5,0.912,0.299,0.14,0.58,0.24,33.8,0
0.74,273,38.3,27700,21.5,171,20.1,0.912,0.297,0.13,0.58,0.23,33.7,0
0.75,268,37.5,27400,21.3,168,19.8,0.911,0.29,0.13,0.58,0.23,33.5,0
0.76,259,36.9,26800,21.1,165,19.6,0.91,0.288,0.13,0.57,0.22,32.8,0
0.77,252,36.4,26500,21,162,19.5,0.91,0.276,0.13,0.57,0.22,32.1,0
0.78,250,34.7,25200,21,155,19.3,0.909,0.267,0.12,0.57,0.21,30.9,0
0.79,248,34.3,25000,20.7,153,19.1,0.908,0.264,0.12,0.57,0.21,29.6,0
0.8,247,33.9,24700,20.5,151,18.8,0.907,0.259,0.12,0.56,0.21,28.6,0
0.81,243,33.6,24500,20.2,149,18.5,0.907,0.254,0.12,0.56,0.202,27.7,0
0.82,238,32.8,24000,20,146,18.1,0.906,0.25,0.12,0.556,0.2,27.3,0
0.83,234,32,23500,19.8,142,18,0.905,0.245,0.11,0.55,0.2,26.8,0
0.84,231,31.7,22900,19.7,141,17.8,0.903,0.241,0.11,0.55,0.19,25.2,0
0.85,227,31.4,22800,19.6,140,17.7,0.903,0.237,0.11,0.549,0.189,24.2,0
0.86,223,30.3,22300,19.2,136,17.4,0.902,0.231,0.1,0.53,0.18,23,0
0.87,219,29.4,21700,19.1,133,17.2,0.901,0.228,0.1,0.517,0.177,21.3,0
0.88,216,29.3,21200,18.7,131,16.8,0.9,0.225,0.097,0.49,0.17,20,0
0.89,212,29.1,21000,18.4,131,16.5,0.899,0.223,0.092,0.46,0.17,18.4,0
0.9,210,28.6,20900,17.9,130,16,0.895,0.22,0.0899,0.439,0.16,17.1,0
0.91,206,28,20500,17.6,127,15.7,0.893,0.215,0.086,0.42,0.16,16.3,0
0.92,200,25.9,18700,17.4,126,15.5,0.891,0.213,0.084,0.407,0.15,15.1,0
0.93,197,24,17800,17,119,15.1,0.89,0.201,0.084,0.381,0.15,13.7,0
0.94,185,22.9,16800,16.6,116,14.7,0.888,0.195,0.082,0.365,0.14,13,0
0.95,174,21.9,16200,16.3,107,14.4,0.887,0.177,0.08,0.35,0.14,11.8,0
0.96,163,21.3,15600,16,103,14.1,0.844,0.169,0.0771,0.334,0.13,11.4,0
0.97,158,19.3,13900,15.8,96.7,13.9,0.747,0.158,0.0738,0.315,0.13,9.83,0
0.98,148,17.3,12900,15,87.1,13.2,0.635,0.142,0.071,0.292,0.13,7.94,0
0.99,128,12.4,9150,13.9,71.8,12.1,0.499,0.115,0.0692,0.25,0.12,6.83,0
1,100,0,0,13.3,16.9,11.4,0,0.0751,0.064,0.17,0.12,0,0
