datetime,Year,Month,WaterYear,WaterMonth,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,31,0.651,0.196,0.455,28182.7,59.84,59.84,37.88,2,1,1.1935483870967742,243,174.8,347,170,101.8,73,73,73,0,0,0,0.313,0.21,0.418,170,101.8,274,990,990,990,964.7,964.4,965.1,25.3,24.9,25.6,0.109,0.0849,0.146,0.0108,0.0044,0.0283,0.00043,0.00017,0.0011,0.259,0.169,0.383,0.01,0.0066,0.015,25.09,24.56,25.39,0.935,0.912,0.959,0.972,0.97,0.98,0.909,0.884,0.939,33.52,23.1,51.52,32.53,22.4,48.2,0,0,0,0,0,0,0.21,0,0.196,0.3,0.7,0.3,43.3
728517600000,1993,2,1992,5,28,1.49,0.206,1.28,73589.1,167.8,167.8,109.5,4,2,2.6785714285714284,616.1,356.6,945.6,531.1,271.6,85,85,85,0,0,0,0.151,0.0899,0.238,531.1,271.6,860.6,990,990,990,966.3,965.2,967.7,23.7,22.3,24.8,0.266,0.146,0.48,0.167,0.0272,0.356,0.0072,0.0011,0.016,0.639,0.299,1.07,0.027,0.012,0.048,23.04,21.25,24.52,0.951,0.934,0.958,0.976,0.97,0.98,0.929,0.906,0.939,41.73,30.5,51.69,40.58,29.59,48.2,0,0,0,0,0,0,0.608,0,0.21,0.14,0.86,0.14,49.4
730936800000,1993,3,1992,6,31,3.67,0.346,2.81,137187,192.8,192.8,184.4,4,4,4,1370,976.6,1894,1241,847.6,129,129,129,190.8,0,665,0.0978,0.0681,0.132,1050,847.6,1100,990,990,990,969.1,967.8,970.8,20.9,19.2,22.2,0.774,0.482,0.926,0.567,0.349,0.648,0.027,0.016,0.034,1.63,1.06,1.87,0.078,0.048,0.097,19.3,17.37,21.13,0.953,0.949,0.956,0.98,0.98,0.98,0.934,0.93,0.936,47.2,41.91,50.52,46.1,41.07,48.2,0,0,0,0,0,0,1.02,0,0.86,0.094,0.77,0.23,37.4
733615200000,1993,4,1992,7,30,5.93,0.443,2.85,117438,173.2,173.2,163.1,4,4,4,2289,1925,2476,2118,1777,171,148,217,1018,677,1224,0.0746,0.0599,0.0926,1100,1100,1100,990,990,990,971.8,970.9,972.2,18.2,17.8,19.1,0.926,0.926,0.926,0.648,0.648,0.648,0.036,0.034,0.037,1.87,1.87,1.87,0.1,0.098,0.11,16.33,15.88,17.27,0.946,0.945,0.949,0.979,0.977,0.98,0.926,0.923,0.93,41.67,40.44,44.19,40.78,39.51,43.3,0,0,0,0,0,0,0.906,0,3.08,0.075,0.48,0.52,19.8
736207200000,1993,5,1992,8,31,4.79,0.739,2.93,132348,192.5,192.5,177.9,4,4,4,1789,1282,2317,1513,1006,276,276,276,417.4,0,941,0.159,0.119,0.215,1095,1006,1100,990,990,990,970.4,968.8,971.9,19.6,18.1,21.2,0.894,0.68,0.926,0.637,0.437,0.648,0.033,0.021,0.036,1.83,1.4,1.87,0.094,0.066,0.1,17.79,16.26,19.81,0.95,0.946,0.955,0.98,0.979,0.98,0.931,0.926,0.936,45.38,41.48,49.12,44.47,40.61,48.13,0,0,0,0,0,0,0.988,0,1.86,0.15,0.61,0.39,27.6
738885600000,1993,6,1992,9,30,2.45,0.417,2.03,109338,192.8,192.8,151.9,4,3,3.433333333333333,943.8,770.3,1244,782.8,609.3,161,161,161,0,0,0,0.174,0.129,0.209,782.8,609.3,1083,990,990,990,967.6,967,968.7,22.4,21.3,23,0.444,0.309,0.768,0.319,0.208,0.61,0.014,0.009,0.029,1.01,0.734,1.67,0.046,0.032,0.079,21.34,19.66,22.28,0.955,0.953,0.957,0.98,0.975,0.98,0.936,0.929,0.938,45.48,39.42,51.7,44.37,38.43,48.2,0,0,0,0,0,0,0.844,0,0.42,0.17,0.83,0.17,44.6
741477600000,1993,7,1992,10,31,1.67,0.537,1.13,65352,117.6,117.6,87.84,3,2,2.2580645161290325,622.7,510.3,762.4,422.2,283.3,200.5,186,227,0,0,0,0.33,0.244,0.445,422.2,283.3,576.4,990,990,990,966.4,965.9,966.9,23.6,23.1,24.1,0.217,0.164,0.293,0.1,0.0327,0.186,0.0043,0.0014,0.0081,0.514,0.33,0.681,0.022,0.014,0.03,23.11,22.37,23.77,0.95,0.937,0.958,0.974,0.97,0.98,0.926,0.909,0.939,40.44,30.96,52.4,39.19,30.03,48.2,0,0,0,0,0,0,0.488,0,0.54,0.32,0.68,0.32,39.1
744156000000,1993,8,1992,11,31,1.13,0.493,0.638,38368.7,68.36,68.36,51.57,2,1,1.5161290322580645,422,355.8,504.5,238,171.8,184,184,184,0,0,0,0.441,0.365,0.517,238,171.8,320.5,990,990,990,965.5,965.2,965.9,24.5,24.1,24.8,0.145,0.121,0.174,0.0213,0.0104,0.0503,0.00087,0.00042,0.0021,0.334,0.258,0.408,0.014,0.011,0.017,24.17,23.75,24.52,0.944,0.924,0.959,0.974,0.97,0.98,0.92,0.897,0.939,37.52,25.66,51.84,36.44,24.89,48.2,0,0,0,0,0,0,0.287,0,0.492,0.44,0.56,0.44,34
746834400000,1993,9,1992,12,30,0.775,0.34,0.435,27038.8,48.2,48.2,37.55,1,1,1,299.2,261.7,352.2,167.8,143.7,131.3,118,138,0,0,0,0.44,0.392,0.489,167.8,143.7,214.2,990,990,990,964.9,964.7,965.2,25.1,24.8,25.3,0.115,0.104,0.132,0.01,0.00797,0.014,0.0004,0.00032,0.00056,0.294,0.248,0.378,0.012,0.0098,0.015,24.8,24.46,25,0.945,0.937,0.957,0.974,0.97,0.98,0.92,0.909,0.938,38.56,32.96,49.19,37.55,31.97,48.2,0,0,0,0,0,0,0.209,0,0.34,0.44,0.56,0.44,34.9
749426400000,1993,10,1993,1,31,0.606,0.271,0.335,19069.9,33.33,33.33,25.63,1,1,1,226.4,200.2,259.3,125.2,103.2,101.2,97,110,0,0,0,0.448,0.414,0.485,125.2,103.2,149.3,990,990,990,964.6,964.4,964.7,25.4,25.3,25.6,0.0963,0.0878,0.106,0.00639,0.00452,0.00844,0.00025,0.00018,0.00033,0.214,0.174,0.259,0.0084,0.0068,0.01,25.23,25,25.42,0.839,0,0.939,0.876,0,0.97,0.813,0,0.911,26.42,0,34.36,25.63,0,33.33,0,3,0,0,0.0968,0,0.142,0.0968,0.271,0.45,0.55,0.45,31.5
752104800000,1993,11,1993,2,30,0.573,0.219,0.355,19821.1,39.11,39.11,27.53,1,1,1,221.2,199.9,239.3,136.9,106.9,84.33,67,93,0,0,0,0.384,0.28,0.465,136.9,106.9,172.3,990,990,990,964.5,964.4,964.6,25.5,25.4,25.6,0.0983,0.0888,0.109,0.00739,0.00484,0.0104,0.00029,0.00019,0.00041,0.233,0.18,0.294,0.0092,0.007,0.012,25.24,25.07,25.42,0.81,0,0.946,0.842,0,0.976,0.786,0,0.923,28.35,0,40.07,27.53,0,39.11,0,4,0,0,0.133,0,0.153,0.133,0.218,0.38,0.62,0.38,34.6
754696800000,1993,12,1993,3,31,0.696,0.174,0.522,32711.3,50.12,50.12,43.97,2,1,1.096774193548387,259.8,233,288.2,195,156,64.81,59,77,0,0,0,0.252,0.205,0.33,195,156,229.2,990,990,990,964.7,964.6,964.9,25.3,25.1,25.4,0.117,0.104,0.128,0.0123,0.00901,0.0152,0.00049,0.00035,0.00061,0.32,0.238,0.385,0.013,0.0095,0.015,24.95,24.79,25.14,0.949,0.922,0.959,0.977,0.97,0.98,0.927,0.894,0.94,42.76,25.61,52.04,41.55,24.84,48.2,0,0,0,0,0,0,0.244,0,0.174,0.25,0.75,0.25,47
757375200000,1994,1,1993,4,31,1.16,0.196,0.961,57222.1,127,127,76.91,3,1,2.064516129032258,431.9,289.9,684.2,358.9,216.9,73,73,73,0,0,0,0.183,0.107,0.252,358.9,216.9,611.2,990,990,990,965.5,964.9,966.6,24.5,23.4,25.1,0.179,0.125,0.295,0.0728,0.0142,0.209,0.003,0.00056,0.009,0.432,0.241,0.722,0.018,0.0096,0.031,24.05,22.64,24.86,0.946,0.922,0.959,0.975,0.97,0.98,0.922,0.895,0.939,39.12,25.61,52.51,37.8,24.84,48.2,0,0,0,0,0,0,0.427,0,0.199,0.17,0.83,0.17,49.3
