datetime,Year,Month,WaterYear,WaterMonth,WaterWeek,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,14,3,0.0461,0.0189,0.0272,1664.67,23.84,23.84,23.12,1,1,1,177.8,174.8,180.8,104.8,101.8,73,73,73,0,0,0,0.411,0.404,0.418,104.8,101.8,107.8,990,990,990,964.4,964.4,964.5,25.6,25.5,25.6,0.0859,0.0849,0.087,0.00466,0.0044,0.00491,0.00018,0.00017,0.00019,0.175,0.169,0.18,0.0068,0.0066,0.007,25.38,25.38,25.38,0.914,0.912,0.916,0.97,0.97,0.97,0.886,0.884,0.889,23.84,23.1,24.58,23.12,22.4,23.84,0,0,0,0,0,0,0.128,0,0.0189,0.41,0.59,0.41,36.1
726098400000,1993,1,1992,4,14,7,0.119,0.0442,0.0747,4641.99,29.92,29.92,27.63,1,1,1,196.5,186,206.2,123.5,113,73,73,73,0,0,0,0.372,0.354,0.393,123.5,113,133.2,990,990,990,964.4,964.4,964.4,25.6,25.6,25.6,0.0925,0.0888,0.096,0.00625,0.00535,0.00707,0.00024,0.00021,0.00028,0.208,0.189,0.225,0.0081,0.0074,0.0088,25.38,25.34,25.39,0.927,0.92,0.932,0.97,0.97,0.97,0.899,0.892,0.904,28.49,25.87,30.84,27.63,25.09,29.92,0,0,0,0,0,0,0.154,0,0.0443,0.37,0.63,0.37,39
726703200000,1993,1,1992,4,15,7,0.134,0.0442,0.0898,5611.39,36.23,36.23,33.4,1,1,1,221.4,210.3,233.8,148.4,137.3,73,73,73,0,0,0,0.33,0.312,0.347,148.4,137.3,160.8,990,990,990,964.5,964.5,964.6,25.5,25.4,25.5,0.101,0.0974,0.106,0.00837,0.00742,0.00942,0.00033,0.00029,0.00037,0.253,0.233,0.275,0.0099,0.0091,0.011,25.22,25.12,25.31,0.938,0.933,0.942,0.97,0.97,0.97,0.91,0.905,0.914,34.43,31.81,37.34,33.4,30.85,36.23,0,0,0,0,0,0,0.186,0,0.0442,0.33,0.67,0.33,41.9
727308000000,1993,1,1992,4,16,7,0.157,0.0442,0.113,7148.5,48.2,48.2,42.55,1,1,1,260.2,237.4,285.5,187.2,164.4,73,73,73,0,0,0,0.282,0.256,0.308,187.2,164.4,212.5,990,990,990,964.7,964.6,964.8,25.3,25.2,25.4,0.115,0.107,0.124,0.0117,0.00972,0.0138,0.00046,0.00038,0.00055,0.322,0.281,0.367,0.013,0.011,0.015,24.94,24.79,25.09,0.95,0.943,0.957,0.978,0.972,0.98,0.93,0.917,0.938,43.53,38.17,49.44,42.55,37.1,48.2,0,0,0,0,0,0,0.236,0,0.044,0.28,0.72,0.28,45.5
727912800000,1993,1,1992,4,17,7,0.195,0.0442,0.15,9116.11,59.84,59.84,54.26,2,1,1.8571428571428572,321.6,294.5,347,248.6,221.5,73,73,73,0,0,0,0.228,0.21,0.248,248.6,221.5,274,990,990,990,965,964.9,965.1,25,24.9,25.1,0.137,0.127,0.146,0.0195,0.0146,0.0283,0.00078,0.00058,0.0011,0.288,0.244,0.383,0.012,0.0097,0.015,24.7,24.56,24.84,0.934,0.923,0.959,0.971,0.97,0.98,0.907,0.896,0.939,31.78,25.99,51.52,30.57,25.21,48.2,0,0,0,0,0,0,0.301,0,0.045,0.23,0.77,0.23,46.7
728517600000,1993,2,1992,5,18,7,0.237,0.0514,0.186,11236,76.14,76.14,66.88,2,2,2,392.4,356.6,434.8,307.4,271.6,85,85,85,0,0,0,0.217,0.195,0.238,307.4,271.6,349.8,990,990,990,965.4,965.2,965.6,24.6,24.4,24.8,0.159,0.146,0.173,0.0441,0.0272,0.0641,0.0018,0.0011,0.0026,0.353,0.299,0.416,0.014,0.012,0.017,24.29,24.03,24.52,0.941,0.934,0.948,0.971,0.97,0.974,0.913,0.906,0.924,34.45,30.5,39.08,33.44,29.59,38.07,0,0,0,0,0,0,0.372,0,0.051,0.22,0.78,0.22,47.4
729122400000,1993,2,1992,5,19,7,0.312,0.0514,0.26,15433.4,104.4,104.4,91.87,3,2,2.142857142857143,515.1,452.6,584.4,430.1,367.6,85,85,85,0,0,0,0.166,0.145,0.188,430.1,367.6,499.4,990,990,990,965.9,965.6,966.2,24.1,23.8,24.4,0.203,0.18,0.234,0.102,0.0725,0.135,0.0042,0.003,0.0057,0.522,0.443,0.603,0.022,0.018,0.025,23.56,23.23,23.92,0.954,0.946,0.958,0.978,0.97,0.98,0.933,0.918,0.939,44.78,35.89,51.69,43.45,34.81,48.2,0,0,0,0,0,0,0.51,0,0.052,0.16,0.83,0.17,49.5
729727200000,1993,2,1992,5,20,7,0.42,0.0514,0.368,21129.3,139.8,139.8,125.8,3,3,3,693.7,610.9,770.6,608.7,525.9,85,85,85,0,0,0,0.123,0.11,0.139,608.7,525.9,685.6,990,990,990,966.7,966.3,967,23.3,23,23.7,0.296,0.249,0.339,0.208,0.152,0.259,0.0089,0.0064,0.011,0.72,0.58,0.849,0.031,0.025,0.037,22.61,22.17,23.08,0.954,0.949,0.957,0.978,0.971,0.98,0.933,0.921,0.938,42.87,37.64,47.55,41.92,36.55,46.6,0,0,0,0,0,0,0.699,0,0.052,0.12,0.88,0.12,50.3
730332000000,1993,2,1992,5,21,7,0.522,0.0514,0.471,25790.4,167.8,167.8,153.5,4,3,3.5714285714285716,863.2,789.6,945.6,778.2,704.6,85,85,85,0,0,0,0.0989,0.0899,0.108,778.2,704.6,860.6,990,990,990,967.4,967.1,967.7,22.6,22.3,22.9,0.407,0.35,0.48,0.314,0.272,0.356,0.014,0.012,0.016,0.961,0.881,1.07,0.042,0.038,0.048,21.69,21.25,22.06,0.955,0.952,0.957,0.979,0.975,0.98,0.935,0.928,0.938,44.83,39.33,51.1,43.52,38.33,48.2,0,0,0,0,0,0,0.853,0,0.051,0.098,0.9,0.1,49.4
730936800000,1993,3,1992,6,22,7,0.636,0.078,0.558,29492.6,185.1,185.1,175.6,4,4,4,1051,976.6,1115,921.8,847.6,129,129,129,0,0,0,0.123,0.116,0.132,921.8,847.6,986.4,990,990,990,968.1,967.8,968.3,21.9,21.7,22.2,0.551,0.482,0.614,0.385,0.349,0.416,0.018,0.016,0.019,1.19,1.06,1.31,0.054,0.048,0.06,20.75,20.43,21.13,0.955,0.954,0.956,0.98,0.98,0.98,0.936,0.935,0.936,44.78,41.91,47.22,43.89,41.07,46.27,0,0,0,0,0,0,0.975,0,0.078,0.12,0.88,0.12,46.4
