Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,900.9,33,0.571,0.42,44.6,0.378
0.01,894,32.6,0.567,0.393,44.3,0.355
0.02,887.1,32.3,0.563,0.366,44.1,0.332
0.03,880.2,31.9,0.558,0.339,43.8,0.309
0.04,872.4,31.8,0.553,0.324,43.6,0.266
0.05,864.2,31.8,0.548,0.315,43.5,0.214
0.06,856,31.7,0.543,0.306,43.3,0.161
0.07,849.2,31.7,0.538,0.297,43.2,0.125
0.08,845.3,31.7,0.536,0.288,43.2,0.124
0.09,841.3,31.6,0.533,0.279,43.1,0.122
0.1,837.4,31.6,0.531,0.27,43.1,0.121
0.11,835.3,31.6,0.53,0.267,43,0.119
0.12,833.2,31.5,0.529,0.264,43,0.117
0.13,831.1,31.5,0.527,0.261,42.9,0.116
0.14,830,31.2,0.527,0.258,42.8,0.113
0.15,829.3,30.9,0.526,0.255,42.7,0.111
0.16,828.6,30.5,0.525,0.252,42.6,0.108
0.17,828.1,30.1,0.525,0.247,42.5,0.103
0.18,827.8,30,0.525,0.238,42.3,0.0926
0.19,827.6,29.8,0.525,0.229,42.2,0.0819
0.2,827.3,29.6,0.525,0.22,42.1,0.0712
0.21,827.3,29.6,0.525,0.217,42.1,0.0663
0.22,827.2,29.6,0.525,0.214,42.1,0.0614
0.23,827.2,29.6,0.525,0.211,42.1,0.0564
0.24,821.8,29.4,0.521,0.21,42,0.0504
0.25,813.7,29.2,0.516,0.21,42,0.0438
0.26,805.5,29,0.511,0.21,41.9,0.0373
0.27,799.2,28.5,0.506,0.209,41.6,0.0318
0.28,796.3,27.6,0.505,0.206,41.1,0.0285
0.29,793.5,26.8,0.503,0.203,40.6,0.0252
0.3,790.7,25.9,0.501,0.2,40.1,0.0219
0.31,789.3,25.4,0.5,0.2,39.9,0.0211
0.32,787.9,24.9,0.499,0.2,39.7,0.0203
0.33,786.5,24.5,0.498,0.2,39.6,0.0195
0.34,785.7,24.2,0.498,0.198,39,0.0192
0.35,785.4,24.1,0.498,0.195,38.2,0.0192
0.36,785,24.1,0.498,0.192,37.4,0.0192
0.37,783.5,23.9,0.497,0.189,36.8,0.0192
0.38,780,23.6,0.495,0.186,36.7,0.0192
0.39,776.4,23.3,0.492,0.183,36.5,0.0192
0.4,772.9,23,0.49,0.18,36.4,0.0192
0.41,770.4,22.7,0.488,0.18,36.2,0.0184
0.42,767.9,22.5,0.487,0.18,35.9,0.0175
0.43,765.4,22.2,0.485,0.18,35.7,0.0167
0.44,762.9,22,0.484,0.18,35.6,0.0164
0.45,760.3,21.9,0.482,0.18,35.5,0.0164
0.46,757.6,21.7,0.48,0.18,35.5,0.0164
0.47,755.4,21.6,0.479,0.18,35.5,0.0164
0.48,753.9,21.5,0.478,0.18,35.3,0.0164
0.49,752.3,21.5,0.477,0.18,35.1,0.0164
0.5,750.8,21.4,0.476,0.18,35,0.0164
0.51,744.2,21.2,0.472,0.18,35,0.0148
0.52,737.6,21,0.468,0.18,34.9,0.0132
0.53,731,20.9,0.463,0.18,34.9,0.0115
0.54,727.3,20.7,0.461,0.178,34.6,0.00877
0.55,725.1,20.6,0.46,0.175,34.2,0.00548
0.56,722.9,20.6,0.459,0.172,33.8,0.00219
0.57,720.9,20.3,0.458,0.169,33.4,0
0.58,719.2,19.6,0.456,0.166,33.3,0
0.59,717.6,18.9,0.455,0.163,33.1,0
0.6,716,18.2,0.454,0.16,32.9,0
0.61,713.1,18.1,0.452,0.16,32.6,0
0.62,710.1,18,0.45,0.16,32.3,0
0.63,707.2,17.9,0.449,0.16,32,0
0.64,699.6,17.5,0.444,0.16,31.9,0
0.65,689.7,17,0.438,0.16,31.9,0
0.66,679.8,16.5,0.431,0.16,31.8,0
0.67,672.9,16.1,0.427,0.16,31.8,0
0.68,671.9,15.9,0.426,0.16,31.6,0
0.69,671,15.8,0.426,0.16,31.5,0
0.7,670,15.6,0.425,0.16,31.4,0
0.71,663.3,15.5,0.421,0.16,31.4,0
0.72,656.6,15.5,0.417,0.16,31.3,0
0.73,649.8,15.4,0.412,0.16,31.3,0
0.74,647.4,15.4,0.411,0.16,30.8,0
0.75,647.1,15.4,0.41,0.16,30,0
0.76,646.8,15.4,0.41,0.16,29.2,0
0.77,646.5,15.3,0.41,0.16,28.6,0
0.78,646.2,15,0.41,0.16,28.3,0
0.79,645.9,14.8,0.409,0.16,28.1,0
0.8,645.6,14.5,0.409,0.16,27.8,0
0.81,613.7,13.9,0.389,0.16,27.3,0
0.82,581.8,13.3,0.369,0.16,26.8,0
0.83,549.8,12.7,0.349,0.16,26.4,0
0.84,529.9,12.3,0.336,0.158,26.2,0
0.85,515.9,12.1,0.327,0.155,26.2,0
0.86,501.9,11.9,0.318,0.152,26.2,0
0.87,491.4,11.7,0.311,0.15,26.2,0
0.88,487.8,11.6,0.309,0.15,26.1,0
0.89,484.2,11.6,0.307,0.15,26.1,0
0.9,480.6,11.5,0.305,0.15,26,0
0.91,429.1,10.7,0.272,0.15,25.8,0
0.92,377.6,9.8,0.24,0.15,25.6,0
0.93,326.2,8.95,0.207,0.15,25.5,0
0.94,290.6,8.3,0.184,0.15,25.3,0
0.95,262.9,7.74,0.167,0.15,25.3,0
0.96,235.2,7.18,0.149,0.15,25.2,0
0.97,202.6,6.3,0.128,0.15,25,0
0.98,160.2,4.78,0.101,0.15,24.8,0
0.99,117.7,3.26,0.0745,0.15,24.5,0
1,75.19,1.74,0.0477,0.15,24.3,0
