WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,701.1,192.8,19.21,107,870.5,159.5,2141,20.5,3.38,13.8,0.248,0.0691,0.501,0,0,0,0,0,0,0.445,0.27,0.093,0.17,0.21,0,0,0,6.7,0.16,0.67,0.33,34.2
1993,365,686.1,192.8,0,78.32,533.4,148.9,1703,16.8,3.33,12.7,0.271,0.097,0.528,0,14,0,0,0.038,0,0.435,0.18,0.12,0.21,0.5,0,14,0.038356164383561646,4.1,0.2,0.76,0.24,40.8
1994,365,238.5,101.8,0,27.22,228.4,78.58,595.4,7.2,2.87,4.17,0.463,0.18,0.916,69,37,0,0.19,0.1,0,0.151,0,0.0027,0.16,0.64,0.19,106,0.29041095890410956,3.03,0.4,0.58,0.42,33.1
1995,366,322.8,139,0,36.74,279.7,70.11,791.4,8.84,2.87,5.78,0.433,0.135,0.742,71,55,0,0.19,0.15,0,0.205,0,0.12,0.15,0.54,0.19,126,0.3452054794520548,3.06,0.32,0.65,0.35,36.5
1996,365,627.2,192.8,0,71.59,453.5,91.98,1205,14.3,2.92,11.2,0.297,0.0914,0.565,34,9,0,0.093,0.025,0,0.398,0.18,0.12,0.17,0.43,0.093,43,0.1178082191780822,3.1,0.2,0.78,0.22,43.9
1997,365,592.2,184.7,0,67.6,420,141.2,1108,13.2,2.87,10.4,0.284,0.105,0.497,0,3,0,0,0.0082,0,0.376,0.12,0.15,0.18,0.55,0,3,0.00821917808219178,2.8,0.22,0.79,0.21,44.9
1998,365,788.7,192.8,14.46,90.04,706.4,119.3,2177,22.3,3.82,15.3,0.268,0.068,0.553,0,0,0,0,0,0,0.5,0.29,0.1,0.16,0.45,0,0,0,7,0.17,0.69,0.31,35.4
1999,366,667.3,192.8,0,75.97,527.5,165.8,1798,16.7,3.23,12.2,0.268,0.0642,0.453,0,1,0,0,0.0027,0,0.423,0.16,0.15,0.19,0.51,0,1,0.0027397260273972603,4.5,0.19,0.73,0.27,40
2000,365,818.1,192.8,21.79,93.39,985.9,151.3,3148,31.1,4.6,17,0.241,0.0631,0.533,0,0,0,0,0,0,0.519,0.33,0.13,0.17,0.38,0,0,0,14.1,0.15,0.55,0.45,26.3
2001,365,487.3,129.4,0,55.62,367,119.9,757,11.6,3.11,8.45,0.324,0.151,0.601,3,36,0,0.0082,0.099,0,0.309,0,0.21,0.2,0.58,0.0082,39,0.10684931506849316,3.15,0.27,0.73,0.27,42
2002,365,615.5,192.8,0,70.26,456.9,105.4,1444,14.4,3.14,11.1,0.297,0.0866,0.493,0,21,0,0,0.058,0,0.39,0.088,0.21,0.21,0.49,0,21,0.057534246575342465,3.3,0.22,0.77,0.23,42.7
2003,366,761.4,192.8,19.38,86.68,867.1,160.1,3342,27.4,4.41,15.5,0.259,0.0643,0.529,0,0,0,0,0,0,0.483,0.28,0.1,0.18,0.44,0,0,0,11.9,0.16,0.57,0.43,27.8
2004,365,409.2,129.3,0,46.72,323,100.7,755.9,10.2,2.99,7.13,0.353,0.163,0.715,20,47,0,0.055,0.13,0,0.26,0,0.079,0.3,0.56,0.055,67,0.18356164383561643,3.07,0.29,0.7,0.3,40.1
2005,365,677.4,192.8,0,77.33,547.8,81.32,1600,17.3,3.34,12.7,0.297,0.0925,0.639,37,10,0,0.1,0.027,0,0.43,0.2,0.12,0.2,0.38,0.1,47,0.12876712328767123,4.6,0.19,0.73,0.27,39.2
2006,365,822.7,192.8,19.55,93.92,991.6,161.2,3017,31.3,4.62,17.2,0.247,0.0691,0.494,0,0,0,0,0,0,0.522,0.35,0.1,0.16,0.39,0,0,0,14.1,0.15,0.55,0.45,26.3
2007,366,775.4,192.8,0,88.27,734.1,181.1,2337,23.2,3.79,15.2,0.257,0.0714,0.482,0,4,0,0,0.011,0,0.492,0.26,0.13,0.17,0.44,0,4,0.010958904109589041,8,0.16,0.66,0.34,33.4
2008,365,750.8,192.8,22.58,85.71,626,154.3,2036,19.7,3.53,14.1,0.252,0.0727,0.554,0,0,0,0,0,0,0.476,0.21,0.14,0.21,0.44,0,0,0,5.6,0.18,0.72,0.28,38.1
2009,365,828.8,192.8,21.72,94.61,1120,171.8,3553,35.3,5.22,17.8,0.243,0.0673,0.497,0,0,0,0,0,0,0.526,0.35,0.1,0.2,0.34,0,0,0,17.5,0.15,0.5,0.5,23.5
2010,365,877,192.8,0,100.1,970.3,203,2658,30.6,4.72,18,0.254,0.0768,0.549,0,1,0,0,0.0027,0,0.556,0.37,0.11,0.18,0.35,0,1,0.0027397260273972603,12.6,0.15,0.59,0.41,28.7
2011,366,651.1,189.8,0,74.12,460.4,140.4,1130,14.6,3.02,11.5,0.269,0.0952,0.513,0,14,0,0,0.038,0,0.413,0.14,0.15,0.27,0.45,0,14,0.038356164383561646,3.1,0.21,0.79,0.21,44.6
2012,365,778.8,192.8,17.39,88.91,659,129.7,2137,20.8,3.51,14.9,0.251,0.0724,0.458,0,0,0,0,0,0,0.494,0.28,0.12,0.16,0.44,0,0,0,5.9,0.17,0.72,0.28,37.4
2013,365,828.7,192.8,0,94.6,704.1,157.6,1937,22.2,3.87,15.9,0.247,0.0764,0.509,0,7,0,0,0.019,0,0.526,0.31,0.11,0.16,0.42,0,7,0.019178082191780823,6.3,0.17,0.72,0.28,37.3
2014,365,723.9,192.8,18.13,82.64,516.4,154.3,1277,16.3,3.23,13,0.263,0.0955,0.481,0,0,0,0,0,0,0.459,0.22,0.13,0.16,0.48,0,0,0,3.3,0.2,0.8,0.2,44.4
2015,366,745.6,192.8,0,84.88,610.7,129.4,1798,19.3,3.38,14.1,0.252,0.0823,0.492,0,9,0,0,0.025,0,0.473,0.22,0.13,0.21,0.44,0,9,0.024657534246575342,5.2,0.18,0.73,0.27,38.6
2016,365,782.7,192.8,18.92,89.35,922.4,146.9,3355,29.1,4.59,16.1,0.252,0.0557,0.519,0,0,0,0,0,0,0.496,0.3,0.11,0.19,0.41,0,0,0,13,0.16,0.55,0.45,26.9
2017,365,837.8,192.8,24.07,95.64,918.4,204.9,2662,29,4.79,17,0.255,0.0743,0.54,0,0,0,0,0,0,0.531,0.32,0.1,0.23,0.35,0,0,0,12,0.17,0.59,0.41,28.9
2018,365,432.3,139.3,0,49.34,340.7,101.5,793,10.7,3.08,7.6,0.356,0.13,0.709,22,49,0,0.06,0.13,0,0.274,0,0.16,0.19,0.59,0.06,71,0.19452054794520549,3.1,0.29,0.71,0.29,40.4
2019,366,745.1,192.8,0,84.82,865.7,87.61,2936,27.4,4.32,15.5,0.289,0.0738,0.594,39,8,0,0.11,0.022,0,0.473,0.32,0.085,0.16,0.33,0.11,47,0.12876712328767123,11.9,0.16,0.57,0.43,27.2
2020,365,888.7,192.8,0,101.5,881.7,174.3,2236,27.8,4.39,17.9,0.25,0.0683,0.559,0,11,0,0,0.03,0,0.564,0.37,0.12,0.18,0.34,0,11,0.030136986301369864,9.9,0.16,0.64,0.36,32
2021,365,770.7,192.8,0,87.98,608.4,180.3,1597,19.2,3.5,14.5,0.253,0.0921,0.512,0,11,0,0,0.03,0,0.489,0.24,0.1,0.23,0.42,0,11,0.030136986301369864,4.7,0.18,0.76,0.24,40.1
2022,92,75.96,66.02,22.1,34.4,209.8,152.7,360.8,1.67,0.442,1.23,0.277,0.164,0.348,0,0,0,0,0,0,0.0482,0,0,0.036,0.22,0,0,0,0.44,0.26,0.74,0.26,45.5
