Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,460.9,207.1,1013,119200,22350,59140,160.2,30.04,79.49,0.2,0.81,0.19,0,0,0,0.44,47.8
2,5,1003,287.4,2099,129000,30480,97010,191.9,45.36,143.2,0.13,0.8,0.2,0,0,0,0.8,43
3,6,1720,580.2,3328,142000,73840,120600,190.9,99.24,162.1,0.11,0.65,0.35,0,0,0,0.9,31.2
4,7,2197,530.9,3809,138100,62410,111800,191.8,86.68,155.3,0.099,0.55,0.45,0,0,0,0.86,25.1
5,8,1630,351,2983,135400,33310,114300,182,44.77,153.6,0.16,0.63,0.37,0,0,0,0.85,30.9
6,9,878.6,239.2,1526,126800,19180,92380,176.2,26.64,128.3,0.22,0.76,0.24,0,0,0,0.71,41.5
7,10,539.3,182.3,801,85880,521.2,56560,115.4,0.7005,76.02,0.34,0.67,0.33,0,0.032,0,0.42,38.3
8,11,362.7,141,514.7,52090,0,33810,70.02,0,45.44,0.42,0.58,0.42,0.02,0.067,0,0.25,33.4
9,12,253.3,104.4,355.5,34410,0,22510,47.79,0,31.26,0.44,0.55,0.45,0.038,0.033,0,0.17,33.1
10,1,196.7,86.07,264.7,25790,0,16910,34.67,0,22.73,0.43,0.56,0.44,0.033,0.13,0,0.13,30.8
11,2,199.1,106.8,267.3,27610,4157,20650,38.35,5.773,28.68,0.35,0.65,0.35,0.014,0.013,0,0.16,39.7
12,3,256.1,144.5,400.1,50440,14110,31740,67.8,18.96,42.66,0.26,0.74,0.26,0,0,0,0.24,45.9
