month,1.00,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.90,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.80,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.70,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.60,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.30,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.00
1,80965,80552,80139,79726,76852,71978,67103,62673,62084,61495,60906,60005,58939,57874,56921,56402,55883,55365,54932,54527,54122,53550,52607,51663,50720,50166,49674,49183,48591,47859,47126,46394,45923,45462,45002,44385,43623,42861,42109,41490,40871,40252,39679,39135,38591,38038,37444,36849,36255,35951,35758,35565,35374,35185,34996,34807,34720,34654,34588,34513,34422,34331,34241,33669,33061,32453,32124,32094,32063,32009,31300,30590,29880,29450,29217,28984,28781,28763,28746,28729,28509,28199,27888,27438,26551,25664,24777,24398,24151,23904,23553,23006,22458,21910,20673,19357,18040,16542,14820,13098,11376
2,122490,120700,118920,117130,116210,115990,115770,115420,113980,112540,111100,108700,105800,102910,100500,100010,99512,99016,98889,98879,98869,98644,97940,97236,96533,96313,96171,96029,94785,91977,89170,86362,84286,82235,80185,79139,79029,78919,78708,77116,75524,73933,73180,72938,72697,72153,70149,68146,66142,65448,65251,65055,64865,64690,64515,64340,64221,64113,64004,63545,62511,61476,60442,60124,59860,59596,58905,57758,56612,55497,55286,55075,54865,54657,54453,54248,53967,53207,52447,51688,51354,51212,51070,50656,49389,48122,46855,45711,44598,43485,42594,42124,41655,41186,38074,34658,31242,27660,23874,20089,16304
3,136640,136570,136500,136440,136310,136140,135980,135820,135740,135650,135570,135520,135500,135470,135380,135040,134690,134350,133920,133460,133000,132560,132180,131790,131410,130800,130150,129510,128840,128150,127460,126770,126510,126260,126010,125880,125860,125840,125800,125470,125130,124800,124510,124230,123960,123720,123680,123630,123580,123510,123440,123370,123310,123280,123250,123220,122740,122170,121600,121210,121120,121020,120930,116910,112590,108270,105450,104240,103020,101840,101690,101540,101400,100870,100080,99288,98495,97702,96909,96115,92917,88635,84354,80895,80019,79143,78267,76300,74049,71797,69547,67300,65054,62807,60686,58579,56472,53809,50464,47118,43773
4,135220,135120,135030,134930,134820,134700,134570,134430,134030,133640,133250,132790,132300,131810,131280,130640,129990,129340,129110,129020,128930,128820,128670,128530,128390,126660,124680,122700,121490,121350,121220,121090,121060,121030,121000,120880,120690,120490,120290,120020,119750,119470,119210,118940,118680,118400,118040,117670,117310,116450,115410,114360,113550,113370,113180,113000,112310,111510,110710,110110,109840,109560,109290,108510,107690,106880,106200,105670,105150,104640,104640,104630,104630,104580,104490,104390,104300,104200,104100,103990,103210,102110,101010,99829,98382,96935,95488,94278,93129,91981,90039,86591,83143,79694,78791,78181,77571,72851,63074,53296,43519
5,135360,135250,135150,135050,134780,134370,133960,133580,133450,133310,133180,133010,132830,132640,132480,132410,132340,132270,132180,132090,131990,131850,131610,131360,131120,130650,130150,129640,129050,128340,127640,126930,126870,126830,126790,126690,126520,126350,126180,126050,125920,125790,125720,125710,125690,125650,125500,125360,125210,124230,122940,121650,120680,120580,120470,120370,119530,118550,117570,116940,116880,116820,116760,114470,112010,109550,107970,107350,106730,106050,103830,101620,99404,97526,95885,94244,92707,91823,90939,90056,87431,84023,80615,78009,77923,77836,77749,73874,69010,64146,59768,56317,52865,49413,47378,45505,43633,40043,34340,28638,22935
6,114010,113290,112570,111860,111390,111140,110880,110640,110500,110370,110230,110110,110000,109890,109720,109340,108960,108570,107590,106420,105250,104390,104250,104120,103980,103110,102130,101150,100220,99340,98462,97585,97039,96504,95969,94990,93596,92202,90833,89798,88763,87728,86895,86185,85476,84877,84811,84744,84677,83270,81351,79432,77955,77639,77323,77007,75881,74586,73291,72305,71824,71342,70861,70556,70263,69971,68933,67098,65263,63476,63050,62623,62197,60669,58364,56059,53948,53046,52144,51241,48829,45736,42644,40242,40011,39779,39548,39459,39409,39358,38267,35198,32129,29060,27749,26640,25532,22282,16397,10512,4627.7
7,70007,69319,68631,67943,67572,67459,67346,67223,67018,66812,66607,66426,66258,66091,65750,64748,63745,62743,62190,61780,61371,61052,60934,60817,60699,60355,59973,59592,59320,59204,59087,58970,58307,57625,56943,56302,55700,55099,54489,53768,53047,52327,51982,51868,51754,51567,51030,50494,49958,49532,49148,48765,48455,48342,48228,48114,47639,47088,46537,45865,44994,44124,43253,43025,42845,42665,42460,42227,41994,41762,41543,41323,41104,40208,38834,37461,36180,35483,34786,34089,32885,31452,30019,28710,27794,26879,25963,25404,24938,24473,23090,19966,16841,13716,12708,11944,11180,9360,6240,3120,0
8,42147,41634,41121,40608,40271,40077,39883,39706,39673,39640,39607,39517,39397,39278,39144,38954,38764,38575,38446,38338,38229,38116,37995,37873,37752,37651,37553,37456,37259,36921,36584,36247,36035,35827,35620,35486,35420,35355,35239,34452,33664,32877,32456,32258,32061,31877,31758,31638,31519,31364,31195,31026,30870,30747,30625,30503,30423,30351,30279,30140,29889,29639,29388,29342,29311,29280,29202,29072,28943,28811,28628,28445,28262,27736,26967,26199,25408,24477,23547,22616,20928,18898,16868,14800,12611,10422,8233.3,6706.5,5352.4,3998.3,2800,1897.8,995.55,93.332,0,0,0,0,0,0,0
9,27927,27628,27330,27031,26840,26735,26631,26532,26480,26429,26377,26347,26329,26312,26285,26224,26164,26103,26013,25913,25814,25685,25492,25298,25105,24886,24663,24440,24253,24115,23978,23841,23825,23814,23802,23708,23536,23364,23188,22963,22739,22515,22189,21801,21413,21087,21057,21027,20997,20964,20929,20895,20759,20359,19958,19558,19486,19482,19479,19400,19198,18995,18793,18752,18723,18693,18533,18231,17930,17622,17148,16673,16199,15885,15686,15486,15312,15299,15285,15272,14967,14531,14094,13358,11678,9997.5,8317.3,7599.5,7132.6,6665.8,5896.4,4552.2,3207.9,1863.7,1447.9,1139.2,830.45,574.32,382.88,191.44,0
10,22584,22525,22466,22407,22296,22143,21990,21794,21225,20657,20089,19711,19433,19156,18923,18863,18802,18742,18588,18404,18221,18091,18081,18070,18060,17944,17811,17679,17583,17541,17498,17455,17414,17373,17331,17263,17170,17076,16988,16978,16967,16957,16923,16873,16824,16775,16723,16672,16620,16540,16450,16359,16286,16259,16232,16206,15878,15488,15097,14844,14815,14786,14757,14701,14644,14587,14491,14354,14217,14083,14047,14012,13976,13802,13530,13259,13019,12978,12938,12897,12802,12683,12563,11901,9533.1,7165.2,4797.3,3795.5,3149.9,2504.4,1873.3,1269.7,666.07,62.444,0,0,0,0,0,0,0
11,22874,22778,22683,22588,22516,22464,22413,22359,22290,22221,22152,22110,22082,22053,22029,22021,22012,22003,21997,21992,21987,21949,21839,21729,21619,21600,21597,21593,21517,21338,21158,20979,20916,20858,20800,20750,20710,20669,20631,20630,20629,20628,20625,20621,20616,20598,20508,20419,20330,20243,20158,20072,19999,19958,19916,19875,19841,19807,19774,19753,19751,19748,19746,19446,19124,18802,18409,17939,17470,17002,16571,16140,15710,15458,15334,15209,15084,14959,14833,14708,14262,13672,13082,12487,11877,11268,10658,9355.4,7871.7,6388,5329.9,5080.4,4830.9,4581.4,4133.7,3663.1,3192.5,2551.6,1701,850.52,0
12,37354,36687,36020,35353,34705,34073,33441,32851,32619,32387,32155,32011,31914,31817,31724,31647,31569,31492,31345,31176,31007,30857,30749,30641,30533,30457,30386,30315,30261,30230,30199,30168,29922,29669,29416,29205,29033,28861,28684,28429,28174,27919,27679,27448,27216,26941,26454,25968,25481,25233,25077,24920,24795,24753,24712,24670,24503,24311,24119,23991,23967,23944,23920,23860,23798,23735,23615,23433,23250,23068,22866,22665,22463,22224,21958,21693,21345,20482,19619,18756,18373,18205,18037,17783,17259,16736,16212,15980,15824,15668,15469,15191,14912,14633,14038,13406,12773,11599,9756,7913.5,6071
