Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,4970,193,143000,25.6,1100,25.4,0.937,1.87,0.6,0.89,0.95,50.6,1
0.01,4380,187,136000,25.6,1100,25.4,0.936,1.87,0.495,0.88,0.76,50.1,0.569
0.02,3720,183,135000,25.6,1100,25.4,0.936,1.87,0.46,0.88,0.72,49.9,0.265
0.03,3610,182,133000,25.6,1100,25.4,0.935,1.87,0.45,0.87,0.7,49.7,0.147
0.04,3380,180,132000,25.6,1100,25.4,0.935,1.87,0.44,0.87,0.686,49.6,0.0207
0.05,3280,178,131000,25.5,1100,25.4,0.935,1.87,0.44,0.87,0.67,49.3,0
0.06,3120,178,130000,25.5,1100,25.4,0.935,1.87,0.44,0.86,0.655,48.8,0
0.07,2930,176,128000,25.5,1100,25.3,0.934,1.87,0.44,0.85,0.647,48.6,0
0.08,2870,175,127000,25.5,1100,25.3,0.934,1.87,0.43,0.85,0.62,48.3,0
0.09,2750,175,126000,25.5,1100,25.3,0.934,1.87,0.43,0.84,0.61,47.9,0
0.1,2600,174,126000,25.5,1100,25.3,0.934,1.87,0.421,0.831,0.591,47.8,0
0.11,2450,173,125000,25.5,1100,25.3,0.934,1.87,0.42,0.83,0.58,47.7,0
0.12,2220,173,125000,25.5,1100,25.3,0.934,1.87,0.41,0.829,0.558,47.7,0
0.13,2070,171,123000,25.5,1100,25.2,0.933,1.87,0.41,0.82,0.517,47.4,0
0.14,2030,170,122000,25.4,1100,25.2,0.933,1.87,0.41,0.817,0.477,47.2,0
0.15,1930,170,121000,25.4,1100,25.2,0.933,1.86,0.41,0.8,0.47,47,0
0.16,1890,169,120000,25.4,1100,25.1,0.933,1.85,0.4,0.8,0.46,46.7,0
0.17,1820,167,117000,25.4,1100,25.1,0.933,1.84,0.4,0.79,0.45,46.4,0
0.18,1780,163,116000,25.4,1090,25.1,0.933,1.82,0.4,0.79,0.44,46.3,0
0.19,1690,160,115000,25.3,1090,25.1,0.933,1.8,0.39,0.79,0.44,46.1,0
0.2,1560,157,114000,25.3,1080,25.1,0.932,1.72,0.39,0.78,0.44,45.8,0
0.21,1490,155,113000,25.3,1060,25,0.932,1.71,0.39,0.78,0.44,45.6,0
0.22,1460,154,111000,25.3,1050,25,0.932,1.65,0.38,0.78,0.44,45.2,0
0.23,1430,152,110000,25.2,1030,25,0.932,1.61,0.38,0.77,0.43,44.9,0
0.24,1380,149,109000,25.2,1010,24.9,0.932,1.57,0.37,0.76,0.43,44.6,0
0.25,1320,147,108000,25.2,1000,24.9,0.931,1.49,0.37,0.76,0.43,44.2,0
0.26,1270,146,106000,25.2,974,24.9,0.931,1.46,0.37,0.76,0.42,43.7,0
0.27,1220,143,105000,25.2,955,24.9,0.93,1.41,0.361,0.751,0.42,43.3,0
0.28,1120,141,102000,25.1,941,24.8,0.93,1.34,0.36,0.75,0.415,42.8,0
0.29,1100,140,101000,25.1,916,24.8,0.93,1.26,0.35,0.74,0.41,42.5,0
0.3,1040,137,98700,25.1,863,24.8,0.929,1.19,0.35,0.73,0.41,42.2,0
0.31,1010,135,96500,25.1,823,24.8,0.929,1.11,0.34,0.727,0.41,42,0
0.32,928,133,95300,25,794,24.7,0.929,1.05,0.331,0.72,0.41,41.5,0
0.33,911,130,94200,25,757,24.6,0.928,0.968,0.33,0.72,0.4,41.2,0
0.34,883,128,91300,24.9,720,24.6,0.927,0.907,0.33,0.719,0.4,40.5,0
0.35,839,126,89400,24.9,688,24.6,0.926,0.879,0.32,0.71,0.4,40.4,0
0.36,818,123,88200,24.9,658,24.6,0.926,0.828,0.32,0.7,0.39,40.3,0
0.37,792,120,85300,24.8,632,24.5,0.926,0.782,0.312,0.7,0.39,40.2,0
0.38,770,116,84200,24.8,596,24.5,0.925,0.739,0.31,0.7,0.39,40.1,0
0.39,744,114,82100,24.8,578,24.4,0.925,0.702,0.31,0.69,0.39,39.9,0
0.4,725,111,80500,24.7,562,24.3,0.924,0.683,0.3,0.69,0.39,39.8,0
0.41,703,108,78500,24.6,542,24.3,0.924,0.665,0.3,0.69,0.38,39.7,0
0.42,676,107,77500,24.5,521,24.2,0.923,0.626,0.29,0.69,0.38,39.6,0
0.43,646,104,76200,24.5,502,24.1,0.923,0.616,0.29,0.69,0.37,39.4,0
0.44,637,101,73600,24.5,495,24.1,0.922,0.589,0.28,0.68,0.37,39.3,0
0.45,615,96.2,71200,24.4,467,24,0.922,0.57,0.28,0.68,0.37,39.2,0
0.46,595,95,69300,24.4,451,24,0.922,0.543,0.269,0.67,0.36,39.1,0
0.47,567,92.3,67900,24.3,437,23.9,0.922,0.518,0.25,0.67,0.36,38.9,0
0.48,551,90.1,66200,24.2,429,23.8,0.922,0.511,0.25,0.667,0.36,38.6,0
0.49,531,80.5,59900,24.1,381,23.7,0.921,0.465,0.24,0.66,0.35,38.4,0
0.5,519,76.8,57100,24.1,360,23.6,0.921,0.433,0.24,0.655,0.345,38,0
0.51,503,74.9,55700,24,350,23.5,0.921,0.422,0.23,0.65,0.34,37.9,0
0.52,491,71.3,53100,23.9,333,23.4,0.921,0.405,0.223,0.64,0.333,37.8,0
