Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,334.8,158.8,655.9,83600,11550,41970,112.4,15.52,56.41,0.25,0.75,0.25,0.0032,0.0065,0,0.31,45.7
2,5,682.9,220.9,1482,122800,18160,74960,182.8,27.02,110.7,0.17,0.81,0.19,0,0.0048,0,0.62,46.2
3,6,1271,400.2,2372,138500,47560,113400,186.1,63.92,152.5,0.13,0.73,0.27,0,0,0,0.85,37.4
4,7,1908,418.6,3766,138100,45650,111800,191.9,63.4,155.3,0.11,0.6,0.4,0,0,0,0.86,28.4
5,8,1390,289.8,2480,134600,23600,110400,180.9,31.72,148.4,0.18,0.67,0.33,0,0,0,0.82,33.6
6,9,744.4,198.2,1283,122700,4733,81850,170.4,6.573,113.7,0.24,0.76,0.24,0,0.023,0,0.63,41.8
7,10,474.1,154.9,725.5,76000,0,49470,102.1,0,66.49,0.36,0.64,0.36,0.022,0.026,0,0.37,37.6
8,11,324,121.5,475.4,46390,0,28790,62.35,0,38.69,0.44,0.55,0.45,0.041,0.11,0,0.21,30.9
9,12,227.3,86.95,329.8,30610,0,19170,42.51,0,26.62,0.46,0.52,0.48,0.081,0.051,0,0.15,30.6
10,1,175.4,68.16,244.8,23070,0,14680,31.01,0,19.74,0.43,0.53,0.47,0.1,0.1,0,0.11,29.4
11,2,177.5,88.29,241.2,23900,0,18050,33.19,0,25.07,0.36,0.63,0.37,0.044,0.034,0,0.14,37.9
12,3,215.6,123.3,300.3,39860,6151,25990,53.57,8.267,34.93,0.29,0.71,0.29,0,0.016,0,0.19,44
