Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,3770,192,138000,25.6,1100,25.4,0.938,1.87,0.83,0.88,1,50.3,1
0.01,3030,185,136000,25.6,1100,25.4,0.936,1.87,0.671,0.87,0.941,49.7,1
0.02,2580,183,134000,25.6,1100,25.4,0.936,1.87,0.578,0.87,0.796,49.6,0.994
0.03,2410,180,133000,25.6,1100,25.4,0.935,1.87,0.522,0.86,0.669,49.5,0.779
0.04,2300,180,133000,25.6,1100,25.4,0.935,1.87,0.506,0.86,0.64,49.2,0.521
0.05,2230,178,132000,25.6,1100,25.4,0.935,1.87,0.48,0.85,0.6,49,0.421
0.06,2140,177,130000,25.5,1100,25.4,0.935,1.87,0.46,0.85,0.569,48.8,0.358
0.07,1930,176,129000,25.5,1100,25.4,0.934,1.87,0.46,0.84,0.54,48.6,0.255
0.08,1840,174,127000,25.5,1100,25.4,0.934,1.86,0.45,0.84,0.53,48.4,0.226
0.09,1770,171,126000,25.5,1100,25.4,0.934,1.84,0.45,0.83,0.517,48.2,0.133
0.1,1670,169,124000,25.5,1090,25.4,0.934,1.8,0.441,0.83,0.51,47.9,0.0971
0.11,1600,168,123000,25.5,1080,25.4,0.934,1.74,0.44,0.83,0.49,47.9,0.0645
0.12,1470,167,121000,25.5,1050,25.4,0.933,1.66,0.44,0.829,0.48,47.6,0.0306
0.13,1370,165,120000,25.5,1030,25.4,0.933,1.56,0.44,0.82,0.47,47.3,0
0.14,1280,165,119000,25.5,1000,25.4,0.933,1.54,0.43,0.82,0.46,47,0
0.15,1250,162,119000,25.5,989,25.4,0.933,1.45,0.43,0.81,0.45,46.8,0
0.16,1230,160,118000,25.5,951,25.3,0.933,1.42,0.43,0.81,0.45,46.7,0
0.17,1200,158,114000,25.5,925,25.3,0.933,1.38,0.43,0.8,0.45,46.6,0
0.18,1130,153,111000,25.5,917,25.3,0.933,1.34,0.42,0.8,0.44,46.5,0
0.19,1050,152,110000,25.5,864,25.3,0.932,1.21,0.42,0.8,0.44,46.1,0
0.2,1010,151,108000,25.5,806,25.3,0.932,1.1,0.412,0.792,0.44,45.9,0
0.21,969,149,107000,25.5,791,25.3,0.932,1.05,0.41,0.79,0.43,45.6,0
0.22,916,145,103000,25.5,775,25.3,0.932,1.03,0.4,0.79,0.43,45.2,0
0.23,902,143,102000,25.5,758,25.3,0.931,0.968,0.4,0.78,0.43,45.1,0
0.24,878,141,101000,25.5,737,25.3,0.931,0.931,0.4,0.78,0.43,44.8,0
0.25,841,138,98900,25.5,705,25.2,0.931,0.881,0.39,0.78,0.42,44.8,0
0.26,809,134,96700,25.5,675,25.2,0.93,0.83,0.39,0.77,0.42,44.7,0
0.27,775,126,91200,25.4,635,25.2,0.93,0.779,0.38,0.77,0.42,44.6,0
0.28,748,122,88600,25.4,605,25.2,0.928,0.743,0.38,0.76,0.415,44.5,0
0.29,696,118,83500,25.4,572,25.1,0.928,0.685,0.38,0.76,0.41,44.3,0
0.3,683,113,81500,25.4,547,25.1,0.928,0.661,0.37,0.75,0.41,44.2,0
0.31,663,111,80300,25.4,539,25.1,0.928,0.637,0.367,0.75,0.4,44.2,0
0.32,653,108,77700,25.3,518,25.1,0.927,0.619,0.351,0.74,0.4,43.9,0
0.33,645,102,75100,25.3,492,25.1,0.927,0.591,0.35,0.74,0.4,43.3,0
0.34,623,99,70800,25.3,474,25,0.926,0.57,0.35,0.74,0.39,42.9,0
0.35,596,94.6,67000,25.3,446,25,0.926,0.534,0.34,0.74,0.39,42.6,0
0.36,569,89.7,66100,25.3,430,25,0.925,0.518,0.34,0.73,0.38,42.5,0
0.37,546,88.3,63900,25.2,420,24.9,0.925,0.5,0.33,0.72,0.38,42.3,0
0.38,537,86.1,62700,25.2,410,24.9,0.925,0.495,0.33,0.72,0.38,42.2,0
0.39,524,84.4,61700,25.2,398,24.9,0.924,0.473,0.32,0.71,0.37,41.9,0
0.4,507,81.1,57800,25.1,380,24.8,0.924,0.45,0.32,0.71,0.37,41.6,0
0.41,481,76.7,56300,25.1,358,24.8,0.923,0.438,0.32,0.708,0.368,41.5,0
0.42,467,74.6,55300,25.1,351,24.8,0.923,0.426,0.31,0.7,0.36,41.1,0
0.43,458,74,53300,25.1,344,24.8,0.923,0.419,0.31,0.7,0.35,40.5,0
0.44,448,71.8,52400,25,332,24.7,0.923,0.394,0.31,0.69,0.35,40.4,0
0.45,436,69.7,49100,25,321,24.7,0.922,0.384,0.31,0.69,0.34,40.3,0
0.46,425,65.9,48300,24.9,304,24.6,0.922,0.371,0.3,0.69,0.34,40.2,0
0.47,417,64,46700,24.8,295,24.5,0.921,0.359,0.3,0.69,0.34,40.1,0
0.48,411,61.2,44800,24.8,285,24.5,0.921,0.353,0.29,0.68,0.33,40,0
0.49,398,58.6,43100,24.7,269,24.4,0.921,0.338,0.29,0.68,0.33,39.6,0
0.5,391,56.2,41300,24.6,258,24.3,0.92,0.336,0.28,0.68,0.32,39.3,0
0.51,374,53.6,39800,24.6,244,24.2,0.92,0.332,0.279,0.67,0.32,39.2,0
0.52,364,51.4,38200,24.6,234,24.2,0.92,0.326,0.263,0.67,0.32,39.1,0
0.53,358,50.1,37300,24.5,229,24.2,0.92,0.323,0.26,0.66,0.31,38.8,0
0.54,342,49.5,36600,24.5,226,24.1,0.92,0.321,0.26,0.66,0.31,38.8,0
0.55,322,47.5,35400,24.5,214,24.1,0.92,0.319,0.25,0.66,0.31,38.7,0
0.56,313,46,34200,24.4,208,24,0.919,0.316,0.25,0.65,0.31,38.5,0
0.57,305,45.5,33800,24.3,206,23.9,0.919,0.316,0.24,0.65,0.3,38.4,0
0.58,300,44.6,33200,24.3,201,23.9,0.919,0.313,0.23,0.64,0.3,38.2,0
0.59,293,44.1,32800,24.2,195,23.8,0.918,0.31,0.222,0.632,0.292,37.9,0
0.6,290,42.6,30900,24.2,189,23.7,0.917,0.309,0.22,0.63,0.29,37.5,0
0.61,282,41.4,30700,24,185,23.6,0.916,0.305,0.21,0.63,0.29,36.9,0
0.62,276,41.1,30400,24,182,23.5,0.915,0.302,0.2,0.62,0.28,36.8,0
0.63,268,40.3,30000,23.9,180,23.4,0.915,0.294,0.2,0.62,0.28,36.5,0
0.64,262,38.7,28600,23.9,173,23.3,0.914,0.29,0.2,0.62,0.27,36,0
0.65,256,37.9,28100,23.7,168,23.2,0.913,0.286,0.2,0.61,0.26,35.8,0
0.66,254,37.2,26800,23.6,166,23.1,0.912,0.281,0.191,0.61,0.26,35.6,0
0.67,249,35.5,26200,23.5,159,22.9,0.912,0.271,0.19,0.6,0.26,35.3,0
0.68,246,34.8,25300,23.5,155,22.9,0.911,0.26,0.18,0.6,0.26,35.2,0
0.69,243,33.8,25000,23.4,150,22.8,0.91,0.256,0.18,0.6,0.25,35,0
0.7,240,33.3,24200,23.4,148,22.7,0.908,0.252,0.18,0.59,0.25,34.9,0
0.71,234,32,23800,23.3,143,22.6,0.907,0.243,0.17,0.59,0.24,34.7,0
0.72,228,31.7,23000,23.1,141,22.4,0.907,0.239,0.17,0.585,0.24,34.5,0
0.73,225,31.3,22700,23,140,22.2,0.906,0.237,0.17,0.58,0.23,34.4,0
0.74,223,31,22500,22.9,139,22,0.906,0.236,0.16,0.58,0.23,34.1,0
0.75,219,30.8,22300,22.8,137,21.9,0.905,0.234,0.16,0.58,0.22,34,0
0.76,215,30.3,21900,22.6,136,21.7,0.904,0.233,0.16,0.57,0.22,33.8,0
0.77,212,29.7,21600,22.5,135,21.6,0.902,0.232,0.15,0.57,0.22,33.7,0
0.78,210,29,21200,22.5,134,21.5,0.901,0.227,0.15,0.57,0.21,33.6,0
0.79,208,28.5,20700,22.3,132,21.3,0.9,0.222,0.15,0.57,0.21,33.2,0
0.8,207,28.4,20400,22.2,128,21.1,0.9,0.218,0.14,0.56,0.208,31.4,0
0.81,205,28,20300,22,127,20.8,0.896,0.214,0.14,0.56,0.2,30.2,0
0.82,200,27.2,19500,21.7,126,20.3,0.893,0.211,0.13,0.56,0.2,29.1,0
0.83,197,25.3,18500,21.5,123,20.1,0.892,0.207,0.13,0.55,0.2,28.5,0
0.84,194,24.8,18400,21.4,117,19.9,0.891,0.199,0.13,0.55,0.19,27.7,0
0.85,191,24.2,17900,21.3,114,19.8,0.891,0.193,0.12,0.55,0.19,26.4,0
0.86,186,23.6,17400,21.3,112,19.8,0.889,0.188,0.12,0.54,0.18,25.4,0
0.87,181,23,16800,21,111,19.4,0.888,0.185,0.12,0.53,0.18,24,0
0.88,177,22.3,16600,20.6,109,18.9,0.875,0.181,0.111,0.52,0.171,21.7,0
0.89,171,21.1,15500,20.2,106,18.4,0.837,0.177,0.11,0.51,0.17,21.1,0
0.9,164,20,14700,20,102,18.2,0.818,0.168,0.11,0.49,0.17,20.5,0
0.91,159,19,14000,19.7,98.7,17.9,0.78,0.163,0.11,0.483,0.17,19.6,0
0.92,158,18.4,13600,19.4,93.2,17.5,0.699,0.152,0.1,0.47,0.16,19,0
0.93,153,15.9,11800,19.2,85.2,17.3,0.665,0.142,0.0983,0.46,0.16,18.3,0
0.94,147,15.3,11000,18.6,81.5,16.7,0.579,0.135,0.0911,0.431,0.15,17.1,0
0.95,137,12.3,9150,18.4,78.1,16.5,0.498,0.126,0.0868,0.4,0.15,13.1,0
