Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,3890,192,140000,25.6,1100,25.4,0.938,1.87,0.77,0.88,1,50.3,1
0.01,3090,186,136000,25.6,1100,25.4,0.936,1.87,0.633,0.88,0.954,49.7,1
0.02,2710,182,134000,25.6,1100,25.4,0.936,1.87,0.55,0.87,0.728,49.6,0.923
0.03,2490,181,133000,25.6,1100,25.4,0.935,1.87,0.51,0.86,0.65,49.4,0.684
0.04,2370,179,133000,25.6,1100,25.4,0.935,1.87,0.48,0.86,0.606,49.3,0.527
0.05,2300,179,132000,25.6,1100,25.4,0.935,1.87,0.461,0.85,0.591,48.9,0.39
0.06,2190,178,131000,25.5,1100,25.4,0.935,1.87,0.46,0.85,0.56,48.7,0.323
0.07,2050,176,129000,25.5,1100,25.4,0.935,1.87,0.46,0.84,0.55,48.6,0.29
0.08,1930,173,127000,25.5,1100,25.4,0.934,1.87,0.45,0.84,0.533,48.5,0.226
0.09,1790,172,126000,25.5,1100,25.4,0.934,1.86,0.45,0.837,0.517,48.2,0.161
0.1,1720,170,124000,25.5,1100,25.4,0.934,1.81,0.45,0.83,0.501,48.1,0.133
0.11,1670,169,122000,25.5,1090,25.4,0.934,1.78,0.45,0.83,0.49,47.9,0.0821
0.12,1530,166,121000,25.5,1060,25.4,0.934,1.69,0.44,0.82,0.48,47.5,0
0.13,1400,166,120000,25.5,1040,25.4,0.934,1.63,0.44,0.82,0.46,47.3,0
0.14,1340,164,119000,25.5,1020,25.4,0.933,1.57,0.43,0.81,0.46,47.1,0
0.15,1300,162,118000,25.5,1010,25.3,0.933,1.51,0.43,0.81,0.46,47,0
0.16,1270,161,117000,25.5,980,25.3,0.933,1.47,0.43,0.81,0.456,46.7,0
0.17,1220,159,114000,25.5,957,25.3,0.933,1.43,0.43,0.81,0.45,46.5,0
0.18,1160,157,112000,25.5,930,25.3,0.933,1.35,0.42,0.8,0.45,46.3,0
0.19,1090,153,110000,25.5,885,25.3,0.933,1.26,0.42,0.8,0.45,46.2,0
0.2,1040,152,110000,25.5,850,25.3,0.933,1.15,0.42,0.8,0.44,45.9,0
0.21,1020,151,108000,25.5,816,25.3,0.932,1.12,0.416,0.79,0.44,45.4,0
0.22,986,148,106000,25.5,798,25.3,0.932,1.09,0.41,0.79,0.43,45.2,0
0.23,932,144,105000,25.5,780,25.3,0.931,1.01,0.4,0.78,0.43,45.1,0
0.24,909,142,101000,25.5,766,25.2,0.931,0.976,0.4,0.778,0.43,44.8,0
0.25,863,140,100000,25.5,713,25.2,0.931,0.887,0.39,0.77,0.43,44.7,0
0.26,812,133,96100,25.4,702,25.2,0.93,0.87,0.39,0.77,0.42,44.6,0
0.27,793,128,91700,25.4,650,25.2,0.93,0.798,0.39,0.77,0.42,44.6,0
0.28,755,123,89900,25.4,622,25.2,0.929,0.764,0.385,0.76,0.42,44.4,0
0.29,730,122,87600,25.4,596,25.1,0.929,0.739,0.38,0.76,0.42,44.3,0
0.3,703,119,85100,25.4,581,25.1,0.928,0.71,0.37,0.75,0.41,44.2,0
0.31,693,115,84000,25.4,558,25.1,0.928,0.674,0.36,0.75,0.41,44,0
0.32,680,111,80200,25.3,536,25.1,0.927,0.649,0.36,0.74,0.4,43.5,0
0.33,663,107,75900,25.3,513,25,0.927,0.625,0.35,0.735,0.4,43,0
0.34,632,101,72900,25.3,486,25,0.926,0.594,0.34,0.73,0.4,42.8,0
0.35,616,98.3,70000,25.3,466,25,0.926,0.558,0.34,0.723,0.39,42.4,0
0.36,593,92.6,67400,25.2,441,24.9,0.926,0.536,0.33,0.72,0.39,42.2,0
0.37,566,90.6,65500,25.2,431,24.9,0.925,0.517,0.33,0.72,0.39,41.9,0
0.38,547,88.6,64200,25.2,421,24.9,0.925,0.509,0.33,0.716,0.38,41.8,0
0.39,543,86.2,62300,25.1,413,24.9,0.925,0.489,0.33,0.71,0.38,41.7,0
0.4,519,84.1,60900,25.1,396,24.8,0.925,0.473,0.32,0.71,0.374,41.4,0
0.41,505,79.7,58100,25.1,376,24.8,0.924,0.459,0.32,0.708,0.368,41.1,0
0.42,490,78.2,56700,25,364,24.7,0.924,0.443,0.32,0.7,0.36,40.9,0
0.43,479,75.3,54800,25,355,24.7,0.923,0.431,0.31,0.696,0.35,40.6,0
0.44,458,73.3,53200,25,337,24.7,0.923,0.41,0.31,0.69,0.35,40.2,0
0.45,448,71.1,51600,24.9,329,24.6,0.922,0.392,0.305,0.69,0.34,40.1,0
0.46,437,66.8,48500,24.9,310,24.5,0.922,0.378,0.3,0.68,0.34,39.8,0
0.47,427,63.9,47600,24.8,296,24.5,0.921,0.371,0.293,0.68,0.34,39.7,0
0.48,418,62.5,45200,24.7,288,24.4,0.921,0.361,0.29,0.68,0.33,39.4,0
0.49,409,60.4,43900,24.7,279,24.4,0.921,0.347,0.29,0.68,0.33,39.2,0
0.5,400,58.8,42400,24.6,269,24.3,0.921,0.343,0.28,0.675,0.325,39.1,0
0.51,383,55,40900,24.6,250,24.2,0.921,0.336,0.28,0.67,0.32,39,0
0.52,372,52.9,39400,24.5,244,24.2,0.92,0.332,0.27,0.67,0.32,38.8,0
0.53,364,51.4,38300,24.5,235,24.1,0.92,0.327,0.267,0.66,0.32,38.7,0
0.54,346,50.8,37800,24.5,231,24.1,0.92,0.325,0.251,0.66,0.32,38.6,0
0.55,338,49.4,36500,24.4,223,24,0.92,0.323,0.25,0.66,0.31,38.4,0
0.56,323,47.1,35100,24.3,213,23.9,0.919,0.319,0.24,0.65,0.31,38.2,0
0.57,320,45.9,33900,24.2,208,23.9,0.919,0.318,0.234,0.65,0.304,37.9,0
0.58,309,43.9,32500,24.2,197,23.7,0.919,0.314,0.23,0.64,0.3,37.6,0
0.59,300,43.3,32200,24.1,195,23.7,0.918,0.312,0.222,0.632,0.292,37.2,0
0.6,293,43,31900,24.1,191,23.6,0.918,0.311,0.216,0.626,0.29,36.9,0
0.61,288,41.9,31100,24,186,23.5,0.918,0.306,0.21,0.62,0.29,36.8,0
0.62,282,40.6,30200,23.9,182,23.4,0.918,0.3,0.2,0.62,0.284,36.3,0
0.63,275,40.5,30000,23.9,181,23.3,0.917,0.297,0.2,0.61,0.28,36.1,0
0.64,269,39.5,29300,23.7,175,23.2,0.915,0.293,0.2,0.61,0.28,36,0
0.65,260,38,27900,23.7,170,23.1,0.914,0.289,0.2,0.61,0.276,35.8,0
0.66,255,37.3,27500,23.6,166,23,0.913,0.285,0.19,0.6,0.27,35.6,0
0.67,254,37.1,27000,23.4,164,22.8,0.912,0.281,0.19,0.6,0.265,35.3,0
0.68,248,36.7,26500,23.4,163,22.7,0.911,0.277,0.18,0.6,0.26,35.1,0
0.69,242,35.3,25900,23.3,158,22.7,0.91,0.262,0.18,0.59,0.25,34.9,0
0.7,240,34.1,25300,23.3,151,22.6,0.909,0.256,0.177,0.59,0.25,34.7,0
0.71,237,32.9,24100,23.2,146,22.4,0.908,0.247,0.17,0.58,0.24,34.5,0
0.72,231,32.1,23500,23.1,143,22.3,0.907,0.246,0.17,0.58,0.24,34.3,0
0.73,227,31.4,22900,22.9,140,22.1,0.906,0.238,0.16,0.58,0.23,34.1,0
0.74,224,31,22700,22.8,139,22,0.906,0.236,0.16,0.58,0.23,33.9,0
0.75,223,30.7,22300,22.7,138,21.8,0.905,0.235,0.16,0.57,0.23,33.7,0
0.76,220,30.4,22000,22.5,137,21.5,0.905,0.233,0.15,0.57,0.222,33.3,0
0.77,214,30.3,21900,22.4,136,21.4,0.904,0.231,0.15,0.57,0.22,32.9,0
0.78,212,29.6,21800,22.2,134,21.1,0.902,0.229,0.15,0.57,0.21,31.5,0
0.79,210,29.3,21400,22.1,132,21,0.901,0.226,0.14,0.56,0.21,30.9,0
0.8,207,28.8,20800,22.1,131,20.9,0.9,0.221,0.14,0.56,0.2,30.2,0
0.81,205,28.1,20200,21.8,129,20.6,0.899,0.216,0.13,0.55,0.2,29.4,0
0.82,203,27.7,19900,21.6,125,20.2,0.896,0.212,0.13,0.55,0.2,27.9,0
0.83,199,26.3,18700,21.4,124,20,0.893,0.208,0.13,0.55,0.19,27.5,0
0.84,196,24.9,18300,21.3,118,19.8,0.892,0.199,0.13,0.544,0.19,26.3,0
0.85,190,24,17800,21.2,115,19.6,0.892,0.195,0.12,0.54,0.19,25.1,0
0.86,188,23.1,17100,21.1,112,19.5,0.89,0.189,0.12,0.54,0.19,24.2,0
0.87,183,22.3,16500,20.8,111,19.3,0.889,0.186,0.12,0.54,0.18,23.5,0
0.88,179,21.8,16200,20.4,109,18.6,0.886,0.181,0.11,0.52,0.18,22.7,0
0.89,174,21,15400,20,107,18.2,0.819,0.178,0.11,0.51,0.17,21.1,0
0.9,170,20,14800,19.9,104,18,0.778,0.172,0.1,0.499,0.17,19.7,0
0.91,167,18.8,14000,19.6,101,17.8,0.746,0.166,0.1,0.483,0.163,19.3,0
0.92,160,18,13400,19.3,94.4,17.4,0.695,0.154,0.1,0.467,0.16,18.5,0
0.93,157,16.9,12600,18.9,90.3,17,0.633,0.146,0.0971,0.45,0.16,17.7,0
0.94,149,15.3,11300,18.5,83.2,16.6,0.607,0.137,0.0901,0.44,0.15,17,0
0.95,141,13.3,9910,18.2,78.6,16.3,0.536,0.127,0.086,0.41,0.15,14.4,0
0.96,132,7.67,5590,18,69.7,16.2,0.42,0.112,0.0821,0.394,0.14,12.3,0
0.97,123,6.45,4670,17.7,53.5,15.9,0.28,0.0991,0.0785,0.35,0.14,9.72,0
0.98,112,1.25,916,17.2,31.2,15.3,0.0654,0.0845,0.0762,0.272,0.13,2.87,0
0.99,98.1,0,0,16.3,4.51,14.4,0,0.0721,0.0752,0.0499,0.12,0,0
1,68.8,0,0,14.6,0,12.7,0,0.0708,0.068,0,0.12,0,0
