Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,5300,188,140000,25.6,1100,25.4,0.938,1.87,0.76,0.88,1,50,1
0.01,4000,181,134000,25.6,1100,25.4,0.936,1.87,0.575,0.87,0.794,49.7,1
0.02,3600,180,134000,25.6,1100,25.4,0.936,1.87,0.496,0.87,0.73,49.4,0.564
0.03,3440,179,133000,25.6,1100,25.4,0.935,1.87,0.46,0.86,0.692,49.1,0.375
0.04,3290,178,131000,25.6,1100,25.4,0.935,1.87,0.46,0.86,0.686,49,0.29
0.05,2930,176,128000,25.6,1100,25.4,0.935,1.87,0.45,0.86,0.67,48.8,0.226
0.06,2810,176,127000,25.5,1100,25.4,0.935,1.87,0.45,0.85,0.63,48.6,0.197
0.07,2680,175,126000,25.5,1100,25.4,0.934,1.87,0.449,0.84,0.619,48.3,0.177
0.08,2580,173,126000,25.5,1100,25.4,0.934,1.87,0.44,0.833,0.61,48.2,0.133
0.09,2410,171,124000,25.5,1100,25.4,0.934,1.87,0.44,0.83,0.58,48,0.0875
0.1,2310,170,123000,25.5,1100,25.4,0.934,1.87,0.44,0.83,0.561,47.7,0.00667
0.11,2130,169,122000,25.5,1100,25.4,0.934,1.87,0.44,0.82,0.54,47.5,0
0.12,1990,167,121000,25.5,1100,25.4,0.933,1.86,0.44,0.81,0.519,47,0
0.13,1860,165,120000,25.5,1100,25.4,0.933,1.84,0.43,0.81,0.51,46.8,0
0.14,1800,164,119000,25.5,1080,25.3,0.933,1.78,0.43,0.8,0.47,46.7,0
0.15,1690,163,118000,25.5,1080,25.3,0.933,1.75,0.43,0.791,0.46,46.5,0
0.16,1620,161,117000,25.5,1060,25.3,0.933,1.73,0.42,0.79,0.46,46.4,0
0.17,1520,159,116000,25.5,1060,25.3,0.933,1.7,0.42,0.79,0.45,46.1,0
0.18,1480,156,115000,25.5,1040,25.3,0.932,1.63,0.41,0.78,0.45,45.8,0
0.19,1420,154,112000,25.5,1000,25.3,0.932,1.57,0.41,0.77,0.45,45.7,0
0.2,1350,154,111000,25.5,990,25.2,0.931,1.51,0.41,0.762,0.44,45.5,0
0.21,1320,151,110000,25.5,955,25.2,0.931,1.45,0.41,0.76,0.44,45.2,0
0.22,1250,149,107000,25.4,946,25.2,0.931,1.42,0.4,0.76,0.44,44.9,0
0.23,1220,148,104000,25.4,933,25.2,0.931,1.36,0.4,0.76,0.44,44.7,0
0.24,1140,146,104000,25.4,911,25.2,0.931,1.28,0.39,0.75,0.44,44.6,0
0.25,1070,139,101000,25.4,876,25.2,0.93,1.25,0.39,0.75,0.44,44.5,0
0.26,1000,136,99400,25.4,849,25.1,0.93,1.19,0.39,0.74,0.43,44.4,0
0.27,962,135,97800,25.4,816,25.1,0.93,1.07,0.38,0.74,0.43,44.2,0
0.28,924,132,95500,25.3,781,25.1,0.929,0.992,0.38,0.73,0.425,44,0
0.29,882,129,93100,25.3,749,25.1,0.929,0.955,0.37,0.73,0.42,43.7,0
0.3,842,126,90600,25.3,680,25,0.928,0.856,0.37,0.73,0.42,42.9,0
0.31,807,123,88300,25.3,652,25,0.928,0.817,0.37,0.72,0.41,42.7,0
0.32,778,120,86600,25.3,616,25,0.927,0.769,0.36,0.72,0.41,42.1,0
0.33,769,116,83600,25.3,599,25,0.926,0.741,0.36,0.72,0.41,41.9,0
0.34,709,113,81000,25.2,563,24.9,0.926,0.681,0.34,0.71,0.41,41.5,0
0.35,700,109,78300,25.2,540,24.9,0.926,0.656,0.34,0.71,0.41,41.4,0
0.36,681,107,75300,25.2,519,24.9,0.925,0.623,0.33,0.7,0.4,40.2,0
0.37,661,99.9,73700,25.1,485,24.8,0.924,0.596,0.33,0.7,0.4,40,0
0.38,647,99,71800,25.1,482,24.8,0.924,0.588,0.32,0.69,0.39,39.9,0
0.39,603,96.3,70700,25.1,466,24.8,0.923,0.569,0.32,0.69,0.39,39.7,0
0.4,570,95,67700,25,455,24.7,0.923,0.544,0.32,0.69,0.39,39.4,0
0.41,556,92.3,66200,25,444,24.7,0.923,0.533,0.318,0.688,0.38,39.4,0
0.42,550,87.3,62200,24.9,424,24.6,0.922,0.513,0.31,0.68,0.38,39,0
0.43,530,83.9,59100,24.9,401,24.6,0.922,0.471,0.31,0.68,0.37,39,0
0.44,516,77.2,57400,24.9,367,24.5,0.921,0.453,0.3,0.68,0.37,38.9,0
0.45,507,74.9,54100,24.8,348,24.5,0.921,0.422,0.29,0.68,0.37,38.8,0
0.46,490,71.7,52600,24.8,337,24.5,0.921,0.411,0.29,0.67,0.37,38.8,0
0.47,467,69.7,51400,24.7,328,24.3,0.92,0.401,0.283,0.67,0.363,38.7,0
0.48,451,68,50300,24.7,322,24.3,0.92,0.394,0.28,0.66,0.36,38.5,0
0.49,440,65.6,48600,24.5,306,24.2,0.92,0.383,0.271,0.66,0.36,38.2,0
0.5,431,61.9,45500,24.5,295,24.1,0.92,0.365,0.27,0.655,0.345,38,0
0.51,416,58.8,43600,24.4,272,24,0.92,0.359,0.27,0.64,0.34,37.8,0
0.52,391,57.2,42300,24.4,267,24,0.92,0.353,0.26,0.64,0.34,37.6,0
0.53,381,55.2,40800,24.3,260,23.9,0.919,0.344,0.257,0.637,0.33,37.1,0
0.54,368,53.6,39700,24.2,243,23.7,0.919,0.334,0.25,0.63,0.33,36.7,0
0.55,352,51.3,38200,24.1,233,23.7,0.919,0.326,0.24,0.63,0.32,36.4,0
0.56,345,50.7,37700,24.1,231,23.6,0.919,0.325,0.24,0.63,0.32,36.2,0
0.57,337,50,36100,24,226,23.5,0.919,0.322,0.234,0.63,0.32,36,0
0.58,334,47.4,34900,23.9,213,23.5,0.919,0.32,0.22,0.62,0.32,35.9,0
0.59,316,45.6,33800,23.9,207,23.4,0.918,0.317,0.212,0.62,0.312,35.6,0
0.6,309,44.9,33400,23.9,200,23.3,0.918,0.314,0.21,0.61,0.31,35.4,0
0.61,304,43.7,32400,23.7,198,23.1,0.917,0.312,0.21,0.61,0.31,35.3,0
0.62,300,43.2,31900,23.5,195,22.9,0.916,0.309,0.2,0.61,0.31,35.1,0
0.63,297,42.9,31400,23.5,190,22.8,0.916,0.307,0.19,0.6,0.3,35,0
0.64,279,42.2,30900,23.4,186,22.8,0.915,0.304,0.19,0.6,0.3,34.9,0
0.65,271,41,30500,23.3,182,22.7,0.914,0.302,0.18,0.59,0.29,34.9,0
0.66,267,40.5,30000,23.3,179,22.6,0.913,0.296,0.18,0.59,0.29,34.8,0
0.67,260,39.1,28900,23,174,22.3,0.912,0.294,0.175,0.59,0.28,34.7,0
0.68,254,38.1,28200,23,169,22.2,0.911,0.291,0.17,0.59,0.28,34.6,0
0.69,251,37.4,27200,22.9,167,22.1,0.909,0.285,0.17,0.59,0.28,34.2,0
0.7,248,37,26800,22.7,165,21.9,0.909,0.279,0.16,0.58,0.27,34,0
0.71,244,36,26100,22.6,161,21.6,0.908,0.269,0.16,0.58,0.27,33.6,0
0.72,243,34.3,25500,22.4,153,21.4,0.907,0.261,0.15,0.575,0.27,33.5,0
0.73,239,33.9,24800,22.3,151,21.2,0.906,0.256,0.15,0.57,0.26,33.3,0
0.74,237,32.8,24200,22.2,146,21,0.906,0.248,0.15,0.57,0.26,33,0
0.75,232,32.4,23700,21.9,145,20.7,0.905,0.247,0.14,0.56,0.25,31.5,0
0.76,229,32,23100,21.7,142,20.3,0.904,0.243,0.14,0.56,0.25,31,0
0.77,227,31.2,22700,21.5,139,20.1,0.904,0.24,0.13,0.56,0.24,30.5,0
0.78,225,30.8,22300,21.3,138,19.9,0.904,0.234,0.13,0.56,0.24,29.8,0
0.79,223,30.1,22200,21.1,136,19.6,0.903,0.232,0.13,0.56,0.24,29.5,0
0.8,222,29.9,21800,21,134,19.6,0.903,0.231,0.13,0.56,0.238,28.8,0
0.81,220,29.8,21800,20.8,134,19.2,0.902,0.23,0.122,0.55,0.23,27.5,0
0.82,216,29.4,21500,20.6,132,19,0.899,0.226,0.12,0.55,0.22,26.7,0
0.83,212,29.2,21300,20.4,132,18.7,0.897,0.222,0.12,0.55,0.21,26.1,0
0.84,207,27.8,20300,20.1,131,18.4,0.895,0.222,0.114,0.54,0.21,25,0
0.85,204,26.5,19200,20,128,18.2,0.893,0.217,0.11,0.54,0.209,23.9,0
0.86,201,25.7,18500,19.6,125,17.9,0.891,0.213,0.11,0.53,0.2,22.5,0
0.87,198,24.9,17900,19.4,123,17.6,0.888,0.206,0.1,0.49,0.19,20.4,0
0.88,194,23.7,17600,19.1,118,17.2,0.888,0.204,0.1,0.481,0.19,19.3,0
0.89,186,23.4,17200,18.8,115,17,0.887,0.192,0.098,0.46,0.18,17.9,0
0.9,181,22.6,16800,18.2,110,16.3,0.882,0.186,0.095,0.439,0.17,16.6,0
0.91,177,22.4,16300,17.9,106,16,0.823,0.178,0.093,0.42,0.17,16,0
0.92,173,21.7,16000,17.5,103,15.6,0.777,0.171,0.0894,0.39,0.167,14.8,0
0.93,167,20.6,15000,17.3,102,15.4,0.748,0.167,0.0851,0.381,0.16,13.9,0
0.94,161,19.6,14300,17,96.3,15.1,0.705,0.159,0.084,0.37,0.15,11.7,0
0.95,149,17.7,13200,16.7,92.7,14.8,0.692,0.15,0.079,0.33,0.14,11,0
0.96,143,15.5,11400,15.8,80.3,14,0.633,0.131,0.0764,0.314,0.14,10.2,0
0.97,132,11.9,8870,15.5,71.6,13.6,0.553,0.116,0.075,0.308,0.14,9.31,0
0.98,126,10.4,7520,15.2,66.5,13.3,0.394,0.109,0.074,0.27,0.13,6.81,0
0.99,111,0,0,14.4,31.4,12.5,0,0.0828,0.0716,0.206,0.13,0,0
1,74.5,0,0,12.1,0,10.2,0,0.0708,0.065,0,0.12,0,0
