datetime,Year,Month,WaterYear,WaterMonth,WaterWeek,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,14,3,0.0569,0.0189,0.038,2376.51,33.86,33.86,33.01,1,1,1,219.7,215.8,223.4,146.7,142.8,73,73,73,0,0,0,0.332,0.327,0.338,146.7,142.8,150.4,990,990,990,964.5,964.5,964.5,25.5,25.5,25.5,0.101,0.0993,0.102,0.00822,0.00789,0.00854,0.00032,0.00031,0.00034,0.249,0.242,0.256,0.0098,0.0095,0.01,25.23,25.2,25.26,0.937,0.936,0.939,0.97,0.97,0.97,0.909,0.908,0.911,34.03,33.1,34.91,33.01,32.11,33.86,0,0,0,0,0,0,0.183,0,0.0189,0.33,0.67,0.33,41.8
726098400000,1993,1,1992,4,14,7,0.146,0.0442,0.102,6405.86,41.29,41.29,38.13,1,1,1,241.5,228.1,254.3,168.5,155.1,73,73,73,0,0,0,0.303,0.287,0.32,168.5,155.1,181.3,990,990,990,964.6,964.6,964.7,25.4,25.3,25.4,0.108,0.104,0.113,0.0101,0.00893,0.0112,0.0004,0.00035,0.00044,0.288,0.264,0.311,0.011,0.01,0.012,25.06,24.97,25.17,0.945,0.94,0.949,0.974,0.97,0.98,0.921,0.912,0.93,39.12,36,42.14,38.13,34.92,41.29,0,0,0,0,0,0,0.212,0,0.044,0.3,0.7,0.3,43.9
726703200000,1993,1,1992,4,15,7,0.165,0.0442,0.121,7629.46,48.2,48.2,45.41,1,1,1,272.8,258.4,288.5,199.8,185.4,73,73,73,0,0,0,0.268,0.253,0.282,199.8,185.4,215.5,990,990,990,964.8,964.7,964.9,25.2,25.1,25.3,0.119,0.114,0.125,0.0127,0.0115,0.0141,0.00051,0.00046,0.00056,0.344,0.319,0.373,0.014,0.013,0.015,24.86,24.77,24.95,0.954,0.95,0.958,0.98,0.98,0.98,0.935,0.931,0.938,46.48,43.11,50.14,45.41,42.24,48.2,0,0,0,0,0,0,0.252,0,0.044,0.27,0.73,0.27,46.2
727308000000,1993,1,1992,4,16,7,0.195,0.0442,0.151,9152.73,61.32,61.32,54.48,2,1,1.8571428571428572,322.4,293.2,353.9,249.4,220.2,73,73,73,0,0,0,0.227,0.206,0.249,249.4,220.2,280.9,990,990,990,965,964.9,965.2,25,24.8,25.1,0.137,0.127,0.148,0.0201,0.0145,0.0316,0.00081,0.00058,0.0013,0.289,0.242,0.381,0.012,0.0096,0.015,24.7,24.52,24.85,0.934,0.923,0.958,0.971,0.97,0.98,0.907,0.895,0.939,31.85,25.7,51.21,30.68,24.93,48.2,0,0,0,0,0,0,0.303,0,0.044,0.23,0.77,0.23,46.9
727912800000,1993,1,1992,4,17,7,0.243,0.0442,0.199,12055.4,79.39,79.39,71.76,2,2,2,402.1,366.7,436.2,329.1,293.7,73,73,73,0,0,0,0.182,0.167,0.199,329.1,293.7,363.2,990,990,990,965.4,965.2,965.6,24.6,24.4,24.8,0.165,0.153,0.177,0.0543,0.0376,0.0704,0.0022,0.0015,0.0029,0.384,0.331,0.435,0.016,0.013,0.018,24.21,24,24.44,0.945,0.939,0.95,0.972,0.97,0.977,0.918,0.911,0.929,36.91,33.04,40.61,35.88,32.05,39.69,0,0,0,0,0,0,0.399,0,0.044,0.18,0.82,0.18,49.6
728517600000,1993,2,1992,5,18,7,0.303,0.0514,0.251,14969.2,96.4,96.4,89.1,2,2,2,500.7,450.1,562.2,415.7,365.1,85,85,85,0,0,0,0.171,0.151,0.189,415.7,365.1,477.2,990,990,990,965.9,965.6,966.1,24.1,23.9,24.4,0.197,0.179,0.221,0.0952,0.0713,0.124,0.0039,0.0029,0.0052,0.515,0.439,0.61,0.021,0.018,0.026,23.63,23.26,23.94,0.955,0.95,0.958,0.98,0.978,0.98,0.935,0.929,0.939,45.96,40.73,52.04,44.55,39.82,48.2,0,0,0,0,0,0,0.495,0,0.052,0.17,0.83,0.17,49.4
729122400000,1993,2,1992,5,19,7,0.413,0.0514,0.362,20789,142,142,123.7,3,3,3,683.7,588.8,783.8,598.7,503.8,85,85,85,0,0,0,0.125,0.108,0.144,598.7,503.8,698.8,990,990,990,966.6,966.2,967,23.4,23,23.8,0.29,0.236,0.347,0.201,0.138,0.268,0.0086,0.0058,0.012,0.703,0.543,0.872,0.03,0.023,0.038,22.66,22.09,23.21,0.953,0.947,0.957,0.977,0.97,0.98,0.931,0.918,0.938,42.21,36.18,48.3,41.25,35.09,47.33,0,0,0,0,0,0,0.687,0,0.051,0.12,0.88,0.12,50.3
729727200000,1993,2,1992,5,20,7,0.592,0.0559,0.536,28623.8,190,190,170.4,4,3,3.857142857142857,979,817.6,1165,886.5,732.6,92.43,85,137,0,0,0,0.0945,0.0775,0.118,886.5,732.6,1028,990,990,990,967.8,967.2,968.4,22.2,21.6,22.8,0.512,0.366,0.673,0.378,0.29,0.486,0.017,0.013,0.022,1.14,0.923,1.44,0.052,0.041,0.067,21.08,20.14,21.9,0.955,0.952,0.957,0.979,0.975,0.98,0.935,0.928,0.938,45.4,39.42,50.19,44.32,38.43,48.2,0,0,0,0,0,0,0.947,0,0.056,0.094,0.91,0.09,48.4
730332000000,1993,2,1992,5,21,7,0.86,0.0829,0.665,31910.4,192.8,192.8,189.9,4,4,4,1421,1236,1580,1284,1099,137,137,137,184.4,0,343,0.0971,0.0867,0.111,1100,1099,1100,990,990,990,969.2,968.6,969.7,20.8,20.3,21.4,0.852,0.777,0.898,0.648,0.645,0.648,0.031,0.03,0.032,1.8,1.72,1.85,0.087,0.081,0.091,18.97,18.41,19.64,0.953,0.952,0.954,0.98,0.98,0.98,0.934,0.933,0.935,48.73,47.26,50.47,47.49,46.31,48.2,0,0,0,0,0,0,1.06,0,0.195,0.096,0.77,0.23,37.1
730936800000,1993,3,1992,6,22,7,1.09,0.145,0.665,29811.6,183.2,183.2,177.5,4,4,4,1803,1636,1964,1564,1397,239,239,239,463.6,297,625,0.133,0.122,0.146,1100,1100,1100,990,990,990,970.5,969.9,971,19.5,19,20.1,0.924,0.916,0.926,0.648,0.648,0.648,0.033,0.032,0.034,1.87,1.86,1.87,0.096,0.093,0.099,17.67,17.14,18.21,0.95,0.948,0.952,0.98,0.98,0.98,0.931,0.93,0.933,45.27,43.85,46.74,44.36,42.97,45.81,0,0,0,0,0,0,0.986,0,0.425,0.13,0.61,0.39,27.4
