datetime,Year,Month,WaterYear,WaterMonth,Days,RiverVolume,EFlowVolume,CanalVolume,Energy,Power_max,Power_min,Power_mean,Turbines_max,Turbines_min,Turbines_mean,Flow_mean,Flow_min,Flow_max,FlowAvailableForGeneration_mean,FlowAvailableForGeneration_min,EFlow_mean,EFlow_min,EFlow_max,SpillFlow_mean,SpillFlow_min,SpillFlow_max,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,CanalFlow_mean,CanalFlow_min,CanalFlow_max,HeadPondLevel_mean,HeadPondLevel_min,HeadPondLevel_max,TailwaterLevel_mean,TailwaterLevel_min,TailwaterLevel_max,GrossHead_mean,GrossHead_min,GrossHead_max,LeftChannelHeadloss_mean,LeftChannelHeadloss_min,LeftChannelHeadloss_max,CanalHeadloss_mean,CanalHeadloss_min,CanalHeadloss_max,CanalHeadlossProportion_mean,CanalHeadlossProportion_min,CanalHeadlossProportion_max,TotalHeadloss_mean,TotalHeadloss_min,TotalHeadloss_max,HeadlossProportion_mean,HeadlossProportion_min,HeadlossProportion_max,NetHead_mean,NetHead_min,NetHead_max,UnitEfficiency_mean,UnitEfficiency_min,UnitEfficiency_max,GeneratorEfficiency_mean,GeneratorEfficiency_min,GeneratorEfficiency_max,TotalEfficiency_mean,TotalEfficiency_min,TotalEfficiency_max,UnitPower_mean,UnitPower_min,UnitPower_max,GeneratorPower_mean,GeneratorPower_min,GeneratorPower_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,ShutoffProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
725839200000,1993,1,1992,4,31,0.512,0.196,0.316,19334.5,47.92,47.92,25.99,1,1,1,191,136,283.1,118,63.01,73,73,73,0,0,0,0.401,0.258,0.537,118,63.01,210.1,990,990,990,964.5,964.4,964.8,25.5,25.2,25.6,0.0906,0.0712,0.123,0.00578,0.00111,0.0136,0.00023,0.000043,0.00054,0.198,0.0999,0.363,0.0078,0.0039,0.014,25.27,24.8,25.4,0.899,0,0.957,0.937,0,0.98,0.871,0,0.937,26.77,0,48.89,25.99,0,47.92,0,1,0,0,0.0323,0,0.144,0.0323,0.196,0.38,0.62,0.38,37.8
728517600000,1993,2,1992,5,28,1.25,0.206,1.05,61299.9,141.2,141.2,91.22,3,1,2.2857142857142856,517.5,292.7,778.8,432.5,207.7,85,85,85,0,0,0,0.181,0.109,0.29,432.5,207.7,693.8,990,990,990,965.9,964.9,967,24.1,23,25.1,0.215,0.123,0.344,0.113,0.0134,0.264,0.0048,0.00053,0.012,0.524,0.251,0.863,0.022,0.01,0.038,23.57,22.12,24.77,0.949,0.925,0.959,0.976,0.97,0.98,0.927,0.897,0.94,41.22,26.47,52.58,39.99,25.67,48.2,0,0,0,0,0,0,0.507,0,0.2,0.16,0.84,0.16,49
730936800000,1993,3,1992,6,31,2.55,0.327,2.22,118740,192.5,192.5,159.6,4,3,3.5161290322580645,952.5,788.5,1177,830.6,681.5,121.9,107,129,0,0,0,0.129,0.11,0.147,830.6,681.5,1048,990,990,990,967.7,967.1,968.5,22.3,21.5,22.9,0.471,0.342,0.704,0.347,0.256,0.53,0.016,0.011,0.025,1.08,0.848,1.52,0.049,0.037,0.071,21.24,20.02,22.1,0.956,0.953,0.957,0.98,0.975,0.98,0.936,0.929,0.938,47.23,39.59,51.95,45.69,38.61,48.2,0,0,0,0,0,0,0.887,0,0.33,0.13,0.87,0.13,46.6
733615200000,1993,4,1992,7,30,3.08,0.364,2.7,136373,192.8,192.8,189.4,4,4,4,1188,1053,1251,1047,904.5,140.3,125,148,4.2,0,26,0.119,0.0999,0.141,1043,904.5,1100,990,990,990,968.5,968.1,968.7,21.5,21.3,21.9,0.713,0.543,0.795,0.538,0.377,0.648,0.025,0.017,0.03,1.54,1.17,1.74,0.072,0.053,0.082,19.97,19.57,20.77,0.955,0.954,0.956,0.98,0.98,0.98,0.936,0.935,0.936,48.73,44,50.57,47.35,43.12,48.2,0,0,0,0,0,0,1.05,0,0.38,0.12,0.88,0.12,44.3
736207200000,1993,5,1992,8,31,2.19,0.394,1.8,99797,169.9,169.9,134.1,4,3,3.225806451612903,818.8,643,1035,671.8,496,147,147,147,0,0,0,0.183,0.142,0.229,671.8,496,887.5,990,990,990,967.2,966.5,968,22.8,22,23.5,0.352,0.242,0.521,0.246,0.133,0.369,0.011,0.0057,0.017,0.821,0.541,1.13,0.036,0.023,0.051,22.01,20.86,22.99,0.954,0.946,0.957,0.977,0.97,0.98,0.932,0.917,0.938,42.77,35.25,51.53,41.67,34.19,48.2,0,0,0,0,0,0,0.745,0,0.39,0.18,0.82,0.18,45.6
738885600000,1993,6,1992,9,30,1.36,0.308,1.05,61886.2,106.8,106.8,85.95,3,2,2.1,523.1,432.4,633.9,404.1,313.4,119,119,119,0,0,0,0.231,0.188,0.275,404.1,313.4,514.9,990,990,990,966,965.5,966.4,24,23.6,24.5,0.199,0.166,0.25,0.0899,0.0469,0.145,0.0038,0.0019,0.0062,0.493,0.367,0.635,0.021,0.015,0.027,23.55,22.99,24.09,0.952,0.943,0.958,0.976,0.97,0.98,0.929,0.914,0.939,42.53,34.9,52.62,41.23,33.85,48.2,0,0,0,0,0,0,0.478,0,0.31,0.23,0.77,0.23,45.5
741477600000,1993,7,1992,10,31,0.978,0.289,0.689,41648.2,69.07,69.07,55.98,2,1,1.7419354838709677,365.1,313.5,427.2,257.1,205.5,108,108,108,0,0,0,0.298,0.253,0.345,257.1,205.5,319.2,990,990,990,965.2,965,965.5,24.8,24.5,25,0.144,0.126,0.166,0.0246,0.0132,0.0497,0.001,0.00053,0.002,0.323,0.247,0.397,0.013,0.0099,0.016,24.45,24.1,24.67,0.94,0.923,0.959,0.973,0.97,0.98,0.914,0.895,0.94,35.37,25.56,52.25,34.16,24.79,48.2,0,0,0,0,0,0,0.311,0,0.289,0.3,0.7,0.3,42.6
744156000000,1993,8,1992,11,31,0.708,0.249,0.459,28760,48.2,48.2,38.66,1,1,1,264.4,229.5,309.4,171.4,136.5,93,93,93,0,0,0,0.355,0.301,0.405,171.4,136.5,216.4,990,990,990,964.8,964.6,964.9,25.2,25.1,25.4,0.112,0.1,0.128,0.0103,0.00736,0.0141,0.00041,0.00029,0.00056,0.297,0.234,0.377,0.012,0.0092,0.015,24.95,24.68,25.19,0.945,0.933,0.958,0.975,0.97,0.98,0.922,0.905,0.938,39.67,31.48,50.14,38.66,30.53,48.2,0,0,0,0,0,0,0.215,0,0.249,0.35,0.65,0.35,40.6
746834400000,1993,9,1992,12,30,0.499,0.187,0.313,19359,34.79,34.79,26.89,1,1,1,192.6,171,226.5,120.6,99.01,72,72,72,0,0,0,0.377,0.318,0.421,120.6,99.01,154.5,990,990,990,964.5,964.4,964.6,25.5,25.4,25.6,0.0922,0.0846,0.104,0.006,0.00417,0.00888,0.00023,0.00016,0.00035,0.204,0.165,0.264,0.008,0.0065,0.01,25.35,25.18,25.38,0.924,0.911,0.94,0.97,0.968,0.97,0.896,0.882,0.912,27.72,22.47,35.87,26.89,21.76,34.79,0,0,0,0,0,0,0.149,0,0.186,0.37,0.63,0.37,38.8
749426400000,1993,10,1993,1,31,0.401,0.139,0.262,16063.1,26.06,26.06,21.59,1,1,1,149.7,135.2,169.1,97.72,83.19,52,52,52,0,0,0,0.349,0.308,0.385,97.72,83.19,117.1,990,990,990,964.5,964.5,964.5,25.5,25.5,25.5,0.0806,0.0755,0.0874,0.00406,0.00282,0.0057,0.00016,0.00011,0.00022,0.159,0.133,0.194,0.0062,0.0052,0.0076,25.35,25.34,25.37,0.919,0.911,0.929,0.967,0.961,0.97,0.889,0.883,0.895,22.33,19.24,26.86,21.59,18.49,26.06,0,0,0,0,0,0,0.12,0,0.139,0.35,0.65,0.35,40.1
