Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,3170,192,141000,25.6,1100,25.4,0.938,1.87,0.85,0.88,1,50.4,1
0.01,2630,185,137000,25.6,1100,25.4,0.936,1.87,0.696,0.88,0.921,49.9,0.816
0.02,2370,183,136000,25.6,1100,25.4,0.936,1.87,0.59,0.87,0.675,49.8,0.199
0.03,2140,183,134000,25.6,1100,25.4,0.936,1.87,0.55,0.87,0.615,49.7,0
0.04,2010,181,133000,25.6,1100,25.4,0.936,1.87,0.516,0.86,0.573,49.5,0
0.05,1940,180,132000,25.6,1100,25.4,0.936,1.87,0.481,0.86,0.55,49.4,0
0.06,1890,178,131000,25.6,1100,25.4,0.935,1.87,0.46,0.855,0.535,49.1,0
0.07,1770,177,129000,25.5,1100,25.4,0.935,1.86,0.45,0.85,0.51,48.8,0
0.08,1690,175,129000,25.5,1100,25.4,0.935,1.83,0.45,0.85,0.49,48.5,0
0.09,1630,174,128000,25.5,1090,25.4,0.935,1.8,0.447,0.85,0.477,48.3,0
0.1,1520,173,126000,25.5,1090,25.4,0.935,1.78,0.44,0.84,0.46,48.2,0
0.11,1430,172,125000,25.5,1060,25.4,0.935,1.65,0.44,0.83,0.455,48,0
0.12,1390,172,124000,25.5,1030,25.4,0.934,1.61,0.43,0.83,0.45,47.8,0
0.13,1350,169,121000,25.5,1020,25.4,0.934,1.55,0.43,0.83,0.45,47.5,0
0.14,1250,166,120000,25.5,981,25.4,0.934,1.48,0.42,0.83,0.44,47.3,0
0.15,1110,163,119000,25.5,948,25.4,0.934,1.32,0.42,0.82,0.44,47,0
0.16,1070,162,116000,25.5,916,25.4,0.933,1.24,0.42,0.82,0.44,46.8,0
0.17,1050,160,113000,25.5,881,25.3,0.933,1.19,0.42,0.82,0.43,46.6,0
0.18,1040,157,111000,25.5,856,25.3,0.933,1.18,0.41,0.81,0.43,46.4,0
0.19,1030,154,110000,25.5,847,25.3,0.933,1.16,0.41,0.81,0.43,46.3,0
0.2,985,151,109000,25.5,825,25.3,0.932,1.09,0.41,0.81,0.42,46.1,0
0.21,922,149,107000,25.5,769,25.3,0.932,0.989,0.4,0.8,0.42,45.8,0
0.22,905,146,106000,25.5,744,25.3,0.932,0.954,0.4,0.8,0.42,45.8,0
