WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1924,365,831,190.8,11.33,94.87,992.1,111.4,3452,31.3,4.47,17.9,0.247,0.053,0.531,0,0,0,0,0,0,0.527,0.42,0.074,0.12,0.39,0,0,0,13.4,0.14,0.57,0.43,26.5
1925,365,765.2,194.3,22.9,87.36,1112,158.5,4501,35.1,4.69,16.9,0.234,0.0407,0.571,0,0,0,0,0,0,0.485,0.34,0.11,0.22,0.33,0,0,0,18.2,0.13,0.48,0.52,21.8
1926,365,859.5,191.8,20.79,98.12,990.4,192.9,3313,31.2,4.9,18.2,0.253,0.0655,0.498,0,0,0,0,0,0,0.545,0.4,0.071,0.19,0.34,0,0,0,13,0.16,0.58,0.42,27.5
1927,366,827.9,191.1,23,94.25,848.1,179.8,2261,26.8,4.37,16.9,0.247,0.0655,0.472,0,0,0,0,0,0,0.525,0.33,0.13,0.16,0.38,0,0,0,9.9,0.16,0.63,0.37,30.9
1928,365,745.4,193.4,23.79,85.09,564.5,195.2,1589,17.8,3.48,13.8,0.257,0.0931,0.499,0,0,0,0,0,0,0.473,0.21,0.16,0.24,0.39,0,0,0,4,0.2,0.78,0.22,41.9
1929,365,868.7,193.7,25.12,99.16,720.2,188.7,2188,22.7,4.37,16.6,0.252,0.0878,0.456,0,0,0,0,0,0,0.551,0.32,0.17,0.24,0.27,0,0,0,6.1,0.19,0.73,0.27,38.3
1930,365,806.9,193.1,23.35,92.11,942.6,201.2,3356,29.7,4.92,16.8,0.26,0.054,0.565,0,0,0,0,0,0,0.512,0.31,0.15,0.24,0.3,0,0,0,12.9,0.17,0.57,0.43,27.2
1931,366,893.3,192.1,30.13,101.7,1065,236.2,3803,33.7,5.29,18.9,0.253,0.0628,0.479,0,0,0,0,0,0,0.567,0.41,0.15,0.17,0.27,0,0,0,14.8,0.16,0.56,0.44,26.5
1932,365,761.3,194.3,20.89,86.91,583.1,188.7,1617,18.4,3.48,14.2,0.262,0.0892,0.497,0,0,0,0,0,0,0.483,0.25,0.14,0.21,0.4,0,0,0,4.2,0.19,0.77,0.23,41.4
1933,365,777.3,194.3,0,88.73,1218,158.5,5589,38.4,5.18,17.7,0.241,0.0428,0.507,0,0,6,0,0,0.016,0.493,0.34,0.15,0.2,0.31,0,6,0.01643835616438356,20.7,0.13,0.46,0.54,20.2
1934,365,859.3,191.3,18.56,98.1,952.3,178.3,3279,30,4.82,17.8,0.258,0.0716,0.522,0,0,0,0,0,0,0.545,0.36,0.1,0.24,0.3,0,0,0,12.2,0.16,0.59,0.41,28.6
1935,366,813.3,191.9,20.39,92.58,809.1,189.2,2497,25.6,4.25,16.4,0.25,0.0624,0.491,0,0,0,0,0,0,0.516,0.31,0.12,0.24,0.33,0,0,0,9.2,0.17,0.64,0.36,31.8
1936,365,831.4,192.1,22.39,94.9,1197,201.2,3600,37.7,5.58,18.7,0.258,0.0502,0.544,0,0,0,0,0,0,0.527,0.4,0.074,0.23,0.3,0,0,0,19,0.15,0.5,0.5,22.1
1937,365,837.4,192.2,26.3,95.59,828.5,224.7,3228,26.1,4.41,16.7,0.262,0.0459,0.551,0,0,0,0,0,0,0.531,0.33,0.13,0.25,0.3,0,0,0,9.4,0.17,0.64,0.36,32.1
