exceedance,energy,riverVolume,capFactor,eFlowProportion,specificEnergy,shutoffDaysProportion
0,1017,73.6,0.645,0.25,44.4,0.167
0.05,955.6,56.7,0.606,0.21,43.3,0.0816
0.1,919.8,52.5,0.583,0.198,42.3,0.0433
0.15,897.4,48.1,0.569,0.19,38.9,0.017
0.2,886.8,46.3,0.563,0.18,37.5,0
0.25,868.7,42.1,0.551,0.18,33.9,0
0.3,861.3,40.8,0.546,0.17,31.7,0
0.35,850.7,38.4,0.54,0.16,28.9,0
0.4,845.7,36,0.536,0.16,28.1,0
0.45,840.2,34.8,0.533,0.16,27,0
0.5,834.9,33.8,0.529,0.15,26.1,0
0.55,829.1,31.6,0.526,0.15,24.9,0
0.6,813.5,30.5,0.516,0.15,23.4,0
0.65,808.2,29.4,0.513,0.14,22.1,0
0.7,798.2,26.5,0.506,0.14,21.7,0
0.75,790.1,24.7,0.501,0.13,20.2,0
0.8,778.7,22.8,0.494,0.13,18.6,0
0.85,765.4,20.6,0.485,0.128,17,0
0.9,750.2,18.4,0.476,0.12,16.1,0
0.95,715,17.1,0.453,0.11,14.8,0
1,491.4,11.4,0.312,0.085,9.9,0
