exceedance,energy,riverVolume,capFactor,eFlowProportion,specificEnergy,shutoffDaysProportion
0,1041,73.6,0.66,0.25,45.4,0.164
0.05,980.7,56.7,0.622,0.21,43.9,0.0871
0.1,945,52.5,0.6,0.198,43.1,0.057
0.15,920.9,48.1,0.584,0.19,39.8,0.0548
0.2,909.7,46.3,0.577,0.18,38.2,0.0471
0.25,899.2,42.1,0.57,0.18,34.3,0.0384
0.3,885.4,40.8,0.561,0.17,32.3,0.0274
0.35,875.7,38.4,0.556,0.16,29.5,0.0192
0.4,867.3,36,0.55,0.16,28.9,0.011
0.45,861.9,34.8,0.547,0.16,27.7,0.00329
0.5,854.2,33.8,0.542,0.15,26.8,0
0.55,848.3,31.6,0.538,0.15,25.4,0
0.6,836.9,30.5,0.531,0.15,24.1,0
0.65,827.7,29.4,0.525,0.14,22.6,0
0.7,817.7,26.5,0.519,0.14,22.3,0
0.75,808.1,24.7,0.512,0.13,20.9,0
0.8,801.3,22.8,0.508,0.13,19.2,0
0.85,782.4,20.6,0.496,0.128,17.5,0
0.9,768.8,18.4,0.487,0.12,16.5,0
0.95,732.3,17.1,0.464,0.11,15.3,0
1,495.1,11.4,0.314,0.085,10.2,0
