exceedance,power,energy
0,193,4630
0.01,193,4630
0.02,192,4620
0.03,191,4570
0.04,189,4540
0.05,187,4490
0.06,185,4450
0.07,183,4400
0.08,181,4350
0.09,180,4310
0.1,178,4270
0.11,176,4220
0.12,174,4170
0.13,172,4120
0.14,170,4080
0.15,168,4040
0.16,167,4000
0.17,165,3960
0.18,164,3930
0.19,162,3880
0.2,160,3840
0.21,158,3790
0.22,156,3750
0.23,154,3700
0.24,151,3630
0.25,148,3540
0.26,145,3470
0.27,145,3470
0.28,144,3460
0.29,142,3420
0.3,141,3370
0.31,139,3330
0.32,136,3270
0.33,134,3210
0.34,132,3170
0.35,130,3120
0.36,128,3060
0.37,125,3000
0.38,123,2940
0.39,120,2880
0.4,117,2800
0.41,114,2730
0.42,111,2670
0.43,108,2590
0.44,104,2500
0.45,96.4,2310
0.46,96.4,2310
0.47,96.3,2310
0.48,93.7,2250
0.49,91,2180
0.5,88.2,2120
0.51,85.5,2050
0.52,83.2,2000
0.53,80.6,1930
0.54,77.8,1870
0.55,75.7,1820
0.56,73.3,1760
0.57,70.9,1700
0.58,69,1660
0.59,67.3,1610
0.6,65.4,1570
0.61,63.7,1530
0.62,61.8,1480
0.63,60.4,1450
0.64,58.8,1410
0.65,57.1,1370
0.66,55.5,1330
0.67,54.3,1300
0.68,52.3,1260
0.69,50.8,1220
0.7,49.9,1200
0.71,48.2,1160
0.72,48.2,1160
0.73,48.2,1160
0.74,47,1130
0.75,45.9,1100
0.76,44.6,1070
0.77,43.5,1040
0.78,42.3,1010
0.79,41.1,988
0.8,40.1,963
0.81,39.1,939
0.82,38,912
0.83,37.1,891
0.84,36.1,866
0.85,35.1,843
0.86,34.4,826
0.87,33.7,808
0.88,32.7,784
0.89,31.8,764
0.9,31,743
0.91,30.2,725
0.92,29.4,705
0.93,28.8,690
0.94,28,671
0.95,27.2,653
0.96,26.3,632
0.97,25,600
0.98,22,528
0.99,0,0
1,0,0
