exceedance,power,energy
0,193,4630
0.01,193,4630
0.02,193,4630
0.03,191,4600
0.04,189,4550
0.05,188,4510
0.06,186,4470
0.07,184,4430
0.08,182,4380
0.09,180,4330
0.1,178,4280
0.11,176,4220
0.12,174,4170
0.13,172,4120
0.14,169,4060
0.15,168,4020
0.16,166,3980
0.17,164,3940
0.18,163,3910
0.19,161,3870
0.2,159,3830
0.21,158,3790
0.22,156,3750
0.23,154,3700
0.24,152,3640
0.25,148,3550
0.26,145,3470
0.27,145,3470
0.28,145,3470
0.29,144,3450
0.3,142,3420
0.31,140,3370
0.32,139,3330
0.33,137,3280
0.34,135,3230
0.35,133,3180
0.36,131,3140
0.37,129,3090
0.38,126,3030
0.39,124,2980
0.4,121,2910
0.41,118,2840
0.42,115,2760
0.43,112,2690
0.44,109,2630
0.45,107,2570
0.46,103,2480
0.47,96.4,2310
0.48,96.4,2310
0.49,95.2,2280
0.5,92.1,2210
0.51,89.2,2140
0.52,86.8,2080
0.53,84.2,2020
0.54,81.3,1950
0.55,78.2,1880
0.56,75.5,1810
0.57,72.6,1740
0.58,70.2,1680
0.59,68.3,1640
0.6,66.3,1590
0.61,64.6,1550
0.62,62.7,1500
0.63,61,1460
0.64,58.8,1410
0.65,57.1,1370
0.66,55.3,1330
0.67,53.7,1290
0.68,51.9,1250
0.69,50.8,1220
0.7,48.2,1160
0.71,48.2,1160
0.72,48.2,1160
0.73,47.6,1140
0.74,46.3,1110
0.75,45.1,1080
0.76,44.1,1060
0.77,42.7,1020
0.78,41.6,998
0.79,40.2,965
0.8,39,936
0.81,38.1,914
0.82,37.1,889
0.83,36.2,870
0.84,35.3,846
0.85,34.3,824
0.86,33.5,804
0.87,32.6,783
0.88,31.9,765
0.89,31.1,746
0.9,30.4,730
0.91,29.6,711
0.92,28.9,695
0.93,28.1,674
0.94,27.2,653
0.95,26,623
0.96,24.9,597
0.97,23.6,566
0.98,19.6,471
0.99,0,0
1,0,0
