exceedance,energy,riverVolume,capFactor,eFlowProportion,specificEnergy,shutoffDaysProportion
0,1083,73.9,0.687,0.25,46.3,0.153
0.01,1077,68.2,0.683,0.23,46.2,0.151
0.02,1069,66.8,0.678,0.23,46.2,0.105
0.03,1050,60.1,0.665,0.22,45.7,0.0669
0.04,1026,59.2,0.651,0.21,45.7,0.0631
0.05,1018,56.6,0.646,0.21,45.5,0.0474
0.06,994.7,55.3,0.631,0.21,44.9,0.044
0.07,988,54.5,0.626,0.201,44.9,0.0438
0.08,987.1,53.9,0.626,0.2,44.3,0.0438
0.09,983.6,53.6,0.624,0.2,44.1,0.0413
0.1,978.5,51.2,0.62,0.2,44,0.0411
0.11,974.8,50.8,0.618,0.2,43.7,0.0387
0.12,972,50.8,0.616,0.191,43.6,0.0287
0.13,969.1,50.2,0.614,0.19,43,0.0274
0.14,966.5,49.4,0.613,0.19,42.1,0.0274
0.15,965.6,48.5,0.612,0.19,41.8,0.0251
0.16,962.4,48.1,0.61,0.19,40.7,0.0224
0.17,957.6,47.5,0.608,0.19,40.3,0.0196
0.18,954.4,47.3,0.605,0.19,40.3,0.0192
0.19,953.2,47,0.604,0.19,40.1,0.017
0.2,952.2,46.5,0.604,0.182,39.8,0.0164
0.21,949.3,44.3,0.602,0.18,38.8,0.0164
0.22,946.1,43.7,0.6,0.18,38.4,0.0143
0.23,944.1,43.1,0.599,0.18,38.1,0.0116
0.24,941.6,42.8,0.597,0.18,36.4,0.011
0.25,940,42.6,0.596,0.18,35.7,0.011
0.26,938,42.4,0.595,0.18,34.6,0.011
0.27,936.3,42.3,0.594,0.173,34,0.00896
0.28,929.5,42.1,0.59,0.17,33.8,0.00822
0.29,926.9,41.7,0.588,0.163,33.3,0.00627
0.3,924.4,41.4,0.587,0.16,33,0.00356
0.31,922.2,41,0.585,0.16,32.4,0.000849
0.32,919.7,39.9,0.584,0.16,31.6,0
0.33,913.9,39.2,0.58,0.16,30.9,0
0.34,911.3,38.9,0.578,0.16,30.5,0
0.35,911.1,38.7,0.578,0.16,30.4,0
0.36,907.2,38.6,0.575,0.16,30.3,0
0.37,903.7,38.5,0.573,0.16,30.2,0
0.38,902.9,38.2,0.573,0.16,30,0
0.39,902.2,37.1,0.572,0.16,29.7,0
0.4,901.8,36.5,0.572,0.16,29.7,0
0.41,901.4,36.3,0.572,0.16,29.6,0
0.42,900.6,36.1,0.571,0.16,29.1,0
0.43,900,35.7,0.571,0.16,28.7,0
0.44,899.5,35.5,0.57,0.16,28.6,0
0.45,898.4,35.3,0.569,0.155,28.3,0
0.46,897.5,35.1,0.569,0.15,28.1,0
0.47,896.1,34.8,0.568,0.15,28,0
0.48,893.9,34.4,0.567,0.15,27.7,0
0.49,891.1,34.3,0.565,0.15,27.4,0
0.5,889,34.3,0.564,0.15,27.4,0
0.51,888.5,34.2,0.564,0.15,27.1,0
0.52,888.4,34.1,0.563,0.15,26.9,0
0.53,887.9,33.8,0.563,0.15,26.7,0
0.54,886.4,33.1,0.562,0.15,26.5,0
0.55,885.2,32.4,0.561,0.15,26.2,0
0.56,884.3,32,0.561,0.15,26,0
0.57,882.4,31.6,0.56,0.146,25.9,0
0.58,880.2,31.5,0.558,0.14,25.6,0
0.59,877.9,31.3,0.557,0.14,25.4,0
0.6,875.6,30.9,0.555,0.14,24.8,0
0.61,873.3,30.6,0.554,0.14,24.1,0
0.62,871.3,30.4,0.553,0.14,23.9,0
0.63,868.5,30.3,0.551,0.14,23.7,0
0.64,867.6,30.1,0.551,0.14,23.6,0
0.65,866.2,29.8,0.55,0.14,23.4,0
0.66,864.4,29,0.548,0.14,23.2,0
0.67,862.2,27.8,0.546,0.14,23.1,0
0.68,859,27.6,0.545,0.14,23.1,0
0.69,856.2,27.3,0.543,0.14,23,0
0.7,854.2,27,0.542,0.14,22.8,0
0.71,852.3,26.3,0.541,0.14,22.6,0
0.72,847.8,25.7,0.538,0.137,22.6,0
0.73,845.7,25.3,0.536,0.13,22.4,0
0.74,841.8,25.1,0.534,0.13,22,0
0.75,841.6,24.8,0.534,0.13,21.6,0
0.76,841,24.6,0.533,0.13,21.4,0
0.77,840.2,24.3,0.533,0.13,21.3,0
0.78,839,23.7,0.532,0.13,21,0
0.79,838.4,23.1,0.532,0.13,20.3,0
0.8,837.1,22.8,0.531,0.13,19.6,0
0.81,833.4,22.1,0.529,0.13,19.2,0
0.82,829.8,21.6,0.526,0.128,18.7,0
0.83,818.3,21.1,0.519,0.12,18.6,0
0.84,815.4,20.8,0.518,0.12,18.5,0
0.85,811.6,20.6,0.515,0.12,18.4,0
0.86,810.4,20.1,0.514,0.12,18.1,0
0.87,805.8,19.3,0.511,0.12,18,0
0.88,797.2,18.9,0.506,0.12,17.7,0
0.89,795.3,18.7,0.505,0.12,17.5,0
0.9,793.5,18.6,0.503,0.12,17.3,0
0.91,789.9,18.2,0.501,0.12,17.3,0
0.92,784.6,18,0.498,0.12,17.2,0
0.93,778,17.6,0.494,0.119,17.1,0
0.94,753,17.1,0.477,0.11,16.6,0
0.95,733.3,16.3,0.465,0.11,16.1,0
0.96,731.9,16.1,0.464,0.11,15.9,0
0.97,719.8,15.6,0.456,0.11,15.3,0
0.98,673.9,14.8,0.428,0.1,13.3,0
0.99,577.2,13.1,0.366,0.0979,12.4,0
1,525.1,11.7,0.333,0.084,10.7,0
