month,1.00,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.90,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.80,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.70,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.60,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.30,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.00
1,136290,135930,134130,134060,127860,127440,126240,125400,125170,125010,120420,118340,117150,116030,115430,114800,112680,111390,110650,109770,108960,108620,108500,106610,105770,103980,102940,102660,101310,98898,97907,96774,96239,96075,95357,94479,94139,94023,93955,93829,93205,92453,91902,91362,90543,89222,88366,87032,85754,85360,84515,83631,83170,82824,82485,82031,81703,81503,81260,81038,80825,80333,79674,79477,79359,79196,78868,78594,78300,78232,77857,76827,76306,76035,75566,74784,74368,73891,73815,73649,73222,72953,72463,71902,71369,70755,70157,68124,67338,66047,65268,64277,63583,63332,62324,61207,58074,56933,56668,49797,42840
2,133160,130030,129000,127620,127430,127380,127260,126840,126150,125220,124660,123570,123390,123060,121960,121660,119750,119110,118770,118660,117730,117320,117220,117100,116940,116780,116560,116470,116310,116140,115990,115120,114210,113640,113470,113250,113040,112920,112060,111310,110640,110270,109740,108620,107820,107410,106950,106480,106140,105790,105370,104910,104420,104070,103770,103540,103520,103490,103410,102930,102120,101700,101460,101300,100980,100640,100570,100240,99728,99200,98206,97967,97173,96346,96295,96199,95436,93520,92742,91679,90863,90601,90000,89487,89415,89069,88690,88069,87623,85664,84780,83081,81622,81051,80775,79659,75593,66203,58392,56386,7485.4
3,141200,139960,139650,139350,138860,138670,138020,137740,137020,136900,136480,136150,135530,135060,134970,134170,133470,133330,133100,132490,131040,129930,129670,129600,129470,129080,128400,127470,126520,126020,125920,125630,125380,125230,124600,124130,123940,123820,123670,123290,122800,120890,119600,119480,119320,119110,118890,118760,118730,118540,118350,118310,118250,117910,117410,116880,116340,115860,115420,115330,114480,113180,113050,112660,112030,111410,110620,110530,109970,108830,108020,106030,104580,104190,103450,102500,102150,101060,100690,100210,99298,98401,95837,94897,93233,92315,89216,88077,87728,87129,86800,83947,82401,80346,72626,39242,31356,15889,6662.8,6424.6,0
4,138820,138820,138730,138430,138400,138370,138100,137480,137380,136410,136100,135680,135190,135040,133200,132830,132560,130400,129720,129190,128020,126230,123520,122830,122650,122500,121450,120820,120650,119820,118760,116940,115960,115730,115500,114800,113620,112910,112390,112140,111160,110290,109990,109810,109590,109420,108960,108550,108510,108400,108170,107520,106910,106850,106750,105800,104690,104580,104500,104190,103880,103230,102220,102060,101820,101750,101080,99983,99863,99551,99345,99084,98079,95869,93968,90730,90313,89390,88931,88638,88178,87649,86969,86418,86110,84766,82972,82451,81340,80349,79738,79121,77943,77827,76097,72703,68243,48384,31145,14441,6165.2
5,143440,143210,143100,142910,141910,141320,141110,139420,139030,138730,138460,138330,138030,137790,137730,137080,136960,136490,136190,135920,135110,134730,134550,134310,133410,133100,132920,132780,132400,132220,131650,131370,131190,129570,128130,127650,127430,126950,126670,126280,125780,125470,125290,125170,125110,124960,124370,123890,123730,123590,123560,122870,122140,122040,121930,121900,121610,121120,120850,120600,120260,119910,119710,119600,119300,118760,118180,117710,117660,117320,116570,116220,115380,114920,113470,111070,110670,109750,109020,108860,108240,107950,107590,106810,105320,104330,103440,102640,102140,100740,99132,97888,96175,95937,94562,93037,90640,90015,88548,82453,72096
6,134380,132690,132640,132470,132280,132150,132020,131720,131690,131270,131030,130970,130670,130360,130170,130130,129920,129720,129680,129450,129190,128990,128950,128850,128760,128700,128580,128400,128330,128250,128190,128010,127670,127380,126710,126150,125990,125930,125760,125630,125520,125360,125180,125000,124850,124220,123540,122680,122030,121550,121030,120780,120370,119790,119390,119040,118400,117930,117780,117450,116180,114550,113770,112930,112610,112160,111430,111280,111150,110660,109750,109330,108850,106540,102620,101740,101500,100810,99356,98837,98289,96534,91604,90000,88462,87749,86391,80744,78293,77507,77293,75597,72742,70304,56423,54324,53198,47100,39212,36909,33883
7,130210,126420,113360,112830,110630,110210,105480,104770,104470,97739,96223,94739,92466,91532,90147,89389,88579,88257,88005,86389,85480,83376,82726,81218,80300,79190,77532,76400,75610,75146,74577,74085,72167,71069,70831,70316,69645,69258,69146,69012,68864,68632,68159,67861,67592,67375,65294,63369,62579,61961,61752,60950,58773,57036,56730,56467,56277,55946,55640,55279,54786,54156,53700,53426,53392,53318,53197,53096,53003,52831,52764,52336,51325,51177,51051,50615,50297,50042,49379,49149,49086,48997,48617,47753,45455,44883,44602,44343,43600,43239,42484,42050,41366,38671,37461,37189,36233,35926,28637,24596,22749
8,79727,76220,73817,60943,59162,58089,56880,56377,55846,55018,54575,53908,52711,51109,49987,49758,49729,49104,48660,48561,47914,46753,45806,45089,44910,44789,43869,42857,42578,42055,41843,41819,41585,41194,40857,40712,40467,40045,39756,39610,39341,39178,39157,38989,38686,38334,38139,38106,38060,37778,37172,36536,36176,35846,35480,35070,34506,34237,34154,33991,33840,33821,33702,33508,33409,33282,33111,32762,32570,32442,32316,32214,32025,31779,31358,31293,31215,31188,31137,31033,30717,30549,30450,30424,30296,30040,29520,29519,29516,29489,29279,29212,28890,28608,27270,27180,26073,25132,22361,11130,9503.5
9,56736,53087,46009,44680,43033,42502,41547,41450,40769,38283,37748,37484,37228,36493,35550,35265,34968,34378,34014,32833,32453,32380,32057,31954,31666,31285,31133,31080,31036,30820,30554,30253,30025,29642,29252,28873,28550,28326,28051,27919,27725,27597,27531,27442,27272,27129,26977,26853,26824,26806,26570,26031,25635,25424,25211,25063,24794,24503,24224,23939,23906,23800,23676,23619,23569,23514,23372,23226,23210,23171,23090,23057,23034,23014,22972,22876,22850,22810,22696,22539,22354,21827,21623,21351,21216,21200,21119,21037,20905,20660,20098,19983,19438,19352,19247,19109,17860,17356,16088,13370,12517
10,53450,49647,43493,40050,38348,36782,35744,35608,33250,32805,32540,32462,31929,31341,31122,30880,30531,30082,29176,28687,28445,28239,28157,28030,27994,27729,27620,27556,27112,26683,26529,26379,26295,26136,25541,25215,24827,24274,24049,23842,23702,23653,23600,23394,23035,22805,22754,22603,22469,22397,22293,22180,22092,22065,21870,21629,21579,21483,21348,21318,21288,21180,21052,20969,20864,20712,20478,20338,20056,19911,19866,19766,19615,19442,19375,19277,19241,19201,19100,18935,18423,18119,18057,17864,17684,17505,17271,17128,16503,15974,15948,15782,15685,15568,15072,14808,14380,14113,13966,13577,13440
11,67647,66496,57959,53385,48882,47818,44049,43314,43203,42748,42118,41105,39456,38742,38379,38220,38086,37512,37196,36597,35882,35475,34076,33555,33071,32534,32383,32013,31527,31345,31251,31166,31105,31055,31013,30867,30634,30500,30290,30152,30116,30063,29943,29810,29734,29482,29249,29129,28988,28582,28057,27841,27798,27706,27627,27443,27196,26984,26682,26531,26386,26268,25982,25549,25305,24910,24815,24804,24735,24540,24379,24270,24103,24057,23921,23855,23823,23797,23772,23690,23548,23055,22974,22944,22853,22834,22720,22544,22478,22391,22208,21597,21095,20353,19699,19620,18804,18346,17210,17198,16857
12,106540,103670,97269,95717,95379,90808,78141,76236,75251,74713,73309,72529,72065,71754,71704,70784,69436,69076,68651,68056,67569,67280,65518,64884,64382,63794,63177,61691,60330,59672,59415,59082,58871,58721,58640,57254,56024,55502,55170,54911,54533,54257,54001,53571,53131,52193,51468,51230,51040,50692,50353,50086,49863,49774,49622,49304,48802,48366,48003,47806,47697,47614,47532,47258,46810,46568,46241,45584,45415,45357,45253,45166,45098,44873,44510,44140,43832,43723,43500,43300,43187,42896,42334,41958,41093,40651,40560,40255,40108,39738,39515,38969,38716,38235,38106,37512,36597,35957,30052,29874,29171
