date,waterYear,waterMonth,waterWeek,flowMean,eFlowMean,eFlowProportionMean,canalFlowMean,headPondLevelMean,tailwaterLevelMean,grossHeadMean,totalHeadlossMean,netHeadMean,unitEfficiencyMean,generatorEfficiencyMean,totalEfficiencyMean,unitPowerMean,generatorPowerMean,plantPowerMean,energy
1924-10-01,1924,1,1,136.5,52,0.381,84.46,990.5,964.5,26,0.135,25.86,0.931,0.963,0.896,19.94,19.2,19.2,2303.63
1924-10-06,1924,1,1,136.5,52,0.381,84.46,990.5,964.5,26,0.135,25.86,0.931,0.963,0.896,19.94,19.2,19.2,3225.08
1924-10-13,1924,1,2,136.5,52,0.381,84.46,990.5,964.5,26,0.135,25.86,0.931,0.963,0.896,19.94,19.2,19.2,3225.08
1924-10-20,1924,1,3,133.9,52,0.389,81.85,990.5,964.5,26,0.131,25.87,0.934,0.962,0.898,19.39,18.65,18.65,3133.96
1924-10-27,1924,1,4,128.7,51.43,0.4,77.31,990.5,964.5,26,0.122,25.88,0.94,0.96,0.903,18.44,17.71,17.71,2975.02
1924-11-03,1924,2,5,136.1,50,0.368,86.1,990.5,964.5,26,0.138,25.86,0.928,0.964,0.895,20.28,19.54,19.54,3282.43
1924-11-10,1924,2,6,143.2,50,0.349,93.16,990.5,964.5,26,0.151,25.85,0.919,0.967,0.889,21.71,20.98,20.98,3525.45
1924-11-17,1924,2,7,156.5,50,0.32,106.5,990.5,964.5,26,0.174,25.84,0.917,0.97,0.889,24.75,23.99,23.99,4030.83
1924-11-24,1924,2,8,183.3,50,0.273,133.3,990.5,964.4,26.1,0.222,25.84,0.932,0.97,0.904,31.48,30.53,30.53,5129.45
1924-12-01,1924,3,9,216.2,59,0.275,157.2,990.5,964.5,26,0.266,25.73,0.94,0.973,0.915,37.29,36.32,36.32,6101.97
1924-12-08,1924,3,10,257.8,59,0.229,198.8,990.5,964.7,25.8,0.341,25.43,0.954,0.98,0.935,47.29,46.22,46.22,7765.14
1924-12-15,1924,3,11,276,59,0.214,217,990.5,964.8,25.7,0.287,25.41,0.935,0.974,0.911,35.9,34.76,48.95,8223.3
1924-12-22,1924,3,12,304,59,0.195,245,990.5,964.9,25.6,0.262,25.31,0.925,0.97,0.898,28.14,27.3,54.6,9172.29
1924-12-29,1924,3,13,463,67,0.148,396,990.5,965.7,24.8,0.454,24.37,0.947,0.974,0.922,39.32,38.31,86.99,14613.9
1925-01-05,1924,4,14,549,79.71,0.145,469.3,990.5,966.1,24.4,0.565,23.86,0.954,0.977,0.932,47.21,44.42,98.82,16601.9
1925-01-12,1924,4,15,628.1,120,0.191,508.1,990.5,966.4,24.1,0.572,23.52,0.949,0.972,0.922,39.54,38.01,107.1,17999
1925-01-19,1924,4,16,740,120,0.165,620,990.5,966.9,23.6,0.734,22.91,0.953,0.977,0.931,41.96,41.01,129.1,21692.4
1925-01-26,1924,4,17,1127,126,0.112,1001,990.5,968.3,22.2,1.38,20.82,0.956,0.98,0.937,48.8,47.23,188.9,31739.5
1925-02-02,1924,5,18,1183,162,0.137,1021,990.5,968.5,22,1.43,20.59,0.956,0.98,0.937,49.24,47.85,191.4,32154.2
1925-02-09,1924,5,19,1182,162,0.137,1020,990.5,968.5,22,1.43,20.6,0.956,0.98,0.937,49.25,48.12,192.5,32338.1
1925-02-16,1924,5,20,1193,162,0.136,1031,990.5,968.5,22,1.47,20.52,0.956,0.98,0.937,49.58,48.02,192.1,32272.2
1925-02-23,1924,5,21,1349,165,0.123,1095,990.5,969,21.5,1.76,19.74,0.954,0.98,0.935,50.58,48.2,192.8,32390.4
1925-03-02,1924,6,22,1377,183,0.133,1100,990.5,969.1,21.4,1.78,19.63,0.954,0.98,0.935,50.5,48.2,192.8,32390.4
1925-03-09,1924,6,23,1429,183,0.128,1100,990.5,969.3,21.2,1.81,19.44,0.954,0.98,0.935,50,48.2,192.8,32390.4
1925-03-16,1924,6,24,1657,183,0.111,1100,990.5,970,20.5,1.86,18.65,0.952,0.98,0.933,47.89,46.91,187.6,31523.5
1925-03-23,1924,6,25,2846,183,0.0659,1100,990.5,973.1,17.4,1.87,15.5,0.942,0.974,0.918,39.4,38.4,153.6,25805.9
1925-03-30,1924,6,26,3380,207.3,0.0614,1100,990.5,974.4,16.1,1.87,14.26,0.937,0.97,0.908,36.02,34.94,139.8,23479
1925-04-06,1924,7,27,3140,217,0.0692,1100,990.5,973.8,16.7,1.87,14.78,0.94,0.971,0.912,37.46,36.37,145.5,24438.5
1925-04-13,1924,7,28,3067,217,0.0708,1100,990.5,973.7,16.8,1.87,14.95,0.941,0.972,0.914,37.94,36.87,147.5,24774.6
1925-04-20,1924,7,29,3218,217,0.0674,1100,990.5,974,16.5,1.87,14.6,0.939,0.97,0.911,36.96,35.86,143.4,24096.3
1925-04-27,1924,7,30,3095,261.6,0.0859,1100,990.5,973.7,16.8,1.87,14.9,0.94,0.972,0.914,37.77,36.71,146.8,24668
1925-05-04,1924,8,31,2656,321,0.121,1100,990.5,972.7,17.8,1.87,15.94,0.945,0.977,0.923,40.62,39.7,158.8,26679.4
1925-05-11,1924,8,32,2287,276,0.121,1100,990.5,971.8,18.7,1.87,16.83,0.948,0.98,0.929,43.02,42.16,168.6,28329.5
1925-05-18,1924,8,33,1948,276,0.142,1100,990.5,970.9,19.6,1.87,17.71,0.95,0.98,0.931,45.39,44.48,177.9,29889
1925-05-25,1924,8,34,1663,276,0.166,1100,990.5,970,20.5,1.87,18.62,0.952,0.98,0.933,47.81,46.86,187.4,31487.6
1925-06-01,1924,9,35,1464,210,0.144,1100,990.5,969.4,21.1,1.83,19.3,0.953,0.98,0.934,49.63,48.12,192.5,32338.5
1925-06-08,1924,9,36,1259,210,0.167,1047,990.5,968.7,21.8,1.55,20.23,0.955,0.98,0.936,49.57,47.86,191.4,32160.8
1925-06-15,1924,9,37,1119,210,0.188,909.1,990.5,968.3,22.2,1.19,21.04,0.955,0.98,0.936,44.79,43.89,175.6,29493.7
1925-06-22,1924,9,38,984,210,0.214,774,990.5,967.8,22.7,0.997,21.68,0.955,0.979,0.935,46.53,44.63,151,25369.4
1925-06-29,1924,9,39,817.7,192.9,0.236,624.8,990.5,967.2,23.3,0.764,22.57,0.955,0.979,0.935,43.99,43.08,129.2,21712.5
1925-07-06,1924,10,40,635.3,186,0.294,449.3,990.5,966.4,24.1,0.549,23.51,0.953,0.977,0.932,44.12,42.81,95.74,16083.9
1925-07-13,1924,10,41,502.5,186,0.372,316.5,990.5,965.9,24.6,0.376,24.26,0.943,0.972,0.916,35.48,34.48,68.96,11585.4
1925-07-20,1924,10,42,418.6,186,0.445,232.6,990.5,965.5,25,0.32,24.7,0.94,0.974,0.916,37.16,35.83,51.13,8589.05
1925-07-27,1924,10,43,362.2,165.7,0.455,196.5,990.5,965.2,25.3,0.304,24.98,0.942,0.976,0.919,37.91,37.04,44.21,7426.62
1925-08-03,1924,11,44,319.8,115,0.36,204.8,990.5,965,25.5,0.358,25.14,0.955,0.98,0.936,48.23,46.36,46.36,7788.82
1925-08-10,1924,11,45,281.9,115,0.409,166.9,990.5,964.8,25.7,0.29,25.38,0.944,0.974,0.92,39.2,38.21,38.21,6418.6
1925-08-17,1924,11,46,258.5,115,0.446,143.5,990.5,964.7,25.8,0.248,25.52,0.935,0.971,0.908,33.61,32.65,32.65,5484.38
1925-08-24,1924,11,47,235.1,115,0.489,120.1,990.5,964.6,25.9,0.206,25.68,0.925,0.97,0.897,27.97,27.13,27.13,4558.06
1925-08-31,1924,11,48,222,78.14,0.351,143.8,990.5,964.5,26,0.246,25.72,0.935,0.97,0.907,33.95,32.93,32.93,5532.95
1925-09-07,1924,12,49,204.3,72,0.352,132.3,990.5,964.4,26.1,0.225,25.85,0.931,0.97,0.903,31.25,30.31,30.31,5091.89
1925-09-14,1924,12,50,203.1,72,0.354,131.1,990.5,964.4,26.1,0.222,25.86,0.931,0.97,0.903,30.94,30.01,30.01,5041.29
1925-09-21,1924,12,51,195.3,72,0.369,123.3,990.5,964.4,26.1,0.208,25.88,0.927,0.97,0.899,29.03,28.15,28.15,4729.94
1925-09-28,1924,12,52,187.1,60.57,0.324,126.5,990.5,964.4,26.1,0.212,25.86,0.928,0.97,0.9,29.78,28.88,28.88,4852.34
1925-10-05,1925,1,1,173.7,52,0.299,121.7,990.5,964.5,26,0.202,25.85,0.926,0.97,0.898,28.57,27.71,27.71,4655.64
1925-10-12,1925,1,2,166.6,52,0.312,114.6,990.5,964.5,26,0.189,25.84,0.921,0.97,0.893,26.75,25.94,25.94,4358.43
1925-10-19,1925,1,3,167.2,52,0.311,115.2,990.5,964.5,26,0.19,25.84,0.921,0.97,0.894,26.9,26.09,26.09,4383.53
1925-10-26,1925,1,4,161,51.71,0.321,109.3,990.5,964.5,26,0.18,25.84,0.917,0.97,0.89,25.4,24.63,24.63,4138.61
1925-11-02,1925,2,5,165.2,50,0.303,115.2,990.5,964.5,26,0.19,25.84,0.921,0.97,0.894,26.9,26.1,26.1,4384.11
1925-11-09,1925,2,6,180,50,0.278,130,990.5,964.4,26.1,0.216,25.84,0.93,0.97,0.902,30.65,29.73,29.73,4994.23
1925-11-16,1925,2,7,198.9,50,0.252,148.9,990.5,964.4,26.1,0.25,25.84,0.938,0.97,0.91,35.39,34.32,34.32,5766.48
1925-11-23,1925,2,8,248.6,50,0.203,198.6,990.5,964.7,25.8,0.316,25.51,0.948,0.977,0.926,43.15,42.07,45.85,7703.3
1925-11-30,1925,2,9,267,73.14,0.274,193.9,990.5,964.8,25.7,0.334,25.4,0.952,0.98,0.933,46,44.85,44.85,7534.27
1925-12-07,1925,3,10,302.1,77,0.255,225.1,990.5,964.9,25.6,0.278,25.31,0.932,0.973,0.907,33.04,32.09,50.51,8485.34
1925-12-14,1925,3,11,333.4,77,0.231,256.4,990.5,965.1,25.4,0.276,25.16,0.93,0.97,0.902,29.42,28.54,57.07,9587.79
1925-12-21,1925,3,12,374.7,77,0.206,297.7,990.5,965.3,25.2,0.337,24.89,0.939,0.97,0.91,34.1,33.08,66.16,11114.4
