exceedance,energy,riverVolume,capFactor,eFlowProportion,specificEnergy,shutoffDaysProportion
0,1081,73.9,0.686,0.2,47.5,0.167
0.05,1022,56.6,0.648,0.17,46.9,0.0753
0.1,979.3,51.2,0.621,0.161,45.1,0.0414
0.15,966,48.5,0.612,0.16,42.5,0.0192
0.2,951,46.5,0.603,0.16,40.2,0.0137
0.25,934.5,42.6,0.592,0.15,36.1,0.00822
0.3,923.6,41.4,0.586,0.14,33.3,0
0.35,910.4,38.7,0.577,0.14,30.6,0
0.4,903,36.5,0.573,0.134,29.8,0
0.45,899.7,35.3,0.571,0.13,28.4,0
0.5,895.7,34.3,0.569,0.13,27.5,0
0.55,887.6,32.4,0.563,0.13,26.3,0
0.6,872.7,30.9,0.554,0.12,24.8,0
0.65,865.3,29.8,0.549,0.12,23.4,0
0.7,856.3,27,0.543,0.12,22.7,0
0.75,849.4,24.8,0.538,0.117,21.4,0
0.8,836.2,22.8,0.531,0.11,19.6,0
0.85,820,20.6,0.52,0.11,17.9,0
0.9,801.9,18.6,0.509,0.1,17.4,0
0.95,754.7,16.3,0.479,0.0949,15.6,0
1,552.7,11.7,0.35,0.073,10.6,0
