Exceedance,Power,Energy
0,193,4630
0.01,193,4630
0.02,193,4630
0.03,193,4630
0.04,191,4590
0.05,189,4540
0.06,188,4500
0.07,186,4460
0.08,184,4420
0.09,182,4370
0.1,180,4320
0.11,178,4270
0.12,176,4220
0.13,173,4150
0.14,171,4110
0.15,169,4070
0.16,168,4020
0.17,166,3980
0.18,164,3940
0.19,163,3910
0.2,161,3870
0.21,159,3830
0.22,158,3800
0.23,157,3760
0.24,154,3710
0.25,152,3650
0.26,148,3560
0.27,145,3470
0.28,145,3470
0.29,145,3470
0.3,144,3460
0.31,143,3420
0.32,141,3380
0.33,139,3330
0.34,137,3300
0.35,135,3240
0.36,133,3200
0.37,131,3150
0.38,129,3100
0.39,127,3040
0.4,124,2980
0.41,121,2910
0.42,118,2830
0.43,116,2770
0.44,113,2710
0.45,110,2640
0.46,107,2580
0.47,104,2490
0.48,96.4,2310
0.49,96.4,2310
0.5,96.3,2310
0.51,93.3,2240
0.52,90.9,2180
0.53,88.2,2120
0.54,85.8,2060
0.55,83.4,2000
0.56,80.6,1940
0.57,77.9,1870
0.58,75.3,1810
0.59,73,1750
0.6,71.1,1710
0.61,69.4,1670
0.62,67.5,1620
0.63,65.9,1580
0.64,63.8,1530
0.65,61.8,1480
0.66,60,1440
0.67,58.4,1400
0.68,57.1,1370
0.69,55.5,1330
0.7,54.1,1300
0.71,52.8,1270
0.72,51.4,1230
0.73,50,1200
0.74,48.2,1160
0.75,48.2,1160
0.76,48.2,1160
0.77,47.3,1140
0.78,46,1100
0.79,45,1080
0.8,43.8,1050
0.81,42.9,1030
0.82,41.9,1010
0.83,40.9,981
0.84,39.8,955
0.85,39.1,938
0.86,37.8,908
0.87,36.9,885
0.88,35.9,862
0.89,35.1,843
0.9,34.3,823
0.91,33.4,802
0.92,32.8,786
0.93,31.9,766
0.94,31.1,747
0.95,29.8,716
0.96,28.8,691
0.97,27.6,661
0.98,24.2,582
0.99,0,0
1,0,0
