exceedance,flowRiver,flowRiverPercentile,eFlowChannelA,eFlowChannelC,eFlowChannelD,eFlowChannelE,eFlowChannelFG,eFlowTotal,eFlowProportion,availableGenerationFlow,availableGenerationFlowProportion,canalFlow,spillFlowTotal,spillFlowChannelA,spillFlowChannelC,spillFlowChannelD,spillFlowChannelE,spillFlowChannelFG,channelFlowA,channelFlowC,channelFlowD,channelFlowE,channelFlowFG,leftChannelFlow,headPondLevel,tailwaterLevel,grossHead,leftChannelHeadloss,canalHeadloss,canalHeadlossProportion,upstreamHeadloss,upstreamHeadlossProportion,units,headlossTurbine,totalHeadloss,headlossProportion,netHead,unitEfficiency,generatorEfficiency,totalEfficiency,unitPower,generatorPower,plantPower,plantEnergy
0.00,8787.5,0.0026,45.1,8.05,8.86,12.5,169,244,0.028,8544,0.97,1100,7440,54.9,9.95,16.1,67.5,7300,100,18,25,80,7460,1240,990.5,981.7,8.78,0.802,0.648,0.0738,1.45,0.165,4,0.3,1.75,0.199,7.03,0,0,0,0,0,0,0
0.01,5806.7,0.01,50.5,9.09,9.67,16,192,278,0.048,5529,0.95,1100,4430,49.5,8.91,15.3,64,4290,100,18,25,80,4480,1240,990.1,978.7,11.4,0.899,0.648,0.0572,1.55,0.137,4,0.3,1.85,0.163,9.52,0.257,0.282,0.249,7.07,6.36,25.4,290000
0.02,4799.8,0.02,48.4,8.61,9.25,14.7,178,259,0.054,4541,0.95,1100,3440,51.6,9.39,15.8,65.3,3300,100,18,25,80,3480,1240,990,977.1,12.9,0.925,0.648,0.0504,1.57,0.122,4,0.3,1.87,0.146,11,0.906,0.97,0.879,26.9,25.5,102,837000
0.03,4359,0.03,48.9,8.58,9.33,15.1,172,254,0.058,4105,0.94,1100,3000,51.1,9.42,15.7,64.9,2860,100,18,25,80,3040,1240,990,976.3,13.7,0.926,0.648,0.0474,1.57,0.115,4,0.3,1.87,0.137,11.8,0.918,0.97,0.89,29.2,28.3,113,1030000
0.04,3961.2,0.04,48.4,8.43,9.25,14.8,169,250,0.063,3712,0.94,1100,2610,51.6,9.57,15.8,62.9,2470,100,18,25,77.6,2640,1240,990,975.6,14.4,0.926,0.648,0.045,1.57,0.109,4,0.3,1.87,0.13,12.5,0.925,0.97,0.897,31.3,30.3,121,1130000
0.05,3663.5,0.05,47.7,8.32,9.14,14.4,164,244,0.067,3420,0.93,1100,2320,52.3,9.68,15.9,55.2,2190,100,18,25,69.6,2350,1240,990,975,15,0.926,0.648,0.0431,1.57,0.105,4,0.3,1.87,0.125,13.2,0.93,0.97,0.902,33,32,128,1060000
0.06,3454.6,0.06,47.8,8.46,9.11,14.6,164,244,0.071,3211,0.93,1100,2110,52.2,9.54,15.9,48.7,1980,100,18,25,63.3,2150,1240,990,974.5,15.5,0.926,0.648,0.0419,1.57,0.102,4,0.3,1.87,0.121,13.6,0.933,0.97,0.905,34.2,33.2,133,1190000
0.07,3257.9,0.07,45.6,8.16,8.66,13.3,153,229,0.07,3029,0.93,1100,1930,54.4,9.84,16.3,44.6,1800,100,18,25,57.9,1960,1240,990,974.1,15.9,0.926,0.648,0.0408,1.57,0.0991,4,0.3,1.87,0.118,14,0.935,0.97,0.907,35.4,34.3,137,1220000
0.08,3086.5,0.08,45.6,8.41,8.63,13.6,150,226,0.073,2860,0.93,1100,1760,54.4,9.59,16.4,39.1,1640,100,18,25,52.8,1790,1240,990,973.7,16.3,0.926,0.648,0.0398,1.57,0.0967,4,0.3,1.87,0.115,14.4,0.937,0.97,0.909,36.4,35.3,141,1210000
0.09,2972.3,0.09,45.5,8.44,8.6,13.7,150,226,0.076,2746,0.92,1100,1650,54.5,9.56,16.4,35.8,1530,100,18,25,49.5,1680,1240,990,973.4,16.6,0.926,0.648,0.0391,1.57,0.0951,4,0.3,1.87,0.113,14.7,0.939,0.97,0.911,37.2,36.1,144,1260000
0.10,2832.7,0.1,44.9,8.14,8.55,12.8,155,229,0.081,2604,0.92,1100,1500,55.1,9.86,16.4,32.2,1390,100,18,25,45.1,1540,1240,990,973.1,16.9,0.926,0.648,0.0384,1.57,0.0932,4,0.3,1.87,0.111,15,0.941,0.972,0.915,38.1,37,148,1250000
0.11,2698.1,0.11,43.8,8.06,8.33,12.4,150,222,0.082,2476,0.92,1100,1380,56.2,9.94,16.7,28.9,1260,100,18,25,41.2,1410,1240,990,972.8,17.2,0.926,0.648,0.0376,1.57,0.0915,4,0.3,1.87,0.109,15.3,0.942,0.974,0.918,39,38,152,1370000
0.12,2569.4,0.12,43.4,7.92,8.22,12,149,220,0.086,2349,0.91,1100,1250,56.6,10.1,16.8,25.5,1140,100,18,25,37.5,1290,1240,990,972.5,17.5,0.926,0.648,0.037,1.57,0.0898,4,0.3,1.87,0.107,15.7,0.944,0.976,0.921,39.8,38.9,155,1270000
0.13,2463.2,0.13,43,7.93,8.18,12,147,218,0.089,2245,0.91,1100,1140,57,10.1,16.8,22.3,1040,100,18,25,34.3,1190,1240,990,972.2,17.8,0.926,0.648,0.0364,1.57,0.0885,4,0.3,1.87,0.105,15.9,0.945,0.977,0.923,40.5,39.6,158,1580000
0.14,2375,0.14,43.3,7.85,8.27,11.8,152,223,0.094,2152,0.91,1100,1050,56.7,10.2,16.7,19.7,948,100,18,25,31.5,1100,1240,990,972,18,0.926,0.648,0.036,1.57,0.0875,4,0.3,1.87,0.104,16.1,0.945,0.978,0.925,41.1,40.2,161,1230000
0.15,2290,0.15,41.7,7.66,7.86,11,141,209,0.091,2081,0.91,1100,981,58.3,10.3,17.1,18.4,876,100,18,25,29.4,1020,1240,990,971.8,18.2,0.926,0.648,0.0356,1.57,0.0865,4,0.3,1.87,0.103,16.3,0.946,0.98,0.927,41.7,40.8,163,1700000
0.16,2190,0.16,41.2,7.54,7.81,10.6,142,210,0.096,1980,0.9,1100,880,58.8,10.5,17.2,15.8,778,100,18,25,26.4,921,1240,990,971.6,18.4,0.926,0.648,0.0351,1.57,0.0854,4,0.3,1.87,0.102,16.6,0.947,0.98,0.928,42.3,41.5,166,1350000
0.17,2069.4,0.17,41.9,7.62,8,10.9,147,216,0.1,1854,0.9,1100,754,58.1,10.4,17,11.8,656,100,18,25,22.6,804,1240,990,971.3,18.7,0.926,0.648,0.0346,1.57,0.084,4,0.3,1.87,0.1,16.9,0.948,0.98,0.929,43.1,42.2,169,1520000
0.18,1961.3,0.18,40.4,7.42,7.66,9.96,140,205,0.1,1756,0.9,1100,656,59.6,10.6,17.3,9.7,559,100,18,25,19.7,699,1240,990,971,19,0.926,0.648,0.0341,1.57,0.0827,4,0.3,1.87,0.0985,17.2,0.948,0.98,0.93,43.9,43,172,1400000
0.19,1860.1,0.19,39.1,7.42,7.44,9.48,133,196,0.11,1664,0.89,1100,564,60.9,10.6,17,7.5,468,100,18,24.4,17,601,1240,990,970.6,19.4,0.925,0.648,0.0335,1.57,0.0813,4,0.3,1.87,0.0968,17.5,0.95,0.98,0.931,44.8,43.9,175,1440000
0.20,1759,0.2,38.2,7.35,7.22,9.08,126,188,0.11,1571,0.89,1100,471,61.8,10.7,14.4,5.04,379,100,18,21.6,14.1,505,1240,990,970.3,19.7,0.917,0.648,0.0329,1.57,0.0796,4,0.3,1.87,0.0948,17.8,0.951,0.98,0.932,45.7,44.8,179,1610000
0.21,1658.4,0.21,37.9,7.29,7.14,8.87,125,186,0.11,1472,0.89,1100,372,62.1,10.4,11.3,2.25,286,100,17.7,18.5,11.1,411,1240,990,970,20,0.909,0.648,0.0324,1.56,0.0778,4,0.3,1.86,0.0928,18.1,0.951,0.98,0.932,46.6,45.6,183,1650000
0.22,1574.3,0.22,37.8,7.18,7.05,8.7,124,185,0.12,1389,0.88,1100,289,60.9,8.63,8.78,-0.026,211,98.7,15.8,15.8,8.68,335,1230,990,969.7,20.3,0.894,0.648,0.032,1.54,0.0761,4,0.3,1.84,0.0909,18.4,0.952,0.98,0.933,47.3,46.4,185,1710000
0.23,1496.2,0.23,36.8,7.06,6.82,8.18,118,177,0.12,1319,0.88,1100,219,49.6,6.58,6.68,-1.6,158,86.4,13.6,13.5,6.58,276,1210,990,969.5,20.5,0.865,0.648,0.0316,1.51,0.0737,4,0.3,1.81,0.0883,18.7,0.952,0.98,0.933,48.1,47.1,188,1820000
0.24,1418.6,0.24,35.8,6.87,6.63,7.72,115,172,0.12,1247,0.88,1100,147,33.3,4.45,4.55,-3.27,108,69.1,11.3,11.2,4.45,223,1190,990,969.2,20.8,0.833,0.648,0.0312,1.48,0.0713,4,0.3,1.78,0.0857,19,0.953,0.98,0.933,48.8,47.8,191,1440000
0.25,1346.8,0.25,35.9,7.05,6.61,7.82,112,169,0.13,1177,0.87,1099,78.1,17.7,2.34,2.37,-5.48,61.2,53.6,9.39,8.98,2.34,173,1170,990,969,21,0.803,0.647,0.0308,1.45,0.069,4,0.3,1.75,0.0833,19.3,0.953,0.98,0.934,49.5,48.2,193,1520000
