datetime,year,month,waterYear,waterMonth,days,riverVolume,eFlowVolume,canalVolume,energy,plantPowerMax,plantPowerMin,plantPowerMean,turbinesMax,turbinesMin,turbinesMean,flowMean,flowMin,flowMax,flowAvailableForGenerationMean,flowAvailableForGenerationMin,eFlowMean,eFlowMin,eFlowMax,spillFlowMean,spillFlowMin,spillFlowMax,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,canalFlowMean,canalFlowMin,canalFlowMax,headPondLevelMean,headPondLevelMin,headPondLevelMax,tailwaterLevelMean,tailwaterLevelMin,tailwaterLevelMax,grossHeadMean,grossHeadMin,grossHeadMax,leftChannelHeadlossMean,leftChannelHeadlossMin,leftChannelHeadlossMax,canalHeadlossMean,canalHeadlossMin,canalHeadlossMax,canalHeadlossProportionMean,canalHeadlossProportionMin,canalHeadlossProportionMax,totalHeadlossMean,totalHeadlossMin,totalHeadlossMax,headlossProportionMean,headlossProportionMin,headlossProportionMax,netHeadMean,netHeadMin,netHeadMax,unitEfficiencyMean,unitEfficiencyMin,unitEfficiencyMax,generatorEfficiencyMean,generatorEfficiencyMin,generatorEfficiencyMax,totalEfficiencyMean,totalEfficiencyMin,totalEfficiencyMax,unitPowerMean,unitPowerMin,unitPowerMax,generatorPowerMean,generatorPowerMin,generatorPowerMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,shutoffProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy
-1428026400000,1924,10,1924,1,31,0.36,0.11,0.25,15322.9,21.47,21.47,20.6,1,1,1,134.5,127.7,138.8,93.47,86.74,41,41,41,0,0,0,0.305,0.295,0.321,93.47,86.74,97.76,990,990,990,964.5,964.5,964.5,25.5,25.5,25.5,0.0756,0.0732,0.0771,0.00369,0.00312,0.00406,0.00014,0.00012,0.00016,0.148,0.136,0.156,0.0058,0.0053,0.0061,25.35,25.34,25.36,0.918,0.913,0.925,0.966,0.963,0.968,0.886,0.884,0.891,21.32,19.96,22.19,20.6,19.22,21.47,0,0,0,0,0,0,0.114,0,0.11,0.31,0.69,0.31,42.6
-1425348000000,1924,11,1924,2,30,0.397,0.104,0.293,18109.9,34.29,34.29,25.15,1,1,1,153.2,130.1,191.6,113.2,90.06,40,40,40,0,0,0,0.265,0.209,0.308,113.2,90.06,151.6,990,990,990,964.5,964.4,964.5,25.5,25.5,25.6,0.0822,0.074,0.0957,0.00537,0.0034,0.00863,0.00021,0.00013,0.00034,0.183,0.142,0.251,0.0072,0.0055,0.0098,25.34,25.32,25.36,0.921,0.912,0.939,0.969,0.964,0.97,0.893,0.884,0.911,25.96,20.64,35.35,25.15,19.9,34.29,0,0,0,0,0,0,0.14,0,0.104,0.26,0.74,0.26,45.6
-1422756000000,1924,12,1924,3,31,0.739,0.126,0.613,37807.3,87.68,87.68,50.82,2,1,1.4838709677419355,275.9,195.3,446.6,228.9,148.3,47,47,47,0,0,0,0.176,0.105,0.241,228.9,148.3,399.6,990,990,990,964.8,964.4,965.6,25.2,24.4,25.6,0.124,0.0953,0.184,0.02,0.00835,0.0876,0.0008,0.00033,0.0036,0.308,0.233,0.484,0.012,0.0092,0.02,24.89,23.91,25.34,0.942,0.922,0.959,0.974,0.97,0.98,0.918,0.894,0.94,37.9,25.55,51.84,36.66,24.78,48.2,0,0,0,0,0,0,0.282,0,0.126,0.17,0.83,0.17,51.2
-1420077600000,1925,1,1924,4,31,1.92,0.235,1.69,93732.8,192.8,192.8,126,4,2,3.064516129032258,717.5,422.2,1204,629.7,362.2,87.77,60,101,0.09677,0,3,0.127,0.0839,0.172,629.6,362.2,1100,990,990,990,966.7,965.5,968.5,23.3,21.5,24.5,0.327,0.172,0.747,0.227,0.07,0.648,0.01,0.0029,0.03,0.769,0.429,1.69,0.034,0.018,0.079,22.49,19.76,24.07,0.952,0.944,0.957,0.976,0.97,0.98,0.928,0.916,0.938,42.28,34.95,51.75,40.96,33.9,48.2,0,0,0,0,0,0,0.7,0,0.23,0.12,0.88,0.12,48.8
-1417399200000,1925,2,1924,5,28,2.95,0.334,2.56,128614,192.8,192.8,191.4,4,4,4,1218,1127,1435,1080,988.8,138,138,138,22.93,0,197,0.114,0.0962,0.122,1057,988.8,1100,990,990,990,968.6,968.3,969.3,21.4,20.7,21.7,0.705,0.598,0.842,0.551,0.418,0.648,0.026,0.019,0.031,1.55,1.29,1.79,0.072,0.06,0.086,19.87,18.94,20.41,0.955,0.952,0.956,0.98,0.98,0.98,0.936,0.933,0.936,49.11,47.28,50.52,47.85,46.34,48.2,0,0,0,0,0,0,1.06,0,0.39,0.11,0.87,0.13,43.6
-1414980000000,1925,3,1924,6,31,5.14,0.429,2.95,130976,192.8,192.8,176,4,4,4,1918,1364,3456,1758,1204,160,160,160,658,104,2196,0.0932,0.0463,0.117,1100,1100,1100,990,990,990,970.6,969,974.5,19.4,15.5,21,0.871,0.81,0.926,0.648,0.648,0.648,0.034,0.031,0.042,1.82,1.76,1.87,0.095,0.084,0.12,17.59,13.6,19.2,0.948,0.933,0.953,0.978,0.97,0.98,0.927,0.905,0.934,45.01,34.2,49.34,44.01,33.17,48.2,0,0,0,0,0,0,0.978,0,2.19,0.083,0.57,0.43,25.5
-1412301600000,1925,4,1924,7,30,8.27,0.495,2.85,99940.3,143.3,143.3,138.8,4,4,4,3191,3008,3405,3000,2817,191,191,191,1900,1717,2114,0.0599,0.0561,0.0635,1100,1100,1100,990,990,990,974,973.5,974.4,16,15.6,16.5,0.926,0.926,0.926,0.648,0.648,0.648,0.04,0.039,0.042,1.87,1.87,1.87,0.12,0.11,0.12,14.17,13.71,14.59,0.936,0.933,0.939,0.97,0.97,0.97,0.908,0.905,0.91,35.77,34.5,36.94,34.7,33.46,35.83,0,0,0,0,0,0,0.771,0,5.42,0.06,0.34,0.66,12.1
-1409709600000,1925,5,1924,8,31,5.92,0.709,2.95,123336,185.7,185.7,165.8,4,4,4,2211,1571,3020,1946,1318,264.6,253,289,846.3,218,1631,0.123,0.0957,0.161,1100,1100,1100,990,990,990,971.5,969.7,973.6,18.5,16.4,20.3,0.921,0.882,0.926,0.648,0.648,0.648,0.035,0.032,0.039,1.87,1.83,1.87,0.1,0.09,0.11,16.6,14.56,18.46,0.947,0.938,0.952,0.978,0.97,0.98,0.925,0.91,0.933,42.38,36.85,47.38,41.44,35.75,46.43,0,0,0,0,0,0,0.921,0,2.97,0.12,0.5,0.5,20.8
-1407031200000,1925,6,1924,9,30,3.07,0.48,2.48,125775,192.8,192.8,174.7,4,3,3.8333333333333335,1184,858,1546,999.5,673,185,185,185,44,0,261,0.161,0.12,0.216,955.5,673,1100,990,990,990,968.5,967.3,969.6,21.5,20.4,22.7,0.626,0.34,0.893,0.468,0.251,0.648,0.022,0.011,0.032,1.37,0.836,1.84,0.064,0.037,0.09,20.16,18.52,21.83,0.954,0.952,0.957,0.98,0.975,0.98,0.935,0.929,0.938,46.82,39.48,51.73,45.64,38.49,48.2,0,0,0,0,0,0,0.97,0,0.59,0.16,0.81,0.19,41
-1404439200000,1925,7,1924,10,31,1.44,0.437,1.01,58757.6,138.2,138.2,78.98,3,1,2.032258064516129,539.3,354,851.4,376.3,191,163,163,163,0,0,0,0.324,0.191,0.46,376.3,191,688.4,990,990,990,966,965.2,967.3,24,22.7,24.8,0.193,0.12,0.345,0.0843,0.012,0.261,0.0036,0.00048,0.011,0.47,0.257,0.858,0.02,0.01,0.038,23.53,21.84,24.5,0.949,0.926,0.958,0.976,0.97,0.98,0.926,0.898,0.939,40.63,26.47,52.56,39.36,25.68,48.2,0,0,0,0,0,0,0.439,0,0.43,0.3,0.7,0.3,40.8
