exceedance,flow,plantPower,energy,grossHead,canalFlow,netHead,totalEfficiency,totalHeadloss,eFlowProportion,generationProportion,bypassProportion,specificEnergy,shutoffProportion
0,8630,193,143000,25.6,1100,25.4,0.938,1.87,0.4,0.91,0.87,52.1,1
0.01,5260,190,138000,25.6,1100,25.4,0.937,1.87,0.39,0.9,0.79,51.3,0.516
0.02,4580,186,136000,25.6,1100,25.3,0.936,1.87,0.38,0.89,0.76,51,0.161
0.03,4170,184,135000,25.5,1100,25.3,0.936,1.87,0.38,0.89,0.74,50.5,0.0323
0.04,3880,182,133000,25.5,1100,25.3,0.936,1.87,0.37,0.88,0.72,50.2,0
0.05,3510,181,132000,25.5,1100,25.3,0.936,1.87,0.36,0.88,0.69,50,0
0.06,3320,180,130000,25.5,1100,25.3,0.936,1.87,0.36,0.87,0.67,49.7,0
0.07,3180,178,129000,25.5,1100,25.2,0.935,1.87,0.36,0.87,0.65,49.4,0
0.08,3040,177,128000,25.5,1100,25.2,0.935,1.87,0.35,0.87,0.64,49.1,0
0.09,2950,176,127000,25.4,1100,25.1,0.935,1.87,0.35,0.87,0.63,48.8,0
0.1,2810,174,126000,25.4,1100,25.1,0.935,1.87,0.35,0.86,0.61,48.7,0
0.11,2680,173,125000,25.4,1100,25.1,0.935,1.87,0.34,0.86,0.59,48.6,0
0.12,2600,171,125000,25.3,1100,25.1,0.934,1.87,0.34,0.85,0.58,48.4,0
0.13,2510,170,123000,25.3,1100,25,0.934,1.87,0.34,0.85,0.56,48.3,0
0.14,2380,169,122000,25.2,1100,25,0.934,1.87,0.33,0.85,0.54,48.1,0
0.15,2310,168,121000,25.2,1100,24.9,0.934,1.86,0.33,0.84,0.52,48,0
0.16,2230,166,120000,25.2,1100,24.9,0.934,1.86,0.32,0.84,0.51,47.9,0
0.17,2100,165,119000,25.2,1100,24.9,0.934,1.85,0.32,0.84,0.48,47.7,0
0.18,1970,163,118000,25.2,1100,24.9,0.934,1.84,0.32,0.84,0.442,47.6,0
0.19,1870,161,117000,25.1,1100,24.8,0.934,1.82,0.31,0.83,0.42,47.5,0
0.2,1770,160,116000,25.1,1100,24.8,0.933,1.8,0.31,0.83,0.4,47.3,0
0.21,1680,158,115000,25.1,1090,24.8,0.933,1.78,0.31,0.82,0.39,47.3,0
0.22,1630,157,114000,25.1,1090,24.7,0.933,1.75,0.3,0.82,0.38,47.1,0
0.23,1540,155,113000,25,1080,24.7,0.933,1.72,0.3,0.82,0.38,46.9,0
0.24,1460,154,112000,25,1070,24.7,0.933,1.67,0.3,0.81,0.37,46.8,0
0.25,1410,153,111000,24.9,1050,24.6,0.933,1.62,0.29,0.81,0.37,46.5,0
0.26,1330,152,110000,24.9,1030,24.6,0.932,1.55,0.29,0.8,0.36,46.3,0
0.27,1280,150,108000,24.9,1010,24.6,0.932,1.5,0.29,0.8,0.36,46.1,0
0.28,1240,149,107000,24.9,984,24.5,0.932,1.45,0.28,0.79,0.36,45.8,0
0.29,1200,147,105000,24.8,957,24.5,0.931,1.38,0.28,0.79,0.35,45.6,0
