month,waterMonth,flowMean,flowMeanMax,flowMeanMin,volumeMean,flowChangeMean,flowChangePercentMean,flowMin,flowMax,dailyFlowChangeMean,dailyFlowChangePercentMean
10,1,239,261,224,639,-13,-0.06404360409847698,127.74072789856713,485.2693293039278,0,0.0019015234448045023
11,2,276,335,238,715,91,0.2620408714329387,127.74072789856713,684.5315944138771,-3,-0.010950437518013677
12,3,438,565,335,1174,220,0.38305090823517157,188.80655001710193,1155.331351858345,-7,-0.01721261746931907
1,4,737,980,560,1975,411,0.36693471506932807,268.901049710804,3908.583728137819,-13,-0.016496595286973077
2,5,1369,1864,993,3340,851,0.37841286455478845,394.0246771984694,9912.101149085864,-31,-0.019901094631673052
3,6,2527,3228,1792,6769,1093,0.335493920960124,525.1218445721947,9499.572259687571,-37,-0.017630834940255545
4,7,2954,3359,2495,7656,-274,-0.08812183097590148,646.257365851203,8557.952632349517,8,0.0008196736626423109
5,8,2244,2752,1715,6011,-997,-0.5924797550731266,424.9566522540519,5744.3019492164,33,0.014398545005040012
6,9,1226,1686,840,3178,-846,-1.0072068976547717,268.901049710804,3973.877326017734,29,0.023346519290259767
7,10,613,819,471,1642,-348,-0.6997887432436859,220.74705843068895,1846.5762107104333,12,0.01724582849427483
8,11,393,465,333,1053,-132,-0.3867236482541932,172.588571150434,919.1681111080468,4,0.010751356738064344
9,12,289,330,255,749,-74,-0.28959159481928715,134.36403299269935,570.168777231537,3,0.008617600399835364
