Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,431.7,195.5,921.3,111500,20450,55360,149.9,27.48,74.41,0.21,0.8,0.2,0,0,0,0.41,47.6
2,5,910,267,1928,128400,27430,92020,191,40.82,135.9,0.14,0.81,0.19,0,0,0,0.75,44.2
3,6,1595,519.7,3022,140700,64830,119700,189.1,87.14,160.9,0.12,0.67,0.33,0,0,0,0.89,32.8
4,7,2286,523.3,4158,136300,61740,110600,189.4,85.75,153.5,0.096,0.54,0.46,0,0,0,0.85,24.2
5,8,1666,355,2935,134700,33910,114000,181,45.58,153.3,0.16,0.63,0.37,0,0,0,0.85,30.4
6,9,882.1,236.9,1483,126100,17880,92540,175.1,24.83,128.5,0.22,0.76,0.24,0,0.0022,0,0.71,41.3
7,10,542.4,180.4,787.7,84210,0,56470,113.2,0,75.9,0.34,0.66,0.34,0,0.033,0,0.42,38
8,11,365.6,140.5,513.1,49750,0,33680,66.87,0,45.26,0.42,0.57,0.43,0.02,0.085,0,0.25,33
9,12,256.4,104.5,356.2,34520,0,22970,47.94,0,31.9,0.44,0.55,0.45,0.037,0.063,0,0.18,33.5
10,1,198.6,84.96,264.9,25830,0,17100,34.71,0,22.98,0.43,0.56,0.44,0.033,0.15,0,0.13,31.1
11,2,198.1,104.4,263.7,27000,3625,19700,37.5,5.035,27.36,0.36,0.64,0.36,0.017,0.061,0,0.15,38
12,3,247.9,140.9,374.5,48160,13550,30670,64.73,18.21,41.22,0.27,0.74,0.26,0,0,0,0.23,45.7
