Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,914,36.5,0.58,0.41,44.2,0.521
0.01,908.6,36.3,0.576,0.383,44.2,0.521
0.02,903.3,36.1,0.573,0.356,44.1,0.521
0.03,897.9,36,0.569,0.329,44.1,0.521
0.04,895.7,35.7,0.568,0.314,44.1,0.453
0.05,895.1,35.4,0.567,0.305,44,0.352
0.06,894.5,35.1,0.567,0.296,43.9,0.251
0.07,892.6,34.7,0.566,0.286,43.8,0.178
0.08,888,34.2,0.563,0.274,43.7,0.161
0.09,883.4,33.7,0.56,0.262,43.5,0.143
0.1,878.8,33.2,0.557,0.25,43.4,0.126
0.11,872.4,33,0.553,0.247,43.3,0.122
0.12,866,32.8,0.549,0.244,43.1,0.118
0.13,859.5,32.6,0.545,0.241,43,0.114
0.14,855.8,32.5,0.543,0.24,42.9,0.11
0.15,853.3,32.5,0.542,0.24,42.9,0.107
0.16,850.9,32.4,0.54,0.24,42.9,0.104
0.17,849.3,32.3,0.539,0.236,42.8,0.0978
0.18,849.3,32,0.539,0.224,42.5,0.0871
0.19,849.2,31.7,0.539,0.212,42.3,0.0764
0.2,849.2,31.4,0.539,0.2,42,0.0658
0.21,846.4,31.3,0.537,0.2,41.7,0.0641
0.22,843.5,31.2,0.535,0.2,41.4,0.0625
0.23,840.7,31.1,0.534,0.2,41.1,0.0608
0.24,837.3,31,0.531,0.2,40.9,0.057
0.25,833.7,31,0.529,0.2,40.7,0.0521
0.26,830.1,30.9,0.527,0.2,40.5,0.0471
0.27,827.7,30.5,0.525,0.2,40.3,0.0433
0.28,827.5,29.8,0.525,0.2,40,0.0416
0.29,827.4,29,0.525,0.2,39.8,0.04
0.3,827.3,28.3,0.525,0.2,39.5,0.0384
0.31,826.9,28.1,0.525,0.197,39,0.0367
0.32,826.5,27.9,0.524,0.194,38.6,0.0351
0.33,826.1,27.8,0.524,0.191,38.1,0.0334
0.34,821.6,27.4,0.521,0.19,37.8,0.0323
0.35,814.9,26.9,0.517,0.19,37.5,0.0315
0.36,808.2,26.4,0.513,0.19,37.1,0.0307
0.37,803.5,25.9,0.51,0.19,36.9,0.0301
0.38,802.6,25.5,0.509,0.19,36.8,0.0301
0.39,801.7,25,0.509,0.19,36.7,0.0301
0.4,800.8,24.5,0.508,0.19,36.6,0.0301
0.41,800.7,24.2,0.508,0.187,36.5,0.0285
0.42,800.6,24,0.508,0.184,36.5,0.0268
0.43,800.5,23.7,0.508,0.181,36.4,0.0252
0.44,798.7,23.4,0.507,0.18,36.1,0.0236
0.45,796,23.1,0.505,0.18,35.8,0.0219
0.46,793.4,22.9,0.503,0.18,35.4,0.0203
0.47,790.4,22.7,0.501,0.18,35,0.0186
0.48,786.6,22.7,0.499,0.18,34.9,0.017
0.49,782.9,22.6,0.496,0.18,34.7,0.0153
0.5,779.1,22.6,0.494,0.18,34.5,0.0137
0.51,778.5,22.4,0.494,0.18,34.3,0.0137
0.52,778,22.2,0.493,0.18,34.1,0.0137
0.53,777.4,22,0.493,0.18,33.9,0.0137
0.54,770.1,21.7,0.488,0.178,33.6,0.011
0.55,759.5,21.3,0.481,0.175,33.3,0.00685
0.56,748.9,20.9,0.475,0.172,33,0.00274
0.57,741.6,20.6,0.47,0.17,32.8,0
0.58,741.2,20.3,0.47,0.17,32.6,0
0.59,740.7,20.1,0.469,0.17,32.5,0
0.6,740.2,19.8,0.469,0.17,32.4,0
0.61,736.2,19.7,0.467,0.167,32.1,0
0.62,732.1,19.6,0.464,0.164,31.8,0
0.63,728.1,19.5,0.462,0.161,31.5,0
0.64,726.6,19.2,0.461,0.16,31.3,0
0.65,726.5,18.6,0.461,0.16,31.1,0
0.66,726.3,18.1,0.461,0.16,30.9,0
0.67,726.1,17.8,0.461,0.16,30.7,0
0.68,725.9,17.8,0.461,0.16,30.5,0
0.69,725.6,17.7,0.46,0.16,30.2,0
0.7,725.4,17.7,0.46,0.16,30,0
0.71,721.3,17.3,0.457,0.16,29.5,0
0.72,717.2,16.9,0.455,0.16,29,0
0.73,713.1,16.5,0.452,0.16,28.5,0
0.74,710,16.4,0.45,0.16,28.3,0
0.75,707.5,16.4,0.449,0.16,28.3,0
0.76,704.9,16.4,0.447,0.16,28.2,0
0.77,701,16.4,0.445,0.159,28,0
0.78,694.4,16.3,0.44,0.156,27.4,0
0.79,687.7,16.3,0.436,0.153,26.9,0
0.8,681.1,16.2,0.432,0.15,26.3,0
0.81,649.3,15.3,0.412,0.15,26.1,0
0.82,617.5,14.3,0.392,0.15,26,0
0.83,585.7,13.4,0.372,0.15,25.9,0
0.84,569.2,13,0.361,0.15,25.7,0
0.85,560.3,12.9,0.355,0.15,25.5,0
0.86,551.3,12.8,0.35,0.15,25.3,0
0.87,543.2,12.6,0.345,0.15,25.2,0
0.88,536.6,12.5,0.34,0.15,25.1,0
0.89,530,12.3,0.336,0.15,25,0
0.9,523.4,12.2,0.332,0.15,24.9,0
0.91,465.8,11.2,0.295,0.15,24.8,0
0.92,408.1,10.3,0.259,0.15,24.6,0
0.93,350.5,9.29,0.222,0.15,24.4,0
0.94,310.9,8.58,0.197,0.15,24.3,0
0.95,280.3,7.99,0.178,0.15,24.3,0
0.96,249.7,7.39,0.158,0.15,24.2,0
0.97,214.7,6.49,0.136,0.149,24,0
0.98,170.9,4.96,0.108,0.146,23.8,0
0.99,127.1,3.42,0.0805,0.143,23.5,0
1,83.35,1.89,0.0529,0.14,23.3,0
